archivo,columna_target,valor,cantidad,descripcion
databases/normalized/DARWIN/folds/train/train_fold_6_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_6_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_10_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_10_DARWIN_normalized.csv,class,1.0,63,
databases/normalized/DARWIN/folds/train/train_fold_9_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_9_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_7_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_7_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_3_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_3_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_1_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_1_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_2_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_2_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_8_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_8_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_5_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_5_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/train/train_fold_4_DARWIN_normalized.csv,class,0.0,63,
databases/normalized/DARWIN/folds/train/train_fold_4_DARWIN_normalized.csv,class,1.0,62,
databases/normalized/DARWIN/folds/val/val_fold_4_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_4_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_3_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_3_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_7_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_7_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_6_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_6_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_10_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_10_DARWIN_normalized.csv,class,1.0,6,
databases/normalized/DARWIN/folds/val/val_fold_8_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_8_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_5_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_5_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_2_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_2_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_1_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/folds/val/val_fold_1_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_9_DARWIN_normalized.csv,class,1.0,7,
databases/normalized/DARWIN/folds/val/val_fold_9_DARWIN_normalized.csv,class,0.0,7,
databases/normalized/DARWIN/holdout/test_DARWIN_normalized.csv,class,1.0,20,
databases/normalized/DARWIN/holdout/test_DARWIN_normalized.csv,class,0.0,15,
databases/normalized/DARWIN/holdout/train_DARWIN_normalized.csv,class,0.0,70,
databases/normalized/DARWIN/holdout/train_DARWIN_normalized.csv,class,1.0,69,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_3_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,0,325,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_3_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,1,104,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_5_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,0,325,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_5_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,1,104,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_9_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,0,325,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_9_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,1,105,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_8_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,0,325,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_8_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,1,105,
databases/normalized/DIA_trainingANDTESTset_RDKit_descriptors/folds/train/train_fold_6_DIA_trainingANDTESTset_RDKit_descriptors_normalized.csv,Label,0,325,
