Label,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,1821,1266407,22121,16781,16781,14901,9203,9203,6668,6668,4719,4719,3241,3241,6093,9185,0,35509,22291,4.9,20224,41.21,0,24787,11467,422162,0.15,-4.28,31,403272,12184745.6,20012,7859,3564,175833,14164,452,14164,413,18,413,-668,-452,2443,113689,422424,4,10,0,0,0,1,3,4,9,2,11,0,6,0,0,0,158,16204,17199,23107,0,0,6093,4.9,28819,5099,0,18199,18199,18808,19041,4,13922,34.45,0,24732,0,6545,30525,53976,0,11518,16367,26508,0,0,44983,11282,5817,5563,42595,0,22552,0,138.07,0,0,0,0,0,0,0,0,15727,62.94,0,0,0,2,0,5,0,0,0,0,1,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2363,490434,11707,8752,9569,7592,4854,5.67,3545,4661,2449,3735,1.52,2621,12073,10002,0,0,5063,14963,0,18261,30332,0,5734,236062,182,-1.59,16,224.2,5774616,10912,4112,1868,96858,10832,0.35,10832,339,421,339,-843,-0.35,2732,63449,236296,3,4,0,0,0,1,1,2,3,2,5,0,3,0,0,0,84,5734,0,0,0,0,6031,5207,4795,5063,11337,18199,24443,9577,6042,2,10002,27454,0,5063,5734,12966,0,35209,0,0,5734,4795,0,11337,16302,0,0,17843,30332,0,10086,0,66.56,0,1542,0,0,0,0,0,0,0,39292,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,3551,93092,6784,5471,5471,3417,2.42,2.42,2.82,2.82,603,603,387,387,5969,9901,0,6545,4483,0,0,21143,0,0,0,117079,0.8,-0.57,8,106.06,23005,7.43,2132,5.43,49125,9888,544,9888,118,69,118,-1002,-544,-1557,27906,117148,0,3,0,0,0,0,0,0,2,0,3,0,2,0,0,0,48,14384,6545,0,0,0,0,0,0,0,0,0,0,0,27112,0,14384,5969,0,0,0,0,27688,0,0,0,5107,0,0,0,38.14,4795,0,0,0,0,0,0,40.13,0,0,0,0,0,0,0,0,419,24248,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2076,1053003,21836,16995,16995,14274,9926,9926,7662,7662,4998,4998,3768,3768,24598,19398,0,18.28,0,27724,12133,24285,24265,18415,5107,411185,292,-2.96,30,385265,4553841084,21742,9238,4777,174259,13498,481,13498,305,73,305,-1.13,-481,4628,115634,411473,3,5,0,0,0,2,1,3,4,3,6,0,8,0,0,0,158,19887,5817,0,0,0,5969,4795,4.39,0,0,36408,43686,34623,18629,3,24505,22948,0,4567,0,44939,0,66118,0,11127,0,4.39,0,0,38064,4795,5817,38425,54607,0,28106,0,82.69,0,0,0,0,0,0,0,0,15642,62025,1,2,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2888,549823,14629,9746,9746,8752,5.04,5.04,3601,3601,2171,2171,1232,1232,28979,17966,0,5687,0,31189,6069,0,0,5317,10368,270062,167,-2.49,19,261138,10134114,14571,5436,3741,106326,12.3,511,12.3,416,0.09,416,-4456,-511,2999,61016,270.21,2,4,0,0,0,1,0,1,3,2,7,0,4,0,0,0,100,10423,11828,5573,0,5907,6176,4795,0,18433,0,0,31189,5687,5563,1,23072,11595,5262,0,0,13.1,5317,41161,0,6069,5317,18859,0,0,11014,10971,11331,12487,35598,0,0,0,73.12,0,0,0,0,0,0,0,0,36.9,30684,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1277,1701679,38125,31447,33.08,26212,18664,20423,13.98,15841,9272,11219,6.25,7582,12135,14384,0,30629,64325,39795,11337,34992,66044,44666,9474,775355,475,-4.37,54,722618,1230000000000.0,40807,21502,13.8,326227,14.23,444,14.23,407,0.15,407,-761,-444,6001,212545,776042,3,12,0,1,1,2,2,4,10,3,14,0,24,0,1,1,290,30324,12649,0,5907,0,12124,14678,14573,0,22674,74511,43231,56.26,40848,5,23857,40705,0,35718,0,83147,39896,104457,0,0,15.95,9589,0,22674,95821,40262,0,65733,77751,0,0,0,138.02,0,3024,0,0,0,0,0,0,0,114.81,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
0,2739,783281,18723,14405,15917,11828,7709,8464,5.49,6276,3953,4787,2908,3325,17857,9589,0,11.63,33126,0,7.11,38.97,0,5317,32676,383069,333,-1.98,25,365107,278594419,19346,7933,3673,156132,12581,466,12581,336,0.21,336,-737,-466,3964,96388,384259,1,5,0,1,1,1,0,1,5,1,7,0,6,0,0,0,134,14791,0,0,0,0,11939,0,9589,0,0,35335,32401,11394,40826,2,19063,35.14,0,5317,0,26689,13717,56348,0,0,5317,0,0,23202,25655,19063,0,32253,40739,10045,0,0,64.63,0,12524,0,0,0,0,0,0,0,51032,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2197,405988,17079,14749,14749,10969,8296,8296,6144,6144,3075,3075,1838,1838,6104,5107,0,12711,32407,11313,0,0,51.96,5317,14211,325225,667,-1.14,23,294201,97254298,19906,11404,10285,139495,9.8,491,9.8,119,237,119,-513,-491,2366,91827,325449,2,5,0,0,0,1,0,1,5,2,5,0,12,0,0,0,132,24634,18.46,0,0,0,0,0,0,0,0,25.98,31544,12587,25925,1,19317,0,0,5317,0,52552,26365,29829,0,5.75,10054,0,5.75,0,49722,16081,0,33258,24265,0,0,0,59.95,0,0,0,0,0,0,0,0,0,49833,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,1729,1048298,20284,16281,16281,13.99,10162,10162,8.32,8.32,6366,6366,4953,4953,17215,14696,4.39,16992,35458,38773,19373,4567,4.9,5317,4737,401175,524,-2.61,29,377246,7887117993,18421,6725,2885,166611,15.32,492,15.32,341,0.06,341,-1301,-492,2.37,106676,401438,2,7,1,2,3,1,1,2,6,2,8,0,4,1,2,3,154,24627,11251,11567,5429,0,5969,4795,9185,0,0,0,44212,31.37,18013,5,19028,22.56,0,9884,5918,37767,31644,33867,0,5.75,20382,10078,5.75,0,48429,0,11735,42083,17058,0,10903,0,83.8,0,0,0,0,0,0,0,0,17115,54718,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1405,1049171,22336,18204,19.02,14665,10405,11285,8603,9779,6248,7.23,4096,4956,5601,14696,0,16396,18777,63.92,0,0,51.96,5317,9474,441161,417,-2.67,31,414333,9100031311,21558,8112,4237,185873,11736,507,11736,286,0.23,286,-467,-507,4374,120231,441549,2,6,0,2,2,2,0,2,6,2,7,0,5,0,1,1,164,14.58,29456,0,5907,5239,0,14906,0,0,0,23895,81344,5563,5.25,4,24169,22908,0,5317,0,57808,6607,52083,0,17249,14791,4795,17249,11762,33711,17636,20771,41162,24265,0,0,0,84.86,0,1037,0,0,0,0,0,0,0,71547,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
