id,Label,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
10,0,1405.0,1049171.0,22336.0,18204.0,19.02,14665.0,10405.0,11285.0,8603.0,9779.0,6248.0,7.23,4096.0,4956.0,5601.0,14696.0,0.0,16396.0,18777.0,63.92,0.0,0.0,51.96,5317.0,9474.0,441161.0,417.0,-2.67,31,414333.0,9100031311.0,21558.0,8112.0,4237.0,185873.0,11736.0,507.0,11736.0,286.0,0.23,286.0,-467.0,-507.0,4374.0,120231.0,441549.0,2,6,0,2,2,2,0,2,6,2,7,0,5,0,1,1,164,14.58,29456.0,0.0,5907.0,5239.0,0.0,14906.0,0.0,0.0,0.0,23895.0,81344.0,5563.0,5.25,4,24169.0,22908.0,0,5317.0,0.0,57808.0,6607.0,52083.0,0,17249.0,14791.0,4795.0,17249.0,11762.0,33711.0,17636.0,20771.0,41162.0,24265.0,0,0.0,0,84.86,0,1037.0,0,0,0,0,0,0,0.0,71547.0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
547,0,3509.0,701378.0,17732.0,11.19,12006.0,10667.0,5785.0,6602.0,4138.0,5137.0,2534.0,3807.0,1779.0,2882.0,59392.0,39604.0,0.0,5001.0,16237.0,0.0,6069.0,0.0,0.0,0.0,5262.0,337984.0,0.25,-3.13,23,332205.0,71992253.0,17.92,7.23,4417.0,131967.0,11052.0,0.55,11052.0,111.0,321.0,111.0,-1796.0,-0.55,-5418.0,64302.0,338253.0,0,10,0,0,0,0,1,1,11,0,11,0,8,0,0,0,122,44504.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,5262.0,11337.0,0.0,5563.0,12.39,41438.0,1,39604.0,40215.0,5262,0.0,0.0,6421.0,17989.0,16004.0,0,6069.0,25326.0,5001.0,0.0,11337.0,36967.0,20804.0,11331.0,20799.0,0.0,0,0.0,0,187.55,0,321.0,0,0,0,0,0,0,0.0,85846.0,3,0,0,0,1,0,0,0,4,4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,0,2372.0,506.26,12303.0,9921.0,9921.0,8121.0,5475.0,5475.0,4438.0,4438.0,2875.0,2875.0,1721.0,1721.0,5415.0,4795.0,0.0,5783.0,5563.0,5563.0,0.0,36.92,25.98,9968.0,0.0,226111.0,214.0,-2.03,17,212167.0,8781076.0,11455.0,4454.0,2228.0,100549.0,12399.0,293.0,12399.0,174.0,54.0,174.0,-586.0,-293.0,2637.0,65831.0,226279.0,0,3,0,0,0,0,2,2,3,0,3,0,3,0,0,0,86,0.0,0.0,5783.0,0.0,0.0,0.0,14762.0,0.0,0.0,0.0,6066.0,37.61,30351.0,5415.0,2,4795.0,5783.0,0,9968.0,0.0,19262.0,0.0,60.18,0,0.0,0.0,0.0,0.0,0.0,15751.0,5415.0,0.0,29769.0,49053.0,0,0.0,0,42.85,0,0.0,0,0,0,0,0,0,0.0,39.25,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
189,0,1924.0,701823.0,19.82,17.73,17.73,12654.0,10736.0,10736.0,9802.0,9802.0,6861.0,6861.0,5.1,5.1,0.0,9901.0,0.0,22852.0,24374.0,29718.0,25683.0,0.0,6066.0,40685.0,4737.0,372266.0,708.0,-1.51,27,336261.0,757271154.0,20.23,7485.0,4023.0,164058.0,12125.0,508.0,12125.0,133.0,7.0,133.0,-311.0,-508.0,6264.0,109688.0,372549.0,1,3,1,1,2,1,0,1,3,1,3,0,6,1,0,1,150,9843.0,22883.0,0.0,0.0,0.0,0.0,4795.0,0.0,0.0,0.0,46454.0,49.8,30241.0,0.0,3,14638.0,5783.0,0,0.0,5918.0,102919.0,0.0,23.26,0,11499.0,4737.0,0.0,11499.0,0.0,16491.0,10.21,5918.0,103.03,12133.0,0,0.0,0,46.53,0,0.0,0,0,0,0,0,0,0.0,56.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
321,1,1761.0,706328.0,22052.0,19096.0,19096.0,14101.0,11589.0,11589.0,10252.0,10252.0,7348.0,7348.0,5079.0,5079.0,11519.0,14696.0,0.0,36485.0,24175.0,25683.0,5573.0,0.0,20771.0,32076.0,9474.0,418272.0,0.76,-1.62,30,380.27,3230269854.0,23052.0,9252.0,5161.0,180446.0,12866.0,462.0,12866.0,311.0,95.0,311.0,-601.0,-462.0,4586.0,115455.0,418574.0,1,5,2,1,3,0,0,0,5,1,5,0,7,0,1,1,168,14.58,12208.0,0.0,0.0,0.0,11939.0,9589.0,0.0,0.0,0.0,38999.0,62858.0,12339.0,17.94,3,24169.0,11939.0,0,0.0,29087.0,91456.0,0.0,23801.0,0,0.0,0.0,0.0,0.0,0.0,35357.0,19063.0,29087.0,73144.0,23801.0,0,0.0,0,72.83,0,0.0,0,0,0,0,0,0,0.0,67583.0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,3992.0,234987.0,11845.0,7007.0,7007.0,6914.0,3273.0,3273.0,1.99,1.99,967.0,967.0,519.0,519.0,34578.0,30343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14513.0,0.0,227003.0,1.0,-2.4,15,222045.0,1181115.0,12.6,6115.0,7945.0,80631.0,9832.0,311.0,9832.0,294.0,845.0,294.0,-1546.0,-311.0,-1.02,37.76,227085.0,0,12,0,0,0,0,0,0,9,0,12,0,8,0,0,0,86,14513.0,13214.0,6104.0,0.0,15.26,0.0,0.0,0.0,0.0,30343.0,0.0,0.0,0.0,0.0,0,29773.0,0.0,0,0.0,0.0,6104.0,13214.0,30343.0,0,0.0,0.0,0.0,0.0,0.0,34578.0,14513.0,30343.0,0.0,0.0,0,0.0,0,157.11,0,0.0,0,0,0,0,0,0,0.0,62833.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,0,1533.0,1000408.0,25424.0,19736.0,19736.0,16675.0,11638.0,11638.0,8588.0,8588.0,5702.0,5702.0,4223.0,4223.0,18.69,17966.0,0.0,30755.0,31495.0,29.78,6066.0,18199.0,12.99,16283.0,20314.0,495234.0,0.48,-2.98,35,463286.0,49217639.24,26622.0,12123.0,7.76,202556.0,12445.0,488.0,12445.0,422.0,44.0,422.0,-4423.0,-488.0,3071.0,127235.0,495542.0,4,7,0,1,1,2,0,2,6,3,10,0,14,0,0,0,192,30531.0,6607.0,18106.0,0.0,5907.0,6176.0,4795.0,0.0,13171.0,0.0,18199.0,55512.0,32283.0,11251.0,3,32546.0,11595.0,0,5317.0,5734.0,38404.0,44355.0,53089.0,0,11499.0,25424.0,18859.0,11499.0,0.0,62687.0,12842.0,0.0,34829.0,36398.0,0,0.0,0,97.05,0,0.0,0,0,0,0,0,0,37336.0,56914.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
584,0,3985.0,104606.0,9724.0,6407.0,6407.0,5.54,3482.0,3482.0,2481.0,2481.0,1512.0,1512.0,671.0,671.0,37.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30639.0,182079.0,1.0,-0.24,12,168.06,358753.0,11.76,5413.0,3015.0,69329.0,8957.0,394.0,8957.0,111.0,726.0,111.0,-1669.0,-394.0,-3585.0,38199.0,182172.0,6,6,0,0,0,0,0,0,6,6,6,0,5,0,0,0,74,30639.0,24416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13214.0,0,30639.0,0.0,0,0.0,0.0,24416.0,13214.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68269.0,0.0,0.0,0.0,0.0,0,0.0,0,121.38,0,0.0,0,0,0,0,0,0,0.0,44333.0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,0,1735.0,683889.0,18905.0,15702.0,15702.0,12171.0,9957.0,9957.0,9557.0,9557.0,8653.0,8653.0,7281.0,7281.0,29.51,24909.0,0.0,28952.0,19262.0,25683.0,5573.0,6076.0,6924.0,6924.0,0.0,362209.0,0.81,-1.04,26,332226.0,715692138.0,18329.0,5728.0,2138.0,154031.0,12362.0,393.0,12362.0,0.19,0.07,0.19,-1544.0,-393.0,1782.0,95142.0,362466.0,3,5,4,0,4,0,0,0,5,3,5,0,2,3,0,3,144,15.32,12208.0,11566.0,0.0,0.0,0.0,9589.0,0.0,0.0,0.0,19421.0,67.77,11836.0,6104.0,4,24909.0,11566.0,0,0.0,28584.0,70498.0,6607.0,11649.0,0,0.0,0.0,0.0,0.0,0.0,45198.0,9589.0,28584.0,58793.0,11649.0,0,0.0,0,94.83,0,0.0,0,0,0,0,0,0,0.0,64083.0,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,1797.0,1216.99,26673.0,20121.0,21015.0,16.82,11136.0,12679.0,8674.0,10368.0,5256.0,6899.0,3468.0,4971.0,67822.0,24055.0,4.39,5.75,0.0,23754.0,19056.0,32047.0,4984.0,5087.0,18521.0,529163.0,0.5,-2.83,36,500226.0,50727379.21,27753.0,11056.0,6.48,205479.0,15.43,462.0,15.43,459.0,152.0,459.0,-4304.0,-462.0,1657.0,125207.0,529458.0,3,12,0,1,1,1,1,2,10,3,14,0,11,0,1,1,198,19104.0,23999.0,11897.0,0.0,5559.0,19406.0,23664.0,13.75,5087.0,0.0,18199.0,39828.0,12263.0,12711.0,3,37378.0,13716.0,0,14638.0,0.0,63945.0,6607.0,63433.0,0,5.75,20.86,4.39,5.75,7746.0,57256.0,23357.0,0.0,33923.0,52184.0,0,0.0,0,158.18,0,0.0,0,0,0,0,0,0,40742.0,61147.0,0,1,1,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
