archivo,columna_target,valor,cantidad,descripcion
databases/splits/test_hongos.csv,HONG,0,164,
databases/splits/test_hongos.csv,HONG,1,17,
databases/splits/test_bacterias.csv,BACT,0,129,
databases/splits/test_bacterias.csv,BACT,1,52,
databases/splits/train_virus.csv,VIRUS,0,603,
databases/splits/train_virus.csv,VIRUS,1,117,
databases/splits/train_bacterias.csv,BACT,0,536,
databases/splits/train_bacterias.csv,BACT,1,184,
databases/splits/test_virus.csv,VIRUS,0,148,
databases/splits/test_virus.csv,VIRUS,1,33,
databases/splits/train_hongos.csv,HONG,0,655,
databases/splits/train_hongos.csv,HONG,1,65,
databases/splits/folds/bacterias/train_fold_6_bacterias.csv,BACT,0,482,
databases/splits/folds/bacterias/train_fold_6_bacterias.csv,BACT,1,166,
databases/splits/folds/bacterias/train_fold_3_bacterias.csv,BACT,0,482,
databases/splits/folds/bacterias/train_fold_3_bacterias.csv,BACT,1,166,
databases/splits/folds/bacterias/val_fold_7_bacterias.csv,BACT,0,53,
databases/splits/folds/bacterias/val_fold_7_bacterias.csv,BACT,1,19,
databases/splits/folds/bacterias/train_fold_2_bacterias.csv,BACT,0,482,
databases/splits/folds/bacterias/train_fold_2_bacterias.csv,BACT,1,166,
databases/splits/folds/bacterias/train_fold_4_bacterias.csv,BACT,0,482,
databases/splits/folds/bacterias/train_fold_4_bacterias.csv,BACT,1,166,
databases/splits/folds/bacterias/train_fold_5_bacterias.csv,BACT,0,482,
databases/splits/folds/bacterias/train_fold_5_bacterias.csv,BACT,1,166,
databases/splits/folds/bacterias/val_fold_10_bacterias.csv,BACT,0,53,
databases/splits/folds/bacterias/val_fold_10_bacterias.csv,BACT,1,19,
databases/splits/folds/bacterias/val_fold_6_bacterias.csv,BACT,0,54,
databases/splits/folds/bacterias/val_fold_6_bacterias.csv,BACT,1,18,
databases/splits/folds/bacterias/train_fold_8_bacterias.csv,BACT,0,483,
databases/splits/folds/bacterias/train_fold_8_bacterias.csv,BACT,1,165,
databases/splits/folds/bacterias/val_fold_4_bacterias.csv,BACT,0,54,
databases/splits/folds/bacterias/val_fold_4_bacterias.csv,BACT,1,18,
databases/splits/folds/bacterias/val_fold_5_bacterias.csv,BACT,0,54,
databases/splits/folds/bacterias/val_fold_5_bacterias.csv,BACT,1,18,
databases/splits/folds/bacterias/val_fold_1_bacterias.csv,BACT,0,54,
databases/splits/folds/bacterias/val_fold_1_bacterias.csv,BACT,1,18,
databases/splits/folds/bacterias/train_fold_10_bacterias.csv,BACT,0,483,
databases/splits/folds/bacterias/train_fold_10_bacterias.csv,BACT,1,165,
databases/splits/folds/bacterias/val_fold_3_bacterias.csv,BACT,0,54,
databases/splits/folds/bacterias/val_fold_3_bacterias.csv,BACT,1,18,
databases/splits/folds/bacterias/val_fold_9_bacterias.csv,BACT,0,53,
