index,feature,mutual_info_raw,relevance_score,n_neighbors
173,mean_speed_in_air10,0.0,1.0,19
277,mean_acc_on_paper16,0.0,1.0,19
351,mean_jerk_in_air20,0.0,1.0,19
95,max_y_extension6,0.0,1.0,19
281,mean_speed_in_air16,0.0,1.0,19
244,mean_jerk_on_paper14,0.0,1.0,19
97,mean_acc_on_paper6,0.0,1.0,19
423,mean_jerk_in_air24,0.0,1.0,19
47,mean_speed_in_air3,0.0,1.0,19
142,pressure_var8,0.0,1.0,19
425,mean_speed_in_air24,0.0,1.0,19
426,mean_speed_on_paper24,0.0,1.0,19
275,max_y_extension16,0.0,1.0,19
185,max_y_extension11,0.0,1.0,19
135,mean_jerk_in_air8,0.0,1.0,19
268,pressure_var15,0.0,1.0,19
254,gmrt_in_air15,0.0,1.0,19
385,mean_acc_on_paper22,0.0,1.0,19
263,mean_speed_in_air15,0.0,1.0,19
148,max_x_extension9,0.0,1.0,19
79,mean_acc_on_paper5,0.0,1.0,19
272,gmrt_in_air16,0.0,1.0,19
417,gmrt_on_paper24,0.0,1.0,19
166,max_x_extension10,0.0,1.0,19
415,disp_index24,0.0,1.0,19
257,max_y_extension15,0.0,1.0,19
169,mean_acc_on_paper10,0.0,1.0,19
172,mean_jerk_on_paper10,0.0,1.0,19
352,mean_jerk_on_paper20,0.0,1.0,19
371,mean_speed_in_air21,0.0,1.0,19
63,mean_jerk_in_air4,0.0,1.0,19
171,mean_jerk_in_air10,0.0,1.0,19
61,mean_acc_on_paper4,0.0,1.0,19
60,mean_acc_in_air4,0.0,1.0,19
155,mean_speed_in_air9,0.0,1.0,19
402,mean_acc_in_air23,0.0,1.0,19
355,num_of_pendown20,0.0,1.0,19
204,mean_acc_in_air12,0.0,1.0,19
113,max_y_extension7,0.0,1.0,19
308,gmrt_in_air18,0.0,1.0,19
7,mean_acc_on_paper1,0.0,1.0,19
13,num_of_pendown1,0.0,1.0,19
6,mean_acc_in_air1,0.0,1.0,19
227,mean_speed_in_air13,0.0,1.0,19
16,pressure_var1,0.0,1.0,19
5,max_y_extension1,0.0,1.0,19
310,max_x_extension18,0.0,1.0,19
190,mean_jerk_on_paper11,0.0,1.0,19
207,mean_jerk_in_air12,0.0,1.0,19
130,max_x_extension8,0.0,1.0,19
205,mean_acc_on_paper12,0.0,1.0,19
203,max_y_extension12,0.0,1.0,19
232,pressure_var13,0.0,1.0,19
439,mean_acc_on_paper25,0.0,1.0,19
26,mean_gmrt2,0.0,1.0,19
388,mean_jerk_on_paper22,0.0,1.0,19
295,mean_acc_on_paper17,0.0,1.0,19
202,max_x_extension12,0.0,1.0,19
132,mean_acc_in_air8,0.0,1.0,19
106,pressure_var6,0.0,1.0,19
292,max_x_extension17,0.0,1.0,19
238,max_x_extension14,0.0,1.0,19
322,pressure_var18,0.0,1.0,19
193,num_of_pendown11,0.0,1.0,19
243,mean_jerk_in_air14,0.0,1.0,19
9,mean_jerk_in_air1,0.0,1.0,19
346,max_x_extension20,0.00041839641507390724,0.9995816035849261,19
304,pressure_var17,0.001683492108898843,0.9983165078911012,19
124,pressure_var7,0.0023702063383383987,0.9976297936616616,19
189,mean_jerk_in_air11,0.002459092413646058,0.9975409075863539,19
167,max_y_extension10,0.0025533655920324527,0.9974466344079675,19
100,mean_jerk_on_paper6,0.002902109446633272,0.9970978905533667,19
153,mean_jerk_in_air9,0.0030964804560502657,0.9969035195439497,19
448,pressure_var25,0.003643273855079787,0.9963567261449202,19
424,mean_jerk_on_paper24,0.003708945474303338,0.9962910545256967,19
445,num_of_pendown25,0.0041353901371472546,0.9958646098628527,19
286,pressure_var16,0.00423183431287244,0.9957681656871276,19
240,mean_acc_in_air14,0.004452710098932222,0.9955472899010678,19
420,mean_acc_in_air24,0.006323023241817438,0.9936769767581826,19
101,mean_speed_in_air6,0.006582040870877659,0.9934179591291223,19
365,max_y_extension21,0.006695155892650906,0.9933048441073491,19
150,mean_acc_in_air9,0.006728283703650639,0.9932717162963494,19
316,mean_jerk_on_paper18,0.008692317013625495,0.9913076829863745,19
115,mean_acc_on_paper7,0.008844580909785016,0.991155419090215,19
366,mean_acc_in_air21,0.009390415673435015,0.990609584326565,19
416,gmrt_in_air24,0.009788066733443124,0.9902119332665569,19
311,max_y_extension18,0.009821896154754484,0.9901781038452455,19
384,mean_acc_in_air22,0.009921118994455025,0.990078881005545,19
317,mean_speed_in_air18,0.009958228388827983,0.990041771611172,19
10,mean_jerk_on_paper1,0.010435585940252956,0.989564414059747,19
186,mean_acc_in_air11,0.01110299837273443,0.9888970016272656,19
405,mean_jerk_in_air23,0.011179846934738613,0.9888201530652614,19
364,max_x_extension21,0.011208993454521199,0.9887910065454788,19
184,max_x_extension11,0.011601902153029808,0.9883980978469702,19
29,mean_speed_in_air2,0.011683240480413914,0.9883167595195861,19
421,mean_acc_on_paper24,0.011776884850754232,0.9882231151492458,19
39,gmrt_on_paper3,0.011829100181988572,0.9881708998180114,19
98,mean_gmrt6,0.012188987240377092,0.9878110127596229,19
313,mean_acc_on_paper18,0.012243778652219817,0.9877562213477802,19
57,gmrt_on_paper4,0.012525749640390771,0.9874742503596092,19
94,max_x_extension6,0.012810759542241534,0.9871892404577585,19
11,mean_speed_in_air1,0.013417908858130989,0.986582091141869,19
226,mean_jerk_on_paper13,0.013584787691066857,0.9864152123089331,19
419,max_y_extension24,0.013781678182965162,0.9862183218170348,19
293,max_y_extension17,0.013876692716644268,0.9861233072833557,19
428,paper_time24,0.013922727531567425,0.9860772724684326,19
187,mean_acc_on_paper11,0.014282355715751205,0.9857176442842488,19
77,max_y_extension5,0.014969836454951313,0.9850301635450487,19
301,num_of_pendown17,0.01523345460317227,0.9847665453968277,19
285,pressure_mean16,0.01541291193040939,0.9845870880695906,19
246,mean_speed_on_paper14,0.015478347166359985,0.98452165283364,19
56,gmrt_in_air4,0.015822492826618628,0.9841775071733814,19
274,max_x_extension16,0.016005675577305478,0.9839943244226945,19
348,mean_acc_in_air20,0.01625078336267327,0.9837492166373267,19
418,max_x_extension24,0.01629461442788349,0.9837053855721165,19
64,mean_jerk_on_paper4,0.01659108675449339,0.9834089132455066,19
437,max_y_extension25,0.017220349449904138,0.9827796505500959,19
267,pressure_mean15,0.01736375233030829,0.9826362476696917,19
65,mean_speed_in_air4,0.017435433211034912,0.9825645667889651,19
191,mean_speed_in_air11,0.017492710841779058,0.9825072891582209,19
383,max_y_extension22,0.01754675049949439,0.9824532495005056,19
4,max_x_extension1,0.017750990505905673,0.9822490094940943,19
66,mean_speed_on_paper4,0.01778813225687559,0.9822118677431244,19
182,gmrt_in_air11,0.017862558919396587,0.9821374410806034,19
389,mean_speed_in_air22,0.018083826640561185,0.9819161733594388,19
278,mean_gmrt16,0.01810947769042981,0.9818905223095702,19
92,gmrt_in_air6,0.018267862680432234,0.9817321373195678,19
217,disp_index13,0.01888429658458346,0.9811157034154165,19
430,pressure_var24,0.019003402191343444,0.9809965978086566,19
168,mean_acc_in_air10,0.019238502100371146,0.9807614978996289,19
315,mean_jerk_in_air18,0.01949869452647901,0.980501305473521,19
178,pressure_var10,0.01963176633390873,0.9803682336660913,19
358,pressure_var20,0.019755222209036027,0.980244777790964,19
80,mean_gmrt5,0.02009055030398299,0.979909449696017,19
241,mean_acc_on_paper14,0.020124738852952184,0.9798752611470478,19
231,pressure_mean13,0.020219907777149437,0.9797800922228506,19
209,mean_speed_in_air12,0.02087145601065865,0.9791285439893413,19
353,mean_speed_in_air20,0.021239169445478545,0.9787608305545215,19
433,disp_index25,0.021360759049127154,0.9786392409508728,19
188,mean_gmrt11,0.02226871188949664,0.9777312881105034,19
382,max_x_extension22,0.02232123361682481,0.9776787663831752,19
374,paper_time21,0.0223734457862923,0.9776265542137077,19
279,mean_jerk_in_air16,0.022503278513665848,0.9774967214863342,19
401,max_y_extension23,0.022647820191010304,0.9773521798089897,19
112,max_x_extension7,0.022901235487898575,0.9770987645121014,19
223,mean_acc_on_paper13,0.023088509707281712,0.9769114902927183,19
118,mean_jerk_on_paper7,0.023791166457075796,0.9762088335429242,19
362,gmrt_in_air21,0.023944433011530375,0.9760555669884696,19
283,num_of_pendown16,0.024483464301813473,0.9755165356981865,19
62,mean_gmrt4,0.024992954741878126,0.9750070452581219,19
369,mean_jerk_in_air21,0.025280800178641538,0.9747191998213585,19
38,gmrt_in_air3,0.02531255916557118,0.9746874408344288,19
131,max_y_extension8,0.025375578418124878,0.9746244215818751,19
427,num_of_pendown24,0.025905512841358558,0.9740944871586414,19
219,gmrt_on_paper13,0.02603904731895179,0.9739609526810482,19
99,mean_jerk_in_air6,0.026208090558351493,0.9737919094416485,19
229,num_of_pendown13,0.02629338322965058,0.9737066167703494,19
436,max_x_extension25,0.026463151496674886,0.9735368485033251,19
220,max_x_extension13,0.026559296459778725,0.9734407035402213,19
403,mean_acc_on_paper23,0.026763589228600004,0.9732364107714,19
400,max_x_extension23,0.02694681716761771,0.9730531828323823,19
96,mean_acc_in_air6,0.027021632502884252,0.9729783674971157,19
314,mean_gmrt18,0.027124574343188268,0.9728754256568117,19
210,mean_speed_on_paper12,0.027194465289348546,0.9728055347106515,19
139,num_of_pendown8,0.02730049839725801,0.972699501602742,19
442,mean_jerk_on_paper25,0.028153800206315083,0.9718461997936849,19
51,pressure_mean3,0.028370991755596542,0.9716290082444035,19
103,num_of_pendown6,0.029287656164993958,0.970712343835006,19
245,mean_speed_in_air14,0.02963291562356396,0.970367084376436,19
412,pressure_var23,0.029656794004565334,0.9703432059954347,19
303,pressure_mean17,0.02974822154726464,0.9702517784527354,19
199,disp_index12,0.029779747784985044,0.970220252215015,19
154,mean_jerk_on_paper9,0.029815497328194773,0.9701845026718052,19
68,paper_time4,0.030139904984260557,0.9698600950157394,19
214,pressure_var12,0.030284733726178903,0.9697152662738211,19
40,max_x_extension3,0.030779595104256874,0.9692204048957431,19
44,mean_gmrt3,0.03106400764499817,0.9689359923550018,19
259,mean_acc_on_paper15,0.03180599967475661,0.9681940003252434,19
2,gmrt_in_air1,0.03194059120511339,0.9680594087948866,19
208,mean_jerk_on_paper12,0.0325380175343426,0.9674619824656574,19
23,max_y_extension2,0.032768534388256665,0.9672314656117433,19
222,mean_acc_in_air13,0.03278566030916652,0.9672143396908335,19
422,mean_gmrt24,0.032825118108515294,0.9671748818914847,19
164,gmrt_in_air10,0.032896510339660345,0.9671034896603397,19
20,gmrt_in_air2,0.03310926951794757,0.9668907304820524,19
368,mean_gmrt21,0.033310184226827744,0.9666898157731723,19
224,mean_gmrt13,0.03332571775576065,0.9666742822442393,19
58,max_x_extension4,0.03364705148093927,0.9663529485190607,19
228,mean_speed_on_paper13,0.0342659392178315,0.9657340607821685,19
239,max_y_extension14,0.03446864940982808,0.9655313505901719,19
201,gmrt_on_paper12,0.0344823222218813,0.9655176777781187,19
380,gmrt_in_air22,0.03468416489718473,0.9653158351028153,19
250,pressure_var14,0.03504127323462258,0.9649587267653774,19
261,mean_jerk_in_air15,0.03542340867870131,0.9645765913212987,19
74,gmrt_in_air5,0.03548560642776888,0.9645143935722311,19
394,pressure_var22,0.03600090871329886,0.9639990912867011,19
221,max_y_extension13,0.0369653258597884,0.9630346741402116,19
237,gmrt_on_paper14,0.03736192189185905,0.962638078108141,19
276,mean_acc_in_air16,0.037603007228761864,0.9623969927712381,19
258,mean_acc_in_air15,0.037999708963177614,0.9620002910368224,19
83,mean_speed_in_air5,0.038117234651054765,0.9618827653489452,19
265,num_of_pendown15,0.03814623575700704,0.961853764242993,19
211,num_of_pendown12,0.03825544426811467,0.9617445557318853,19
349,mean_acc_on_paper20,0.03835198751731905,0.961648012482681,19
256,max_x_extension15,0.03871202309326005,0.96128797690674,19
1,disp_index1,0.0389075826218539,0.9610924173781461,19
298,mean_jerk_on_paper17,0.039506601929509166,0.9604933980704908,19
218,gmrt_in_air13,0.03959724022628919,0.9604027597737108,19
195,pressure_mean11,0.04025548202847418,0.9597445179715258,19
306,air_time18,0.04038502517081444,0.9596149748291856,19
435,gmrt_on_paper25,0.0409927784411237,0.9590072215588763,19
444,mean_speed_on_paper25,0.041085300831202876,0.9589146991687971,19
196,pressure_var11,0.04136655648340959,0.9586334435165904,19
377,total_time21,0.04179186803287749,0.9582081319671225,19
344,gmrt_in_air20,0.04223248333875462,0.9577675166612454,19
372,mean_speed_on_paper21,0.04242274714890071,0.9575772528510993,19
136,mean_jerk_on_paper8,0.04245217368565157,0.9575478263143484,19
321,pressure_mean18,0.04330812412552687,0.9566918758744731,19
387,mean_jerk_in_air22,0.04338802292022237,0.9566119770797776,19
181,disp_index11,0.04459914984174418,0.9554008501582558,19
14,paper_time1,0.04469165892020133,0.9553083410797987,19
34,pressure_var2,0.04472194701462806,0.9552780529853719,19
312,mean_acc_in_air18,0.04489255841135975,0.9551074415886402,19
21,gmrt_on_paper2,0.04526744273812611,0.9547325572618739,19
59,max_y_extension4,0.04601548566297797,0.953984514337022,19
102,mean_speed_on_paper6,0.046087823497778846,0.9539121765022212,19
236,gmrt_in_air14,0.04621263945489407,0.9537873605451059,19
78,mean_acc_in_air5,0.04741250572300304,0.952587494276997,19
8,mean_gmrt1,0.04802965349609689,0.9519703465039031,19
363,gmrt_on_paper21,0.04860795068220192,0.9513920493177981,19
391,num_of_pendown22,0.04996852750177627,0.9500314724982237,19
126,air_time8,0.05010381876479908,0.9498961812352009,19
151,mean_acc_on_paper9,0.050271210938451105,0.9497287890615489,19
235,disp_index14,0.051433424311909004,0.948566575688091,19
213,pressure_mean12,0.05163806159537243,0.9483619384046276,19
411,pressure_mean23,0.05264223758105491,0.9473577624189451,19
43,mean_acc_on_paper3,0.05282457588064915,0.9471754241193509,19
429,pressure_mean24,0.05302203246688553,0.9469779675331145,19
55,disp_index4,0.053334114070645366,0.9466658859293546,19
28,mean_jerk_on_paper2,0.05435164149982663,0.9456483585001734,19
373,num_of_pendown21,0.054787077917916704,0.9452129220820833,19
318,mean_speed_on_paper18,0.05581975562846608,0.9441802443715339,19
198,air_time12,0.05619593978215409,0.9438040602178459,19
127,disp_index8,0.056662626603163346,0.9433373733968367,19
386,mean_gmrt22,0.05676332192749012,0.9432366780725099,19
376,pressure_var21,0.05792904742958349,0.9420709525704165,19
441,mean_jerk_in_air25,0.05800944499967997,0.94199055500032,19
309,gmrt_on_paper18,0.05834143286143245,0.9416585671385675,19
75,gmrt_on_paper5,0.058502528970599155,0.9414974710294008,19
73,disp_index5,0.05850909772562973,0.9414909022743703,19
381,gmrt_on_paper22,0.05862839784652296,0.941371602153477,19
88,pressure_var5,0.05886274066179897,0.941137259338201,19
342,air_time20,0.05962047778458057,0.9403795222154194,19
71,total_time4,0.059930502610914704,0.9400694973890853,19
409,num_of_pendown23,0.05993593729064761,0.9400640627093524,19
37,disp_index3,0.05996872413167065,0.9400312758683294,19
24,mean_acc_in_air2,0.060080934615052595,0.9399190653849474,19
52,pressure_var3,0.06186636371469234,0.9381336362853077,19
350,mean_gmrt20,0.06202270580105784,0.9379772941989422,19
162,air_time10,0.06205598561355741,0.9379440143864426,19
128,gmrt_in_air8,0.062450716431933895,0.9375492835680661,19
393,pressure_mean22,0.06268014306391034,0.9373198569360897,19
76,max_x_extension5,0.06280481529425375,0.9371951847057463,19
93,gmrt_on_paper6,0.06323830033929623,0.9367616996607038,19
354,mean_speed_on_paper20,0.06362003371134728,0.9363799662886527,19
133,mean_acc_on_paper8,0.06387764348619918,0.9361223565138008,19
84,mean_speed_on_paper5,0.06388716954398888,0.9361128304560111,19
438,mean_acc_in_air25,0.06389383134299331,0.9361061686570067,19
0,air_time1,0.06419854077958442,0.9358014592204156,19
19,disp_index2,0.06558693250855585,0.9344130674914441,19
282,mean_speed_on_paper16,0.06564139261315427,0.9343586073868457,19
149,max_y_extension9,0.06588448060551855,0.9341155193944815,19
163,disp_index10,0.06633502481083076,0.9336649751891692,19
440,mean_gmrt25,0.06663900742949203,0.933360992570508,19
137,mean_speed_in_air8,0.06730590556210725,0.9326940944378928,19
49,num_of_pendown3,0.06732228101187854,0.9326777189881215,19
175,num_of_pendown10,0.06841999140849042,0.9315800085915096,19
160,pressure_var9,0.0691392159715356,0.9308607840284644,19
230,paper_time13,0.07041911458915395,0.929580885410846,19
406,mean_jerk_on_paper23,0.07054134237760223,0.9294586576223978,19
242,mean_gmrt14,0.07082969688660645,0.9291703031133935,19
225,mean_jerk_in_air13,0.07099143073446346,0.9290085692655365,19
325,disp_index19,0.07111112329050018,0.9288888767094998,19
32,paper_time2,0.07127083412047464,0.9287291658795254,19
359,total_time20,0.07155164914971968,0.9284483508502803,19
22,max_x_extension2,0.07177289826101285,0.9282271017389871,19
46,mean_jerk_on_paper3,0.07189815789605358,0.9281018421039464,19
31,num_of_pendown2,0.07232682990389439,0.9276731700961056,19
121,num_of_pendown7,0.07235485504218708,0.9276451449578129,19
117,mean_jerk_in_air7,0.07265121909908467,0.9273487809009153,19
361,disp_index21,0.07289899679444733,0.9271010032055527,19
48,mean_speed_on_paper3,0.07301544252352121,0.9269845574764788,19
331,mean_acc_on_paper19,0.07307971362791044,0.9269202863720896,19
145,disp_index9,0.07309276824739008,0.9269072317526099,19
357,pressure_mean20,0.07399098053758157,0.9260090194624184,19
280,mean_jerk_on_paper16,0.07432626395529995,0.9256737360447,19
319,num_of_pendown18,0.07507300475696788,0.9249269952430321,19
85,num_of_pendown5,0.07510315536743928,0.9248968446325607,19
109,disp_index7,0.07528967361708716,0.9247103263829128,19
307,disp_index18,0.07564337856083503,0.924356621439165,19
114,mean_acc_in_air7,0.07643283289606106,0.9235671671039389,19
367,mean_acc_on_paper21,0.07683782562396768,0.9231621743760323,19
177,pressure_mean10,0.07708236760530873,0.9229176323946913,19
434,gmrt_in_air25,0.07785977246936948,0.9221402275306305,19
17,total_time1,0.07841176786342752,0.9215882321365725,19
33,pressure_mean2,0.07908644141838561,0.9209135585816144,19
86,paper_time5,0.07921458159595263,0.9207854184040474,19
42,mean_acc_in_air3,0.07945942849760268,0.9205405715023973,19
273,gmrt_on_paper16,0.08022160618407526,0.9197783938159247,19
247,num_of_pendown14,0.08047826169451167,0.9195217383054883,19
192,mean_speed_on_paper11,0.08226943929779251,0.9177305607022075,19
146,gmrt_in_air9,0.08263493975893743,0.9173650602410626,19
50,paper_time3,0.08302265444836765,0.9169773455516324,19
129,gmrt_on_paper8,0.08362556958435796,0.916374430415642,19
253,disp_index15,0.0839856973405495,0.9160143026594505,19
54,air_time4,0.08404356398601864,0.9159564360139814,19
25,mean_acc_on_paper2,0.08439711666710803,0.915602883332892,19
390,mean_speed_on_paper22,0.08480126732534465,0.9151987326746553,19
249,pressure_mean14,0.08484609542843913,0.9151539045715609,19
432,air_time25,0.08487131192047315,0.9151286880795269,19
347,max_y_extension20,0.08522624887245644,0.9147737511275436,19
262,mean_jerk_on_paper15,0.08523437458445215,0.9147656254155478,19
345,gmrt_on_paper20,0.08528462829645234,0.9147153717035477,19
91,disp_index6,0.08544297849650073,0.9145570215034993,19
27,mean_jerk_in_air2,0.08592395309180434,0.9140760469081957,19
170,mean_gmrt10,0.08597024269652742,0.9140297573034726,19
407,mean_speed_in_air23,0.08746690944331847,0.9125330905566815,19
123,pressure_mean7,0.0875285219091988,0.9124714780908012,19
152,mean_gmrt9,0.08838483867171121,0.9116151613282888,19
443,mean_speed_in_air25,0.0884509383018548,0.9115490616981452,19
41,max_y_extension3,0.08902396120296263,0.9109760387970374,19
194,paper_time11,0.0890954732942304,0.9109045267057696,19
82,mean_jerk_on_paper5,0.08988484289240706,0.9101151571075929,19
370,mean_jerk_on_paper21,0.09009057551913591,0.9099094244808641,19
234,air_time14,0.0902622127972239,0.9097377872027761,19
147,gmrt_on_paper9,0.09084202293775334,0.9091579770622467,19
271,disp_index16,0.0916262804919663,0.9083737195080337,19
183,gmrt_on_paper11,0.09245351521818446,0.9075464847818155,19
260,mean_gmrt15,0.09270017898177496,0.907299821018225,19
284,paper_time16,0.0929832396455681,0.9070167603544319,19
174,mean_speed_on_paper10,0.09328563879353213,0.9067143612064679,19
248,paper_time14,0.09429541903905259,0.9057045809609474,19
266,paper_time15,0.09641505931753702,0.903584940682463,19
206,mean_gmrt12,0.09745357404634225,0.9025464259536577,19
320,paper_time18,0.09783125739248089,0.9021687426075191,19
398,gmrt_in_air23,0.09785577851447247,0.9021442214855275,19
212,paper_time12,0.09865802127720924,0.9013419787227908,19
