index,feature,mutual_info_raw,relevance_score,n_neighbors
268,pressure_var15,0.0,1.0,7
272,gmrt_in_air16,0.0,1.0,7
202,max_x_extension12,0.0,1.0,7
34,pressure_var2,0.0,1.0,7
185,max_y_extension11,0.0,1.0,7
311,max_y_extension18,0.0,1.0,7
79,mean_acc_on_paper5,0.0,1.0,7
40,max_x_extension3,0.0,1.0,7
173,mean_speed_in_air10,0.0,1.0,7
172,mean_jerk_on_paper10,0.0,1.0,7
169,mean_acc_on_paper10,0.0,1.0,7
47,mean_speed_in_air3,0.0,1.0,7
148,max_x_extension9,0.0,1.0,7
142,pressure_var8,0.0,1.0,7
132,mean_acc_in_air8,0.0,1.0,7
204,mean_acc_in_air12,0.0,1.0,7
57,gmrt_on_paper4,0.0,1.0,7
115,mean_acc_on_paper7,0.0,1.0,7
62,mean_gmrt4,0.0,1.0,7
112,max_x_extension7,0.0,1.0,7
101,mean_speed_in_air6,0.0,1.0,7
99,mean_jerk_in_air6,0.0,1.0,7
97,mean_acc_on_paper6,0.0,1.0,7
96,mean_acc_in_air6,0.0,1.0,7
95,max_y_extension6,0.0,1.0,7
94,max_x_extension6,0.0,1.0,7
74,gmrt_in_air5,0.0,1.0,7
83,mean_speed_in_air5,0.0,1.0,7
203,max_y_extension12,0.0,1.0,7
39,gmrt_on_paper3,0.0,1.0,7
205,mean_acc_on_paper12,0.0,1.0,7
295,mean_acc_on_paper17,0.0,1.0,7
275,max_y_extension16,0.0,1.0,7
257,max_y_extension15,0.0,1.0,7
254,gmrt_in_air15,0.0,1.0,7
278,mean_gmrt16,0.0,1.0,7
7,mean_acc_on_paper1,0.0,1.0,7
281,mean_speed_in_air16,0.0,1.0,7
9,mean_jerk_in_air1,0.0,1.0,7
292,max_x_extension17,0.0,1.0,7
13,num_of_pendown1,0.0,1.0,7
16,pressure_var1,0.0,1.0,7
218,gmrt_in_air13,0.0,1.0,7
217,disp_index13,0.0,1.0,7
80,mean_gmrt5,0.0,1.0,7
214,pressure_var12,0.0,1.0,7
209,mean_speed_in_air12,0.0,1.0,7
26,mean_gmrt2,0.0,1.0,7
298,mean_jerk_on_paper17,0.0,1.0,7
208,mean_jerk_on_paper12,0.0003469631654406946,0.9996530368345593,7
178,pressure_var10,0.0006554325846668263,0.9993445674153332,7
28,mean_jerk_on_paper2,0.002344301819807715,0.9976556981801923,7
199,disp_index12,0.0025399621431603236,0.9974600378568397,7
56,gmrt_in_air4,0.002795624666624974,0.997204375333375,7
92,gmrt_in_air6,0.0030048412817462733,0.9969951587182537,7
243,mean_jerk_in_air14,0.0036739037717219425,0.9963260962282781,7
21,gmrt_on_paper2,0.00410837827267585,0.9958916217273242,7
259,mean_acc_on_paper15,0.004333647559278564,0.9956663524407214,7
171,mean_jerk_in_air10,0.006033027092255949,0.993966972907744,7
211,num_of_pendown12,0.006132615674658837,0.9938673843253412,7
366,mean_acc_in_air21,0.0065612894277484735,0.9934387105722515,7
49,num_of_pendown3,0.006612125940525182,0.9933878740594748,7
24,mean_acc_in_air2,0.007351829863667447,0.9926481701363326,7
373,num_of_pendown21,0.00760961450766473,0.9923903854923353,7
136,mean_jerk_on_paper8,0.008235560860796909,0.9917644391392031,7
153,mean_jerk_in_air9,0.00847500225453146,0.9915249977454685,7
103,num_of_pendown6,0.008572753514178633,0.9914272464858214,7
222,mean_acc_in_air13,0.010017463633959167,0.9899825363660408,7
417,gmrt_on_paper24,0.01007511202474598,0.989924887975254,7
224,mean_gmrt13,0.010125562524986087,0.9898744374750139,7
113,max_y_extension7,0.010254839082209255,0.9897451609177907,7
65,mean_speed_in_air4,0.010928114983148163,0.9890718850168518,7
227,mean_speed_in_air13,0.011196303740310665,0.9888036962596893,7
37,disp_index3,0.013076097378440288,0.9869239026215597,7
64,mean_jerk_on_paper4,0.013432006565723409,0.9865679934342766,7
195,pressure_mean11,0.013978490078758288,0.9860215099212417,7
46,mean_jerk_on_paper3,0.014554939664647826,0.9854450603353522,7
51,pressure_mean3,0.014636180416419009,0.985363819583581,7
0,air_time1,0.014932785231267065,0.9850672147687329,7
318,mean_speed_on_paper18,0.014951683678933403,0.9850483163210666,7
66,mean_speed_on_paper4,0.016321995534590794,0.9836780044654092,7
229,num_of_pendown13,0.016500245134477343,0.9834997548655227,7
317,mean_speed_in_air18,0.016508764891895122,0.9834912351081049,7
130,max_x_extension8,0.016575125547281022,0.983424874452719,7
164,gmrt_in_air10,0.016830001744956302,0.9831699982550437,7
4,max_x_extension1,0.01696992094587957,0.9830300790541204,7
182,gmrt_in_air11,0.0180339086906689,0.9819660913093311,7
232,pressure_var13,0.018228194399347863,0.9817718056006521,7
351,mean_jerk_in_air20,0.01849173515745095,0.981508264842549,7
240,mean_acc_in_air14,0.019168258283656314,0.9808317417163437,7
149,max_y_extension9,0.01960202698369473,0.9803979730163053,7
301,num_of_pendown17,0.020348353111417694,0.9796516468885823,7
439,mean_acc_on_paper25,0.02047314628771746,0.9795268537122825,7
181,disp_index11,0.02083896117127715,0.9791610388287229,7
44,mean_gmrt3,0.02107795622247277,0.9789220437775272,7
304,pressure_var17,0.0218021090383127,0.9781978909616873,7
128,gmrt_in_air8,0.02189352012789003,0.97810647987211,7
207,mean_jerk_in_air12,0.022540299267870267,0.9774597007321297,7
430,pressure_var24,0.022998362427549157,0.9770016375724508,7
228,mean_speed_on_paper13,0.023152386623838783,0.9768476133761612,7
78,mean_acc_in_air5,0.023487772926966688,0.9765122270730333,7
98,mean_gmrt6,0.023811190421677342,0.9761888095783227,7
189,mean_jerk_in_air11,0.023951109686439764,0.9760488903135602,7
315,mean_jerk_in_air18,0.02429226652928529,0.9757077334707147,7
279,mean_jerk_in_air16,0.024400060270042268,0.9755999397299577,7
352,mean_jerk_on_paper20,0.02440570578749579,0.9755942942125042,7
84,mean_speed_on_paper5,0.024581947197754417,0.9754180528022456,7
213,pressure_mean12,0.025633505641277754,0.9743664943587222,7
409,num_of_pendown23,0.026417936136457154,0.9735820638635428,7
190,mean_jerk_on_paper11,0.026468636279154634,0.9735313637208454,7
369,mean_jerk_in_air21,0.026582453867984412,0.9734175461320156,7
154,mean_jerk_on_paper9,0.026854318886945006,0.973145681113055,7
231,pressure_mean13,0.027881891356661637,0.9721181086433384,7
284,paper_time16,0.02812572715372097,0.971874272846279,7
100,mean_jerk_on_paper6,0.028136317555785162,0.9718636824442148,7
5,max_y_extension1,0.0283422664616082,0.9716577335383918,7
2,gmrt_in_air1,0.02846739256062225,0.9715326074393777,7
276,mean_acc_in_air16,0.028518774048747364,0.9714812259512526,7
293,max_y_extension17,0.02863907348382888,0.9713609265161711,7
155,mean_speed_in_air9,0.028704786844408137,0.9712952131555919,7
445,num_of_pendown25,0.02872751591437961,0.9712724840856204,7
126,air_time8,0.02884181980763234,0.9711581801923677,7
280,mean_jerk_on_paper16,0.02894581517534478,0.9710541848246552,7
426,mean_speed_on_paper24,0.029161983619045095,0.9708380163809549,7
187,mean_acc_on_paper11,0.030450551829337424,0.9695494481706626,7
383,max_y_extension22,0.030615477738965335,0.9693845222610347,7
346,max_x_extension20,0.03109061235458066,0.9689093876454193,7
27,mean_jerk_in_air2,0.03208236846945978,0.9679176315305402,7
433,disp_index25,0.0324006954713969,0.9675993045286031,7
11,mean_speed_in_air1,0.0324057115224079,0.9675942884775921,7
134,mean_gmrt8,0.03265672015602572,0.9673432798439743,7
263,mean_speed_in_air15,0.03290297281724275,0.9670970271827573,7
403,mean_acc_on_paper23,0.033001278608746354,0.9669987213912536,7
193,num_of_pendown11,0.03351491315902333,0.9664850868409767,7
239,max_y_extension14,0.03371371615192853,0.9662862838480715,7
401,max_y_extension23,0.0338262814532424,0.9661737185467576,7
29,mean_speed_in_air2,0.03404838156058698,0.965951618439413,7
244,mean_jerk_on_paper14,0.03405390852516055,0.9659460914748395,7
167,max_y_extension10,0.03410354718647346,0.9658964528135265,7
58,max_x_extension4,0.034339862147163114,0.9656601378528369,7
442,mean_jerk_on_paper25,0.03519656741926225,0.9648034325807378,7
419,max_y_extension24,0.03539177854103803,0.964608221458962,7
17,total_time1,0.036045700753356336,0.9639542992466437,7
131,max_y_extension8,0.036861036348757814,0.9631389636512422,7
221,max_y_extension13,0.03742119679379963,0.9625788032062004,7
139,num_of_pendown8,0.03742896572780019,0.9625710342721998,7
411,pressure_mean23,0.03776062745593611,0.9622393725440639,7
85,num_of_pendown5,0.038322029493369936,0.9616779705066301,7
42,mean_acc_in_air3,0.038451093887739596,0.9615489061122604,7
59,max_y_extension4,0.03900864928155334,0.9609913507184467,7
166,max_x_extension10,0.039070379835122626,0.9609296201648774,7
312,mean_acc_in_air18,0.0391289753146018,0.9608710246853982,7
1,disp_index1,0.039214296616620015,0.96078570338338,7
353,mean_speed_in_air20,0.039317760956202985,0.960682239043797,7
247,num_of_pendown14,0.039364720816798204,0.9606352791832018,7
63,mean_jerk_in_air4,0.03979699927987612,0.9602030007201239,7
184,max_x_extension11,0.03985752031242429,0.9601424796875757,7
48,mean_speed_on_paper3,0.04045462157355928,0.9595453784264407,7
73,disp_index5,0.04057036443861506,0.9594296355613849,7
265,num_of_pendown15,0.04110125130658426,0.9588987486934157,7
267,pressure_mean15,0.04129677085144623,0.9587032291485538,7
322,pressure_var18,0.04130753260922271,0.9586924673907773,7
348,mean_acc_in_air20,0.04158133141121079,0.9584186685887892,7
308,gmrt_in_air18,0.04187943744154721,0.9581205625584528,7
384,mean_acc_in_air22,0.04212919323505382,0.9578708067649462,7
133,mean_acc_on_paper8,0.04246972654802317,0.9575302734519768,7
75,gmrt_on_paper5,0.04331227009414462,0.9566877299058554,7
237,gmrt_on_paper14,0.043388976015680925,0.9566110239843191,7
220,max_x_extension13,0.043689284279758045,0.956310715720242,7
8,mean_gmrt1,0.044134539383502425,0.9558654606164976,7
118,mean_jerk_on_paper7,0.0443231222127598,0.9556768777872402,7
127,disp_index8,0.045083192254881777,0.9549168077451182,7
226,mean_jerk_on_paper13,0.04524074451483573,0.9547592554851643,7
277,mean_acc_on_paper16,0.04525612560303882,0.9547438743969612,7
223,mean_acc_on_paper13,0.046083387070071424,0.9539166129299286,7
253,disp_index15,0.04655488893227311,0.9534451110677269,7
418,max_x_extension24,0.04662877054425563,0.9533712294557444,7
309,gmrt_on_paper18,0.04683180691876698,0.953168193081233,7
256,max_x_extension15,0.046933739322346124,0.9530662606776539,7
93,gmrt_on_paper6,0.04699362170567856,0.9530063782943214,7
255,gmrt_on_paper15,0.047014020955670865,0.9529859790443291,7
135,mean_jerk_in_air8,0.04766580416196975,0.9523341958380303,7
420,mean_acc_in_air24,0.047666085973037564,0.9523339140269624,7
163,disp_index10,0.04774996846013124,0.9522500315398688,7
82,mean_jerk_on_paper5,0.047794242085695604,0.9522057579143044,7
310,max_x_extension18,0.048245530831738215,0.9517544691682618,7
10,mean_jerk_on_paper1,0.04854588864167919,0.9514541113583208,7
6,mean_acc_in_air1,0.0493387594421697,0.9506612405578303,7
282,mean_speed_on_paper16,0.04979075050016002,0.95020924949984,7
385,mean_acc_on_paper22,0.04998377862434067,0.9500162213756593,7
25,mean_acc_on_paper2,0.050098371614697434,0.9499016283853026,7
274,max_x_extension16,0.05016866066122283,0.9498313393387772,7
321,pressure_mean18,0.050282153095904114,0.9497178469040959,7
371,mean_speed_in_air21,0.05036184962222423,0.9496381503777758,7
177,pressure_mean10,0.05077029808265898,0.949229701917341,7
168,mean_acc_in_air10,0.05105627663446999,0.94894372336553,7
