index,feature,mutual_info_raw,relevance_score,n_neighbors
643,missingindicator_TNMIV,0.0,1.0,3
642,missingindicator_Linea1Pembro,0.0,1.0,3
625,missingindicator_GOT_initial,0.0,1.0,3
622,missingindicator_Sodio_initial,0.0,1.0,3
621,missingindicator_Creatinina_initial,0.0,1.0,3
620,missingindicator_Urea_initial,0.0,1.0,3
619,missingindicator_Glucosa_initial,0.0,1.0,3
617,missingindicator_TP (s)_initial,0.0,1.0,3
616,missingindicator_Neutrófilos_initial,0.0,1.0,3
615,missingindicator_Linfocitos_initial,0.0,1.0,3
614,missingindicator_Leucocitos_initial,0.0,1.0,3
611,missingindicator_LDH_rms,0.0,1.0,3
33,Leucocitos_skewness,0.0,1.0,3
31,Leucocitos_std,0.0,1.0,3
29,Leucocitos_mean,0.0,1.0,3
24,Plaquetas_iqr,0.0,1.0,3
23,Plaquetas_quartile3,0.0,1.0,3
20,Plaquetas_skewness,0.0,1.0,3
19,Plaquetas_sum,0.0,1.0,3
49,Linfocitos_quartile3,0.0,1.0,3
48,Linfocitos_quartile1,0.0,1.0,3
45,Linfocitos_sum,0.0,1.0,3
43,Linfocitos_median,0.0,1.0,3
42,Linfocitos_mean,0.0,1.0,3
41,Linfocitos_max,0.0,1.0,3
40,Linfocitos_min,0.0,1.0,3
38,Leucocitos_rms,0.0,1.0,3
37,Leucocitos_iqr,0.0,1.0,3
609,missingindicator_LDH_quartile3,0.0,1.0,3
607,missingindicator_LDH_kurtosis,0.0,1.0,3
605,missingindicator_LDH_sum,0.0,1.0,3
602,missingindicator_LDH_mean,0.0,1.0,3
600,missingindicator_LDH_min,0.0,1.0,3
599,missingindicator_Albumina_rms,0.0,1.0,3
596,missingindicator_Albumina_quartile1,0.0,1.0,3
594,missingindicator_Albumina_skewness,0.0,1.0,3
63,Neutrófilos_iqr,0.0,1.0,3
62,Neutrófilos_quartile3,0.0,1.0,3
61,Neutrófilos_quartile1,0.0,1.0,3
60,Neutrófilos_kurtosis,0.0,1.0,3
52,Neutrófilos_homogeneous,0.0,1.0,3
593,missingindicator_Albumina_sum,0.0,1.0,3
592,missingindicator_Albumina_std,0.0,1.0,3
591,missingindicator_Albumina_median,0.0,1.0,3
586,missingindicator_Bilirrubina total_iqr,0.0,1.0,3
585,missingindicator_Bilirrubina total_quartile3,0.0,1.0,3
584,missingindicator_Bilirrubina total_quartile1,0.0,1.0,3
583,missingindicator_Bilirrubina total_kurtosis,0.0,1.0,3
582,missingindicator_Bilirrubina total_skewness,0.0,1.0,3
580,missingindicator_Bilirrubina total_std,0.0,1.0,3
579,missingindicator_Bilirrubina total_median,0.0,1.0,3
578,missingindicator_Bilirrubina total_mean,0.0,1.0,3
77,TP (s)_rms,0.0,1.0,3
73,TP (s)_kurtosis,0.0,1.0,3
72,TP (s)_skewness,0.0,1.0,3
70,TP (s)_std,0.0,1.0,3
69,TP (s)_median,0.0,1.0,3
574,missingindicator_Fosfatasa Alcalina_iqr,0.0,1.0,3
573,missingindicator_Fosfatasa Alcalina_quartile3,0.0,1.0,3
572,missingindicator_Fosfatasa Alcalina_quartile1,0.0,1.0,3
570,missingindicator_Fosfatasa Alcalina_skewness,0.0,1.0,3
569,missingindicator_Fosfatasa Alcalina_sum,0.0,1.0,3
567,missingindicator_Fosfatasa Alcalina_median,0.0,1.0,3
566,missingindicator_Fosfatasa Alcalina_mean,0.0,1.0,3
564,missingindicator_Fosfatasa Alcalina_min,0.0,1.0,3
559,missingindicator_GGT_kurtosis,0.0,1.0,3
558,missingindicator_GGT_skewness,0.0,1.0,3
557,missingindicator_GGT_sum,0.0,1.0,3
556,missingindicator_GGT_std,0.0,1.0,3
555,missingindicator_GGT_median,0.0,1.0,3
554,missingindicator_GGT_mean,0.0,1.0,3
553,missingindicator_GGT_max,0.0,1.0,3
552,missingindicator_GGT_min,0.0,1.0,3
549,missingindicator_GPT_quartile3,0.0,1.0,3
548,missingindicator_GPT_quartile1,0.0,1.0,3
88,TTPa (s)_quartile3,0.0,1.0,3
87,TTPa (s)_quartile1,0.0,1.0,3
82,TTPa (s)_median,0.0,1.0,3
545,missingindicator_GPT_sum,0.0,1.0,3
544,missingindicator_GPT_std,0.0,1.0,3
543,missingindicator_GPT_median,0.0,1.0,3
542,missingindicator_GPT_mean,0.0,1.0,3
541,missingindicator_GPT_max,0.0,1.0,3
540,missingindicator_GPT_min,0.0,1.0,3
539,missingindicator_GOT_rms,0.0,1.0,3
534,missingindicator_GOT_skewness,0.0,1.0,3
533,missingindicator_GOT_sum,0.0,1.0,3
530,missingindicator_GOT_mean,0.0,1.0,3
113,Urea_quartile1,0.0,1.0,3
108,Urea_median,0.0,1.0,3
106,Urea_max,0.0,1.0,3
102,Glucosa_iqr,0.0,1.0,3
101,Glucosa_quartile3,0.0,1.0,3
98,Glucosa_skewness,0.0,1.0,3
529,missingindicator_GOT_max,0.0,1.0,3
528,missingindicator_GOT_min,0.0,1.0,3
527,missingindicator_Calcio_rms,0.0,1.0,3
525,missingindicator_Calcio_quartile3,0.0,1.0,3
515,missingindicator_Potasio_rms,0.0,1.0,3
514,missingindicator_Potasio_iqr,0.0,1.0,3
129,Creatinina_rms,0.0,1.0,3
128,Creatinina_iqr,0.0,1.0,3
127,Creatinina_quartile3,0.0,1.0,3
126,Creatinina_quartile1,0.0,1.0,3
124,Creatinina_skewness,0.0,1.0,3
122,Creatinina_std,0.0,1.0,3
121,Creatinina_median,0.0,1.0,3
119,Creatinina_max,0.0,1.0,3
118,Creatinina_min,0.0,1.0,3
114,Urea_quartile3,0.0,1.0,3
511,missingindicator_Potasio_kurtosis,0.0,1.0,3
510,missingindicator_Potasio_skewness,0.0,1.0,3
507,missingindicator_Potasio_median,0.0,1.0,3
506,missingindicator_Potasio_mean,0.0,1.0,3
505,missingindicator_Potasio_max,0.0,1.0,3
499,missingindicator_Sodio_kurtosis,0.0,1.0,3
145,Potasio_max,0.0,1.0,3
143,Potasio_homogeneous,0.0,1.0,3
141,Sodio_iqr,0.0,1.0,3
140,Sodio_quartile3,0.0,1.0,3
138,Sodio_kurtosis,0.0,1.0,3
133,Sodio_mean,0.0,1.0,3
130,Sodio_homogeneous,0.0,1.0,3
497,missingindicator_Sodio_sum,0.0,1.0,3
496,missingindicator_Sodio_std,0.0,1.0,3
494,missingindicator_Sodio_mean,0.0,1.0,3
493,missingindicator_Sodio_max,0.0,1.0,3
490,missingindicator_Creatinina_iqr,0.0,1.0,3
485,missingindicator_Creatinina_sum,0.0,1.0,3
483,missingindicator_Creatinina_median,0.0,1.0,3
482,missingindicator_Creatinina_mean,0.0,1.0,3
160,Calcio_median,0.0,1.0,3
157,Calcio_min,0.0,1.0,3
155,Potasio_rms,0.0,1.0,3
147,Potasio_median,0.0,1.0,3
481,missingindicator_Creatinina_max,0.0,1.0,3
474,missingindicator_Urea_skewness,0.0,1.0,3
473,missingindicator_Urea_sum,0.0,1.0,3
472,missingindicator_Urea_std,0.0,1.0,3
471,missingindicator_Urea_median,0.0,1.0,3
470,missingindicator_Urea_mean,0.0,1.0,3
469,missingindicator_Urea_max,0.0,1.0,3
465,missingindicator_Glucosa_quartile3,0.0,1.0,3
464,missingindicator_Glucosa_quartile1,0.0,1.0,3
461,missingindicator_Glucosa_sum,0.0,1.0,3
459,missingindicator_Glucosa_median,0.0,1.0,3
457,missingindicator_Glucosa_max,0.0,1.0,3
456,missingindicator_Glucosa_min,0.0,1.0,3
455,missingindicator_TTPa (s)_rms,0.0,1.0,3
451,missingindicator_TTPa (s)_kurtosis,0.0,1.0,3
175,GOT_sum,0.0,1.0,3
171,GOT_max,0.0,1.0,3
170,GOT_min,0.0,1.0,3
169,GOT_homogeneous,0.0,1.0,3
167,Calcio_iqr,0.0,1.0,3
166,Calcio_quartile3,0.0,1.0,3
165,Calcio_quartile1,0.0,1.0,3
441,missingindicator_TP (s)_quartile3,0.0,1.0,3
439,missingindicator_TP (s)_kurtosis,0.0,1.0,3
434,missingindicator_TP (s)_mean,0.0,1.0,3
430,missingindicator_Neutrófilos_iqr,0.0,1.0,3
