index,feature,mutual_info_raw,relevance_score,n_neighbors
0,Age,0.0,1.0,19
12,Intracellular Water (ICW),0.0,1.0,19
34,Glomerular Filtration Rate (GFR),0.0,1.0,19
31,Alanin Aminotransferaz (ALT),0.0,1.0,19
29,Triglyceride,0.0,1.0,19
27,Low Density Lipoprotein (LDL),0.0,1.0,19
26,Total Cholesterol (TC),0.0,1.0,19
20,Obesity (%),0.0,1.0,19
1,Gender,0.0,1.0,19
16,Body Protein Content (Protein) (%),0.0,1.0,19
19,Muscle Mass (MM),0.0,1.0,19
2,Comorbidity,0.0,1.0,19
3,Coronary Artery Disease (CAD),0.0,1.0,19
4,Hypothyroidism,0.0,1.0,19
9,Body Mass Index (BMI),0.0,1.0,19
10,Total Body Water (TBW),0.0,1.0,19
8,Weight,0.0,1.0,19
7,Height,0.0,1.0,19
22,Visceral Fat Area (VFA),0.004834124326964062,0.9951658756730359,19
32,Alkaline Phosphatase (ALP),0.005585167794313062,0.9944148322056869,19
25,Glucose,0.006741314641946605,0.9932586853580534,19
33,Creatinine,0.007088082130236373,0.9929119178697636,19
18,Bone Mass (BM),0.007782576656007567,0.9922174233439924,19
14,Total Body Fat Ratio (TBFR) (%),0.008839742059348232,0.9911602579406518,19
36,Hemoglobin (HGB),0.008978211420056947,0.991021788579943,19
15,Lean Mass (LM) (%),0.01066301228281219,0.9893369877171878,19
6,Diabetes Mellitus (DM),0.014203135884062856,0.9857968641159371,19
23,Visceral Muscle Area (VMA) (Kg),0.014724352188342671,0.9852756478116573,19
5,Hyperlipidemia,0.015154182739280042,0.98484581726072,19
21,Total Fat Content (TFC),0.01682442265903905,0.983175577340961,19
13,Extracellular Fluid/Total Body Water (ECF/TBW),0.022054719701862346,0.9779452802981377,19
28,High Density Lipoprotein (HDL),0.029133415514201566,0.9708665844857984,19
30,Aspartat Aminotransferaz (AST),0.03290843828547585,0.9670915617145242,19
11,Extracellular Water (ECW),0.041674326553251984,0.958325673446748,19
24,Hepatic Fat Accumulation (HFA),0.04224094457338312,0.9577590554266169,19
17,Visceral Fat Rating (VFR),0.04626196052935816,0.9537380394706418,19
37,Vitamin D,0.0733860225747427,0.9266139774252573,19
35,C-Reactive Protein (CRP),0.1478963272551277,0.8521036727448723,19
