index,feature,mutual_info_raw,relevance_score,n_neighbors
4,Hemoglobina_median,0.0,1.0,3
9,Hemoglobina_quartile1,0.0,1.0,3
0,Hemoglobina_homogeneous,0.0,1.0,3
642,missingindicator_Linea1Pembro,0.0,1.0,3
310,Linea1Cisplatino,0.0,1.0,3
312,Linea1Pacli,0.0,1.0,3
314,Linea1Pemetrexed,0.0,1.0,3
317,NºLineasVO,0.0,1.0,3
318,NºLineas,0.0,1.0,3
319,TNMIV,0.0,1.0,3
320,TNMCOD,0.0,1.0,3
322,DosisRT,0.0,1.0,3
324,Adenocarcinoma,0.0,1.0,3
326,HistOtros,0.0,1.0,3
327,Epidermoide,0.0,1.0,3
328,Adenoescamoso,0.0,1.0,3
329,DM,0.0,1.0,3
609,missingindicator_LDH_quartile3,0.0,1.0,3
610,missingindicator_LDH_iqr,0.0,1.0,3
35,Leucocitos_quartile1,0.0,1.0,3
39,Linfocitos_homogeneous,0.0,1.0,3
41,Linfocitos_max,0.0,1.0,3
42,Linfocitos_mean,0.0,1.0,3
43,Linfocitos_median,0.0,1.0,3
44,Linfocitos_std,0.0,1.0,3
46,Linfocitos_skewness,0.0,1.0,3
48,Linfocitos_quartile1,0.0,1.0,3
50,Linfocitos_iqr,0.0,1.0,3
20,Plaquetas_skewness,0.0,1.0,3
21,Plaquetas_kurtosis,0.0,1.0,3
23,Plaquetas_quartile3,0.0,1.0,3
582,missingindicator_Bilirrubina total_skewness,0.0,1.0,3
584,missingindicator_Bilirrubina total_quartile1,0.0,1.0,3
591,missingindicator_Albumina_median,0.0,1.0,3
51,Linfocitos_rms,0.0,1.0,3
52,Neutrófilos_homogeneous,0.0,1.0,3
57,Neutrófilos_std,0.0,1.0,3
59,Neutrófilos_skewness,0.0,1.0,3
61,Neutrófilos_quartile1,0.0,1.0,3
64,Neutrófilos_rms,0.0,1.0,3
65,TP (s)_homogeneous,0.0,1.0,3
602,missingindicator_LDH_mean,0.0,1.0,3
603,missingindicator_LDH_median,0.0,1.0,3
605,missingindicator_LDH_sum,0.0,1.0,3
606,missingindicator_LDH_skewness,0.0,1.0,3
67,TP (s)_max,0.0,1.0,3
68,TP (s)_mean,0.0,1.0,3
69,TP (s)_median,0.0,1.0,3
70,TP (s)_std,0.0,1.0,3
73,TP (s)_kurtosis,0.0,1.0,3
74,TP (s)_quartile1,0.0,1.0,3
75,TP (s)_quartile3,0.0,1.0,3
76,TP (s)_iqr,0.0,1.0,3
77,TP (s)_rms,0.0,1.0,3
78,TTPa (s)_homogeneous,0.0,1.0,3
80,TTPa (s)_max,0.0,1.0,3
81,TTPa (s)_mean,0.0,1.0,3
82,TTPa (s)_median,0.0,1.0,3
579,missingindicator_Bilirrubina total_median,0.0,1.0,3
569,missingindicator_Fosfatasa Alcalina_sum,0.0,1.0,3
574,missingindicator_Fosfatasa Alcalina_iqr,0.0,1.0,3
575,missingindicator_Fosfatasa Alcalina_rms,0.0,1.0,3
576,missingindicator_Bilirrubina total_min,0.0,1.0,3
83,TTPa (s)_std,0.0,1.0,3
84,TTPa (s)_sum,0.0,1.0,3
86,TTPa (s)_kurtosis,0.0,1.0,3
87,TTPa (s)_quartile1,0.0,1.0,3
88,TTPa (s)_quartile3,0.0,1.0,3
89,TTPa (s)_iqr,0.0,1.0,3
90,TTPa (s)_rms,0.0,1.0,3
91,Glucosa_homogeneous,0.0,1.0,3
93,Glucosa_max,0.0,1.0,3
95,Glucosa_median,0.0,1.0,3
552,missingindicator_GGT_min,0.0,1.0,3
553,missingindicator_GGT_max,0.0,1.0,3
556,missingindicator_GGT_std,0.0,1.0,3
558,missingindicator_GGT_skewness,0.0,1.0,3
559,missingindicator_GGT_kurtosis,0.0,1.0,3
560,missingindicator_GGT_quartile1,0.0,1.0,3
561,missingindicator_GGT_quartile3,0.0,1.0,3
104,Urea_homogeneous,0.0,1.0,3
107,Urea_mean,0.0,1.0,3
108,Urea_median,0.0,1.0,3
