feature,mean_pos,median_pos,std_pos
mean_acc_in_air8,14.5,6.0,14.948244044034068
mean_speed_in_air3,15.9,14.5,14.152384958020328
max_x_extension8,17.3,9.0,18.083417818543044
mean_acc_on_paper4,20.0,19.5,3.872983346207417
max_x_extension12,21.3,15.0,13.842326394071193
mean_acc_in_air12,22.7,15.0,13.304510513355988
max_y_extension12,24.8,19.0,17.61135997020105
mean_speed_on_paper24,25.1,21.0,19.382724266727834
mean_acc_in_air11,26.0,27.0,14.730919862656235
mean_speed_in_air16,26.3,27.0,17.14671980292441
mean_acc_on_paper6,28.5,23.5,22.83527972239447
mean_jerk_on_paper11,28.8,32.5,20.018990983563583
mean_jerk_on_paper10,31.2,31.0,16.642115250171777
mean_jerk_on_paper14,31.5,27.0,22.74313083108832
pressure_var15,32.2,22.0,22.964320151051716
disp_index12,32.4,20.5,27.8754372163021
mean_jerk_in_air10,35.5,36.0,14.527560015363902
pressure_var8,35.5,37.0,20.8290662296705
mean_acc_on_paper17,35.7,43.0,16.444147895224003
max_y_extension15,35.9,41.0,18.05242365999646
mean_jerk_on_paper6,36.0,29.5,26.76191323504357
gmrt_in_air6,37.0,24.5,35.005713819318125
max_x_extension9,37.0,37.5,19.748417658131498
max_y_extension16,38.8,30.0,36.942658269269145
max_y_extension6,39.0,26.0,29.03446228191595
max_y_extension1,39.6,36.5,9.614572273377531
gmrt_on_paper24,42.7,35.5,31.0291798151353
mean_gmrt2,43.0,49.5,16.67932852365466
mean_jerk_on_paper22,43.1,34.0,31.548217065311313
pressure_var1,43.4,42.0,8.151073548925934
num_of_pendown25,43.7,45.5,22.62321816187962
mean_gmrt5,44.0,34.0,33.075670817082454
mean_acc_on_paper16,44.2,33.0,34.21052469635624
mean_acc_on_paper5,44.2,53.5,26.783577057592588
mean_acc_on_paper1,44.3,44.5,8.234682750416072
disp_index24,44.4,40.0,23.1179583873663
mean_acc_in_air1,44.9,42.0,10.90366910723175
pressure_var17,45.1,34.5,38.666393677197256
mean_speed_in_air5,45.3,49.0,28.379746299077446
num_of_pendown1,45.8,41.5,11.762652762026091
mean_acc_on_paper25,45.8,45.0,32.297987553406486
mean_speed_in_air10,46.5,54.5,21.611339616044166
max_x_extension10,46.7,42.5,27.254540906058207
pressure_var13,47.8,47.0,25.674111474401602
mean_jerk_in_air1,50.8,49.5,10.017983829094554
pressure_var7,50.8,46.5,34.96226537282732
pressure_var10,50.9,36.5,42.34725492874361
max_x_extension20,51.2,51.5,26.599999999999998
mean_acc_on_paper10,55.9,59.0,28.10142345149085
mean_acc_in_air4,56.7,33.0,48.72586582093744
max_x_extension17,56.8,52.0,14.323407415835103
mean_gmrt16,58.4,58.5,31.919273174682406
gmrt_in_air5,60.5,49.5,38.50519445477454
mean_speed_in_air13,60.7,71.0,38.95137994988111
gmrt_in_air16,62.3,66.0,35.880496094675166
mean_acc_in_air23,64.5,60.5,46.92174336062121
mean_acc_on_paper22,64.6,61.0,49.05751726290274
mean_jerk_in_air14,65.6,64.0,41.36955402225168
max_x_extension11,65.7,71.5,27.000185184550123
pressure_var18,66.2,59.5,34.63755187654
mean_jerk_on_paper1,66.9,64.5,18.87564568432031
mean_acc_in_air24,67.2,75.5,25.771301868551383
mean_jerk_in_air9,69.6,76.5,33.41017808991745
gmrt_in_air15,70.3,74.5,26.55202440493003
max_x_extension6,71.2,71.5,34.95082259403918
num_of_pendown11,71.7,59.0,43.280596114194175
mean_jerk_in_air11,74.1,82.0,33.50059700960567
mean_acc_on_paper7,74.2,75.0,26.731255114565798
mean_jerk_in_air24,75.5,82.5,36.61761871012368
gmrt_in_air13,75.8,68.5,39.45579805301117
gmrt_in_air4,76.7,80.5,43.89088743691565
mean_jerk_on_paper20,78.7,96.5,37.833979436480114
mean_jerk_in_air23,79.6,69.0,62.26266939346562
mean_acc_on_paper13,81.4,82.5,45.537237509537185
max_y_extension18,81.8,77.5,46.63003324039132
max_x_extension15,82.1,74.0,31.402069995463677
mean_acc_in_air14,82.2,79.5,31.435012327021603
mean_jerk_in_air12,83.7,97.5,47.906262638615424
mean_speed_in_air6,84.6,88.5,26.833561075638098
max_x_extension7,84.8,94.5,57.835629157120785
pressure_var16,84.9,87.5,41.3
mean_acc_in_air10,86.2,85.5,28.452767879417287
pressure_var6,87.4,81.5,43.17221328586247
mean_jerk_on_paper18,87.9,82.0,28.310598722033415
max_y_extension21,89.1,82.5,44.26612700474258
max_x_extension16,91.4,85.0,35.234074416677956
mean_jerk_in_air6,91.5,92.0,31.219385003551878
mean_speed_in_air12,91.8,97.0,44.52819331614522
mean_acc_in_air6,92.9,83.0,35.73639601302851
mean_jerk_in_air8,93.5,71.0,80.22748905456284
pressure_var2,96.1,98.5,45.127486081101395
mean_acc_on_paper18,96.4,99.0,52.067648304873536
max_y_extension11,96.8,87.0,40.006999387607166
mean_speed_in_air15,97.2,101.0,65.45502272553269
pressure_mean15,98.2,83.5,51.76060277856122
num_of_pendown17,101.9,105.5,46.40355589822832
mean_acc_on_paper12,102.6,115.5,50.094311054250454
gmrt_in_air21,104.9,102.0,33.251917237957876
max_y_extension7,105.1,88.5,58.251952756967725
max_x_extension3,105.7,106.5,54.196033065160776
num_of_pendown13,106.8,109.0,47.7049263703446
mean_acc_in_air22,108.4,102.0,48.197925266550634
max_x_extension13,109.6,96.5,51.96960650226246
mean_speed_on_paper14,109.6,117.5,40.8465420813072
mean_gmrt4,110.1,90.0,41.79820570311602
mean_jerk_on_paper12,110.3,115.0,44.034191260882714
gmrt_on_paper4,111.1,116.5,51.16141123933155
mean_speed_in_air21,111.4,128.5,50.68964391273626
gmrt_in_air24,112.3,129.0,55.32097251495133
mean_speed_in_air18,114.2,114.0,40.12430684759551
mean_speed_in_air2,114.7,104.0,48.1789373066696
gmrt_on_paper3,114.7,124.5,42.381717756598775
pressure_var24,114.8,136.0,53.146589730668516
mean_speed_in_air24,114.8,100.0,44.95508869972341
max_x_extension18,114.9,106.5,38.59132026764568
pressure_mean3,115.3,106.0,31.645062806068182
mean_gmrt6,116.2,113.0,33.02362790488047
mean_gmrt18,116.9,108.5,41.61357951438448
mean_speed_in_air9,118.3,134.0,64.51519200932444
mean_acc_on_paper11,118.7,128.5,41.962006625041184
gmrt_in_air10,121.3,112.5,36.45284625375637
max_x_extension1,121.3,119.5,30.446838916380134
num_of_pendown6,121.4,106.5,72.58264255316142
pressure_var12,121.6,129.5,31.99749990233612
mean_speed_in_air1,122.1,121.5,43.11948515462586
mean_acc_in_air13,122.8,119.0,26.58119636133784
max_y_extension10,123.8,122.0,31.352192905760198
mean_acc_in_air9,125.4,118.0,35.74968531330031
pressure_mean13,125.6,134.0,23.871321706181245
max_y_extension23,126.0,111.5,41.0146315355874
mean_jerk_in_air20,128.2,132.5,32.85970176371052
mean_jerk_on_paper9,132.3,131.5,27.144244325455073
mean_jerk_in_air4,132.7,133.5,56.55448700147496
mean_acc_on_paper15,132.7,137.5,25.46389600984107
mean_jerk_on_paper13,133.2,117.0,72.07329602564323
disp_index13,133.2,135.0,28.864511081949754
max_x_extension21,135.5,128.5,40.1603037837116
max_y_extension13,135.9,130.0,32.47291178813505
gmrt_in_air11,136.6,134.0,31.607594024221456
mean_acc_in_air20,139.5,138.0,22.0238507078122
gmrt_in_air1,139.5,122.5,55.27069748067234
max_y_extension25,140.0,140.0,68.34617765464284
pressure_var23,140.1,138.0,32.754999618378875
pressure_mean16,140.6,136.0,33.02483913662563
mean_jerk_in_air16,140.8,136.0,31.054146261006757
