feature,mean_pos,median_pos,std_pos
VSA_EState10,24.8,26.5,15.848028268526026
VSA_EState1,33.7,28.5,31.333847513511646
fr_Ar_NH,37.1,33.5,29.507456684709375
fr_oxazole,40.5,43.0,25.064915718988566
fr_lactone,40.9,26.0,42.28108324061719
NumHeteroatoms,41.1,21.5,30.89158461458395
fr_ketone,41.8,27.5,33.07204257375102
NOCount,44.5,15.5,46.89829421204997
VSA_EState3,45.5,36.5,30.630866784993206
fr_guanido,46.6,34.5,31.52522799283139
Kappa3,46.6,53.5,21.721878371816743
Chi4n,48.3,45.5,8.614522621712709
fr_Nhpyrrole,49.0,42.5,26.929537686339884
SlogP_VSA9,49.3,35.0,36.11938537683054
NumRadicalElectrons,49.3,21.5,52.5338938210371
fr_quatN,49.8,44.5,24.0948127197536
Chi1n,50.2,47.0,10.703270528207721
fr_diazo,50.9,46.0,36.31101761173873
fr_C_O_noCOO,52.4,47.5,28.17161692200148
PEOE_VSA13,53.4,62.0,37.24298591681392
fr_Ar_N,53.8,45.0,22.872691140309662
fr_nitro_arom_nonortho,53.8,33.0,49.79518048968193
fr_urea,54.0,34.5,58.59180830116101
fr_phenol_noOrthoHbond,54.2,56.0,36.05218439983908
NumAliphaticHeterocycles,54.7,40.5,54.1
fr_sulfonamd,54.7,56.0,11.428473213863697
fr_piperzine,56.8,52.0,36.40549409086491
fr_C_S,57.5,49.0,46.43543905251678
SlogP_VSA12,58.0,72.0,35.519008995184535
fr_SH,58.0,52.0,30.196026228628163
fr_Al_OH_noTert,58.3,40.0,43.041956275243805
SlogP_VSA7,58.6,46.5,34.650252524332345
VSA_EState7,58.7,36.5,41.550090252609564
fr_allylic_oxid,59.3,49.0,27.386310448835562
fr_ether,59.9,54.0,41.38224256852207
fr_nitrile,60.0,37.0,52.25705693970911
fr_phos_ester,60.4,65.5,21.129126815843573
VSA_EState2,60.7,68.0,36.88915829888234
fr_pyridine,61.3,62.0,26.000192306981116
fr_N_O,61.4,53.0,44.52235393597243
Chi1v,61.4,56.0,18.661189672687005
PEOE_VSA3,61.9,30.0,58.01456713619433
fr_isothiocyan,62.6,54.5,51.7594435827898
fr_Al_COO,62.7,41.0,45.88256749572761
PEOE_VSA4,63.5,65.5,45.177981362606275
SMR_VSA8,64.2,70.5,34.277689537073535
fr_nitroso,64.3,63.0,40.939101113727446
fr_sulfide,65.2,58.0,28.05637182530913
fr_HOCCN,65.3,58.5,52.184384637552256
fr_azide,65.5,39.5,51.7846502353738
Kappa1,66.3,59.0,29.863188041466703
VSA_EState8,67.8,65.5,30.853849030550467
fr_thiazole,68.2,55.0,34.356367677622735
fr_epoxide,68.3,73.0,36.636184299132466
fr_Al_OH,68.3,45.0,60.407036014027376
NumHAcceptors,68.3,90.0,45.1199512411084
fr_Ar_OH,68.4,51.5,47.8376420823602
fr_aryl_methyl,68.4,70.5,40.30930413688631
fr_phos_acid,69.5,59.5,38.34383914007569
fr_isocyan,70.4,51.0,52.74125519932191
PEOE_VSA12,70.5,77.0,42.007737382534664
fr_ester,71.4,66.0,51.15896793329592
VSA_EState5,71.5,90.5,36.840874039577294
fr_hdrzone,71.6,64.0,50.6185736661949
PEOE_VSA14,71.9,59.0,54.95352581955047
