feature,mean_pos,median_pos,std_pos
Total Body Fat Ratio (TBFR) (%),4.1,5.0,2.9816103031751147
Age,6.4,0.0,8.089499366462675
Lean Mass (LM) (%),6.5,5.5,2.9068883707497264
Hemoglobin (HGB),6.8,2.5,6.675327707311454
Visceral Muscle Area (VMA) (Kg),7.2,6.0,5.758472019555188
Total Body Water (TBW),7.3,7.0,5.139066063011839
Visceral Fat Area (VFA),8.0,7.5,3.872983346207417
Low Density Lipoprotein (LDL),9.9,6.5,8.067837380611982
Creatinine,11.4,10.5,7.017121917139533
Comorbidity,12.4,12.0,7.525955088890711
Glomerular Filtration Rate (GFR),12.6,10.0,8.464041587799532
Visceral Fat Rating (VFR),14.2,16.0,7.318469785412795
Glucose,14.9,14.5,8.630758946929289
Diabetes Mellitus (DM),16.0,12.5,9.121403400793104
Coronary Artery Disease (CAD),16.8,16.5,7.4404300950953095
Hypothyroidism,16.9,19.5,9.7205966895042
Gender,17.0,19.5,7.886697661252142
Body Protein Content (Protein) (%),17.2,17.0,8.565045242145542
Muscle Mass (MM),17.3,18.0,5.292447448959696
Height,17.8,16.5,6.838128398911504
Hyperlipidemia,18.0,18.5,9.50789145920377
Alkaline Phosphatase (ALP),18.8,19.5,7.166589146867567
Bone Mass (BM),19.0,19.0,8.209750300709517
High Density Lipoprotein (HDL),19.0,20.0,8.12403840463596
Alanin Aminotransferaz (ALT),21.4,25.0,9.068627239003707
Obesity (%),22.1,23.5,6.10655385630881
Aspartat Aminotransferaz (AST),22.9,24.0,10.074224535913423
Weight,23.0,25.0,4.6475800154489
Total Fat Content (TFC),23.6,22.5,5.276362383309168
Body Mass Index (BMI),23.8,23.5,5.173006862551025
Hepatic Fat Accumulation (HFA),25.6,30.0,8.392854103342914
Total Cholesterol (TC),26.7,30.0,8.136952746575343
Triglyceride,28.3,29.0,4.517742799230607
Vitamin D,30.4,31.5,3.3823069050575527
Extracellular Fluid/Total Body Water (ECF/TBW),32.9,33.5,2.3430749027719964
Intracellular Water (ICW),33.8,34.5,1.6
Extracellular Water (ECW),36.1,36.0,0.3
C-Reactive Protein (CRP),36.9,37.0,0.3
