feature,mean_pos,median_pos,std_pos
ATSC0v,70.8,34.5,88.91546547142403
Sv,88.0,18.0,100.94057657849989
GATS5v,88.7,33.0,81.6113349970456
khs.sCl,88.9,35.5,90.25790824077411
GATS5i,89.8,35.0,80.91823033161316
Sp,90.0,17.0,102.07252323715721
MATS4c,110.8,43.5,106.90631412596731
AATS5s,117.5,133.5,28.419183661745105
SpMin6_Bhe,119.0,136.0,29.298464123567978
AATS1s,126.0,65.0,126.59383871263246
MATS6v,130.6,105.0,65.18466077230133
SCH-5,131.6,55.5,145.55012882165374
AATS4s,132.1,116.0,61.640003244646245
SCH-6,132.4,63.5,148.63996770720857
hmax,133.3,107.5,64.3009331192013
khs.aaaC,134.1,109.0,62.5882576846488
MATS6e,134.4,106.5,64.9710704852552
MATS5e,138.8,154.0,52.07840243325442
ATSC0i,139.7,18.0,248.7730089861036
BCUTc-1l,146.6,156.0,49.27717524371704
MLFER_L,147.4,68.0,185.47948673640437
AATS1e,148.3,67.5,117.03849793978048
IC0,149.3,53.5,183.62573349070658
BCUTc-1h,149.7,158.5,49.86391480820575
nT6HeteroRing,151.1,47.0,279.5372783726707
MAXDP2,154.0,79.0,145.6516391943462
ATSC1s,159.6,179.5,56.5706637754941
GATS4m,160.7,83.5,130.7096400423473
SpAD_Dzp,161.2,92.0,116.21428483624548
ETA_Shape_P,162.3,83.0,129.94233336368868
ETA_Shape_Y,162.4,82.0,131.63829230129053
ETA_Eta_B,163.1,47.0,182.00793938726957
maxaaCH,163.2,185.5,63.78369697657859
GATS2s,168.2,187.5,63.34003473317646
SpMAD_Dzi,168.2,166.5,60.22092659532897
McGowan_Volume,168.5,87.5,127.6700826348914
GATS2c,168.8,189.0,63.35108523143073
AATSC8v,169.9,170.5,52.46989613101974
maxdO,170.5,188.0,64.2732448223987
AATSC8s,170.5,169.0,56.077178959002566
MATS4m,170.7,52.0,192.64373854345746
SpMin6_Bhs,171.2,131.5,165.0950029528453
nHBint5,171.8,47.5,244.6940130039965
MAXDP,173.4,175.0,68.80436032694439
VC-6,173.5,53.5,195.3444393884812
minHaaCH,174.2,134.0,144.30162854243883
AATS2s,177.5,12.0,281.69779906843434
AATS4m,178.6,118.0,168.88291802310854
GATS7m,178.9,132.0,133.7172015860338
BCUTw-1h,179.7,137.5,190.2404005462562
ATSC2c,180.0,114.0,177.8988476634967
SpAbs_Dzp,180.1,183.5,58.54647726379444
ATSC2v,181.5,112.0,145.57626867041208
GATS5m,183.6,53.5,228.12461506816837
ATSC7v,183.7,93.0,146.58311635382842
SpMin6_Bhm,184.3,133.5,212.06935186395984
GATS5s,185.9,92.5,198.89819003701368
ATSC0m,187.8,53.5,259.3518073968254
ATS4v,188.4,112.5,195.87608327715765
ATSC7e,188.6,92.0,142.2302358853419
mindsCH,189.1,124.0,177.0793325038244
ATSC2i,189.5,115.0,195.78981076654628
MATS5m,189.6,152.5,174.9846850441489
AATS3e,191.3,125.0,229.1021824426821
ATSC7c,191.8,95.0,153.42672518176227
SpMin5_Bhm,194.3,162.5,198.30534536416312
AATS4e,196.2,120.0,152.696299889683
nHBint6,199.2,19.0,288.0867230540137
ATS3m,210.6,147.5,201.11946698417833
AATS2m,214.5,15.5,292.48222168193405
GATS2m,216.0,191.0,153.63463151255968
maxHBa,216.5,280.0,127.2731314928646
SpAD_Dzv,216.7,157.0,172.69571505975475
ATS6p,216.9,123.0,241.6362762500697
JGI6,217.0,93.5,204.10144536479893
ETA_Eta_L,217.6,45.0,275.16693115270954
SM1_Dzs,218.1,181.0,133.05671722990914
SpMAD_DzZ,218.2,169.5,147.97756586726246
SRW7,218.4,93.5,267.6580654491846
ATSC2e,218.7,115.0,257.2757470108677
MLFER_BH,219.8,133.5,210.05370741788875
n5Ring,220.6,88.5,235.70837914677531
nAtomLC,221.2,130.0,217.98431136207944
ntsC,221.9,145.0,265.41983723904286
ATS8p,222.5,139.5,202.17133822577324
nHaaNH,222.9,190.5,186.68660905378297
SpMAD_Dzm,223.0,168.5,157.0904198224704
AATS5m,224.2,131.0,223.5825574592079
minwHBa,226.1,46.5,319.8963738462816
AATSC4m,227.3,253.5,160.77316318341192
AATSC4c,227.4,253.5,161.76600384506008
ALogP,227.7,135.0,222.33490504192093
PetitjeanNumber,229.1,160.0,209.7176435114604
ETA_Epsilon_1,230.2,20.5,313.19731799617955
SsBr,231.4,159.5,236.82871447525108
MLFER_A,235.8,61.5,316.53903392788703
SM1_Dzp,236.2,181.5,121.73972235880942
AATSC4e,236.3,279.0,156.24471191051555
GATS7s,238.1,162.5,220.91059277454306
VR3_Dzp,240.5,234.0,114.76432372475342
SpMAD_Dzv,240.8,166.0,230.53277424262265
GATS4c,241.7,135.0,220.62504390934404
JGI3,243.6,94.5,239.18620361550956
SpMAD_Dzp,244.1,236.0,110.96256125378505
SHdCH2,247.8,46.0,331.0811984997034
ATSC4s,250.4,232.5,108.77242297567891
AATS1m,252.1,172.5,212.92695930764614
SpMax1_Bhm,252.8,235.0,113.40176365471571
SssO,254.7,152.0,297.181106398102
AATS3m,255.1,192.0,276.6862663740288
minHBa,259.0,208.0,142.17313388963473
ATSC2p,259.7,145.0,249.58046798577806
