index,feature,mutual_info_raw,relevance_score,n_neighbors
601,AATS3m,0.0,1.0,3
983,TIC1,0.0,1.0,3
457,hmax,0.0,1.0,3
458,ETA_Beta_s,0.0,1.0,3
918,SHBint9,0.0,1.0,3
460,khs.aaaC,0.0,1.0,3
461,khs.sNH2,0.0,1.0,3
463,nAromBond,0.0,1.0,3
917,MDEN-23,0.0,1.0,3
916,ATS3i,0.0,1.0,3
466,ATSC2s,0.0,1.0,3
915,HybRatio,0.0,1.0,3
914,Kier1,0.0,1.0,3
470,ATSC2m,0.0,1.0,3
471,ATSC2i,0.0,1.0,3
913,Kier3,0.0,1.0,3
473,AATS4s,0.0,1.0,3
475,AATS4e,0.0,1.0,3
910,ATS3e,0.0,1.0,3
456,ETA_Beta_ns_d,0.0,1.0,3
455,MATS6e,0.0,1.0,3
920,SHBint3,0.0,1.0,3
444,MLFER_BO,0.0,1.0,3
434,GATS3i,0.0,1.0,3
930,ETA_Psi_1,0.0,1.0,3
438,minsCH3,0.0,1.0,3
439,SssssC,0.0,1.0,3
441,nT12HeteroRing,0.0,1.0,3
442,minHaaCH,0.0,1.0,3
928,nHeteroRing,0.0,1.0,3
445,SaaaC,0.0,1.0,3
453,MATS6i,0.0,1.0,3
927,minHsNH2,0.0,1.0,3
447,nddssS,0.0,1.0,3
922,SHBint7,0.0,1.0,3
449,maxsssN,0.0,1.0,3
921,SHBint2,0.0,1.0,3
451,MATS6s,0.0,1.0,3
452,MATS6v,0.0,1.0,3
906,MATS8m,0.0,1.0,3
904,nsF,0.0,1.0,3
480,SHsOH,0.0,1.0,3
516,nF11Ring,0.0,1.0,3
507,SM1_Dzs,0.0,1.0,3
508,SM1_Dzm,0.0,1.0,3
884,khs.tsC,0.0,1.0,3
511,SpAbs_Dzp,0.0,1.0,3
512,SpAbs_Dzs,0.0,1.0,3
514,maxaaCH,0.0,1.0,3
515,maxdO,0.0,1.0,3
519,ETA_Beta,0.0,1.0,3
885,maxHBint2,0.0,1.0,3
520,GATS2m,0.0,1.0,3
878,GATS6m,0.0,1.0,3
876,MATS5s,0.0,1.0,3
525,nHaaNH,0.0,1.0,3
526,ATSC1p,0.0,1.0,3
527,ATSC1s,0.0,1.0,3
874,gmax,0.0,1.0,3
506,SM1_Dzp,0.0,1.0,3
504,SM1_Dzv,0.0,1.0,3
901,VCH-7,0.0,1.0,3
895,AVP-3,0.0,1.0,3
900,VCH-5,0.0,1.0,3
899,ATSC5i,0.0,1.0,3
484,MDEN-11,0.0,1.0,3
898,nHother,0.0,1.0,3
487,PetitjeanNumber,0.0,1.0,3
488,khs.aasN,0.0,1.0,3
897,ATSC5m,0.0,1.0,3
894,C4SP3,0.0,1.0,3
889,maxHBint6,0.0,1.0,3
893,ATSC5e,0.0,1.0,3
495,nG,0.0,1.0,3
892,nHdNH,0.0,1.0,3
497,MAXDP,0.0,1.0,3
498,naaaC,0.0,1.0,3
891,AVP-6,0.0,1.0,3
500,SpAbs_DzZ,0.0,1.0,3
931,mindssC,0.0,1.0,3
432,GATS3e,0.0,1.0,3
933,maxHBint10,0.0,1.0,3
359,minHCsats,0.0,1.0,3
966,MATS8e,0.0,1.0,3
351,ATSC3p,0.0,1.0,3
352,minHdCH2,0.0,1.0,3
353,ATSC3e,0.0,1.0,3
354,ATSC3c,0.0,1.0,3
355,maxssNH,0.0,1.0,3
356,ATSC3m,0.0,1.0,3
962,ATS0p,0.0,1.0,3
347,maxHCsatu,0.0,1.0,3
361,SpMax7_Bhi,0.0,1.0,3
961,MATS8v,0.0,1.0,3
364,SpMax7_Bhp,0.0,1.0,3
367,SdsCH,0.0,1.0,3
369,minssS,0.0,1.0,3
370,SpMin3_Bhe,0.0,1.0,3
956,ASP-6,0.0,1.0,3
348,maxHCsats,0.0,1.0,3
346,SpMin8_Bhv,0.0,1.0,3
375,SpMin3_Bhs,0.0,1.0,3
333,C1SP1,0.0,1.0,3
981,nT10Ring,0.0,1.0,3
326,GGI10,0.0,1.0,3
327,nBr,0.0,1.0,3
980,nTRing,0.0,1.0,3
329,MW,0.0,1.0,3
330,GATS6v,0.0,1.0,3
332,MATS7p,0.0,1.0,3
334,MATS7v,0.0,1.0,3
344,SpMin8_Bhp,0.0,1.0,3
979,GGI6,0.0,1.0,3
337,MATS7c,0.0,1.0,3
338,GATS6s,0.0,1.0,3
976,GGI5,0.0,1.0,3
340,maxtN,0.0,1.0,3
970,ATS0m,0.0,1.0,3
343,SpMin8_Bhm,0.0,1.0,3
373,SpMin3_Bhv,0.0,1.0,3
376,SpMin3_Bhp,0.0,1.0,3
429,GATS3s,0.0,1.0,3
943,AATSC6s,0.0,1.0,3
947,AATSC6i,0.0,1.0,3
408,SpMin6_Bhs,0.0,1.0,3
409,SpMin6_Bhp,0.0,1.0,3
945,AATSC6c,0.0,1.0,3
944,AATSC6v,0.0,1.0,3
414,ALogP,0.0,1.0,3
415,SpMin6_Bhm,0.0,1.0,3
417,AATS5s,0.0,1.0,3
949,SssssNp,0.0,1.0,3
941,maxwHBa,0.0,1.0,3
419,AATS5v,0.0,1.0,3
420,SpMin6_Bhe,0.0,1.0,3
423,BCUTw-1h,0.0,1.0,3
940,khs.dO,0.0,1.0,3
935,GATS7i,0.0,1.0,3
427,ATS8p,0.0,1.0,3
404,nHBDon,0.0,1.0,3
402,minsOH,0.0,1.0,3
377,TPC,0.0,1.0,3
388,MIC4,0.0,1.0,3
379,VP-5,0.0,1.0,3
954,ASP-0,0.0,1.0,3
382,VP-6,0.0,1.0,3
383,VP-1,0.0,1.0,3
952,ASP-2,0.0,1.0,3
385,VP-3,0.0,1.0,3
387,MIC5,0.0,1.0,3
389,MIC3,0.0,1.0,3
401,nCl,0.0,1.0,3
391,MIC1,0.0,1.0,3
393,ATSC5p,0.0,1.0,3
395,ATSC5s,0.0,1.0,3
396,minsOm,0.0,1.0,3
398,nHBa,0.0,1.0,3
399,nHBd,0.0,1.0,3
400,SddssS,0.0,1.0,3
529,ATSC1c,0.0,1.0,3
869,AMR,0.0,1.0,3
868,nHBAcc3,0.0,1.0,3
668,nBondsT,0.0,1.0,3
658,ETA_Epsilon_1,0.0,1.0,3
659,nHBint6,0.0,1.0,3
790,maxHBd,0.0,1.0,3
661,nHBint4,0.0,1.0,3
789,AATSC4v,0.0,1.0,3
787,SsOm,0.0,1.0,3
786,GATS7s,0.0,1.0,3
671,AATS2i,0.0,1.0,3
656,nHBint2,0.0,1.0,3
672,AATS2m,0.0,1.0,3
674,nBonds2,0.0,1.0,3
675,MDEN-33,0.0,1.0,3
676,Sp,0.0,1.0,3
782,GATS7c,0.0,1.0,3
778,AATS1e,0.0,1.0,3
776,MDEN-22,0.0,1.0,3
791,AATSC4s,0.0,1.0,3
792,khs.sBr,0.0,1.0,3
682,minssssC,0.0,1.0,3
643,khs.dssC,0.0,1.0,3
632,SP-4,0.0,1.0,3
634,MATS4s,0.0,1.0,3
803,ATS2s,0.0,1.0,3
637,minHdNH,0.0,1.0,3
799,AATSC4i,0.0,1.0,3
640,minaaaC,0.0,1.0,3
797,AATSC4c,0.0,1.0,3
644,AATSC0m,0.0,1.0,3
793,maxHBa,0.0,1.0,3
795,SHssNH,0.0,1.0,3
646,minsF,0.0,1.0,3
647,ATSC0v,0.0,1.0,3
648,ATSC0s,0.0,1.0,3
649,ATSC0p,0.0,1.0,3
651,ATSC0i,0.0,1.0,3
652,ATSC0e,0.0,1.0,3
681,n7HeteroRing,0.0,1.0,3
774,AATS1s,0.0,1.0,3
630,MATS4e,0.0,1.0,3
731,VC-3,0.0,1.0,3
720,n5Ring,0.0,1.0,3
759,C2SP1,0.0,1.0,3
725,ATSC7v,0.0,1.0,3
726,ATSC7i,0.0,1.0,3
728,ATSC7c,0.0,1.0,3
729,VC-4,0.0,1.0,3
730,VC-5,0.0,1.0,3
732,ATSC7e,0.0,1.0,3
717,GATS4e,0.0,1.0,3
754,minHdsCH,0.0,1.0,3
752,LipinskiFailures,0.0,1.0,3
751,nBonds,0.0,1.0,3
737,JGI6,0.0,1.0,3
749,SpAD_Dzs,0.0,1.0,3
739,JGI4,0.0,1.0,3
748,SpAD_Dzp,0.0,1.0,3
761,ETA_Shape_X,0.0,1.0,3
765,khs.dCH2,0.0,1.0,3
684,Zagreb,0.0,1.0,3
694,SCH-5,0.0,1.0,3
773,AATS1p,0.0,1.0,3
688,SRW5,0.0,1.0,3
689,SRW2,0.0,1.0,3
690,khs.sCl,0.0,1.0,3
771,AVP-2,0.0,1.0,3
692,SRW9,0.0,1.0,3
768,AVP-7,0.0,1.0,3
695,SCH-6,0.0,1.0,3
766,AVP-5,0.0,1.0,3
767,AVP-4,0.0,1.0,3
699,ATS6p,0.0,1.0,3
700,maxaasN,0.0,1.0,3
705,VE1_DzZ,0.0,1.0,3
706,VE1_Dze,0.0,1.0,3
709,VE1_Dzm,0.0,1.0,3
710,GATS4v,0.0,1.0,3
806,JGT,0.0,1.0,3
629,MATS4c,0.0,1.0,3
865,ETA_Epsilon_2,0.0,1.0,3
843,ATSC5v,0.0,1.0,3
561,naaN,0.0,1.0,3
562,naaO,0.0,1.0,3
563,naaS,0.0,1.0,3
564,SsBr,0.0,1.0,3
848,nsOm,0.0,1.0,3
844,MLFER_S,0.0,1.0,3
569,nT9HeteroRing,0.0,1.0,3
572,SpMAD_Dzv,0.0,1.0,3
850,nsOH,0.0,1.0,3
573,SpMax6_Bhv,0.0,1.0,3
574,SpMax6_Bhe,0.0,1.0,3
575,SpMAD_Dze,0.0,1.0,3
576,SpMax6_Bhi,0.0,1.0,3
577,SpMAD_Dzi,0.0,1.0,3
578,SpMax6_Bhm,0.0,1.0,3
579,SpMAD_Dzm,0.0,1.0,3
849,SHaaNH,0.0,1.0,3
558,SssNH,0.0,1.0,3
841,nsCH3,0.0,1.0,3
545,MATS5m,0.0,1.0,3
862,VR3_D,0.0,1.0,3
539,ndssC,0.0,1.0,3
540,MWC2,0.0,1.0,3
541,MAXDN2,0.0,1.0,3
542,MATS5e,0.0,1.0,3
861,naasC,0.0,1.0,3
544,MATS5c,0.0,1.0,3
547,MATS5i,0.0,1.0,3
557,BCUTc-1h,0.0,1.0,3
856,AATSC5c,0.0,1.0,3
550,MATS5v,0.0,1.0,3
855,naasN,0.0,1.0,3
552,SpMin2_Bhs,0.0,1.0,3
854,AATSC5e,0.0,1.0,3
853,nssssNp,0.0,1.0,3
556,BCUTc-1l,0.0,1.0,3
580,SpMAD_DzZ,0.0,1.0,3
583,AATSC8v,0.0,1.0,3
628,maxsF,0.0,1.0,3
816,ATSC6i,0.0,1.0,3
822,SpMin1_Bhp,0.0,1.0,3
609,GATS5i,0.0,1.0,3
610,GATS5m,0.0,1.0,3
611,IC3,0.0,1.0,3
612,IC2,0.0,1.0,3
821,SpMin1_Bhm,0.0,1.0,3
615,khs.tN,0.0,1.0,3
619,ETA_Eta_L,0.0,1.0,3
824,nT11HeteroRing,0.0,1.0,3
814,ATSC6s,0.0,1.0,3
812,khs.dsCH,0.0,1.0,3
622,ETA_Eta_F,0.0,1.0,3
811,nT7Ring,0.0,1.0,3
625,maxsssCH,0.0,1.0,3
808,ndNH,0.0,1.0,3
627,nF6Ring,0.0,1.0,3
823,SpMin1_Bhs,0.0,1.0,3
827,AATS0s,0.0,1.0,3
584,minHssNH,0.0,1.0,3
593,SpMin5_Bhp,0.0,1.0,3
840,AATS0e,0.0,1.0,3
586,AATSC8e,0.0,1.0,3
839,nAtomLAC,0.0,1.0,3
837,minsssCH,0.0,1.0,3
589,AATS3s,0.0,1.0,3
836,AATS0m,0.0,1.0,3
835,SpMin4_Bhi,0.0,1.0,3
833,SpMin4_Bhm,0.0,1.0,3
603,maxdCH2,0.0,1.0,3
595,SpMin5_Bhm,0.0,1.0,3
832,SpMin4_Bhs,0.0,1.0,3
597,AATS3e,0.0,1.0,3
599,AATS3i,0.0,1.0,3
828,SpMin4_Bhv,0.0,1.0,3
1,nHBint10,0.0,1.0,3
602,n7Ring,0.0,1.0,3
324,Mv,0.0,1.0,3
371,SpMin3_Bhm,0.0,1.0,3
160,SpMax4_Bhm,0.0,1.0,3
1115,meanI,0.0,1.0,3
1112,VE2_Dze,0.0,1.0,3
131,ETA_Eta_R_L,0.0,1.0,3
132,SHdsCH,0.0,1.0,3
133,SaasN,0.0,1.0,3
134,SC-4,0.0,1.0,3
135,SaasC,0.0,1.0,3
138,AATSC3e,0.0,1.0,3
139,AATSC3i,0.0,1.0,3
140,AATSC3m,0.0,1.0,3
141,AATSC3s,0.0,1.0,3
142,AATSC3p,0.0,1.0,3
143,AATSC3v,0.0,1.0,3
145,nF8HeteroRing,0.0,1.0,3
1111,minaaNH,0.0,1.0,3
1108,VE2_Dzi,0.0,1.0,3
1114,nHAvin,0.0,1.0,3
1118,apol,0.0,1.0,3
153,XLogP,0.0,1.0,3
1119,ATS5i,0.0,1.0,3
101,nFG12HeteroRing,0.0,1.0,3
102,ATS8s,0.0,1.0,3
103,ATS8v,0.0,1.0,3
1137,SpMax5_Bhi,0.0,1.0,3
1135,SpMax5_Bhp,0.0,1.0,3
1133,SpMax5_Bhs,0.0,1.0,3
111,SP-1,0.0,1.0,3
112,minHsOH,0.0,1.0,3
1128,MDEO-11,0.0,1.0,3
114,MATS2v,0.0,1.0,3
1125,ndCH2,0.0,1.0,3
1124,maxdsCH,0.0,1.0,3
1122,mindO,0.0,1.0,3
119,MATS2e,0.0,1.0,3
123,MATS2m,0.0,1.0,3
1107,ATS2m,0.0,1.0,3
154,SpMax2_Bhi,0.0,1.0,3
205,SpMax_Dzm,0.0,1.0,3
1082,piPC2,0.0,1.0,3
183,VR2_Dzp,0.0,1.0,3
