index,feature,mutual_info_raw,relevance_score,n_neighbors
601,AATS3m,0.0,1.0,7
531,ATSC1i,0.0,1.0,7
517,GATS2v,0.0,1.0,7
520,GATS2m,0.0,1.0,7
522,maxdS,0.0,1.0,7
524,GATS2c,0.0,1.0,7
526,ATSC1p,0.0,1.0,7
527,ATSC1s,0.0,1.0,7
528,ATSC1v,0.0,1.0,7
991,ZMIC4,0.0,1.0,7
989,ntCH,0.0,1.0,7
514,maxaaCH,0.0,1.0,7
988,maxsCl,0.0,1.0,7
536,MWC4,0.0,1.0,7
540,MWC2,0.0,1.0,7
542,MATS5e,0.0,1.0,7
984,TIC2,0.0,1.0,7
544,MATS5c,0.0,1.0,7
983,TIC1,0.0,1.0,7
982,TIC0,0.0,1.0,7
516,nF11Ring,0.0,1.0,7
513,SM1_Dze,0.0,1.0,7
550,MATS5v,0.0,1.0,7
499,SM1_DzZ,0.0,1.0,7
1005,SpMax1_Bhs,0.0,1.0,7
1002,ATSC4s,0.0,1.0,7
492,TWC,0.0,1.0,7
493,topoRadius,0.0,1.0,7
1001,ATSC4m,0.0,1.0,7
999,ATSC4e,0.0,1.0,7
998,ATSC4c,0.0,1.0,7
498,naaaC,0.0,1.0,7
502,khs.aaNH,0.0,1.0,7
512,SpAbs_Dzs,0.0,1.0,7
503,SpAbs_Dzm,0.0,1.0,7
504,SM1_Dzv,0.0,1.0,7
505,SpAbs_Dzi,0.0,1.0,7
506,SM1_Dzp,0.0,1.0,7
507,SM1_Dzs,0.0,1.0,7
508,SM1_Dzm,0.0,1.0,7
996,ZMIC3,0.0,1.0,7
993,ZMIC0,0.0,1.0,7
981,nT10Ring,0.0,1.0,7
551,MATS5p,0.0,1.0,7
607,GATS5v,0.0,1.0,7
970,ATS0m,0.0,1.0,7
579,SpMAD_Dzm,0.0,1.0,7
580,SpMAD_DzZ,0.0,1.0,7
581,AATSC8s,0.0,1.0,7
582,AATSC8p,0.0,1.0,7
583,AATSC8v,0.0,1.0,7
584,minHssNH,0.0,1.0,7
972,GGI8,0.0,1.0,7
971,GGI9,0.0,1.0,7
592,SpMin5_Bhv,0.0,1.0,7
577,SpMAD_Dzi,0.0,1.0,7
594,SpMin5_Bhs,0.0,1.0,7
595,SpMin5_Bhm,0.0,1.0,7
597,AATS3e,0.0,1.0,7
965,MATS8p,0.0,1.0,7
599,AATS3i,0.0,1.0,7
1,nHBint10,0.0,1.0,7
603,maxdCH2,0.0,1.0,7
963,MATS8s,0.0,1.0,7
578,SpMax6_Bhm,0.0,1.0,7
575,SpMAD_Dze,0.0,1.0,7
552,SpMin2_Bhs,0.0,1.0,7
562,naaO,0.0,1.0,7
979,GGI6,0.0,1.0,7
978,GGI7,0.0,1.0,7
555,Mare,0.0,1.0,7
556,BCUTc-1l,0.0,1.0,7
557,BCUTc-1h,0.0,1.0,7
558,SssNH,0.0,1.0,7
977,GGI4,0.0,1.0,7
561,naaN,0.0,1.0,7
563,naaS,0.0,1.0,7
574,SpMax6_Bhe,0.0,1.0,7
564,SsBr,0.0,1.0,7
565,SHBd,0.0,1.0,7
976,GGI5,0.0,1.0,7
973,GGI1,0.0,1.0,7
570,SpMax6_Bhp,0.0,1.0,7
571,SpMax6_Bhs,0.0,1.0,7
572,SpMAD_Dzv,0.0,1.0,7
573,SpMax6_Bhv,0.0,1.0,7
488,khs.aasN,0.0,1.0,7
487,PetitjeanNumber,0.0,1.0,7
485,ntsC,0.0,1.0,7
402,minsOH,0.0,1.0,7
389,MIC3,0.0,1.0,7
390,MIC2,0.0,1.0,7
