index,feature,mutual_info_raw,relevance_score,n_neighbors
643,missingindicator_TNMIV,0.0,1.0,3
0,Hemoglobina_homogeneous,0.0,1.0,3
1,Hemoglobina_min,0.0,1.0,3
2,Hemoglobina_max,0.0,1.0,3
623,missingindicator_Potasio_initial,0.0,1.0,3
622,missingindicator_Sodio_initial,0.0,1.0,3
619,missingindicator_Glucosa_initial,0.0,1.0,3
618,missingindicator_TTPa (s)_initial,0.0,1.0,3
617,missingindicator_TP (s)_initial,0.0,1.0,3
614,missingindicator_Leucocitos_initial,0.0,1.0,3
35,Leucocitos_quartile1,0.0,1.0,3
28,Leucocitos_max,0.0,1.0,3
27,Leucocitos_min,0.0,1.0,3
25,Plaquetas_rms,0.0,1.0,3
23,Plaquetas_quartile3,0.0,1.0,3
609,missingindicator_LDH_quartile3,0.0,1.0,3
608,missingindicator_LDH_quartile1,0.0,1.0,3
604,missingindicator_LDH_std,0.0,1.0,3
601,missingindicator_LDH_max,0.0,1.0,3
598,missingindicator_Albumina_iqr,0.0,1.0,3
594,missingindicator_Albumina_skewness,0.0,1.0,3
593,missingindicator_Albumina_sum,0.0,1.0,3
591,missingindicator_Albumina_median,0.0,1.0,3
585,missingindicator_Bilirrubina total_quartile3,0.0,1.0,3
51,Linfocitos_rms,0.0,1.0,3
49,Linfocitos_quartile3,0.0,1.0,3
43,Linfocitos_median,0.0,1.0,3
42,Linfocitos_mean,0.0,1.0,3
38,Leucocitos_rms,0.0,1.0,3
37,Leucocitos_iqr,0.0,1.0,3
36,Leucocitos_quartile3,0.0,1.0,3
578,missingindicator_Bilirrubina total_mean,0.0,1.0,3
577,missingindicator_Bilirrubina total_max,0.0,1.0,3
575,missingindicator_Fosfatasa Alcalina_rms,0.0,1.0,3
569,missingindicator_Fosfatasa Alcalina_sum,0.0,1.0,3
565,missingindicator_Fosfatasa Alcalina_max,0.0,1.0,3
561,missingindicator_GGT_quartile3,0.0,1.0,3
560,missingindicator_GGT_quartile1,0.0,1.0,3
558,missingindicator_GGT_skewness,0.0,1.0,3
552,missingindicator_GGT_min,0.0,1.0,3
549,missingindicator_GPT_quartile3,0.0,1.0,3
65,TP (s)_homogeneous,0.0,1.0,3
64,Neutrófilos_rms,0.0,1.0,3
63,Neutrófilos_iqr,0.0,1.0,3
62,Neutrófilos_quartile3,0.0,1.0,3
61,Neutrófilos_quartile1,0.0,1.0,3
56,Neutrófilos_median,0.0,1.0,3
53,Neutrófilos_min,0.0,1.0,3
547,missingindicator_GPT_kurtosis,0.0,1.0,3
546,missingindicator_GPT_skewness,0.0,1.0,3
545,missingindicator_GPT_sum,0.0,1.0,3
543,missingindicator_GPT_median,0.0,1.0,3
541,missingindicator_GPT_max,0.0,1.0,3
539,missingindicator_GOT_rms,0.0,1.0,3
536,missingindicator_GOT_quartile1,0.0,1.0,3
532,missingindicator_GOT_std,0.0,1.0,3
79,TTPa (s)_min,0.0,1.0,3
76,TP (s)_iqr,0.0,1.0,3
75,TP (s)_quartile3,0.0,1.0,3
73,TP (s)_kurtosis,0.0,1.0,3
69,TP (s)_median,0.0,1.0,3
530,missingindicator_GOT_mean,0.0,1.0,3
529,missingindicator_GOT_max,0.0,1.0,3
528,missingindicator_GOT_min,0.0,1.0,3
526,missingindicator_Calcio_iqr,0.0,1.0,3
525,missingindicator_Calcio_quartile3,0.0,1.0,3
524,missingindicator_Calcio_quartile1,0.0,1.0,3
519,missingindicator_Calcio_median,0.0,1.0,3
518,missingindicator_Calcio_mean,0.0,1.0,3
517,missingindicator_Calcio_max,0.0,1.0,3
95,Glucosa_median,0.0,1.0,3
94,Glucosa_mean,0.0,1.0,3
93,Glucosa_max,0.0,1.0,3
92,Glucosa_min,0.0,1.0,3
90,TTPa (s)_rms,0.0,1.0,3
88,TTPa (s)_quartile3,0.0,1.0,3
87,TTPa (s)_quartile1,0.0,1.0,3
513,missingindicator_Potasio_quartile3,0.0,1.0,3
510,missingindicator_Potasio_skewness,0.0,1.0,3
509,missingindicator_Potasio_sum,0.0,1.0,3
506,missingindicator_Potasio_mean,0.0,1.0,3
505,missingindicator_Potasio_max,0.0,1.0,3
503,missingindicator_Sodio_rms,0.0,1.0,3
495,missingindicator_Sodio_median,0.0,1.0,3
492,missingindicator_Sodio_min,0.0,1.0,3
489,missingindicator_Creatinina_quartile3,0.0,1.0,3
114,Urea_quartile3,0.0,1.0,3
113,Urea_quartile1,0.0,1.0,3
108,Urea_median,0.0,1.0,3
106,Urea_max,0.0,1.0,3
103,Glucosa_rms,0.0,1.0,3
102,Glucosa_iqr,0.0,1.0,3
101,Glucosa_quartile3,0.0,1.0,3
100,Glucosa_quartile1,0.0,1.0,3
477,missingindicator_Urea_quartile3,0.0,1.0,3
476,missingindicator_Urea_quartile1,0.0,1.0,3
475,missingindicator_Urea_kurtosis,0.0,1.0,3
472,missingindicator_Urea_std,0.0,1.0,3
471,missingindicator_Urea_median,0.0,1.0,3
470,missingindicator_Urea_mean,0.0,1.0,3
469,missingindicator_Urea_max,0.0,1.0,3
468,missingindicator_Urea_min,0.0,1.0,3
131,Sodio_min,0.0,1.0,3
130,Sodio_homogeneous,0.0,1.0,3
127,Creatinina_quartile3,0.0,1.0,3
119,Creatinina_max,0.0,1.0,3
118,Creatinina_min,0.0,1.0,3
466,missingindicator_Glucosa_iqr,0.0,1.0,3
462,missingindicator_Glucosa_skewness,0.0,1.0,3
456,missingindicator_Glucosa_min,0.0,1.0,3
453,missingindicator_TTPa (s)_quartile3,0.0,1.0,3
439,missingindicator_TP (s)_kurtosis,0.0,1.0,3
431,missingindicator_Neutrófilos_rms,0.0,1.0,3
429,missingindicator_Neutrófilos_quartile3,0.0,1.0,3
428,missingindicator_Neutrófilos_quartile1,0.0,1.0,3
424,missingindicator_Neutrófilos_std,0.0,1.0,3
422,missingindicator_Neutrófilos_mean,0.0,1.0,3
420,missingindicator_Neutrófilos_min,0.0,1.0,3
147,Potasio_median,0.0,1.0,3
140,Sodio_quartile3,0.0,1.0,3
134,Sodio_median,0.0,1.0,3
133,Sodio_mean,0.0,1.0,3
418,missingindicator_Linfocitos_iqr,0.0,1.0,3
417,missingindicator_Linfocitos_quartile3,0.0,1.0,3
416,missingindicator_Linfocitos_quartile1,0.0,1.0,3
414,missingindicator_Linfocitos_skewness,0.0,1.0,3
413,missingindicator_Linfocitos_sum,0.0,1.0,3
411,missingindicator_Linfocitos_median,0.0,1.0,3
410,missingindicator_Linfocitos_mean,0.0,1.0,3
408,missingindicator_Linfocitos_min,0.0,1.0,3
400,missingindicator_Leucocitos_std,0.0,1.0,3
397,missingindicator_Leucocitos_max,0.0,1.0,3
391,missingindicator_Plaquetas_kurtosis,0.0,1.0,3
163,Calcio_skewness,0.0,1.0,3
162,Calcio_sum,0.0,1.0,3
160,Calcio_median,0.0,1.0,3
159,Calcio_mean,0.0,1.0,3
156,Calcio_homogeneous,0.0,1.0,3
155,Potasio_rms,0.0,1.0,3
150,Potasio_skewness,0.0,1.0,3
381,missingindicator_Hemoglobina_quartile3,0.0,1.0,3
380,missingindicator_Hemoglobina_quartile1,0.0,1.0,3
377,missingindicator_Hemoglobina_sum,0.0,1.0,3
376,missingindicator_Hemoglobina_std,0.0,1.0,3
373,missingindicator_Hemoglobina_max,0.0,1.0,3
372,missingindicator_Hemoglobina_min,0.0,1.0,3
