index,feature,mutual_info_raw,relevance_score,n_neighbors
5,free sulfur dioxide,0.0,1.0,15
8,pH,0.007039726233190713,0.9929602737668093,15
3,residual sugar,0.011070242833545407,0.9889297571664546,15
4,chlorides,0.018176555898885116,0.9818234441011149,15
0,fixed acidity,0.026872036997104054,0.973127963002896,15
2,citric acid,0.03663201166149799,0.963367988338502,15
7,density,0.04491211334630307,0.9550878866536969,15
6,total sulfur dioxide,0.054924177430402565,0.9450758225695974,15
9,sulphates,0.06547415928460243,0.9345258407153976,15
1,volatile acidity,0.07168624870547147,0.9283137512945285,15
10,alcohol,0.12614462477817723,0.8738553752218228,15
