index,feature,importance
269,total_time15,0.013041438386308429
270,air_time16,0.012235460492209133
252,air_time15,0.011242262918163179
116,mean_gmrt7,0.010533296472851108
161,total_time9,0.009854361079381207
395,total_time22,0.00961737069473722
287,total_time16,0.009099113636008627
233,total_time13,0.008329001018477125
378,air_time22,0.008130770821897892
337,num_of_pendown19,0.007853554657752462
216,air_time13,0.007852119518586711
107,total_time6,0.007714543230582091
110,gmrt_in_air7,0.007183264828081414
90,air_time6,0.007143487837238329
144,air_time9,0.007111313570064103
158,paper_time9,0.006946448065873545
266,paper_time15,0.0067505855313787465
398,gmrt_in_air23,0.006626990550582049
53,total_time3,0.006564164572006691
85,num_of_pendown5,0.00652517274301842
111,gmrt_on_paper7,0.00635435198984717
407,mean_speed_in_air23,0.006250034540139684
119,mean_speed_in_air7,0.006197478459262453
392,paper_time22,0.00607409055267802
157,num_of_pendown9,0.006041069077667132
33,pressure_mean2,0.005598563727013227
104,paper_time6,0.005401313660977018
379,disp_index22,0.005195533196875822
264,mean_speed_on_paper15,0.0051808791021400145
179,total_time10,0.0051404756939188384
35,total_time2,0.005119540898972094
290,gmrt_in_air17,0.0050718687847680615
410,paper_time23,0.00503762880424854
436,max_x_extension25,0.005010279210485018
122,paper_time7,0.004994981106024552
413,total_time23,0.004953263336450596
299,mean_speed_in_air17,0.004885459353828494
72,air_time5,0.004846885578710327
108,air_time7,0.004790683185513249
121,num_of_pendown7,0.004684173656442168
340,pressure_var19,0.004669145037980652
396,air_time23,0.004666566637876302
397,disp_index23,0.004665467957470082
296,mean_gmrt17,0.00455896103748878
120,mean_speed_on_paper7,0.004552969644549265
141,pressure_mean8,0.004525479708417321
294,mean_acc_in_air17,0.004506467353355485
125,total_time7,0.004443639141698456
143,total_time8,0.004270138195714458
138,mean_speed_on_paper8,0.004261840763630198
162,air_time10,0.004204456581056044
297,mean_jerk_in_air17,0.004183191703521428
18,air_time2,0.004119346410214381
140,paper_time8,0.004105147136358352
77,max_y_extension5,0.004104703792163901
341,total_time19,0.004079323329767712
54,air_time4,0.004055340392401592
129,gmrt_on_paper8,0.003958571245241897
134,mean_gmrt8,0.003924755222116666
176,paper_time10,0.0038599886080988946
87,pressure_mean5,0.0038554985104729605
260,mean_gmrt15,0.00383792170066894
324,air_time19,0.0038319482329827255
335,mean_speed_in_air19,0.003819652358727334
36,air_time3,0.0037744836990857345
404,mean_gmrt23,0.0037623987239512957
291,gmrt_on_paper17,0.003657823565296427
114,mean_acc_in_air7,0.003612149766224475
339,pressure_mean19,0.0035757288867467266
255,gmrt_on_paper15,0.0035740311064749244
67,num_of_pendown4,0.0034968331596906405
289,disp_index17,0.0034941437242202457
117,mean_jerk_in_air7,0.0034139064415041062
71,total_time4,0.003411631573107618
302,paper_time17,0.0034018173088067013
326,gmrt_in_air19,0.0033830629665680292
50,paper_time3,0.003371479938190906
30,mean_speed_on_paper2,0.003362851213203955
414,air_time24,0.0033442001897818416
174,mean_speed_on_paper10,0.003326030270385925
165,gmrt_on_paper10,0.0033065313294963128
360,air_time21,0.003259595185258603
196,pressure_var11,0.0032344201091706825
91,disp_index6,0.0031992669046493455
382,max_x_extension22,0.0031784401045793515
265,num_of_pendown15,0.0031516949186968565
76,max_x_extension5,0.0031278475448895545
305,total_time17,0.0031174616575137025
347,max_y_extension20,0.003081023262101505
375,pressure_mean21,0.003079219647141422
73,disp_index5,0.0030688416917869386
390,mean_speed_on_paper22,0.003053945119338424
262,mean_jerk_on_paper15,0.0030260320185242027
194,paper_time11,0.0030078440717463233
123,pressure_mean7,0.0029970608158159336
288,air_time17,0.002994692937275068
127,disp_index8,0.0029925072970297594
48,mean_speed_on_paper3,0.002960044758916876
408,mean_speed_on_paper23,0.002957687207480103
329,max_y_extension19,0.0029500473944967173
253,disp_index15,0.00291500408020351
332,mean_gmrt19,0.002910919395169202
25,mean_acc_on_paper2,0.002865022760990938
367,mean_acc_on_paper21,0.002843738524642813
431,total_time24,0.0028108990509617014
70,pressure_var4,0.0027512278774206394
156,mean_speed_on_paper9,0.0027508995992981053
21,gmrt_on_paper2,0.0026976144831807737
381,gmrt_on_paper22,0.0026926884631451593
89,total_time5,0.002657742738459943
365,max_y_extension21,0.002640977776055416
215,total_time12,0.002633740132326029
183,gmrt_on_paper11,0.0026231904173214726
437,max_y_extension25,0.0026167108773815628
192,mean_speed_on_paper11,0.0026131900127534086
358,pressure_var20,0.0025701083249639106
399,gmrt_on_paper23,0.002565565795036283
300,mean_speed_on_paper17,0.0025596165725598344
69,pressure_mean4,0.0025576345839510685
230,paper_time13,0.0025373561671980602
128,gmrt_in_air8,0.002500039963439882
424,mean_jerk_on_paper24,0.002467058974088698
126,air_time8,0.0024150981765847187
197,total_time11,0.0024119350144284632
198,air_time12,0.002409531252053793
325,disp_index19,0.002392523156436222
159,pressure_mean9,0.002386199830010865
421,mean_acc_on_paper24,0.002380050632946092
49,num_of_pendown3,0.0023646438847944318
109,disp_index7,0.0023432297911926483
242,mean_gmrt14,0.002339549079341682
59,max_y_extension4,0.0023107405145627916
145,disp_index9,0.0023093348211309797
434,gmrt_in_air25,0.002281903030019886
58,max_x_extension4,0.002274747163363856
15,pressure_mean1,0.002233055821303546
344,gmrt_in_air20,0.002229191544280685
27,mean_jerk_in_air2,0.0022279180259891056
245,mean_speed_in_air14,0.0021686366241962726
256,max_x_extension15,0.0021587945702018995
2,gmrt_in_air1,0.002131801002778809
443,mean_speed_in_air25,0.0021275287462707805
32,paper_time2,0.0021105513062417594
154,mean_jerk_on_paper9,0.002110062555986096
338,paper_time19,0.0021033836401598946
82,mean_jerk_on_paper5,0.002101363119870893
238,max_x_extension14,0.0020993815483409117
88,pressure_var5,0.002087821058218938
200,gmrt_in_air12,0.002081124534319656
22,max_x_extension2,0.002074024435876897
370,mean_jerk_on_paper21,0.002067662237646458
139,num_of_pendown8,0.0020669089776993704
357,pressure_mean20,0.00205100653665115
105,pressure_mean6,0.0020466935151755732
435,gmrt_on_paper25,0.0020165560283460925
236,gmrt_in_air14,0.0020099334811654553
86,paper_time5,0.002006176102857856
3,gmrt_on_paper1,0.0020059551469430413
369,mean_jerk_in_air21,0.002004759732262574
163,disp_index10,0.0019914871877420156
106,pressure_var6,0.0019881467112478064
37,disp_index3,0.0019839340082734064
383,max_y_extension22,0.0019831315388738405
412,pressure_var23,0.0019750297882138376
364,max_x_extension21,0.0019658268418148933
448,pressure_var25,0.001953521004917586
343,disp_index20,0.0019530247647748511
136,mean_jerk_on_paper8,0.001944108032110593
440,mean_gmrt25,0.001923717412483862
234,air_time14,0.0019139611890406716
336,mean_speed_on_paper19,0.001909876612521931
19,disp_index2,0.0019040717219584338
411,pressure_mean23,0.0019017006977316692
180,air_time11,0.0018994906815405312
366,mean_acc_in_air21,0.0018850832436566713
41,max_y_extension3,0.0018784695615597638
409,num_of_pendown23,0.0018747437752530025
298,mean_jerk_on_paper17,0.0018742453033782707
68,paper_time4,0.0018729854458629383
280,mean_jerk_on_paper16,0.0018656737288917367
386,mean_gmrt22,0.001862594606792699
282,mean_speed_on_paper16,0.001862325037860445
284,paper_time16,0.001854670588569342
334,mean_jerk_on_paper19,0.0018421424583648489
222,mean_acc_in_air13,0.0018421230801184184
12,mean_speed_on_paper1,0.0018412641460325866
323,total_time18,0.0018366180879474411
206,mean_gmrt12,0.0018343217068685772
225,mean_jerk_in_air13,0.001826090363212634
24,mean_acc_in_air2,0.0018208503510709257
149,max_y_extension9,0.0018149320607972396
333,mean_jerk_in_air19,0.0017923125410399714
8,mean_gmrt1,0.0017895552103347246
350,mean_gmrt20,0.0017811323821067533
391,num_of_pendown22,0.0017724064119430754
319,num_of_pendown18,0.0017701771348344916
39,gmrt_on_paper3,0.0017679561791164276
321,pressure_mean18,0.0017522323926231858
28,mean_jerk_on_paper2,0.001721112000240013
147,gmrt_on_paper9,0.0017206086878550416
43,mean_acc_on_paper3,0.0017192943368002226
318,mean_speed_on_paper18,0.001717285773881626
38,gmrt_in_air3,0.0017156817384445973
235,disp_index14,0.0017132780725200053
170,mean_gmrt10,0.0017015316463009293
401,max_y_extension23,0.001684761746842544
345,gmrt_on_paper20,0.0016749543398292478
248,paper_time14,0.0016613197086767393
151,mean_acc_on_paper9,0.0016596185847758843
393,pressure_mean22,0.0016594718556982805
102,mean_speed_on_paper6,0.0016461147846665916
373,num_of_pendown21,0.001641142555275313
93,gmrt_on_paper6,0.001624244669962193
220,max_x_extension13,0.0016067247612111288
447,pressure_mean25,0.0016064384077711582
356,paper_time20,0.001600992817246797
327,gmrt_on_paper19,0.0015981870426382025
103,num_of_pendown6,0.0015953897912324405
23,max_y_extension2,0.0015927800999690673
