index,feature,importance
37,Vitamin D,0.0759349426561383
35,C-Reactive Protein (CRP),0.055143724255555165
13,Extracellular Fluid/Total Body Water (ECF/TBW),0.048101173340330976
18,Bone Mass (BM),0.03697975276979706
11,Extracellular Water (ECW),0.03545261439162228
24,Hepatic Fat Accumulation (HFA),0.03310162323249027
23,Visceral Muscle Area (VMA) (Kg),0.03073327187922414
28,High Density Lipoprotein (HDL),0.0298383331150571
14,Total Body Fat Ratio (TBFR) (%),0.027473260287609214
32,Alkaline Phosphatase (ALP),0.026721244025835353
30,Aspartat Aminotransferaz (AST),0.026185462299726826
25,Glucose,0.026182420076202015
15,Lean Mass (LM) (%),0.02573371201327074
20,Obesity (%),0.025682593016807663
21,Total Fat Content (TFC),0.025302017287938794
34,Glomerular Filtration Rate (GFR),0.025218598440494254
33,Creatinine,0.025049351572910182
36,Hemoglobin (HGB),0.024958325298263702
29,Triglyceride,0.024506702308496532
22,Visceral Fat Area (VFA),0.024422662334581194
12,Intracellular Water (ICW),0.0243143471796703
17,Visceral Fat Rating (VFR),0.0240451051420482
16,Body Protein Content (Protein) (%),0.02369674712267987
27,Low Density Lipoprotein (LDL),0.02347121579001105
8,Weight,0.02314100117437159
7,Height,0.023113034105683564
9,Body Mass Index (BMI),0.022555576430975208
19,Muscle Mass (MM),0.022241724325353072
0,Age,0.022016046219835876
31,Alanin Aminotransferaz (ALT),0.021894130886982225
10,Total Body Water (TBW),0.02178755323489861
26,Total Cholesterol (TC),0.021423079398475833
5,Hyperlipidemia,0.018185160863276508
2,Comorbidity,0.014487667485184038
6,Diabetes Mellitus (DM),0.012827962637322872
1,Gender,0.012350195963702489
4,Hypothyroidism,0.009312169144836006
3,Coronary Artery Disease (CAD),0.006415498292340777
