index,feature,importance
269,total_time15,0.012390025751120576
252,air_time15,0.010957038851219401
161,total_time9,0.010601685759174438
337,num_of_pendown19,0.009960510911596655
270,air_time16,0.009503179751732878
116,mean_gmrt7,0.009465162757804688
158,paper_time9,0.008190692962221613
107,total_time6,0.008056504853696285
233,total_time13,0.007800876003187988
216,air_time13,0.007322283188518799
110,gmrt_in_air7,0.007129362871315338
395,total_time22,0.007070458444178049
144,air_time9,0.006875338327908019
379,disp_index22,0.006818739173583116
378,air_time22,0.006798925361005314
90,air_time6,0.0065967860420549345
122,paper_time7,0.006422500184237379
266,paper_time15,0.0064067376551029155
287,total_time16,0.006364054978426894
398,gmrt_in_air23,0.006308555858214832
407,mean_speed_in_air23,0.006296322422379885
157,num_of_pendown9,0.006163605792097302
410,paper_time23,0.006162270462240467
397,disp_index23,0.0059435909470968796
53,total_time3,0.005934288460147453
414,air_time24,0.005751605199257828
111,gmrt_on_paper7,0.005735862915689258
119,mean_speed_in_air7,0.005643647769515309
392,paper_time22,0.005498666298205478
413,total_time23,0.005474469126891465
436,max_x_extension25,0.0052735583224488266
35,total_time2,0.0051937746830853495
396,air_time23,0.005185345011431874
431,total_time24,0.005076432405686903
340,pressure_var19,0.004946874172233533
104,paper_time6,0.004886620023741968
179,total_time10,0.004609533506754467
141,pressure_mean8,0.004529949318376775
264,mean_speed_on_paper15,0.004399429611017966
143,total_time8,0.004368318292552965
125,total_time7,0.004346998557043369
367,mean_acc_on_paper21,0.004324096485801914
404,mean_gmrt23,0.004323620075432598
335,mean_speed_in_air19,0.004322229571978573
36,air_time3,0.004262120397121176
294,mean_acc_in_air17,0.004197202681219397
302,paper_time17,0.00409654474046288
176,paper_time10,0.004081186083645427
289,disp_index17,0.004081108705904227
156,mean_speed_on_paper9,0.0040737555983967775
117,mean_jerk_in_air7,0.004053249330984824
72,air_time5,0.0040473796161142475
114,mean_acc_in_air7,0.004037863410917819
341,total_time19,0.003988599635364081
296,mean_gmrt17,0.0039752596961067895
108,air_time7,0.003945771761762937
120,mean_speed_on_paper7,0.003943852800270721
162,air_time10,0.003923739639423585
291,gmrt_on_paper17,0.003909884948966592
290,gmrt_in_air17,0.00390834134763745
324,air_time19,0.0037874588060934763
332,mean_gmrt19,0.0037777678859907357
262,mean_jerk_on_paper15,0.003777273395939071
