index,feature,importance
140,fr_aniline,0.017281979580764783
42,MinPartialCharge,0.016317549854051025
36,MaxAbsPartialCharge,0.015756188365902403
89,SlogP_VSA10,0.013237389633825487
69,PEOE_VSA2,0.012097766093751683
182,fr_priamide,0.01130133315072494
121,fr_C_O,0.011260227234615434
128,fr_NH2,0.010625770489547616
114,fr_ArN,0.010511457626891412
14,EState_VSA1,0.010277056167976242
75,PEOE_VSA8,0.00921242530990448
0,BalabanJ,0.009065501481722985
127,fr_NH1,0.009036129719865855
175,fr_para_hydroxylation,0.008986229166564282
73,PEOE_VSA6,0.008828613685789927
46,NHOHCount,0.008814214403854735
156,fr_hdrzine,0.008472741487222983
55,NumHDonors,0.008433799498264085
138,fr_amide,0.00835489785341344
53,NumAromaticRings,0.00831993832143198
77,RingCount,0.008282616486128167
39,MinAbsEStateIndex,0.008250126299064688
96,SlogP_VSA6,0.008228956644874262
163,fr_ketone_Topliss,0.008215358860469264
15,EState_VSA10,0.008180216084142463
76,PEOE_VSA9,0.007921686439803224
79,SMR_VSA10,0.007850987887588038
147,fr_bicyclic,0.007849400449782384
100,TPSA,0.00780018537107954
85,SMR_VSA7,0.007761562930393815
84,SMR_VSA6,0.007687325015461092
94,SlogP_VSA4,0.007677575795117695
17,EState_VSA2,0.007672111416202714
122,fr_C_O_noCOO,0.007651553598931377
50,NumAliphaticRings,0.007644980374583984
34,LabuteASA,0.007577209945921231
98,SlogP_VSA8,0.007571682884044051
20,EState_VSA5,0.007566144306410387
51,NumAromaticCarbocycles,0.0075231168131100834
145,fr_benzene,0.007497643441474333
113,fr_Al_OH_noTert,0.007389101363090248
95,SlogP_VSA5,0.007325920902587219
78,SMR_VSA1,0.007300720940977521
24,EState_VSA9,0.007281290927842302
74,PEOE_VSA7,0.007256957742326033
40,MinAbsPartialCharge,0.007221856038195634
27,HallKierAlpha,0.007217901938243057
81,SMR_VSA3,0.007183751309152918
38,MaxPartialCharge,0.007122896664775921
58,NumRotatableBonds,0.0071136469595779765
41,MinEStateIndex,0.007049290370037582
63,PEOE_VSA1,0.007043293625433676
37,MaxEStateIndex,0.007039606979732039
22,EState_VSA7,0.006969891732991964
82,SMR_VSA4,0.006939699146641539
92,SlogP_VSA2,0.006932721643651938
112,fr_Al_OH,0.006928290762635144
68,PEOE_VSA14,0.006913194113232756
35,MaxAbsEStateIndex,0.00688691069310719
83,SMR_VSA5,0.00688127577519324
21,EState_VSA6,0.006835953076080826
23,EState_VSA8,0.006827141202357831
