feature,mean_pos,median_pos,std_pos
total_time15,0.4,0.0,0.9165151389911681
air_time15,2.0,2.0,0.8944271909999159
total_time9,2.6,2.5,1.4966629547095767
num_of_pendown19,3.8,4.0,2.181742422927143
air_time16,5.2,5.5,2.7129319932501073
mean_gmrt7,5.3,5.0,2.968164415931166
paper_time9,8.8,8.0,4.556314299957807
total_time6,9.0,9.0,3.0659419433511785
total_time13,9.9,9.0,4.635730794599704
air_time13,12.5,11.0,5.024937810560445
total_time22,14.2,15.0,4.915282290977803
air_time9,14.6,14.0,4.651881339845203
air_time6,15.0,14.0,4.0743097574926725
air_time22,15.6,16.0,4.2
gmrt_in_air7,15.6,14.5,5.748043145279966
disp_index22,16.6,16.0,7.901898506055364
paper_time15,18.9,16.0,8.129575634681062
paper_time7,21.4,22.0,6.421837743200929
total_time16,21.9,25.5,11.852847759083048
paper_time23,22.1,21.0,6.862215385719105
mean_speed_in_air23,22.5,24.5,8.440971508067067
disp_index23,23.2,23.0,11.754148203932091
gmrt_in_air23,24.0,26.0,9.979979959899719
total_time3,25.2,22.5,12.383860464330175
total_time23,26.0,28.5,9.818350166906862
num_of_pendown9,26.5,23.0,8.488227141164401
gmrt_on_paper7,27.0,27.5,7.912016177940993
mean_speed_in_air7,28.2,28.5,8.942035562443264
paper_time22,30.1,29.0,9.417536832951596
air_time24,31.0,22.5,20.37154878746336
air_time23,32.3,35.5,11.61077086157504
max_x_extension25,32.8,33.0,7.011419257183243
total_time2,33.2,31.5,7.997499609252881
paper_time6,35.0,34.0,8.342661445845684
pressure_var19,35.8,38.5,12.006664815842909
total_time24,41.2,34.0,24.81048165594534
pressure_mean8,45.1,40.5,16.446580191638628
total_time8,46.0,46.0,15.145956556124146
total_time10,47.4,42.5,15.49967741599805
total_time7,49.7,47.5,7.389857914736926
mean_speed_on_paper15,50.9,44.5,22.101809880640996
mean_gmrt23,52.5,48.0,15.551527256189342
disp_index17,53.3,53.5,16.33431969810803
air_time5,53.9,46.5,16.59186547679314
air_time7,55.6,55.0,8.685620300243386
mean_acc_in_air7,55.7,55.5,12.837834708392222
mean_speed_in_air19,56.3,62.5,17.29768770674277
mean_acc_on_paper21,57.2,52.0,22.306052990163906
paper_time17,57.6,59.0,21.68501786948768
mean_jerk_in_air7,57.8,53.0,16.110865898517062
air_time3,57.8,60.0,27.348857380153927
mean_gmrt17,57.9,65.0,21.8561204242656
mean_acc_in_air17,58.4,59.5,18.456435192094922
paper_time10,59.0,59.5,13.311649033834989
mean_speed_on_paper7,60.5,57.0,16.15704180844996
mean_speed_on_paper9,61.7,57.0,20.42571908158927
num_of_pendown7,64.0,61.5,23.130067012440755
total_time19,65.4,53.0,39.99049887160699
gmrt_on_paper17,66.5,63.5,26.702996086581745
air_time10,67.2,62.5,22.45796072665548
