feature,mean_pos,median_pos,std_pos
fr_aniline,0.3,0.0,0.6403124237432849
MinPartialCharge,1.0,1.0,0.4472135954999579
MaxAbsPartialCharge,2.0,2.0,0.7745966692414834
SlogP_VSA10,4.0,3.0,1.7320508075688772
PEOE_VSA2,4.7,4.5,2.1
fr_C_O,6.8,7.0,0.8717797887081347
fr_priamide,7.0,4.5,4.857983120596447
fr_NH2,7.5,7.0,2.3345235059857505
EState_VSA1,8.8,9.0,2.6758176320519302
fr_ArN,9.1,7.5,5.85576638878294
PEOE_VSA8,12.9,11.0,5.048762224545736
fr_NH1,14.5,12.0,6.375735251718032
BalabanJ,14.5,12.5,4.588027898781785
PEOE_VSA6,14.8,16.0,3.4292856398964493
NHOHCount,16.1,14.5,4.825971404805462
fr_para_hydroxylation,19.6,12.0,20.416659863944446
MinAbsEStateIndex,20.5,20.0,6.15223536610881
RingCount,20.6,20.0,4.651881339845203
SlogP_VSA6,21.5,19.5,7.102816342831906
NumHDonors,21.5,20.0,6.264982043070834
NumAromaticRings,23.1,23.5,5.3
PEOE_VSA9,23.6,22.5,5.660388679233963
EState_VSA10,24.6,24.5,8.2365041127896
fr_amide,26.9,28.0,11.361778029868388
SMR_VSA10,28.0,26.5,9.746794344808963
TPSA,30.0,27.5,6.387487769068525
EState_VSA2,30.9,33.0,9.396275858019495
fr_ketone_Topliss,31.3,22.0,27.77426866723947
fr_bicyclic,32.0,28.0,10.844353369380768
SMR_VSA7,32.0,33.5,5.291502622129181
fr_hdrzine,32.4,13.0,40.87590977580805
SMR_VSA6,33.4,32.5,8.604649905719583
EState_VSA5,33.9,32.0,11.246777316191515
SlogP_VSA4,35.3,36.5,11.20758671614902
SlogP_VSA8,35.4,31.5,15.252540771950095
LabuteASA,35.8,31.5,15.104966070799364
SlogP_VSA5,36.1,35.5,7.449161026585477
fr_C_O_noCOO,37.1,31.5,15.352198539622915
NumAromaticCarbocycles,40.0,41.5,13.711309200802088
EState_VSA9,41.7,35.5,11.45469336123844
NumAliphaticRings,42.2,40.0,10.796295661012625
fr_benzene,42.8,41.5,15.13803157613301
fr_Al_OH_noTert,43.2,41.0,13.295111883696205
SMR_VSA1,44.1,42.0,6.624952830020754
MinAbsPartialCharge,45.1,46.0,8.780091115700339
SMR_VSA3,45.3,46.5,8.100000000000001
PEOE_VSA7,47.5,47.0,11.672617529928752
