feature,mean_pos,median_pos,std_pos
MDEC-23,8.5,5.5,8.237111144084436
ATSC3v,9.5,8.5,6.815423684555495
EE_Dt,10.6,7.5,10.41345283755585
MATS3v,10.7,8.0,8.63770802933278
ZMIC1,11.8,11.5,6.8527366796047255
AATSC3v,12.1,11.0,9.459915433025815
ATSC8i,13.2,13.0,9.239047569960878
MATS7i,13.6,9.0,11.146299834474219
MATS8i,15.9,15.5,10.587256490706174
ATSC7p,15.9,4.5,17.409480176042017
AATSC8i,23.6,20.5,14.636939570825588
AATSC7p,24.9,16.0,19.67968495682794
MATS7c,27.1,24.0,18.294534703019917
MATS7p,27.8,16.0,24.119701490690137
CIC1,27.9,20.5,15.725457068079136
AATSC7c,29.1,30.0,13.685393673548454
AATSC7i,30.9,21.0,34.089441180518044
ATSC7c,31.8,29.0,27.06954007736371
MLogP,31.8,20.5,28.572014279710835
ETA_BetaP_s,31.8,29.5,21.362584113351083
ATSC1v,35.2,23.5,30.099169423756532
nC,37.0,32.0,29.24038303442689
nF9HeteroRing,37.2,26.0,27.08800472533922
nHaaCH,38.7,38.5,10.545615202537972
SHaaCH,42.4,34.5,27.4379299510732
C2SP2,43.0,23.5,42.29893615683496
nT9HeteroRing,44.0,31.0,38.92300091205713
SpMax8_Bhp,44.8,48.0,18.659046063504963
maxHBint5,45.2,20.0,55.17753165918171
naaCH,46.4,48.5,20.095770699328753
C1SP2,47.2,38.5,40.258663663862464
minssNH,47.5,30.0,43.601032097875844
SpDiam_Dt,48.3,37.0,42.45479949310796
MATS6c,48.6,38.5,26.450708875188962
khs.aaCH,51.2,51.0,29.15750332247259
SHother,53.7,41.5,28.259688604087625
nHother,55.1,54.0,19.34140636044856
C3SP2,62.3,37.5,72.46109300859322
ATS8i,66.5,52.0,37.5479693192588
SpMax_Dt,67.8,68.5,34.01999412110472
ZMIC2,68.4,58.5,34.85455493906069
GATS4c,68.4,54.5,39.174481489867865
GATS7v,70.9,66.0,49.90280553235459
MDEC-22,71.2,64.5,50.87985849036925
JGI1,71.7,67.5,44.61176974745566
SIC1,74.1,71.5,29.797483115189443
AATSC3p,74.3,62.0,44.548961828531986
maxssNH,76.0,55.5,58.0534236716492
ATSC7i,76.7,55.5,70.46708451468672
nAtomLC,76.8,38.0,88.02817730704186
SpMax8_Bhv,78.3,77.0,34.40944637741212
CIC2,80.1,77.0,31.763028822831114
AATSC1v,80.9,65.5,70.65896970661262
ATSC6c,81.7,72.5,43.13247036746214
ATS8e,82.5,74.0,50.89253383355952
JGI7,84.0,81.0,18.335757415498275
MATS8c,84.9,82.0,39.10613762569758
MATS3m,85.3,76.5,36.688008940251855
ATSC3m,86.8,83.5,28.131121556027587
MATS6p,86.9,56.0,83.12574811693428
MATS7v,87.3,86.0,31.701892687976848
SpAD_Dt,87.4,79.0,41.71858099216703
JGI4,91.1,92.5,29.046342282635173
AATSC7v,94.8,85.0,35.92714850917061
SwHBa,100.8,90.5,58.101290863456725
MATS3p,101.6,93.0,45.4954942824012
