index,feature,importance
645,EE_Dt,0.0023907191632355986
98,MDEC-23,0.0023780662755421606
273,minssNH,0.0022903332626742503
723,ATSC7p,0.0021756685300528683
994,ZMIC1,0.002100627363360302
335,MATS7i,0.0020640894686493943
143,AATSC3v,0.0020387822966303148
0,MATS3v,0.0020252971236869484
728,ATSC7c,0.0019968417852513983
1042,AATSC7p,0.0019760681261006222
332,MATS7p,0.00195969739761684
349,ATSC3v,0.0019569588139902727
866,MLogP,0.001952176014152294
256,GATS1c,0.001875416807319864
657,nHBint3,0.0018606182707069788
528,ATSC1v,0.0018421550464656957
230,SpDiam_Dt,0.0018292999785566675
1044,AATSC7i,0.001818300417537354
355,maxssNH,0.0018147166441624218
218,CIC1,0.0017970206971507489
302,nF9HeteroRing,0.0017832019763736814
569,nT9HeteroRing,0.0017795409552632156
950,AATSC7c,0.0017749084249072955
337,MATS7c,0.0017412057076491903
990,khs.aaCH,0.001737798344108339
127,ATSC8i,0.0017138631283472624
758,C2SP2,0.0017014648002035958
94,ATS8e,0.0017009479117647075
283,nC,0.0016971247923014763
698,nF9Ring,0.0016967710484444025
307,naAromAtom,0.0016871813354364924
241,ETA_Epsilon_5,0.0016811897258705178
736,JGI1,0.001680313397416655
421,ATS8i,0.0016769033051831092
623,SaaCH,0.0016595707577098167
440,nAtomLC,0.0016368878883708249
150,AATS8p,0.0016235853562041609
898,nHother,0.0016181677059818637
882,C1SP2,0.0016177187208685588
269,MATS6c,0.0016164828320273548
911,MATS8i,0.001602753350095561
468,ATSC2e,0.001599677372231789
716,GATS4c,0.0015990654422709798
459,nHaaCH,0.0015988358967424306
726,ATSC7i,0.001593944425295892
1057,naaCH,0.0015855453960238295
65,AATSC2e,0.0015852312061146894
782,GATS7c,0.0015849503615687302
587,AATSC8i,0.001584664454292689
673,nBondsM,0.001581996520577065
270,ETA_BetaP_s,0.0015579776950248928
683,SwHBa,0.001543873674579318
1030,C3SP2,0.0015176210601198122
148,AATS8m,0.0015018605320582603
142,AATSC3p,0.001496646239578958
99,MDEC-22,0.0014910844761664586
818,ATSC6c,0.0014894566110997946
859,SpMax_Dt,0.0014892747440381523
875,maxHssNH,0.0014883143574051024
22,SpMax8_Bhp,0.0014834275807702408
463,nAromBond,0.0014820982517426621
227,fragC,0.001478425573154176
784,GATS7v,0.0014766101883614785
584,minHssNH,0.001474887095100312
43,minssCH2,0.0014735519084592998
63,ETA_EtaP_F_L,0.0014639101629070085
403,SHaaCH,0.0014574907631600016
351,ATSC3p,0.001455455796435124
411,AATS5e,0.0014547477674216932
1188,LipoaffinityIndex,0.0014534333304559457
1184,AATSC1v,0.0014523110486175824
190,ATS5m,0.001452028379692434
738,JGI7,0.0014516785745481613
450,MATS6p,0.0014485935320542244
3,MATS3p,0.0014432767648701163
334,MATS7v,0.00144157169775553
942,AATSC6p,0.0014412247127446843
1053,SIC1,0.001439672986754589
119,MATS2e,0.0014357992171959032
779,maxaaNH,0.001431729292175358
995,ZMIC2,0.0014260848013102848
806,JGT,0.001417154336138378
9,MATS3m,0.0014166337023786394
239,AATS7p,0.0014146735112660653
235,nT9Ring,0.0014089762288804755
15,SpMax8_Bhi,0.0014044603108730482
945,AATSC6c,0.0013847125440795526
919,SHBint8,0.0013695742525659065
1081,piPC3,0.0013545963631822822
967,MATS8c,0.001352649610836324
61,SpMax3_Bhm,0.0013490599878345495
130,SpAD_Dt,0.0013487236892609491
826,SHother,0.0013479136157769742
1111,minaaNH,0.0013467587709126542
739,JGI4,0.0013463595496426915
692,SRW9,0.0013450634739100996
140,AATSC3m,0.0013387543345562134
40,nT6Ring,0.0013346576650245371
881,GATS6p,0.0013325278367883665
121,ATSC8c,0.0013263735868378078
356,ATSC3m,0.0013156010968790517
585,AATSC8c,0.0013140420112570396
659,nHBint6,0.0013099895579175601
23,SpMax8_Bhv,0.0013068989103301042
544,MATS5c,0.001298777283110133
115,ATSC8s,0.0012984993756382443
280,nN,0.0012953315203095325
489,khs.aasC,0.0012929020782392257
1178,maxHaaCH,0.0012925854752621963
932,nwHBa,0.0012896083479898666
710,GATS4v,0.0012837014760814758
727,ATSC7m,0.0012821819342020205
1195,WTPT-5,0.0012798161184380953
829,AATS0p,0.001278675541960715
1201,ETA_dEpsilon_C,0.0012784548163638275
1050,BIC1,0.0012760555566779168
1143,C3SP3,0.0012704015858189567
1080,GATS8s,0.0012684347077364473
454,MATS6m,0.001268339554830111
1040,AATSC7v,0.001266018398308802
360,SpMax7_Bhe,0.0012637217043823727
1096,SpMAD_Dt,0.0012558024139763433
260,GATS1i,0.001255033641900782
819,ATSC6e,0.0012545945146423493
436,GATS3m,0.0012530138142284814
636,MATS4v,0.0012500414350292797
785,GATS7p,0.001249140182059345
424,BCUTw-1l,0.0012471348240799026
342,SpMin8_Bhi,0.0012440220166174015
1070,GATS8m,0.001240935092253707
946,AATSC6e,0.0012391319911253787
330,GATS6v,0.0012385323339994282
839,nAtomLAC,0.0012330764511933087
725,ATSC7v,0.001232976016939684
888,maxHBint5,0.0012321541619464463
169,R_TpiPCTPC,0.00123124090002713
18,SpMax8_Bhe,0.0012292514423616952
526,ATSC1p,0.0012290621416112175
120,ATSC8e,0.0012278102705384562
948,AATSC6m,0.0012244133936055138
568,khs.ssNH,0.0012239556446280448
1065,AATSC1i,0.0012212350504401343
586,AATSC8e,0.001218819805211494
1060,AATSC1p,0.0012171764007709626
221,CIC2,0.0012153896559019646
943,AATSC6s,0.0012147001336276376
929,GATS7e,0.0012134627265173862
45,ETA_EtaP,0.0012115269876548334
936,nHssNH,0.0012111649218013692
303,SpMin7_Bhi,0.001208284571586361
617,IC4,0.0012076945741448994
430,GATS3v,0.0012067871691691429
616,IC5,0.0012065422892275613
760,GATS2p,0.0012023941946190388
425,nBondsS3,0.0012016559969156054
734,JGI2,0.001192178375148299
1087,piPC4,0.001188888094666236
242,ETA_Epsilon_4,0.0011859153493697836
987,TIC5,0.001185347269887949
1142,VE3_DzZ,0.00118436390131553
689,SRW2,0.0011843461400081968
62,SpMax3_Bhi,0.0011817666687522466
906,MATS8m,0.0011805212444344327
1043,AATSC7m,0.0011790337666608686
708,GATS4s,0.0011761369079957191
718,ETA_Beta_ns,0.0011759703415872888
168,MATS1p,0.001175826669507831
975,GGI2,0.001174571477889401
171,MATS1v,0.0011711573866056329
876,MATS5s,0.0011707698285951717
27,VR2_Dt,0.0011685437569685035
920,SHBint3,0.0011663767166859773
686,SRW7,0.0011639366628290846
1190,ETA_Eta,0.0011609774856951199
856,AATSC5c,0.00115981732880049
852,AATSC5s,0.0011588265513454725
336,MATS7m,0.0011587873151735852
1033,VR1_Dzs,0.001149803298384654
1122,mindO,0.0011493865746513324
1127,ETA_EtaP_B_RC,0.001145532025919832
226,maxHAvin,0.0011439867347373368
300,AATS6e,0.001141525783781359
598,SpMin5_Bhe,0.0011388334805692273
117,MATS2s,0.0011375945226132212
593,SpMin5_Bhp,0.0011370575298611028
73,AATSC2s,0.0011364260888851343
262,minHAvin,0.0011360055182386003
713,GATS4m,0.001134964515713187
665,nBondsS,0.0011345333341114614
973,GGI1,0.0011342412430486695
476,ETA_BetaP,0.001125458277566308
896,ATSC5c,0.0011247091990921373
789,AATSC4v,0.001124681801819567
464,ATSC2v,0.0011185768038958763
428,GATS3p,0.0011175883252562454
182,VR2_Dzs,0.0011171592506157956
139,AATSC3i,0.0011159256499449976
1054,SIC0,0.0011141727608855244
558,SssNH,0.0011139747621481163
325,Mp,0.0011127306842769677
707,GATS4p,0.0011118447537497838
323,Mi,0.0011103233237017697
357,ATSC3i,0.001109933816924798
1149,ATS6v,0.0011089991305075707
521,GATS2i,0.0011078510205145737
339,MATS7e,0.0011077976533149555
715,VE1_Dzv,0.0011075694281326338
1176,nssNH,0.001107541445047001
832,SpMin4_Bhs,0.0011051819636047101
131,ETA_Eta_R_L,0.0011043014364221075
519,ETA_Beta,0.0011040298602465733
395,ATSC5s,0.001103304203966025
560,VE1_Dzp,0.0011001282857800619
475,AATS4e,0.0010995135040423511
1092,ATS1v,0.0010976948382936593
964,ATS0v,0.0010974070184738755
1152,ATS6m,0.0010966948322035047
176,MATS1i,0.0010964111851991375
581,AATSC8s,0.0010962709588521104
1056,SIC2,0.001096242917683094
795,SHssNH,0.0010946782935120493
13,MATS3i,0.0010914315166794311
174,MATS1e,0.0010902761955282716
271,minaasC,0.0010894312506476104
705,VE1_DzZ,0.0010878618388638751
935,GATS7i,0.0010870771287468297
341,SpMin8_Bhe,0.001084972795421189
1047,BIC2,0.001082759161082429
125,ATSC8m,0.0010820917760943106
860,AATSC5i,0.0010809965134742402
879,maxHBint8,0.00108074205526803
1074,GATS8e,0.0010801013746814894
634,MATS4s,0.0010800069553541464
805,ATS2i,0.0010798306260250408
30,ATS7p,0.0010770515438943613
48,maxHother,0.001076618204458588
155,maxssCH2,0.0010755184263567807
1167,nRing,0.0010726328561764462
751,nBonds,0.0010674330699119768
531,ATSC1i,0.0010631222401570738
966,MATS8e,0.0010628524279704852
1153,VE3_Dzi,0.0010614419545666705
1049,BIC0,0.0010611965420325483
1086,piPC5,0.0010594924378609092
886,maxHBint3,0.0010591172244957107
193,ATS5v,0.0010585737146990935
124,topoDiameter,0.0010574137945505455
250,SpMin7_Bhs,0.0010569792596644729
12,minHBint4,0.0010533201685878125
1113,VE2_DzZ,0.001052853427417398
687,SRW4,0.0010523034973285116
1000,ATSC4i,0.0010503540881047037
717,GATS4e,0.001048951320049849
