index,feature,importance
314,Linea1Pemetrexed,0.009154941433633212
21,Plaquetas_kurtosis,0.005880150559072364
288,Cisplatino,0.005094742551971743
125,Creatinina_kurtosis,0.004918773870692362
20,Plaquetas_skewness,0.004898143746638918
6,Hemoglobina_sum,0.004554817799730648
85,TTPa (s)_skewness,0.004435920677604406
136,Sodio_sum,0.004367700688947202
324,Adenocarcinoma,0.0043154217946551315
123,Creatinina_sum,0.004126039212439222
315,Linea1Pembro,0.004123074044224714
34,Leucocitos_kurtosis,0.004122358330411753
46,Linfocitos_skewness,0.004113637080353809
97,Glucosa_sum,0.004100376097538396
47,Linfocitos_kurtosis,0.004080347429227737
149,Potasio_sum,0.0039333500091062535
215,Fosfatasa Alcalina_skewness,0.0038979225822385203
112,Urea_kurtosis,0.0038555455426328
216,Fosfatasa Alcalina_kurtosis,0.003795911299848162
33,Leucocitos_skewness,0.0037651034229968586
2,Hemoglobina_max,0.0037415617152191344
71,TP (s)_sum,0.003718921024125645
7,Hemoglobina_skewness,0.0037027921295625177
167,Calcio_iqr,0.003683169882921688
322,DosisRT,0.003673294220975656
84,TTPa (s)_sum,0.0036580509823795457
163,Calcio_skewness,0.00360967561070122
241,Albumina_skewness,0.0036063827897573025
60,Neutrófilos_kurtosis,0.003582122391862861
40,Linfocitos_min,0.003556167968806239
150,Potasio_skewness,0.0034754076084048294
48,Linfocitos_quartile1,0.0034612874157805974
138,Sodio_kurtosis,0.0034256824007504994
154,Potasio_iqr,0.0034228958490526828
86,TTPa (s)_kurtosis,0.003421726099836014
50,Linfocitos_iqr,0.003412086824057071
261,Plaquetas_initial,0.003407260726533142
356,TEP,0.003397980473887796
202,GGT_skewness,0.003355798118682616
124,Creatinina_skewness,0.0033467247161499828
270,Sodio_initial,0.003343923605276273
11,Hemoglobina_iqr,0.003342331037710425
157,Calcio_min,0.0033386864793751112
177,GOT_kurtosis,0.003326362638710032
73,TP (s)_kurtosis,0.00331602966243505
111,Urea_skewness,0.0033130073776947012
59,Neutrófilos_skewness,0.003302992006495655
176,GOT_skewness,0.0032864555376777784
98,Glucosa_skewness,0.0032824297186129455
277,Bilirrubina total_initial,0.0032754709784473817
260,Hemoglobina_initial,0.003275443177326975
262,Leucocitos_initial,0.003263529382165417
255,LDH_kurtosis,0.0032412936839890092
242,Albumina_kurtosis,0.0032082028525980736
254,LDH_skewness,0.003206103396549695
232,Bilirrubina total_iqr,0.003189070967204084
161,Calcio_std,0.0031781045499262874
89,TTPa (s)_iqr,0.003170803934788101
96,Glucosa_std,0.0031662179421549736
164,Calcio_kurtosis,0.0031639036159219016
76,TP (s)_iqr,0.0031578363439200134
49,Linfocitos_quartile3,0.0031526655789587965
151,Potasio_kurtosis,0.003150709154459774
212,Fosfatasa Alcalina_median,0.003146643913449691
45,Linfocitos_sum,0.003128681291509552
264,Neutrófilos_initial,0.003123123828578962
231,Bilirrubina total_quartile3,0.0031140230723203798
127,Creatinina_quartile3,0.0031092887172074267
110,Urea_sum,0.0031072625437274628
248,LDH_min,0.003092474846566785
37,Leucocitos_iqr,0.0030690531777509073
5,Hemoglobina_std,0.003069000667531121
144,Potasio_min,0.0030687537097482923
302,Pembrolizumab,0.00306680862047566
43,Linfocitos_median,0.003051219002612144
10,Hemoglobina_quartile3,0.0030441793639703015
271,Potasio_initial,0.003031510392530777
269,Creatinina_initial,0.0030121575607428555
22,Plaquetas_quartile1,0.0030054126502250117
272,Calcio_initial,0.0029901723230962365
63,Neutrófilos_iqr,0.002983538764265993
93,Glucosa_max,0.0029811162740862904
42,Linfocitos_mean,0.0029682943206916996
4,Hemoglobina_median,0.0029630368218047276
152,Potasio_quartile1,0.0029617936359440733
95,Glucosa_median,0.002955913558492525
190,GPT_kurtosis,0.0029529999027461326
75,TP (s)_quartile3,0.0029374050370126544
128,Creatinina_iqr,0.00292929545794369
88,TTPa (s)_quartile3,0.0029291577536677987
245,Albumina_iqr,0.002928317184119577
72,TP (s)_skewness,0.002924300610525434
51,Linfocitos_rms,0.0029238740999641393
120,Creatinina_mean,0.002913950043534526
102,Glucosa_iqr,0.002911661081413215
239,Albumina_std,0.0028850692026636507
129,Creatinina_rms,0.002883661603028641
121,Creatinina_median,0.0028829466300292887
