index,feature,mutual_info_raw,relevance_score,n_neighbors
643,missingindicator_TNMIV,0.0,1.0,15
0,Hemoglobina_homogeneous,0.0,1.0,15
625,missingindicator_GOT_initial,0.0,1.0,15
622,missingindicator_Sodio_initial,0.0,1.0,15
621,missingindicator_Creatinina_initial,0.0,1.0,15
620,missingindicator_Urea_initial,0.0,1.0,15
619,missingindicator_Glucosa_initial,0.0,1.0,15
614,missingindicator_Leucocitos_initial,0.0,1.0,15
613,missingindicator_Plaquetas_initial,0.0,1.0,15
612,missingindicator_Hemoglobina_initial,0.0,1.0,15
610,missingindicator_LDH_iqr,0.0,1.0,15
33,Leucocitos_skewness,0.0,1.0,15
23,Plaquetas_quartile3,0.0,1.0,15
22,Plaquetas_quartile1,0.0,1.0,15
18,Plaquetas_std,0.0,1.0,15
605,missingindicator_LDH_sum,0.0,1.0,15
604,missingindicator_LDH_std,0.0,1.0,15
603,missingindicator_LDH_median,0.0,1.0,15
602,missingindicator_LDH_mean,0.0,1.0,15
600,missingindicator_LDH_min,0.0,1.0,15
599,missingindicator_Albumina_rms,0.0,1.0,15
597,missingindicator_Albumina_quartile3,0.0,1.0,15
594,missingindicator_Albumina_skewness,0.0,1.0,15
49,Linfocitos_quartile3,0.0,1.0,15
48,Linfocitos_quartile1,0.0,1.0,15
45,Linfocitos_sum,0.0,1.0,15
44,Linfocitos_std,0.0,1.0,15
42,Linfocitos_mean,0.0,1.0,15
41,Linfocitos_max,0.0,1.0,15
591,missingindicator_Albumina_median,0.0,1.0,15
590,missingindicator_Albumina_mean,0.0,1.0,15
588,missingindicator_Albumina_min,0.0,1.0,15
587,missingindicator_Bilirrubina total_rms,0.0,1.0,15
586,missingindicator_Bilirrubina total_iqr,0.0,1.0,15
585,missingindicator_Bilirrubina total_quartile3,0.0,1.0,15
584,missingindicator_Bilirrubina total_quartile1,0.0,1.0,15
583,missingindicator_Bilirrubina total_kurtosis,0.0,1.0,15
582,missingindicator_Bilirrubina total_skewness,0.0,1.0,15
579,missingindicator_Bilirrubina total_median,0.0,1.0,15
65,TP (s)_homogeneous,0.0,1.0,15
577,missingindicator_Bilirrubina total_max,0.0,1.0,15
576,missingindicator_Bilirrubina total_min,0.0,1.0,15
575,missingindicator_Fosfatasa Alcalina_rms,0.0,1.0,15
573,missingindicator_Fosfatasa Alcalina_quartile3,0.0,1.0,15
