index,feature,mutual_info_raw,relevance_score,n_neighbors
642,missingindicator_Linea1Pembro,0.0,1.0,19
0,Hemoglobina_homogeneous,0.0,1.0,19
623,missingindicator_Potasio_initial,0.0,1.0,19
619,missingindicator_Glucosa_initial,0.0,1.0,19
617,missingindicator_TP (s)_initial,0.0,1.0,19
616,missingindicator_Neutrófilos_initial,0.0,1.0,19
613,missingindicator_Plaquetas_initial,0.0,1.0,19
25,Plaquetas_rms,0.0,1.0,19
23,Plaquetas_quartile3,0.0,1.0,19
20,Plaquetas_skewness,0.0,1.0,19
19,Plaquetas_sum,0.0,1.0,19
580,missingindicator_Bilirrubina total_std,0.0,1.0,19
514,missingindicator_Potasio_iqr,0.0,1.0,19
513,missingindicator_Potasio_quartile3,0.0,1.0,19
512,missingindicator_Potasio_quartile1,0.0,1.0,19
499,missingindicator_Sodio_kurtosis,0.0,1.0,19
498,missingindicator_Sodio_skewness,0.0,1.0,19
497,missingindicator_Sodio_sum,0.0,1.0,19
495,missingindicator_Sodio_median,0.0,1.0,19
494,missingindicator_Sodio_mean,0.0,1.0,19
493,missingindicator_Sodio_max,0.0,1.0,19
490,missingindicator_Creatinina_iqr,0.0,1.0,19
489,missingindicator_Creatinina_quartile3,0.0,1.0,19
485,missingindicator_Creatinina_sum,0.0,1.0,19
484,missingindicator_Creatinina_std,0.0,1.0,19
483,missingindicator_Creatinina_median,0.0,1.0,19
482,missingindicator_Creatinina_mean,0.0,1.0,19
46,Linfocitos_skewness,0.0,1.0,19
45,Linfocitos_sum,0.0,1.0,19
41,Linfocitos_max,0.0,1.0,19
38,Leucocitos_rms,0.0,1.0,19
35,Leucocitos_quartile1,0.0,1.0,19
481,missingindicator_Creatinina_max,0.0,1.0,19
480,missingindicator_Creatinina_min,0.0,1.0,19
476,missingindicator_Urea_quartile1,0.0,1.0,19
472,missingindicator_Urea_std,0.0,1.0,19
471,missingindicator_Urea_median,0.0,1.0,19
467,missingindicator_Glucosa_rms,0.0,1.0,19
466,missingindicator_Glucosa_iqr,0.0,1.0,19
64,Neutrófilos_rms,0.0,1.0,19
61,Neutrófilos_quartile1,0.0,1.0,19
59,Neutrófilos_skewness,0.0,1.0,19
55,Neutrófilos_mean,0.0,1.0,19
460,missingindicator_Glucosa_std,0.0,1.0,19
458,missingindicator_Glucosa_mean,0.0,1.0,19
454,missingindicator_TTPa (s)_iqr,0.0,1.0,19
431,missingindicator_Neutrófilos_rms,0.0,1.0,19
429,missingindicator_Neutrófilos_quartile3,0.0,1.0,19
428,missingindicator_Neutrófilos_quartile1,0.0,1.0,19
426,missingindicator_Neutrófilos_skewness,0.0,1.0,19
422,missingindicator_Neutrófilos_mean,0.0,1.0,19
81,TTPa (s)_mean,0.0,1.0,19
80,TTPa (s)_max,0.0,1.0,19
79,TTPa (s)_min,0.0,1.0,19
78,TTPa (s)_homogeneous,0.0,1.0,19
77,TP (s)_rms,0.0,1.0,19
75,TP (s)_quartile3,0.0,1.0,19
74,TP (s)_quartile1,0.0,1.0,19
73,TP (s)_kurtosis,0.0,1.0,19
72,TP (s)_skewness,0.0,1.0,19
71,TP (s)_sum,0.0,1.0,19
69,TP (s)_median,0.0,1.0,19
68,TP (s)_mean,0.0,1.0,19
67,TP (s)_max,0.0,1.0,19
66,TP (s)_min,0.0,1.0,19
417,missingindicator_Linfocitos_quartile3,0.0,1.0,19
414,missingindicator_Linfocitos_skewness,0.0,1.0,19
412,missingindicator_Linfocitos_std,0.0,1.0,19
408,missingindicator_Linfocitos_min,0.0,1.0,19
407,missingindicator_Leucocitos_rms,0.0,1.0,19
405,missingindicator_Leucocitos_quartile3,0.0,1.0,19
404,missingindicator_Leucocitos_quartile1,0.0,1.0,19
96,Glucosa_std,0.0,1.0,19
95,Glucosa_median,0.0,1.0,19
92,Glucosa_min,0.0,1.0,19
90,TTPa (s)_rms,0.0,1.0,19
89,TTPa (s)_iqr,0.0,1.0,19
85,TTPa (s)_skewness,0.0,1.0,19
84,TTPa (s)_sum,0.0,1.0,19
83,TTPa (s)_std,0.0,1.0,19
82,TTPa (s)_median,0.0,1.0,19
398,missingindicator_Leucocitos_mean,0.0,1.0,19
397,missingindicator_Leucocitos_max,0.0,1.0,19
396,missingindicator_Leucocitos_min,0.0,1.0,19
394,missingindicator_Plaquetas_iqr,0.0,1.0,19
393,missingindicator_Plaquetas_quartile3,0.0,1.0,19
392,missingindicator_Plaquetas_quartile1,0.0,1.0,19
387,missingindicator_Plaquetas_median,0.0,1.0,19
113,Urea_quartile1,0.0,1.0,19
111,Urea_skewness,0.0,1.0,19
105,Urea_min,0.0,1.0,19
98,Glucosa_skewness,0.0,1.0,19
383,missingindicator_Hemoglobina_rms,0.0,1.0,19
380,missingindicator_Hemoglobina_quartile1,0.0,1.0,19
378,missingindicator_Hemoglobina_skewness,0.0,1.0,19
377,missingindicator_Hemoglobina_sum,0.0,1.0,19
375,missingindicator_Hemoglobina_median,0.0,1.0,19
373,missingindicator_Hemoglobina_max,0.0,1.0,19
369,QTprevia,0.0,1.0,19
368,PrótesisArticular,0.0,1.0,19
367,InjertoCV,0.0,1.0,19
365,Trasplante,0.0,1.0,19
360,Crohn,0.0,1.0,19
358,ValvAórtica,0.0,1.0,19
355,CIsquémica,0.0,1.0,19
129,Creatinina_rms,0.0,1.0,19
127,Creatinina_quartile3,0.0,1.0,19
124,Creatinina_skewness,0.0,1.0,19
121,Creatinina_median,0.0,1.0,19
120,Creatinina_mean,0.0,1.0,19
117,Creatinina_homogeneous,0.0,1.0,19
353,EnfCerebroVascular,0.0,1.0,19
351,EnfNRL,0.0,1.0,19
350,Alcohol,0.0,1.0,19
349,Obesidad,0.0,1.0,19
348,Desnutrición,0.0,1.0,19
347,NeoHEM,0.0,1.0,19
346,CAneuroendocrino,0.0,1.0,19
345,CATiroides,0.0,1.0,19
344,CASNC,0.0,1.0,19
343,CAurinario,0.0,1.0,19
340,CAmama,0.0,1.0,19
339,Mesotelioma,0.0,1.0,19
145,Potasio_max,0.0,1.0,19
337,CAóseo,0.0,1.0,19
335,CAORL,0.0,1.0,19
334,Neoplasia,0.0,1.0,19
329,DM,0.0,1.0,19
326,HistOtros,0.0,1.0,19
323,CelPeq,0.0,1.0,19
321,Radioterapia,0.0,1.0,19
320,TNMCOD,0.0,1.0,19
317,NºLineasVO,0.0,1.0,19
316,NºLineasIV,0.0,1.0,19
315,Linea1Pembro,0.0,1.0,19
313,Linea1Etoposido,0.0,1.0,19
312,Linea1Pacli,0.0,1.0,19
307,Linea1Nivo,0.0,1.0,19
306,Linea1Atezo,0.0,1.0,19
160,Calcio_median,0.0,1.0,19
159,Calcio_mean,0.0,1.0,19
158,Calcio_max,0.0,1.0,19
155,Potasio_rms,0.0,1.0,19
153,Potasio_quartile3,0.0,1.0,19
146,Potasio_mean,0.0,1.0,19
305,Linea1Carbo,0.0,1.0,19
303,Pemetrexed,0.0,1.0,19
302,Pembrolizumab,0.0,1.0,19
299,Osimertinib,0.0,1.0,19
296,Irinotecan,0.0,1.0,19
294,Gefitinib,0.0,1.0,19
293,Etoposido,0.0,1.0,19
292,Erlotinib,0.0,1.0,19
291,Durvalumab,0.0,1.0,19
175,GOT_sum,0.0,1.0,19
174,GOT_std,0.0,1.0,19
173,GOT_median,0.0,1.0,19
171,GOT_max,0.0,1.0,19
170,GOT_min,0.0,1.0,19
168,Calcio_rms,0.0,1.0,19
166,Calcio_quartile3,0.0,1.0,19
163,Calcio_skewness,0.0,1.0,19
287,Carboplatino,0.0,1.0,19
286,Brigatinib,0.0,1.0,19
285,Bevacizumab,0.0,1.0,19
284,Atezolumab,0.0,1.0,19
283,Alectinib,0.0,1.0,19
282,Afatinib,0.0,1.0,19
281,Edad,0.0,1.0,19
277,Bilirrubina total_initial,0.0,1.0,19
276,Fosfatasa Alcalina_initial,0.0,1.0,19
189,GPT_skewness,0.0,1.0,19
184,GPT_max,0.0,1.0,19
183,GPT_min,0.0,1.0,19
181,GOT_rms,0.0,1.0,19
180,GOT_iqr,0.0,1.0,19
179,GOT_quartile3,0.0,1.0,19
178,GOT_quartile1,0.0,1.0,19
271,Potasio_initial,0.0,1.0,19
270,Sodio_initial,0.0,1.0,19
269,Creatinina_initial,0.0,1.0,19
268,Urea_initial,0.0,1.0,19
267,Glucosa_initial,0.0,1.0,19
265,TP (s)_initial,0.0,1.0,19
260,Hemoglobina_initial,0.0,1.0,19
259,LDH_rms,0.0,1.0,19
209,Fosfatasa Alcalina_min,0.0,1.0,19
205,GGT_quartile3,0.0,1.0,19
204,GGT_quartile1,0.0,1.0,19
199,GGT_median,0.0,1.0,19
198,GGT_mean,0.0,1.0,19
196,GGT_min,0.0,1.0,19
194,GPT_rms,0.0,1.0,19
257,LDH_quartile3,0.0,1.0,19
256,LDH_quartile1,0.0,1.0,19
254,LDH_skewness,0.0,1.0,19
253,LDH_sum,0.0,1.0,19
251,LDH_median,0.0,1.0,19
250,LDH_mean,0.0,1.0,19
248,LDH_min,0.0,1.0,19
224,Bilirrubina total_mean,0.0,1.0,19
222,Bilirrubina total_min,0.0,1.0,19
221,Bilirrubina total_homogeneous,0.0,1.0,19
220,Fosfatasa Alcalina_rms,0.0,1.0,19
217,Fosfatasa Alcalina_quartile1,0.0,1.0,19
212,Fosfatasa Alcalina_median,0.0,1.0,19
211,Fosfatasa Alcalina_mean,0.0,1.0,19
241,Albumina_skewness,0.0,1.0,19
238,Albumina_median,0.0,1.0,19
228,Bilirrubina total_skewness,0.0,1.0,19
226,Bilirrubina total_std,0.0,1.0,19
641,missingindicator_Linea1Pemetrexed,0.0,1.0,19
