feature,mean_pos,median_pos,std_pos
Linfocitos_std,48.7,27.0,64.64216889925648
Linfocitos_max,49.1,28.0,64.12713934053195
TP (s)_rms,51.6,54.0,5.571355310873647
TTPa (s)_max,52.8,52.0,7.560423268574319
missingindicator_Bilirrubina total_skewness,56.5,32.5,73.48367165568145
TP (s)_mean,58.6,57.5,5.023942674832188
missingindicator_Bilirrubina total_kurtosis,62.8,31.5,94.00510624428865
Glucosa_median,64.4,68.5,7.539230729988305
TTPa (s)_iqr,75.1,74.0,4.52658811910251
missingindicator_Plaquetas_initial,75.2,9.0,143.16410164562905
TTPa (s)_quartile3,75.5,75.0,3.8794329482541645
TP (s)_quartile3,76.1,55.0,73.87618019361857
Linfocitos_quartile3,76.2,32.5,90.40995520405926
missingindicator_GGT_rms,76.7,43.0,101.70747268514738
missingindicator_GGT_quartile1,77.8,53.5,79.4012594358553
Urea_median,80.1,84.0,7.542545989253231
missingindicator_GGT_quartile3,83.1,44.5,102.00632333340907
Urea_max,83.7,85.0,9.466255859631092
missingindicator_Creatinina_initial,89.2,5.5,176.1021294590159
Leucocitos_skewness,90.2,23.5,110.18148664816609
Linfocitos_quartile1,91.9,26.5,99.84432883243795
Glucosa_min,92.2,71.5,61.635703938545234
TTPa (s)_rms,96.4,74.5,64.07058607504695
TTPa (s)_homogeneous,103.8,53.0,105.00076190199765
Creatinina_rms,105.7,103.5,14.519297503667318
missingindicator_Bilirrubina total_median,118.2,38.5,133.4404736202626
missingindicator_Calcio_initial,119.6,3.5,189.9595746468179
missingindicator_LDH_kurtosis,119.9,17.5,171.4178812143004
TTPa (s)_mean,129.2,61.0,112.48004267424511
Glucosa_skewness,129.3,90.0,76.78938728756728
TP (s)_max,129.8,62.5,108.15710794950094
Sodio_quartile1,129.8,118.5,44.62689771875253
missingindicator_Fosfatasa Alcalina_rms,130.3,47.0,145.7052161042974
missingindicator_Leucocitos_initial,130.6,9.0,203.17883748067857
Calcio_mean,130.8,133.0,7.717512552629894
Calcio_median,133.1,132.5,10.539924098398432
missingindicator_Albumina_rms,134.0,21.5,186.66654761900966
missingindicator_LDH_sum,135.8,24.0,149.1541484505208
missingindicator_GGT_skewness,136.3,63.5,133.28919686156112
Potasio_skewness,138.5,137.5,3.6124783736376886
GGT_initial,145.3,180.5,85.97796229267125
Sodio_skewness,145.7,120.5,57.22945046040544
missingindicator_GGT_std,146.0,62.0,192.03124745728232
GOT_sum,146.7,148.0,9.252567211320326
GOT_std,147.1,149.0,9.596353474106714
missingindicator_Bilirrubina total_quartile3,147.7,42.5,144.15065036273683
missingindicator_TNMIV,148.2,1.0,187.03678782528317
Sodio_mean,149.3,121.0,64.4996899217353
EnfCerebroVascular,150.0,133.5,41.32311701699183
missingindicator_Fosfatasa Alcalina_median,154.5,40.5,149.60163769157074
Obesidad,154.9,149.5,38.14564195291515
missingindicator_Urea_initial,156.5,113.5,166.68908182601524
TP (s)_median,156.8,62.5,127.00141731492607
Potasio_quartile3,157.1,136.5,46.84751861091471
missingindicator_LDH_iqr,160.5,12.5,196.23162334343564
Sodio_max,161.8,121.0,92.96429422095346
Fosfatasa Alcalina_initial,163.7,181.5,76.16436174484757
GPT_quartile1,164.7,167.5,10.266937225872184
Creatinina_mean,165.4,105.5,99.32592813560818
GPT_max,168.1,170.0,9.449338601193208
Calcio_skewness,168.3,155.0,38.96934692806642
missingindicator_Bilirrubina total_std,168.6,43.0,168.0762922008931
GPT_iqr,169.3,169.0,13.798913000667843
GPT_initial,170.0,183.5,82.16081791218974
missingindicator_Fosfatasa Alcalina_min,171.3,55.0,163.08651078492053
GOT_min,172.6,153.0,66.3116882608187
TP (s)_skewness,172.7,56.0,152.3936022279151
missingindicator_Albumina_quartile1,173.1,130.5,158.01673961957323
QTinmunosupresores,175.7,136.5,104.44524881486952
GPT_quartile3,175.7,170.0,29.120611257320817
GGT_rms,178.5,182.0,11.552056094046634
PrótesisArticular,179.0,133.0,114.74319151914854
missingindicator_Albumina_mean,179.2,154.5,152.7061229944628
LDH_rms,179.6,196.5,66.97641375887486
LDH_initial,179.9,196.0,87.15440321636079
missingindicator_Glucosa_initial,180.2,126.0,187.48642617533676
Potasio_quartile1,180.3,138.0,67.36623783468987
GOT_quartile1,180.4,173.5,23.992498827758645
missingindicator_GGT_kurtosis,180.8,54.5,215.04827365035973
GPT_mean,181.8,170.5,52.039984627207566
Plaquetas_skewness,181.8,244.5,145.63914309003607
Fosfatasa Alcalina_min,183.3,182.5,15.126466871017833
missingindicator_GOT_initial,186.4,227.0,167.1802619928561
Urea_rms,187.2,109.5,118.95024169794696
GGT_mean,188.0,187.5,3.6606010435446255
missingindicator_LDH_quartile3,188.1,139.5,188.1310447533846
Calcio_min,188.2,134.5,86.36295502123582
TP (s)_initial,188.5,196.0,63.564534136576505
missingindicator_Potasio_quartile3,188.7,78.5,157.05734621468682
GOT_median,189.0,151.5,67.66387514767389
missingindicator_Neutrófilos_kurtosis,189.2,115.5,114.21278387290978
LDH_quartile3,190.7,209.0,63.232981900271
GPT_median,192.5,169.5,84.54850678752405
Hemoglobina_skewness,192.6,232.5,96.16569034744147
TEP,193.3,141.5,110.91803279899982
LDH_kurtosis,193.7,210.5,60.06504807290177
missingindicator_Albumina_median,194.6,144.0,185.53716608809137
Potasio_median,194.7,139.0,88.00119317372919
LDH_median,194.7,212.5,61.655575579180194
EnfNRL,195.4,155.5,112.85849547109869
Bilirrubina total_initial,195.4,196.0,74.73580132707482
missingindicator_Linfocitos_initial,196.4,125.5,216.3119044343145
Urea_quartile1,197.5,107.5,137.38577073336234
LDH_skewness,197.7,211.5,63.98913970354658
missingindicator_Fosfatasa Alcalina_quartile1,197.9,50.0,204.5959188253764
missingindicator_Linea1Pembro,198.0,138.0,208.06777741880168
Creatinina_max,198.6,175.0,103.86356435247156
Albumina_iqr,198.8,216.5,64.58142147707807
Fosfatasa Alcalina_rms,199.2,200.5,5.528109984434102
GPT_rms,199.2,189.0,30.413155048432575
Glucosa_rms,199.6,170.0,115.10360550391113
Fosfatasa Alcalina_quartile1,199.8,200.5,5.74108003776293
Fosfatasa Alcalina_std,200.1,201.5,6.090155991434045
Potasio_mean,200.6,142.0,93.57798886490349
missingindicator_Hemoglobina_initial,200.8,251.0,168.5632225605574
Plaquetas_quartile3,201.0,252.0,163.02821841632203
Bilirrubina total_mean,201.1,200.0,8.50235261559999
TP (s)_min,201.5,179.5,146.62417945209447
Sodio_rms,201.8,185.5,86.66925637156466
Calcio_rms,202.1,157.0,69.50316539554152
missingindicator_Glucosa_iqr,202.6,180.0,115.71966125080041
NºLineas,203.3,187.0,122.51371351812008
Irinotecan,203.3,205.0,43.93643135258029
Fosfatasa Alcalina_median,203.4,202.5,3.6386810797320503
missingindicator_Glucosa_quartile3,203.6,135.0,125.81112828363
Fosfatasa Alcalina_max,204.1,204.5,4.109744517606903
Glucosa_quartile3,204.1,188.5,117.20362622376493
LDH_sum,204.3,212.5,73.7821794202367
Bilirrubina total_homogeneous,204.5,201.0,17.030854353202603
missingindicator_Potasio_skewness,204.8,164.0,145.92724214484423
