feature,mean_pos,median_pos,std_pos
Linfocitos_median,26.3,25.5,3.976179070414209
Linfocitos_mean,26.9,25.5,3.5623026261113755
Plaquetas_skewness,40.6,17.0,69.32705099742812
Linfocitos_skewness,45.3,22.5,66.2933631670622
TP (s)_median,56.7,58.0,8.729833904490967
TP (s)_mean,57.3,59.0,8.752713864853575
TP (s)_quartile3,57.4,59.5,3.104834939252005
TP (s)_max,57.9,60.0,8.848163651289457
TTPa (s)_mean,63.1,60.5,13.018832512940628
TTPa (s)_median,64.9,72.5,13.51628647225265
Neutrófilos_kurtosis,66.1,39.5,80.0680335714572
Glucosa_median,70.5,70.5,3.556683848755748
TTPa (s)_iqr,72.4,73.5,3.4698703145794947
TTPa (s)_sum,74.0,75.5,4.024922359499621
TP (s)_sum,77.0,58.0,63.60660343077596
Linfocitos_sum,78.3,25.0,110.5513907646575
missingindicator_Neutrófilos_initial,80.3,8.0,112.91062837483457
Linfocitos_quartile3,85.8,37.5,110.0797892439843
Plaquetas_rms,85.8,13.5,112.3439361959514
Glucosa_quartile1,87.2,88.5,7.833262411026457
TTPa (s)_max,87.8,56.5,97.50876883644875
Urea_quartile1,93.5,92.0,14.56193668438371
Neutrófilos_rms,93.7,45.0,99.01823064466464
Glucosa_mean,97.4,71.5,80.26231992660068
missingindicator_LDH_mean,100.9,24.5,153.56591418671007
Creatinina_quartile1,100.9,102.5,6.252199612936233
Creatinina_median,104.9,105.5,2.9137604568666933
Creatinina_mean,105.5,106.0,2.9410882339705484
Urea_median,105.8,87.0,53.52532111066686
Creatinina_rms,107.3,104.5,10.92748827498799
Linfocitos_std,107.9,27.0,128.74505815758522
missingindicator_TP (s)_initial,110.6,7.0,176.28737901506165
TTPa (s)_min,113.6,57.5,122.46321896798237
Urea_min,115.4,88.5,88.89904386437462
TP (s)_min,115.5,61.0,127.15443366237766
TTPa (s)_skewness,115.7,75.0,82.91447400785947
missingindicator_Fosfatasa Alcalina_mean,117.0,43.5,150.62669086187879
missingindicator_Bilirrubina total_quartile1,124.3,35.5,142.8321042343072
Leucocitos_quartile1,126.1,30.0,149.48006556059573
Linfocitos_rms,128.7,42.5,136.28503219356114
Plaquetas_kurtosis,128.7,16.0,179.80881513429756
Creatinina_max,129.4,106.0,70.93123430478282
Glucosa_rms,133.6,90.5,96.75143409789852
TP (s)_quartile1,138.4,61.0,124.61958112592099
missingindicator_Bilirrubina total_mean,138.8,42.0,157.07374064432284
Glucosa_skewness,139.6,86.5,120.74369548759057
missingindicator_Bilirrubina total_sum,144.8,44.0,174.76773157536834
Creatinina_std,148.1,106.0,95.64564809754808
GOT_median,149.1,150.5,8.85945822271317
GOT_std,149.2,150.0,6.47765389628066
missingindicator_LDH_std,149.7,27.5,195.7038834566141
GOT_mean,149.7,151.5,8.74128137060008
GOT_max,150.3,152.5,8.69540108333135
TTPa (s)_std,150.7,77.5,117.00602548586974
missingindicator_Potasio_std,151.0,86.5,148.2140344231949
TTPa (s)_homogeneous,151.4,58.5,147.88454956485484
Calcio_quartile3,151.5,153.0,8.743569065318807
missingindicator_LDH_skewness,152.1,28.0,199.2673831814931
Potasio_max,152.5,127.0,85.05674576422496
Calcio_median,155.1,136.0,64.0210121756912
Leucocitos_skewness,155.7,142.5,136.10440845174708
missingindicator_Sodio_skewness,156.5,95.5,132.11604747342392
Plaquetas_sum,156.7,19.0,176.94521751095735
missingindicator_Potasio_sum,161.4,85.5,132.21890938893725
missingindicator_Fosfatasa Alcalina_sum,162.4,50.0,186.9444837378199
GOT_quartile1,164.6,171.0,13.937001112147477
Neutrófilos_homogeneous,165.0,42.5,203.1521597227064
missingindicator_Bilirrubina total_min,165.8,44.0,172.35300983736838
Sodio_quartile1,168.3,120.0,100.04603940186736
missingindicator_Fosfatasa Alcalina_kurtosis,168.9,49.5,195.01048689749996
GPT_mean,170.0,170.0,3.924283374069717
GPT_max,170.6,170.5,4.294182110716777
GPT_min,171.2,171.5,4.770744176750625
Urea_mean,172.4,90.0,105.40512321514548
GPT_iqr,172.7,173.5,11.532996141506334
Plaquetas_quartile1,174.7,137.5,170.94212470892012
Potasio_mean,174.9,136.5,94.67254089755909
