feature,mean_pos,median_pos,std_pos
Leucocitos_quartile3,18.3,22.5,8.000624975587845
Leucocitos_rms,19.9,22.5,7.175653280364095
Neutrófilos_quartile3,29.2,29.0,7.332121111929345
Neutrófilos_rms,29.2,30.5,6.982836100038437
Neutrófilos_max,34.0,36.5,8.099382692526634
Neutrófilos_mean,35.2,36.5,6.6
missingindicator_Sodio_initial,42.6,7.5,73.73493066383125
TTPa (s)_max,47.3,50.5,8.93364427319557
missingindicator_Linea1Pembro,47.3,2.0,91.04949203592516
TTPa (s)_min,50.4,52.5,8.014985963805552
Neutrófilos_iqr,55.0,35.0,73.91887445030531
Glucosa_max,60.8,66.0,9.019977827023746
TTPa (s)_iqr,65.4,67.5,6.56048778674269
Linfocitos_quartile3,67.6,19.5,79.30977241172741
Plaquetas_iqr,84.0,15.5,88.54716257452861
missingindicator_TNMIV,84.2,0.5,128.64276116439666
TP (s)_iqr,85.4,53.5,77.07943954129402
TP (s)_skewness,91.9,57.0,106.5443100310852
Linfocitos_rms,93.1,41.5,95.20341380433791
Obesidad,97.7,97.5,49.46321865790782
TTPa (s)_std,102.0,70.5,79.24140331922447
TTPa (s)_median,102.3,64.5,83.7711764272175
TTPa (s)_quartile1,105.3,68.5,87.72462596101506
Linea1Pacli,114.4,87.0,97.26170880670358
TP (s)_rms,116.5,57.5,107.82508984461826
Leucocitos_median,117.4,182.5,87.94111666336742
Creatinina_std,119.4,100.5,59.462929628466846
Hemoglobina_quartile1,119.8,147.0,103.84488432272434
QTprevia,122.3,113.5,78.93801365628603
CIsquémica,122.5,98.0,90.77692438059356
PrótesisArticular,123.5,114.5,75.6402670539971
Neutrófilos_median,123.8,44.0,110.48601721484941
Urea_max,124.9,86.0,75.9874331715449
Alcohol,125.2,92.0,88.83445277593599
Glucosa_quartile1,125.2,91.5,63.21518804844291
TP (s)_std,125.6,56.5,148.59084763201264
Plaquetas_initial,127.1,118.5,33.19171583392458
Artropatía,127.4,98.5,97.8807437650532
Linfocitos_initial,128.4,122.0,30.140338418803463
Plaquetas_quartile3,129.5,133.0,111.15687113264748
Hemoglobina_min,129.5,105.0,130.8894571766573
Osimertinib,129.9,118.0,101.47851989460628
Calcio_median,129.9,132.0,23.3771255718063
CAneuroendocrino,131.0,100.5,91.675514724489
GOT_quartile1,132.2,137.0,35.9521904756859
TP (s)_median,132.4,64.0,97.53378901693505
Calcio_initial,136.6,126.0,34.226305672683985
missingindicator_Urea_initial,138.1,187.5,87.32519682199406
Linea1Cisplatino,139.7,86.0,126.09603483060043
Calcio_max,139.9,132.5,47.17085964872805
Urea_std,141.0,85.5,101.24623449788145
ERC,142.4,93.5,134.0195508125587
LDH_initial,143.4,125.5,92.54642078438258
NºLineasIV,144.0,92.0,125.6686118328678
Radioterapia,144.1,84.5,118.62584035529525
missingindicator_Potasio_initial,144.9,92.0,170.85400200170906
Leucocitos_iqr,149.3,115.5,136.0220937936187
Gefitinib,149.5,98.0,113.74467020480564
Potasio_max,151.0,113.0,88.15894736213676
Bilirrubina total_quartile3,152.7,145.0,21.37311395187889
Bilirrubina total_rms,153.5,146.0,20.333469944896272
ValvMitral,155.1,122.5,151.5621654635483
Sodio_min,155.5,115.0,111.36987923132538
Leucocitos_max,156.2,188.0,102.14479918233724
Albumina_median,156.3,151.0,17.48170472236618
LDH_skewness,156.6,143.0,33.266199061509866
VIH,156.9,104.0,152.04305311325476
QTinmunosupresores,156.9,101.5,173.7126650535303
Bilirrubina total_skewness,158.1,143.5,33.26394444439805
Lorlatinib,159.5,115.5,141.4674874308581
Linea1Gemcitabina,160.6,124.0,122.61582279624436
Sodio_quartile1,162.0,119.5,113.3181362359971
Bilirrubina total_quartile1,162.1,149.5,32.163488616753
Calcio_quartile1,162.4,154.0,45.66442816898072
GOT_initial,163.7,135.0,66.71738903764145
Desnutrición,165.0,100.0,136.45731933465495
Bilirrubina total_median,166.2,162.0,14.344336861632888
Bilirrubina total_mean,166.9,162.0,21.477662815120272
NºLineasVO,167.2,104.5,160.18289546640113
missingindicator_Creatinina_initial,167.6,189.0,114.76340880263186
Bilirrubina total_initial,167.6,149.0,70.53254567928198
Pemetrexed,168.3,141.0,117.19133927044268
HistOtros,168.3,112.5,150.16061401046548
Bilirrubina total_min,168.7,161.0,24.29012144885241
Hemoglobina_rms,169.1,228.5,120.37562045530647
Glucosa_min,169.8,142.5,119.63344014112442
GPT_min,170.5,164.5,26.02402735934621
Neutrófilos_initial,170.7,141.5,72.39620155781655
Albumina_min,171.0,152.5,47.65081321446676
Linea1Pemetrexed,171.4,156.0,94.85589069741532
GGT_sum,171.7,169.5,8.866228059327145
Creatinina_initial,172.1,134.5,74.9539191770517
Pembrolizumab,172.1,111.0,144.43853363974586
GGT_max,172.2,170.0,7.997499609252881
LES,172.3,124.0,136.04488229992336
TEP,172.4,97.0,173.29870166853533
Glucosa_initial,172.9,134.5,90.88613755683537
Durvalumab,174.3,149.0,86.34355795309804
GGT_std,174.4,173.0,12.666491226855209
