index,feature,mutual_info_raw,relevance_score,n_neighbors
642,missingindicator_Linea1Pembro,0.0,1.0,7
0,Hemoglobina_homogeneous,0.0,1.0,7
1,Hemoglobina_min,0.0,1.0,7
626,missingindicator_GPT_initial,0.0,1.0,7
624,missingindicator_Calcio_initial,0.0,1.0,7
623,missingindicator_Potasio_initial,0.0,1.0,7
622,missingindicator_Sodio_initial,0.0,1.0,7
621,missingindicator_Creatinina_initial,0.0,1.0,7
620,missingindicator_Urea_initial,0.0,1.0,7
619,missingindicator_Glucosa_initial,0.0,1.0,7
617,missingindicator_TP (s)_initial,0.0,1.0,7
616,missingindicator_Neutrófilos_initial,0.0,1.0,7
611,missingindicator_LDH_rms,0.0,1.0,7
31,Leucocitos_std,0.0,1.0,7
30,Leucocitos_median,0.0,1.0,7
28,Leucocitos_max,0.0,1.0,7
24,Plaquetas_iqr,0.0,1.0,7
604,missingindicator_LDH_std,0.0,1.0,7
66,TP (s)_min,0.0,1.0,7
598,missingindicator_Albumina_iqr,0.0,1.0,7
49,Linfocitos_quartile3,0.0,1.0,7
43,Linfocitos_median,0.0,1.0,7
42,Linfocitos_mean,0.0,1.0,7
38,Leucocitos_rms,0.0,1.0,7
36,Leucocitos_quartile3,0.0,1.0,7
35,Leucocitos_quartile1,0.0,1.0,7
594,missingindicator_Albumina_skewness,0.0,1.0,7
593,missingindicator_Albumina_sum,0.0,1.0,7
586,missingindicator_Bilirrubina total_iqr,0.0,1.0,7
582,missingindicator_Bilirrubina total_skewness,0.0,1.0,7
569,missingindicator_Fosfatasa Alcalina_sum,0.0,1.0,7
574,missingindicator_Fosfatasa Alcalina_iqr,0.0,1.0,7
559,missingindicator_GGT_kurtosis,0.0,1.0,7
563,missingindicator_GGT_rms,0.0,1.0,7
57,Neutrófilos_std,0.0,1.0,7
64,Neutrófilos_rms,0.0,1.0,7
558,missingindicator_GGT_skewness,0.0,1.0,7
557,missingindicator_GGT_sum,0.0,1.0,7
555,missingindicator_GGT_median,0.0,1.0,7
553,missingindicator_GGT_max,0.0,1.0,7
552,missingindicator_GGT_min,0.0,1.0,7
549,missingindicator_GPT_quartile3,0.0,1.0,7
54,Neutrófilos_max,0.0,1.0,7
55,Neutrófilos_mean,0.0,1.0,7
63,Neutrófilos_iqr,0.0,1.0,7
62,Neutrófilos_quartile3,0.0,1.0,7
538,missingindicator_GOT_iqr,0.0,1.0,7
539,missingindicator_GOT_rms,0.0,1.0,7
541,missingindicator_GPT_max,0.0,1.0,7
546,missingindicator_GPT_skewness,0.0,1.0,7
416,missingindicator_Linfocitos_quartile1,0.0,1.0,7
496,missingindicator_Sodio_std,0.0,1.0,7
495,missingindicator_Sodio_median,0.0,1.0,7
487,missingindicator_Creatinina_kurtosis,0.0,1.0,7
536,missingindicator_GOT_quartile1,0.0,1.0,7
80,TTPa (s)_max,0.0,1.0,7
79,TTPa (s)_min,0.0,1.0,7
78,TTPa (s)_homogeneous,0.0,1.0,7
68,TP (s)_mean,0.0,1.0,7
76,TP (s)_iqr,0.0,1.0,7
72,TP (s)_skewness,0.0,1.0,7
69,TP (s)_median,0.0,1.0,7
526,missingindicator_Calcio_iqr,0.0,1.0,7
67,TP (s)_max,0.0,1.0,7
525,missingindicator_Calcio_quartile3,0.0,1.0,7
523,missingindicator_Calcio_kurtosis,0.0,1.0,7
87,TTPa (s)_quartile1,0.0,1.0,7
521,missingindicator_Calcio_sum,0.0,1.0,7
519,missingindicator_Calcio_median,0.0,1.0,7
518,missingindicator_Calcio_mean,0.0,1.0,7
92,Glucosa_min,0.0,1.0,7
90,TTPa (s)_rms,0.0,1.0,7
89,TTPa (s)_iqr,0.0,1.0,7
88,TTPa (s)_quartile3,0.0,1.0,7
508,missingindicator_Potasio_std,0.0,1.0,7
514,missingindicator_Potasio_iqr,0.0,1.0,7
513,missingindicator_Potasio_quartile3,0.0,1.0,7
512,missingindicator_Potasio_quartile1,0.0,1.0,7
502,missingindicator_Sodio_iqr,0.0,1.0,7
505,missingindicator_Potasio_max,0.0,1.0,7
500,missingindicator_Sodio_quartile1,0.0,1.0,7
498,missingindicator_Sodio_skewness,0.0,1.0,7
405,missingindicator_Leucocitos_quartile3,0.0,1.0,7
414,missingindicator_Linfocitos_skewness,0.0,1.0,7
428,missingindicator_Neutrófilos_quartile1,0.0,1.0,7
423,missingindicator_Neutrófilos_median,0.0,1.0,7
485,missingindicator_Creatinina_sum,0.0,1.0,7
113,Urea_quartile1,0.0,1.0,7
103,Glucosa_rms,0.0,1.0,7
100,Glucosa_quartile1,0.0,1.0,7
464,missingindicator_Glucosa_quartile1,0.0,1.0,7
479,missingindicator_Urea_rms,0.0,1.0,7
471,missingindicator_Urea_median,0.0,1.0,7
468,missingindicator_Urea_min,0.0,1.0,7
462,missingindicator_Glucosa_skewness,0.0,1.0,7
463,missingindicator_Glucosa_kurtosis,0.0,1.0,7
431,missingindicator_Neutrófilos_rms,0.0,1.0,7
456,missingindicator_Glucosa_min,0.0,1.0,7
397,missingindicator_Leucocitos_max,0.0,1.0,7
398,missingindicator_Leucocitos_mean,0.0,1.0,7
413,missingindicator_Linfocitos_sum,0.0,1.0,7
412,missingindicator_Linfocitos_std,0.0,1.0,7
127,Creatinina_quartile3,0.0,1.0,7
122,Creatinina_std,0.0,1.0,7
118,Creatinina_min,0.0,1.0,7
418,missingindicator_Linfocitos_iqr,0.0,1.0,7
370,ACmonoclonalprevio,0.0,1.0,7
137,Sodio_skewness,0.0,1.0,7
145,Potasio_max,0.0,1.0,7
139,Sodio_quartile1,0.0,1.0,7
375,missingindicator_Hemoglobina_median,0.0,1.0,7
377,missingindicator_Hemoglobina_sum,0.0,1.0,7
380,missingindicator_Hemoglobina_quartile1,0.0,1.0,7
394,missingindicator_Plaquetas_iqr,0.0,1.0,7
269,Creatinina_initial,0.0,1.0,7
268,Urea_initial,0.0,1.0,7
267,Glucosa_initial,0.0,1.0,7
299,Osimertinib,0.0,1.0,7
298,Nivolumab,0.0,1.0,7
297,Lorlatinib,0.0,1.0,7
294,Gefitinib,0.0,1.0,7
291,Durvalumab,0.0,1.0,7
361,Hepatopatía,0.0,1.0,7
368,PrótesisArticular,0.0,1.0,7
367,InjertoCV,0.0,1.0,7
363,LES,0.0,1.0,7
356,TEP,0.0,1.0,7
357,ValvMitral,0.0,1.0,7
355,CIsquémica,0.0,1.0,7
354,Cardiopatía,0.0,1.0,7
343,CAurinario,0.0,1.0,7
353,EnfCerebroVascular,0.0,1.0,7
352,AIT,0.0,1.0,7
351,EnfNRL,0.0,1.0,7
350,Alcohol,0.0,1.0,7
349,Obesidad,0.0,1.0,7
346,CAneuroendocrino,0.0,1.0,7
344,CASNC,0.0,1.0,7
339,Mesotelioma,0.0,1.0,7
342,CAGenitalMasc,0.0,1.0,7
341,CAGenitalFem,0.0,1.0,7
340,CAmama,0.0,1.0,7
160,Calcio_median,0.0,1.0,7
162,Calcio_sum,0.0,1.0,7
159,Calcio_mean,0.0,1.0,7
337,CAóseo,0.0,1.0,7
309,Linea1Gemcitabina,0.0,1.0,7
335,CAORL,0.0,1.0,7
334,Neoplasia,0.0,1.0,7
332,EPOCAsma,0.0,1.0,7
330,FRA,0.0,1.0,7
331,ERC,0.0,1.0,7
324,Adenocarcinoma,0.0,1.0,7
178,GOT_quartile1,0.0,1.0,7
171,GOT_max,0.0,1.0,7
176,GOT_skewness,0.0,1.0,7
173,GOT_median,0.0,1.0,7
172,GOT_mean,0.0,1.0,7
165,Calcio_quartile1,0.0,1.0,7
168,Calcio_rms,0.0,1.0,7
321,Radioterapia,0.0,1.0,7
320,TNMCOD,0.0,1.0,7
181,GOT_rms,0.0,1.0,7
318,NºLineas,0.0,1.0,7
317,NºLineasVO,0.0,1.0,7
314,Linea1Pemetrexed,0.0,1.0,7
313,Linea1Etoposido,0.0,1.0,7
312,Linea1Pacli,0.0,1.0,7
311,Linea1Beva,0.0,1.0,7
310,Linea1Cisplatino,0.0,1.0,7
305,Linea1Carbo,0.0,1.0,7
308,Linea1Vinorelbina,0.0,1.0,7
186,GPT_median,0.0,1.0,7
183,GPT_min,0.0,1.0,7
179,GOT_quartile3,0.0,1.0,7
301,Paclitaxel,0.0,1.0,7
302,Pembrolizumab,0.0,1.0,7
303,Pemetrexed,0.0,1.0,7
10,Hemoglobina_quartile3,0.0,1.0,7
2,Hemoglobina_max,0.0,1.0,7
636,missingindicator_Linea1Gemcitabina,0.0,1.0,7
263,Linfocitos_initial,0.0,1.0,7
261,Plaquetas_initial,0.0,1.0,7
260,Hemoglobina_initial,0.0,1.0,7
238,Albumina_median,0.0,1.0,7
234,Albumina_homogeneous,0.0,1.0,7
207,GGT_rms,0.0,1.0,7
203,GGT_kurtosis,0.0,1.0,7
202,GGT_skewness,0.0,1.0,7
201,GGT_sum,0.0,1.0,7
197,GGT_max,0.0,1.0,7
196,GGT_min,0.0,1.0,7
195,GGT_homogeneous,0.0,1.0,7
290,Docetaxel,0.0,1.0,7
287,Carboplatino,0.0,1.0,7
286,Brigatinib,0.0,1.0,7
283,Alectinib,0.0,1.0,7
282,Afatinib,0.0,1.0,7
280,Sexo,0.0,1.0,7
277,Bilirrubina total_initial,0.0,1.0,7
226,Bilirrubina total_std,0.0,1.0,7
225,Bilirrubina total_median,0.0,1.0,7
224,Bilirrubina total_mean,0.0,1.0,7
223,Bilirrubina total_max,0.0,1.0,7
222,Bilirrubina total_min,0.0,1.0,7
219,Fosfatasa Alcalina_iqr,0.0,1.0,7
218,Fosfatasa Alcalina_quartile3,0.0,1.0,7
215,Fosfatasa Alcalina_skewness,0.0,1.0,7
271,Potasio_initial,0.0,1.0,7
270,Sodio_initial,0.0,1.0,7
3,Hemoglobina_mean,0.0,1.0,7
627,missingindicator_GGT_initial,0.0,1.0,7
15,Plaquetas_max,0.0,1.0,7
635,missingindicator_Linea1Vinorelbina,0.0,1.0,7
632,missingindicator_Linea1Carbo,0.0,1.0,7
633,missingindicator_Linea1Atezo,0.0,1.0,7
631,missingindicator_LDH_initial,0.0,1.0,7
630,missingindicator_Albumina_initial,0.0,1.0,7
228,Bilirrubina total_skewness,0.0,1.0,7
233,Bilirrubina total_rms,0.0,1.0,7
231,Bilirrubina total_quartile3,0.0,1.0,7
230,Bilirrubina total_quartile1,0.0,1.0,7
250,LDH_mean,0.0,1.0,7
255,LDH_kurtosis,0.0,1.0,7
247,LDH_homogeneous,0.0,1.0,7
243,Albumina_quartile1,0.0,1.0,7
13,Plaquetas_homogeneous,0.0,1.0,7
180,GOT_iqr,3.185929852911329e-05,0.9999681407014709,7
467,missingindicator_Glucosa_rms,5.20123644625059e-05,0.9999479876355375,7
158,Calcio_max,6.159647273040747e-05,0.9999384035272696,7
237,Albumina_mean,6.502576417011241e-05,0.9999349742358299,7
378,missingindicator_Hemoglobina_skewness,0.00011411900369928674,0.9998858809963007,7
585,missingindicator_Bilirrubina total_quartile3,0.00023251187989581368,0.9997674881201042,7
9,Hemoglobina_quartile1,0.000232795364628835,0.9997672046353712,7
12,Hemoglobina_rms,0.00025413944387420173,0.9997458605561258,7
56,Neutrófilos_median,0.0002746337926469167,0.9997253662073531,7
82,TTPa (s)_median,0.00028402217893397363,0.999715977821066,7
638,missingindicator_Linea1Beva,0.0003038060273827803,0.9996961939726172,7
567,missingindicator_Fosfatasa Alcalina_median,0.00030727046161826976,0.9996927295383817,7
400,missingindicator_Leucocitos_std,0.0003823539300076284,0.9996176460699924,7
27,Leucocitos_min,0.0003861733371746112,0.9996138266628254,7
483,missingindicator_Creatinina_median,0.00041085625610692844,0.9995891437438931,7
116,Urea_rms,0.0005559245736446172,0.9994440754263554,7
358,ValvAórtica,0.0005587051759823325,0.9994412948240177,7
147,Potasio_median,0.0005851372475564887,0.9994148627524435,7
391,missingindicator_Plaquetas_kurtosis,0.0006706767766617716,0.9993293232233382,7
156,Calcio_homogeneous,0.0006825160311954015,0.9993174839688046,7
14,Plaquetas_min,0.000686651640370961,0.999313348359629,7
232,Bilirrubina total_iqr,0.0007050079424457678,0.9992949920575542,7
477,missingindicator_Urea_quartile3,0.0007576684076489038,0.9992423315923511,7
386,missingindicator_Plaquetas_mean,0.0007992369233673635,0.9992007630766326,7
466,missingindicator_Glucosa_iqr,0.000804913878579061,0.9991950861214209,7
281,Edad,0.0008548137807733447,0.9991451862192267,7
607,missingindicator_LDH_kurtosis,0.0008762053031774464,0.9991237946968226,7
229,Bilirrubina total_kurtosis,0.0009024639720736083,0.9990975360279264,7
74,TP (s)_quartile1,0.000980879487592734,0.9990191205124073,7
561,missingindicator_GGT_quartile3,0.0010112828504462712,0.9989887171495537,7
532,missingindicator_GOT_std,0.0010242641661286633,0.9989757358338713,7
583,missingindicator_Bilirrubina total_kurtosis,0.0010383835788703166,0.9989616164211297,7
629,missingindicator_Bilirrubina total_initial,0.0011668590671014556,0.9988331409328985,7
254,LDH_skewness,0.0011893875319692881,0.9988106124680307,7
618,missingindicator_TTPa (s)_initial,0.0012139359330887167,0.9987860640669113,7
25,Plaquetas_rms,0.0012606014147165112,0.9987393985852835,7
102,Glucosa_iqr,0.001294530470623112,0.9987054695293769,7
316,NºLineasIV,0.0013010739991758946,0.9986989260008241,7
279,LDH_initial,0.001336482622956936,0.9986635173770431,7
208,Fosfatasa Alcalina_homogeneous,0.0015252001100392043,0.9984747998899608,7
227,Bilirrubina total_sum,0.0015301787305390668,0.9984698212694609,7
410,missingindicator_Linfocitos_mean,0.0015833762213208757,0.9984166237786791,7
272,Calcio_initial,0.0016454904810072613,0.9983545095189927,7
425,missingindicator_Neutrófilos_sum,0.001688397668170083,0.9983116023318299,7
336,CADigestivo,0.001703893238166554,0.9982961067618334,7
407,missingindicator_Leucocitos_rms,0.0017347055143135393,0.9982652944856865,7
475,missingindicator_Urea_kurtosis,0.0017904220422773065,0.9982095779577227,7
469,missingindicator_Urea_max,0.001827488210325523,0.9981725117896745,7
315,Linea1Pembro,0.0018353487788567158,0.9981646512211433,7
628,missingindicator_Fosfatasa Alcalina_initial,0.0018430435765872666,0.9981569564234127,7
578,missingindicator_Bilirrubina total_mean,0.0018497247410351747,0.9981502752589648,7
577,missingindicator_Bilirrubina total_max,0.001885497333044217,0.9981145026669558,7
114,Urea_quartile3,0.001917966448009345,0.9980820335519907,7
85,TTPa (s)_skewness,0.0019606493108388356,0.9980393506891612,7
535,missingindicator_GOT_kurtosis,0.001979908909012007,0.998020091090988,7
278,Albumina_initial,0.001995448286901347,0.9980045517130987,7
157,Calcio_min,0.002105646176395748,0.9978943538236043,7
37,Leucocitos_iqr,0.0021499580250714523,0.9978500419749285,7
580,missingindicator_Bilirrubina total_std,0.0021788132794160475,0.997821186720584,7
304,Vinorelbina,0.0021871874912222644,0.9978128125087777,7
545,missingindicator_GPT_sum,0.002234454180308987,0.997765545819691,7
70,TP (s)_std,0.0022676636314651333,0.9977323363685349,7
524,missingindicator_Calcio_quartile1,0.002303010506891745,0.9976969894931083,7
382,missingindicator_Hemoglobina_iqr,0.002333053177770328,0.9976669468222297,7
327,Epidermoide,0.002390298571085303,0.9976097014289147,7
151,Potasio_kurtosis,0.002453866345544675,0.9975461336544553,7
94,Glucosa_mean,0.002529401085395122,0.9974705989146049,7
329,DM,0.0025352752320819683,0.997464724767918,7
369,QTprevia,0.0026652695604094667,0.9973347304395905,7
264,Neutrófilos_initial,0.0026693242456539146,0.9973306757543461,7
556,missingindicator_GGT_std,0.0026723650639999263,0.9973276349360001,7
284,Atezolumab,0.0026726768396510003,0.997327323160349,7
365,Trasplante,0.002740521385414585,0.9972594786145854,7
520,missingindicator_Calcio_std,0.002757988768042452,0.9972420112319575,7
249,LDH_max,0.002774441072168621,0.9972255589278314,7
596,missingindicator_Albumina_quartile1,0.0027923957170150615,0.9972076042829849,7
381,missingindicator_Hemoglobina_quartile3,0.002824724107790111,0.9971752758922099,7
16,Plaquetas_mean,0.0028247340119111897,0.9971752659880888,7
83,TTPa (s)_std,0.0028671059968572443,0.9971328940031428,7
509,missingindicator_Potasio_sum,0.0029359507094648407,0.9970640492905352,7
474,missingindicator_Urea_skewness,0.0029397790700138593,0.9970602209299861,7
117,Creatinina_homogeneous,0.0029581293764495697,0.9970418706235504,7
376,missingindicator_Hemoglobina_std,0.0030560874862790577,0.9969439125137209,7
115,Urea_iqr,0.00308165813514627,0.9969183418648537,7
643,missingindicator_TNMIV,0.0031623344257352137,0.9968376655742648,7
421,missingindicator_Neutrófilos_max,0.003275824385428283,0.9967241756145717,7
366,Traqueostomía,0.003289603076728209,0.9967103969232718,7
26,Leucocitos_homogeneous,0.0032955448881257787,0.9967044551118742,7
490,missingindicator_Creatinina_iqr,0.0032993420968074894,0.9967006579031925,7
461,missingindicator_Glucosa_sum,0.003320309498856311,0.9966796905011437,7
374,missingindicator_Hemoglobina_mean,0.003328410576703522,0.9966715894232965,7
326,HistOtros,0.0033438380294299463,0.99665616197057,7
39,Linfocitos_homogeneous,0.0034113267184476825,0.9965886732815523,7
51,Linfocitos_rms,0.0035025385145006638,0.9964974614854993,7
