index,feature,importance
110,Urea_sum,0.006470900326866134
58,Neutrófilos_sum,0.006342294503298009
136,Sodio_sum,0.006313157596516331
32,Leucocitos_sum,0.005883867894120314
149,Potasio_sum,0.0057710777890328385
97,Glucosa_sum,0.005271402937852008
162,Calcio_sum,0.0046350956066306456
6,Hemoglobina_sum,0.004463398958971488
1,Hemoglobina_min,0.00446257065996527
14,Plaquetas_min,0.004409316298912672
177,GOT_kurtosis,0.004329765809258301
240,Albumina_sum,0.004199635214131242
24,Plaquetas_iqr,0.0041718804358190295
293,Etoposido,0.004168582358033774
313,Linea1Etoposido,0.004161383096152043
125,Creatinina_kurtosis,0.004096835385211948
123,Creatinina_sum,0.0040950991646061434
242,Albumina_kurtosis,0.004056736819625721
9,Hemoglobina_quartile1,0.003992786653600035
176,GOT_skewness,0.003983491983461407
141,Sodio_iqr,0.003980781249712625
47,Linfocitos_kurtosis,0.003964674452548085
124,Creatinina_skewness,0.00394071742709424
347,NeoHEM,0.0039007021642458784
190,GPT_kurtosis,0.003898429383554879
27,Leucocitos_min,0.0037266464340677125
18,Plaquetas_std,0.0036890846835502056
157,Calcio_min,0.0036737492419397846
131,Sodio_min,0.0036112863886628623
189,GPT_skewness,0.0035501391114761364
37,Leucocitos_iqr,0.003539604798086611
165,Calcio_quartile1,0.0035288131963939545
3,Hemoglobina_mean,0.003511172126492991
160,Calcio_median,0.0034895383721875593
12,Hemoglobina_rms,0.003468487406399913
168,Calcio_rms,0.0034260083953070123
154,Potasio_iqr,0.003416393348372501
63,Neutrófilos_iqr,0.0033962737877661596
19,Plaquetas_sum,0.0033823466252808666
87,TTPa (s)_quartile1,0.00333864796421272
161,Calcio_std,0.003282527836575925
46,Linfocitos_skewness,0.0032773687247041592
159,Calcio_mean,0.0032758601683194285
276,Fosfatasa Alcalina_initial,0.003264669893688911
53,Neutrófilos_min,0.0032409556678662274
22,Plaquetas_quartile1,0.003234575291923176
45,Linfocitos_sum,0.0032222777095071054
334,Neoplasia,0.003205641961372359
167,Calcio_iqr,0.00318981712778085
4,Hemoglobina_median,0.003173474875068566
135,Sodio_std,0.003172382667380597
81,TTPa (s)_mean,0.0031519777559789208
331,ERC,0.003149435675796372
89,TTPa (s)_iqr,0.0031286706081448
15,Plaquetas_max,0.0031279290061411785
50,Linfocitos_iqr,0.0031208001272211186
93,Glucosa_max,0.0031200137041256
254,LDH_skewness,0.0031173861026512592
71,TP (s)_sum,0.0031070327811273156
239,Albumina_std,0.003105396403337368
102,Glucosa_iqr,0.0030946042261803513
10,Hemoglobina_quartile3,0.0030913755211848925
235,Albumina_min,0.003084346068343234
8,Hemoglobina_kurtosis,0.0030818880572892984
84,TTPa (s)_sum,0.0030784948546408123
70,TP (s)_std,0.0030775258795159195
118,Creatinina_min,0.0030688473777582144
628,missingindicator_Fosfatasa Alcalina_initial,0.003058833631209262
323,CelPeq,0.0030513420272414915
82,TTPa (s)_median,0.003049899090701572
60,Neutrófilos_kurtosis,0.003040710227804733
278,Albumina_initial,0.0030403385129903833
275,GGT_initial,0.0030388734844839886
150,Potasio_skewness,0.003038122703367271
76,TP (s)_iqr,0.003032154224151811
88,TTPa (s)_quartile3,0.0030252413151617735
111,Urea_skewness,0.0030221796751110632
80,TTPa (s)_max,0.0030070011206832494
90,TTPa (s)_rms,0.0029891510855298543
229,Bilirrubina total_kurtosis,0.002988553634007772
96,Glucosa_std,0.002987511312035083
34,Leucocitos_kurtosis,0.0029803040392704355
83,TTPa (s)_std,0.0029799089989458764
330,FRA,0.002968798251385547
266,TTPa (s)_initial,0.0029526555318716632
