index,feature,importance
46,EPOCAsma,0.015618689944285054
146,TP (s)_quartile1,0.009920855846027742
133,Neutrófilos_sum,0.008929589329693906
194,Sodio_min,0.008743135336338371
165,Glucosa_sum,0.008726296213358253
199,Sodio_sum,0.007869489290930176
178,Urea_kurtosis,0.0074677708447000255
151,TTPa (s)_mean,0.007459945757877877
86,Hemoglobina_min,0.007256510090939366
210,Potasio_sum,0.007191722446506009
112,Leucocitos_sum,0.0071315905289492275
147,TP (s)_quartile3,0.007010173609611346
119,Linfocitos_min,0.006424912262749491
91,Hemoglobina_sum,0.006270793207033732
107,Leucocitos_min,0.006170766986682359
268,Albumina_min,0.006061769795849733
201,Sodio_quartile1,0.005761364212468441
141,TP (s)_mean,0.00570040769920948
176,Urea_sum,0.005673789984065041
200,Sodio_kurtosis,0.005546666434477878
68,Cardiopatía,0.005436607744264366
212,Potasio_kurtosis,0.005426069352872757
114,Leucocitos_kurtosis,0.00537844965590092
93,Hemoglobina_kurtosis,0.005181932637796195
128,Neutrófilos_min,0.00513800243819788
189,Creatinina_kurtosis,0.005108302901471951
191,Creatinina_quartile3,0.0051010194160008805
203,Sodio_iqr,0.005073166035996385
167,Glucosa_kurtosis,0.00504674998841543
135,Neutrófilos_kurtosis,0.0049266513886921815
152,TTPa (s)_median,0.00491209198976081
97,Hemoglobina_rms,0.004894325982347452
204,Sodio_rms,0.004876966601683002
90,Hemoglobina_std,0.004851193102939183
279,Albumina_rms,0.004741936569891948
129,Neutrófilos_max,0.004725500529582313
187,Creatinina_sum,0.004716658848524002
156,TTPa (s)_kurtosis,0.00470370454419935
198,Sodio_std,0.004666315858866708
138,Neutrófilos_rms,0.00454966264896071
89,Hemoglobina_median,0.004504863478083492
145,TP (s)_kurtosis,0.00447602319063266
271,Albumina_median,0.004466007442981038
161,Glucosa_min,0.004390132392388134
205,Potasio_min,0.004382585613965378
105,Plaquetas_iqr,0.004373921378442862
158,TTPa (s)_quartile3,0.004337823275534264
182,Creatinina_min,0.004321786969192076
108,Leucocitos_max,0.0043126488566648455
42,Adenoescamoso,0.004255609475650793
111,Leucocitos_std,0.0041741666732632654
154,TTPa (s)_sum,0.004166456967793199
149,TTPa (s)_min,0.004134493054174374
166,Glucosa_skewness,0.004133488401261841
118,Leucocitos_rms,0.004120672969101432
132,Neutrófilos_std,0.004084049863539788
312,NºLineasVO,0.0040828398421833756
102,Plaquetas_sum,0.004047063992505044
143,TP (s)_sum,0.00403265994153629
183,Creatinina_max,0.003994543662466433
177,Urea_skewness,0.003987151078140866
197,Sodio_median,0.003964679235253343
269,Albumina_max,0.003922943582290268
186,Creatinina_std,0.0039144024705591515
103,Plaquetas_kurtosis,0.0038963279923793326
308,Albumina_initial,0.003887990812664967
124,Linfocitos_kurtosis,0.0038790401089742552
311,NºLineasIV,0.0038659570689398813
193,Creatinina_rms,0.003865908219470218
170,Glucosa_iqr,0.0038505569932225088
300,Sodio_initial,0.0038192524228043297
98,Plaquetas_min,0.0038186093543953947
216,Calcio_min,0.0038040048764491773
209,Potasio_std,0.0037913603979674733
134,Neutrófilos_skewness,0.0037900592140877516
14,Gemcitabina,0.0037881252806677267
101,Plaquetas_std,0.0037809922015342302
270,Albumina_mean,0.003771090937142745
172,Urea_min,0.0037520198424969642
164,Glucosa_std,0.0037198382168231437
302,Calcio_initial,0.0037057396522723243
162,Glucosa_max,0.003705369275930899
275,Albumina_kurtosis,0.003701124765460197
142,TP (s)_median,0.0036923737808868943
169,Glucosa_quartile3,0.0036849424478634586
306,Fosfatasa Alcalina_initial,0.0036728765147612066
309,LDH_initial,0.0036665880715744123
202,Sodio_quartile3,0.0036515740543453497
272,Albumina_std,0.0036348039175701273
264,Bilirrubina total_kurtosis,0.0036199109157134743
130,Neutrófilos_mean,0.0036027883673095977
159,TTPa (s)_iqr,0.0035834774818152707
208,Potasio_median,0.0035530203314811473
273,Albumina_sum,0.0035351973646259626
92,Hemoglobina_skewness,0.0035256330871094622
131,Neutrófilos_median,0.003489975151870322
245,Fosfatasa Alcalina_min,0.0034869191084101795
40,HistOtros,0.00348430991974196
36,Radioterapia,0.0034601604987976246
215,Potasio_rms,0.003450533633075882
291,Hemoglobina_initial,0.0034323515420182846
225,GOT_min,0.0034217301937514615
140,TP (s)_max,0.0034153111507980232
