feature,mean_pos,median_pos,std_pos
Neutrófilos_sum,0.2,0.0,0.4000000000000001
Leucocitos_sum,1.6,1.0,0.8
Urea_sum,1.8,2.0,0.9797958971132712
Sodio_sum,3.2,3.0,0.7483314773547882
Glucosa_sum,3.4,4.0,1.3564659966250538
Potasio_sum,5.0,5.0,0.6324555320336759
Hemoglobina_min,9.0,7.5,3.924283374069717
Creatinina_kurtosis,12.6,10.0,8.777243302996675
Hemoglobina_sum,13.9,13.5,4.036087214122113
Leucocitos_iqr,14.2,9.0,9.682974749528164
Neutrófilos_iqr,15.4,12.0,8.309031231136396
Creatinina_sum,16.1,14.5,5.068530358989674
Creatinina_skewness,16.6,13.5,8.912911982062878
Potasio_iqr,16.8,12.5,10.322790320451151
Hemoglobina_quartile1,18.9,18.0,7.077428911688199
Plaquetas_min,19.1,15.5,9.904039579888602
Leucocitos_min,19.7,17.0,10.61178590059185
Sodio_iqr,22.0,19.5,8.933084573650918
Calcio_sum,23.4,20.5,10.00199980003999
Calcio_min,25.4,19.5,13.749181793837769
Linea1Etoposido,26.3,16.5,27.561023203067045
GOT_kurtosis,27.4,24.5,15.506127820961622
Etoposido,27.5,16.0,22.437691503361034
Albumina_kurtosis,27.6,25.0,8.511169132381285
Albumina_sum,27.8,29.0,8.975522268926749
Urea_kurtosis,30.3,21.5,23.782556632961057
GOT_skewness,32.6,33.0,14.2492105044455
Linfocitos_kurtosis,33.0,30.5,16.61324772583615
Plaquetas_sum,33.5,31.5,9.17877987534291
Calcio_iqr,35.9,35.0,17.472549899771355
Calcio_std,36.6,36.5,10.983624174196784
Calcio_quartile1,37.6,31.0,16.529972776747094
Plaquetas_iqr,37.8,37.5,16.296011782028142
Sodio_min,40.6,40.0,15.926079241294765
Potasio_std,41.0,29.0,27.28369476445593
Neoplasia,41.8,39.0,24.322006496175433
TTPa (s)_quartile1,42.3,40.0,12.837834708392222
Calcio_median,43.3,35.0,22.208331769856105
TTPa (s)_median,45.1,48.0,13.974619851716897
Urea_skewness,45.2,44.5,14.654692081377895
TP (s)_sum,46.5,42.0,13.603308421115798
TTPa (s)_quartile3,47.7,39.5,20.72221030681814
Hemoglobina_mean,47.7,49.5,16.328196471135445
Linea1Atezo,48.4,26.0,40.8612285669435
TTPa (s)_mean,49.4,47.5,14.705101155721437
Neutrófilos_min,50.2,51.0,12.1309521472966
Albumina_min,50.7,45.5,15.57594298910984
Hemoglobina_rms,52.5,55.0,18.139735389470268
TTPa (s)_sum,54.2,43.5,21.371944226017437
TTPa (s)_initial,54.7,49.5,13.513326755466249
Sodio_std,55.6,45.0,24.39754085968502
Fosfatasa Alcalina_initial,57.0,55.0,23.524455360326623
Linfocitos_skewness,57.1,53.5,14.38367129769031
Plaquetas_quartile1,57.8,46.5,28.084871372324283
TTPa (s)_rms,58.0,54.0,21.71635328502463
LDH_skewness,58.8,54.0,28.795138478569612
Creatinina_min,60.6,56.5,25.480188382349137
GPT_skewness,62.7,66.0,25.992498917957082
Albumina_skewness,65.0,62.5,15.993748778819805
TTPa (s)_max,65.9,53.0,33.83622319349487
Calcio_rms,66.3,62.5,22.30717373402556
Albumina_std,66.6,62.5,22.900655012466345
Creatinina_initial,67.8,67.0,18.15929514050587
GPT_kurtosis,68.3,73.0,33.654271645661865
Calcio_mean,68.5,61.5,22.38861317723811
Hemoglobina_median,69.1,65.0,17.974704448196082
TP (s)_iqr,69.2,75.5,19.913814300630605
TTPa (s)_iqr,69.8,54.0,31.361760154685197
TP (s)_std,72.3,69.5,14.81924424523734
Hemoglobina_kurtosis,74.8,68.5,30.66528982416439
Potasio_skewness,74.9,73.5,14.453027364535085
Plaquetas_max,75.5,58.0,33.323415191123495
Plaquetas_std,75.6,66.0,28.89705867385122
Linfocitos_sum,75.7,76.5,20.090047287151915
Glucosa_iqr,77.7,68.0,47.05539288965719
Leucocitos_kurtosis,83.2,79.0,22.211708624056815
TTPa (s)_std,84.5,75.5,33.32941643653546
Neutrófilos_std,86.5,77.0,28.161143442694225
Leucocitos_quartile3,87.1,86.0,30.011497796677858
Leucocitos_std,89.3,83.5,25.06411777821035
Leucocitos_quartile1,91.8,93.5,34.236822282449054
Hemoglobina_quartile3,92.8,93.5,17.8202132422707
Potasio_max,93.5,91.0,26.751635464023504
Linfocitos_iqr,93.7,90.5,22.724656213021134
TTPa (s)_skewness,95.9,89.0,40.74174763065522
Glucosa_max,96.1,86.5,40.15333111959704
Albumina_initial,97.5,88.5,27.32855649316297
CIsquémica,97.6,65.0,82.0209729276604
Albumina_quartile3,97.8,98.0,24.19421418438714
Glucosa_std,98.2,83.0,34.8562763358337
Linfocitos_min,98.4,96.0,12.467557900406959
Hemoglobina_iqr,98.8,95.5,9.4
Albumina_rms,100.0,101.0,21.66564100136435
Calcio_max,101.0,98.5,24.38852189043034
Neutrófilos_quartile3,101.2,102.0,29.838900784043638
Plaquetas_median,102.4,92.0,32.99454500368205
Albumina_mean,102.8,98.5,23.111901695879553
Albumina_quartile1,104.0,101.5,10.08959860450355
TTPa (s)_min,104.6,104.0,25.973832986296035
Calcio_quartile3,107.0,107.5,22.289010745208053
Neutrófilos_quartile1,107.2,108.0,20.903588208726273
Albumina_median,107.3,108.5,18.868227261722286
Leucocitos_max,107.5,98.0,39.38083290129857
Edad,107.7,110.0,33.95894580224775
CelPeq,108.4,107.0,64.43632515902812
Hemoglobina_skewness,109.2,102.5,25.190474390134064
Neutrófilos_kurtosis,110.2,105.5,26.3658870512638
Neutrófilos_max,110.3,100.5,35.63719966551805
Plaquetas_rms,110.4,109.0,29.114257675578816
Fosfatasa Alcalina_kurtosis,111.6,117.5,31.620246678354675
Calcio_initial,113.2,112.5,24.551171051499765
Plaquetas_mean,115.9,106.0,33.083077245020604
TP (s)_min,116.3,122.0,14.839474384222642
Sodio_initial,117.9,109.0,36.106647587390334
GPT_initial,117.9,113.0,29.463367085246727
Plaquetas_skewness,118.2,115.0,18.712562625145708
ERC,118.5,83.0,92.55619914408759
Urea_initial,119.1,117.5,18.880942773071478
Glucosa_rms,119.2,116.0,37.17741249737534
TP (s)_quartile1,121.0,120.0,19.77371993328519
Bilirrubina total_kurtosis,121.3,113.0,48.598456765621684
Leucocitos_skewness,121.9,122.0,17.552492700468502
Neutrófilos_skewness,122.5,123.0,29.625158227425555
Leucocitos_rms,123.0,112.0,33.707565916274646
Neutrófilos_rms,123.6,122.0,34.66756409094818
Atezolumab,124.1,129.0,74.70803169673258
Neutrófilos_mean,124.4,125.5,29.04203849594584
Glucosa_kurtosis,124.8,118.0,24.36719105682885
TP (s)_kurtosis,125.0,132.5,25.946097972527586
GGT_initial,125.8,135.5,42.86210447469886
Creatinina_quartile1,126.7,124.5,21.37311395187889
Plaquetas_kurtosis,127.8,128.5,25.91447471973916
Leucocitos_mean,128.1,125.0,38.872741091927125
LDH_kurtosis,129.4,134.5,42.70643979542196
Sodio_quartile1,129.8,129.0,31.208332220738743
Neutrófilos_median,130.4,136.0,29.94060787626063
Plaquetas_initial,130.9,130.5,31.62103730113862
Hemoglobina_std,131.4,129.5,20.441134997841974
Calcio_skewness,132.5,134.0,14.179210133149168
Potasio_min,136.0,148.5,39.69130887234635
Bilirrubina total_initial,137.1,137.0,27.016476454193654
Glucosa_mean,137.2,139.5,32.42468195680568
TTPa (s)_kurtosis,137.7,134.0,21.19929244102265
Potasio_initial,138.3,140.5,15.264665079850264
Hemoglobina_initial,138.6,138.0,20.567936211491908
TP (s)_max,143.0,144.0,25.499019588995967
Glucosa_min,143.7,141.0,29.896655331324272
Sodio_skewness,144.0,147.5,19.849433241279208
Urea_iqr,144.3,147.0,17.05315220127939
Plaquetas_quartile3,145.5,146.0,23.97185850116757
Linfocitos_quartile3,147.6,145.5,19.885673234768795
Potasio_quartile3,148.8,150.0,28.57551399362748
GPT_min,149.4,146.0,26.276224995230955
Leucocitos_median,151.2,152.0,34.89355241301751
Linfocitos_std,152.0,150.0,17.88854381999832
Sodio_kurtosis,153.9,161.0,30.726047581815664
Linfocitos_initial,155.7,156.0,28.59388046418324
Potasio_quartile1,159.8,165.0,20.68235963327202
Linfocitos_max,160.0,152.0,31.95622005181464
missingindicator_Fosfatasa Alcalina_initial,160.5,150.0,75.30903000304811
Albumina_max,161.6,155.5,25.53898979991182
Linea1Pemetrexed,163.3,143.5,45.55227765984924
Linfocitos_median,165.6,171.0,31.02644033723495
Albumina_iqr,165.8,165.5,14.647866738880444
Potasio_kurtosis,165.9,173.0,20.65163431789358
Sodio_max,166.1,174.0,30.833261261177025
Glucosa_quartile3,166.2,164.5,27.46925554142303
missingindicator_LDH_initial,166.3,159.5,61.98556283522801
TP (s)_skewness,167.8,169.5,36.27616297239828
TP (s)_mean,168.4,167.0,22.672450242530026
TP (s)_quartile3,169.1,180.0,21.533462331914947
TP (s)_rms,169.9,173.5,24.49265195931221
Adenocarcinoma,170.0,171.0,38.06573262134856
TP (s)_median,170.7,174.0,20.57206844242941
Glucosa_skewness,171.2,170.0,18.59462287867114
LDH_initial,172.7,184.5,29.274733132857076
Calcio_kurtosis,173.5,176.0,29.756511892357278
GGT_min,173.9,176.0,29.21797392017455
Bilirrubina total_min,175.3,180.0,21.424518664371433
NeoHEM,177.0,149.0,96.99587620100145
Linfocitos_mean,177.3,170.0,26.007883420224722
Fosfatasa Alcalina_skewness,180.7,178.5,31.032402420695693
Linfocitos_rms,180.9,179.0,26.055517649818434
DosisRT,182.0,182.5,23.719190542680835
Creatinina_max,182.1,172.0,25.240641830191244
Cardiopatía,182.4,191.5,45.614032928474984
Creatinina_mean,183.0,186.5,34.42382895611701
Glucosa_initial,183.4,183.0,33.0913886079143
TNMCOD,184.3,176.5,34.30174922653362
LDH_min,185.2,185.5,19.030501832584445
LDH_sum,185.5,192.0,26.348624252510795
Creatinina_median,186.7,183.5,20.938242524147054
Potasio_rms,191.0,191.0,25.067907770693587
Creatinina_rms,191.0,196.0,24.71032172999777
GPT_sum,192.2,199.0,28.39295687314021
Linfocitos_quartile1,192.5,186.0,20.645822822062577
Leucocitos_initial,193.5,193.0,22.173181999884456
Hemoglobina_max,194.6,197.0,16.49969696691427
Sodio_mean,195.0,195.0,19.452506265260524
GGT_skewness,197.0,197.5,34.29868802155558
Sodio_rms,197.1,198.0,16.615956186750132
Urea_max,198.7,198.0,10.964032105024136
Creatinina_iqr,198.9,195.0,25.978645076292953
Urea_median,199.2,201.0,22.116961816669125
Potasio_mean,199.5,200.5,16.481808153233672
Creatinina_std,201.3,199.0,19.375499993548555
Sodio_quartile3,201.9,200.5,16.434415109762806
LDH_quartile1,201.9,206.0,22.554157044766715
Urea_quartile3,202.3,206.5,19.173158320944413
Bilirrubina total_sum,204.8,208.0,30.827909432849967
Gemcitabina,206.8,197.5,39.24232409019629
Creatinina_quartile3,209.0,214.5,21.46625258399798
Bilirrubina total_skewness,210.1,216.5,25.90926475220785
Sodio_median,211.5,210.5,10.828203913853857
LDH_median,211.5,216.0,30.286135441815617
Neutrófilos_initial,213.4,211.5,11.984990613262909
Potasio_median,213.4,219.0,15.608971779076288
Fosfatasa Alcalina_min,214.8,221.5,19.166637681137505
Glucosa_quartile1,215.4,217.0,23.161174408911133
Fosfatasa Alcalina_sum,216.1,211.0,25.28813951242756
NºLineas,216.2,224.0,35.68697241291281
CAurinario,216.9,223.5,74.61963548557443
missingindicator_Albumina_initial,217.2,226.0,59.94297289924817
GGT_kurtosis,219.7,212.0,18.681809334216
GOT_initial,220.4,219.5,17.030560765870277
LDH_mean,221.0,222.0,18.303005217723125
Urea_quartile1,221.3,224.5,15.69108026873867
LDH_iqr,221.6,225.0,26.11972434770321
GOT_sum,222.4,223.0,19.484352696458767
Radioterapia,223.1,234.0,37.73711700699988
FRA,224.4,270.5,88.40950175179137
Cisplatino,225.1,227.5,30.0747402316296
LDH_quartile3,225.2,233.0,19.518196638009364
GPT_quartile1,225.6,224.5,13.763720427268202
Urea_mean,226.1,224.5,15.36522046701576
Urea_std,226.5,225.5,12.823805987303457
Fosfatasa Alcalina_quartile1,227.6,228.0,7.722693830523129
GOT_min,227.8,235.5,19.727138667328315
LDH_std,228.0,231.5,20.890189084831185
LDH_max,229.0,233.5,19.05780679931455
GOT_quartile1,229.0,235.0,18.82020191177555
TP (s)_initial,230.2,231.5,11.124747188138706
Glucosa_median,232.7,229.5,18.884120313109637
Bilirrubina total_quartile1,234.5,241.5,14.941552797483935
LDH_rms,235.2,236.5,17.13359273474189
GGT_median,235.5,229.5,20.737646925338467
Urea_rms,238.9,241.5,17.03789893149974
GPT_median,239.7,241.5,10.611785900591851
Fosfatasa Alcalina_std,241.8,243.0,14.810806865258893
missingindicator_GPT_initial,242.6,268.5,59.78662057684813
Fosfatasa Alcalina_median,243.8,242.5,10.768472500777444
TNMIV,245.8,255.5,28.749956521706256
Fosfatasa Alcalina_max,249.9,247.5,10.921996154549772
GOT_median,250.2,250.5,12.343419299367579
NºLineasIV,251.1,257.0,18.71603590507349
Alectinib,252.1,241.0,67.30445750468537
Urea_min,252.3,253.5,9.3706990134141
GGT_iqr,252.7,254.5,10.872442227944925
