feature,mean_pos,median_pos,std_pos
Neutrófilos_sum,0.6,0.0,0.9165151389911681
Leucocitos_sum,2.3,2.5,1.2688577540449522
Sodio_sum,2.6,2.0,1.7435595774162695
Glucosa_sum,2.8,3.0,1.469693845669907
Urea_sum,4.5,4.5,2.8722813232690143
Potasio_sum,6.4,5.0,5.642694391866354
Linea1Pembro,6.8,7.0,5.287721626560914
Hemoglobina_sum,7.5,7.0,2.5
Calcio_sum,11.4,9.5,6.019966777316966
Potasio_iqr,15.0,11.0,11.966620241321273
Sodio_skewness,15.2,12.5,8.316249154516717
LDH_min,16.8,11.0,15.164432069813891
Leucocitos_iqr,18.1,18.0,8.080222769206305
TP (s)_sum,19.9,14.5,12.934063553268942
Potasio_std,20.3,17.0,10.169070754006976
GPT_skewness,21.8,19.0,9.042123644365851
Potasio_max,23.2,21.0,7.9724525711979
GOT_kurtosis,23.6,21.5,13.070577645995606
Albumina_sum,24.8,21.5,12.286578042726136
Sodio_kurtosis,25.5,21.0,13.093891705677116
LDH_quartile1,27.7,23.5,16.90591612424479
Creatinina_sum,28.0,18.0,24.454038521274967
Potasio_min,30.3,26.0,12.35354200219516
Albumina_initial,31.0,32.5,6.6932802122726045
Sodio_min,31.7,33.5,8.462269199216012
GOT_skewness,32.1,31.0,11.157508682497182
Potasio_quartile3,35.3,38.0,12.361634196173256
Glucosa_std,36.0,27.0,22.185580902919806
Calcio_skewness,36.3,31.0,15.466415227841258
GPT_kurtosis,36.4,27.5,27.078404679744338
Sodio_iqr,37.2,26.0,32.13347164562211
Plaquetas_sum,38.7,19.0,48.460396201434435
Neutrófilos_initial,39.0,30.5,26.042273326267047
Plaquetas_skewness,39.0,40.0,10.89954127475097
Calcio_max,39.1,44.0,12.51758762701504
Glucosa_max,39.4,31.0,26.142685401465553
Glucosa_kurtosis,39.4,35.5,14.759403781996074
Bilirrubina total_skewness,40.1,42.0,12.533554962579453
GGT_skewness,41.3,36.5,11.66233252827238
Urea_std,42.9,42.5,15.469001260585637
Neutrófilos_iqr,44.1,41.0,15.971537183377183
TTPa (s)_sum,45.3,35.0,27.86413465370852
Creatinina_kurtosis,45.4,28.0,45.14244122774044
LDH_median,50.5,46.5,17.64227876437735
Creatinina_skewness,52.5,42.0,20.47559522944327
Fosfatasa Alcalina_sum,52.8,56.0,17.70762547604845
Urea_iqr,52.8,53.0,15.986244086714052
Calcio_quartile3,53.1,57.5,12.477579893553076
Albumina_quartile3,55.8,61.0,13.768079023596574
GOT_initial,57.9,56.5,22.06105165217651
Plaquetas_kurtosis,60.3,57.5,28.453646514989952
GGT_kurtosis,60.4,56.5,22.97912095794789
TP (s)_initial,60.5,60.0,30.103986446980738
TP (s)_skewness,61.6,63.0,26.154158369177164
Edad,62.0,58.0,18.226354544998845
Albumina_skewness,62.4,52.0,22.58406517879365
Albumina_max,63.4,59.0,13.88668426947196
TTPa (s)_initial,63.4,58.0,24.662522174343806
Glucosa_iqr,63.6,62.0,31.17114049886529
Urea_max,64.1,55.5,33.03165148762623
Leucocitos_initial,67.2,59.5,35.82122275969931
Potasio_rms,67.6,67.0,15.774663229368796
Glucosa_skewness,69.5,70.0,24.381345327934635
Urea_rms,70.0,60.5,32.23662513353406
Calcio_iqr,71.6,63.5,22.136847110643377
Urea_quartile3,72.6,64.5,36.2303739975176
LDH_sum,73.3,50.0,38.02643817135652
Albumina_median,74.2,74.0,11.855800268223145
LDH_initial,75.3,72.5,15.251557297535225
Creatinina_max,76.3,77.5,22.118092141954737
Creatinina_std,78.4,69.5,28.921272447802153
Plaquetas_min,78.7,75.0,24.6983805137098
Fosfatasa Alcalina_max,79.4,65.0,46.385773681162206
Fosfatasa Alcalina_initial,82.2,90.0,20.595145058969603
Albumina_kurtosis,83.7,81.5,43.95236057369387
Linfocitos_sum,83.9,79.0,20.7
Potasio_mean,84.9,85.5,13.352527850560731
GOT_quartile1,86.0,79.5,21.02855201862458
Calcio_initial,86.0,89.0,21.95449840010015
LDH_mean,86.2,72.0,43.24534657046929
Urea_median,86.6,80.0,38.62693360855868
Albumina_rms,86.8,86.0,17.440183485273312
Potasio_initial,87.8,88.0,27.23527124887872
Urea_initial,88.1,87.5,13.419761547807026
Linfocitos_iqr,90.7,91.0,19.52459986785901
GPT_initial,91.7,93.0,20.010247374782754
Bilirrubina total_kurtosis,91.9,89.5,37.66019118379513
Linfocitos_skewness,93.4,88.0,20.71810802172824
EnfNRL,93.9,53.5,84.95698911802371
CAurinario,94.3,74.5,86.22766377445234
Albumina_mean,95.2,92.5,19.14575671003891
Plaquetas_median,95.9,87.0,47.30211411765863
Albumina_min,97.6,87.5,26.74023186137323
Urea_mean,98.5,95.0,37.80277767572113
Creatinina_iqr,99.0,93.0,28.270125574535392
Fosfatasa Alcalina_std,99.2,82.0,51.86096798171049
Hemoglobina_initial,99.4,95.0,18.81595068020747
Neutrófilos_min,101.7,97.0,29.631233521404404
missingindicator_LDH_initial,104.2,111.5,59.19256710094604
Glucosa_quartile3,104.3,102.0,37.81547302361825
GOT_min,104.3,103.5,22.80811259179505
