feature,mean_pos,median_pos,std_pos
Linea1Pemetrexed,0.0,0.0,0.0
Plaquetas_kurtosis,1.1,1.0,0.3
Plaquetas_skewness,4.4,3.5,3.1368774282716245
Cisplatino,4.8,4.0,3.1874754901018454
Creatinina_kurtosis,5.6,3.0,6.102458520956942
Hemoglobina_sum,11.1,10.0,7.673982017179869
TTPa (s)_skewness,11.8,7.5,14.951922953252536
Linfocitos_kurtosis,12.9,14.0,5.3935146240647205
Fosfatasa Alcalina_skewness,13.3,11.5,8.283115355951528
Plaquetas_initial,13.3,12.5,9.284934033152847
Leucocitos_kurtosis,13.5,14.0,6.946221994724902
Linfocitos_iqr,14.9,13.5,8.595929269136642
Leucocitos_skewness,15.9,15.0,7.542545989253231
Creatinina_sum,16.6,13.5,9.789790600416334
Sodio_sum,17.6,14.5,12.753038853543888
Linfocitos_skewness,19.3,18.5,8.614522621712709
Hemoglobina_skewness,19.8,16.5,11.240996397117117
Urea_kurtosis,23.0,16.5,14.170391667134682
TTPa (s)_sum,23.7,25.0,5.000999900019995
Neutrófilos_kurtosis,24.6,24.5,10.394229168149026
DosisRT,25.4,19.5,20.357799488156868
Potasio_iqr,26.4,24.5,15.363593329686905
Sodio_kurtosis,29.6,31.0,8.97997772825746
TP (s)_sum,29.8,26.0,13.113351974228404
Potasio_sum,30.0,26.0,21.79449471770337
Glucosa_sum,31.4,30.5,14.987995196156158
Fosfatasa Alcalina_kurtosis,32.4,23.5,19.602040710089344
Potasio_skewness,32.8,30.5,17.741476826916074
Bilirrubina total_initial,32.9,28.5,12.061923561356206
Albumina_skewness,32.9,31.5,11.978731151503485
Glucosa_skewness,33.2,33.5,8.482924024179399
Neutrófilos_skewness,36.5,39.0,12.298373876248844
Calcio_skewness,40.1,39.5,13.597426227047528
Creatinina_skewness,41.0,36.5,25.744902408049636
Hemoglobina_max,41.3,41.0,15.498709623707388
Linfocitos_quartile1,42.7,40.0,15.524496771232231
Urea_skewness,45.0,45.5,14.092551223962253
Calcio_iqr,45.1,46.5,22.3
Sodio_initial,46.1,32.0,37.66019118379513
Linea1Pembro,46.2,25.5,64.36738304452032
TTPa (s)_kurtosis,46.8,37.5,29.78187368182197
GGT_skewness,47.8,44.0,13.651373557265218
Fosfatasa Alcalina_median,48.7,52.0,13.813399291991816
TP (s)_kurtosis,49.2,46.5,17.6737092880923
TP (s)_iqr,49.9,41.5,21.910956163526958
Linfocitos_min,51.5,51.0,17.68756625429287
Hemoglobina_iqr,52.4,41.0,33.42214834507201
TTPa (s)_iqr,54.3,51.5,21.18985606369236
LDH_kurtosis,55.1,44.0,50.1845593783586
