index,feature,importance
74,TTPa (s)_mean,0.032423924137977775
125,Sodio_sum,0.0321879686895571
89,Glucosa_sum,0.030410770809552852
53,Neutrófilos_sum,0.03029886546657672
0,Hemoglobina_min,0.03014429614167856
137,Potasio_sum,0.029981922116044713
101,Urea_sum,0.029787604443221465
69,TP (s)_quartile3,0.02975220174375245
5,Hemoglobina_sum,0.029399863863971542
48,Neutrófilos_min,0.029245954182205634
120,Sodio_min,0.028895850791066165
68,TP (s)_quartile1,0.028347168445389256
24,Leucocitos_min,0.02774748826141712
117,Creatinina_quartile3,0.027593309256678092
103,Urea_kurtosis,0.027564639402074508
75,TTPa (s)_median,0.02641282918833595
36,Linfocitos_min,0.025008295135439732
11,Hemoglobina_rms,0.024774025093986133
219,Albumina_median,0.024487942785560334
56,Neutrófilos_quartile1,0.024345815791597183
29,Leucocitos_sum,0.024191682774593527
112,Creatinina_std,0.023929726971903965
109,Creatinina_max,0.023693275420883914
216,Albumina_min,0.023671174194555514
128,Sodio_quartile1,0.023596048745497672
132,Potasio_min,0.023575385518410485
131,Sodio_rms,0.023215612848197918
113,Creatinina_sum,0.023202776343086127
3,Hemoglobina_median,0.023130487520254275
227,Albumina_rms,0.023068033421906664
12,Plaquetas_min,0.02268751356340509
102,Urea_skewness,0.022563675701346684
133,Potasio_max,0.021938652852883017
250,Sodio_initial,0.021927852798356507
263,NºLineas,0.021704923631704554
136,Potasio_std,0.021388303434962588
43,Linfocitos_kurtosis,0.02130774481611437
144,Calcio_min,0.021286175485126867
84,Glucosa_min,0.02111021821072683
