feature,importance
Linea1Vinorelbina,1.8070082908755487
Neutrófilos_min,1.5549373688456427
Glucosa_mean,1.360319286641877
Linea1Pemetrexed,1.2605362846266024
Afatinib,1.2597463615106996
Alectinib,1.2522433376460491
TTPa (s)_homogeneous,1.2240195786686388
Pembrolizumab,1.1871736513678484
missingindicator_GGT_initial,1.1754345826091464
Traqueostomía,1.1246849050813095
Linfocitos_quartile1,1.086399602460879
Urea_sum,1.0830138178353694
Leucocitos_min,1.0815731304244178
Linea1Pembro,1.073911002027412
Hemoglobina_quartile1,1.0607010017871596
GPT_rms,1.0534272565858696
CAurinario,1.0451787802511077
Hemoglobina_quartile3,1.0046486752823958
CAORL,1.0044456923655367
TP (s)_homogeneous,0.999721554735456
GGT_median,0.9982920923967848
Cisplatino,0.9951072717192234
Linfocitos_quartile3,0.9537299952283148
Hemoglobina_sum,0.9306735940101775
Urea_max,0.9141379487180018
Crizotinib,0.8980011987994296
TP (s)_min,0.8970849203863395
GGT_quartile1,0.8779389743430474
Sodio_sum,0.8745030123213329
Neutrófilos_quartile1,0.8570261297891689
GGT_homogeneous,0.8304316543916327
Hemoglobina_max,0.7899442064899053
Potasio_quartile1,0.7832946682709697
AIT,0.7735874929860985
Vinorelbina,0.7599273476129165
Bilirrubina total_mean,0.7516913800651449
Linea1Cisplatino,0.75067110819653
Potasio_quartile3,0.7489464129848775
Neutrófilos_sum,0.7470577283459773
TP (s)_std,0.7447134832154082
Neutrófilos_max,0.7384290476819783
Urea_std,0.7302791069687383
Linfocitos_kurtosis,0.7285025260398608
Fosfatasa Alcalina_max,0.7226047291113403
Linfocitos_max,0.7199858144764686
Bilirrubina total_max,0.7192353326625235
Indiferenciado,0.7183092969935649
CelPeq,0.7135031981112488
CAneuroendocrino,0.7088576565458122
Alcohol,0.6958999748395108
GPT_homogeneous,0.6756087798544947
EnfCerebroVascular,0.6735068407292707
Gemcitabina,0.6686551705785189
Linea1Pacli,0.6596535460974434
missingindicator_GOT_initial,0.6562363019161044
Linea1Etoposido,0.6512073919501113
CIsquémica,0.6482438861787545
PrótesisArticular,0.6443050905345425
TP (s)_quartile1,0.6392105990170408
Linfocitos_homogeneous,0.6387813486165692
Plaquetas_homogeneous,0.638515654571418
Fosfatasa Alcalina_median,0.6350833994640331
Leucocitos_sum,0.6186447564003494
TTPa (s)_sum,0.6083537161210223
Osimertinib,0.6076667892233254
Leucocitos_mean,0.6058108360456983
TP (s)_quartile3,0.5973220496601621
GOT_mean,0.594403170494822
missingindicator_Fosfatasa Alcalina_initial,0.5873664139501258
Neutrófilos_median,0.5697057172928809
LDH_mean,0.5663852558511052
GGT_max,0.5641111817625435
Adenoescamoso,0.557123150258704
Glucosa_rms,0.5369631845379353
Bilirrubina total_homogeneous,0.5352675713538293
Glucosa_skewness,0.5269088063314908
missingindicator_Calcio_initial,0.5250232923597662
MelanomaPiel,0.5196103524306808
Plaquetas_sum,0.5159108058268425
CATiroides,0.5126270646970632
Calcio_max,0.5040225706060955
Calcio_mean,0.5033603331037184
Leucocitos_max,0.492915723642638
Bilirrubina total_kurtosis,0.49129388457319545
Fosfatasa Alcalina_std,0.4886634384628766
Linea1Beva,0.48761722375896865
GPT_median,0.48617987032967436
Albumina_iqr,0.4841010072975111
Neutrófilos_mean,0.482590687359669
Leucocitos_median,0.48197296938027634
Calcio_sum,0.4816882220399866
HistOtros,0.4637569348866543
TTPa (s)_std,0.4628719327500026
GGT_min,0.462475963534028
missingindicator_Urea_initial,0.46176775438139384
Potasio_skewness,0.4613176889923983
missingindicator_TNMIV,0.45369906105605606
TP (s)_sum,0.45323197495520817
Sodio_max,0.45223251831243233
Hemoglobina_skewness,0.4465689500426682
Creatinina_mean,0.44615204702435585
Plaquetas_kurtosis,0.44246287668659845
Linfocitos_sum,0.43992436906161814
Plaquetas_max,0.43278401974279185
Albumina_sum,0.4282829907837585
Sodio_homogeneous,0.4281731970061422
GOT_kurtosis,0.426836619672017
Neutrófilos_std,0.42651524859755313
LDH_sum,0.42143610665794295
Sodio_std,0.41851038872893526
GOT_sum,0.41625486705872816
Fosfatasa Alcalina_quartile1,0.41556882938412903
Obesidad,0.4155257048337257
Paclitaxel,0.4149586680600633
Bilirrubina total_quartile1,0.41382081931369324
CAGenitalFem,0.40908517432861924
GPT_max,0.40841882221438147
Plaquetas_min,0.40323340227670285
Hemoglobina_initial,0.40062801670494586
Neutrófilos_quartile3,0.39987269523588376
Calcio_min,0.399737221436026
Adenocarcinoma,0.3906569516087589
Urea_mean,0.3894680736657987
missingindicator_LDH_initial,0.3893306163881182
Plaquetas_mean,0.3876809010339007
InjertoCV,0.38618532188851884
Calcio_quartile1,0.3853860694213215
Plaquetas_iqr,0.38336823314272744
Plaquetas_rms,0.38086946894182055
CADigestivo,0.3802261841133443
TP (s)_median,0.37963006083112205
Creatinina_median,0.375207564782814
Potasio_min,0.37518000675977153
Albumina_quartile3,0.36981711615109775
missingindicator_GPT_initial,0.36800978057529105
LDH_rms,0.3587215906778253
Hemoglobina_median,0.3585221584152721
Neutrófilos_kurtosis,0.3576456131150284
Creatinina_quartile1,0.3549505101558013
Hemoglobina_min,0.3535814089701596
Glucosa_median,0.3530750371987714
Docetaxel,0.352621888537656
ValvMitral,0.35032232900300003
Neutrófilos_initial,0.3498982071674586
Linfocitos_median,0.3473374785703087
Glucosa_sum,0.34410277611229273
Bilirrubina total_sum,0.3430894485956157
Durvalumab,0.3389636200675265
DM,0.3388219924529193
Artropatía,0.33789846048343825
Calcio_homogeneous,0.3367342528915832
Calcio_quartile3,0.3323771577570217
Potasio_median,0.3295551114047663
missingindicator_Sodio_initial,0.3288463052470037
missingindicator_Potasio_initial,0.3288463052470037
Urea_median,0.32857601606705916
GPT_initial,0.32852158988520214
GGT_iqr,0.3254991507242618
Calcio_rms,0.3207120239486881
TTPa (s)_median,0.3171537323302158
GGT_quartile3,0.31556833744479185
Trasplante,0.31261135923334904
Neoplasia,0.30793167050555065
Urea_quartile1,0.30041104652555706
GOT_quartile1,0.29916255147446696
Radioterapia,0.297688979210137
Erlotinib,0.2967219888645158
Nivolumab,0.2953217159357391
GOT_std,0.29505322902943165
Atezolumab,0.29462132091546944
Fosfatasa Alcalina_initial,0.2945881376272642
missingindicator_TTPa (s)_initial,0.294144196735438
Linea1Atezo,0.2940575420739657
GPT_sum,0.2933656983162681
GOT_initial,0.2916147978284633
Potasio_max,0.2903533545107775
missingindicator_TP (s)_initial,0.2903305669204319
Bilirrubina total_quartile3,0.2898647533282856
LDH_max,0.2861086343641486
Fosfatasa Alcalina_iqr,0.2855244092169729
Linea1Carbo,0.28144136452069923
Urea_initial,0.2745279911543579
LDH_skewness,0.2745269520184235
Linfocitos_initial,0.27194738709570104
ERC,0.2680925480741756
GPT_quartile1,0.26674275165883776
Hepatopatía,0.26426080864161733
Creatinina_rms,0.26377320829700546
LDH_quartile1,0.2628144340841836
Glucosa_quartile3,0.2624345109812963
FRA,0.2622292678686362
Bilirrubina total_rms,0.26181870303857524
LDH_min,0.2609314519739944
Fosfatasa Alcalina_rms,0.26033718129008104
NºLineasVO,0.258028549518512
Glucosa_quartile1,0.2571266846979576
missingindicator_Leucocitos_initial,0.2562955961172976
missingindicator_Neutrófilos_initial,0.2562955961172976
missingindicator_Hemoglobina_initial,0.2562955961172976
Sexo,0.2544641695922984
TP (s)_rms,0.2527944961857082
Leucocitos_std,0.2516711581647537
Linfocitos_std,0.25039986047769436
TP (s)_kurtosis,0.24993559559795794
NºLineasIV,0.24345836894508485
Fosfatasa Alcalina_quartile3,0.2401687244482557
Plaquetas_median,0.2386113169022532
Albumina_min,0.23634888795166906
Glucosa_std,0.23525036370477323
Pemetrexed,0.2339427489135146
Carboplatino,0.2339427489135146
Albumina_std,0.2321713212106114
Creatinina_kurtosis,0.2299771003759649
Albumina_quartile1,0.2280837983691851
Hemoglobina_homogeneous,0.22792614482580423
Potasio_mean,0.22712789900567554
NeoHEM,0.2267657061596715
LDH_kurtosis,0.22530796226713215
GOT_max,0.22263460678724478
TTPa (s)_min,0.22107505769370725
Linfocitos_rms,0.21992648894106878
Urea_quartile3,0.21881752237979818
Glucosa_iqr,0.21784725937148197
Potasio_iqr,0.2161031288474562
Plaquetas_quartile3,0.21481249315001694
TP (s)_max,0.214429458917148
Sodio_initial,0.21112686132423242
TNMCOD,0.21014383006634418
Creatinina_quartile3,0.2083230933135559
GOT_min,0.20706937772218403
EnfDigest,0.20606502912470312
Sodio_rms,0.20591123737778042
Linfocitos_mean,0.20481678745528203
TTPa (s)_max,0.20458704959846538
GPT_iqr,0.19818962154560663
LES,0.19109231684854652
missingindicator_Bilirrubina total_initial,0.19032418009753013
Hemoglobina_mean,0.19007994659611335
Albumina_kurtosis,0.18860977034307375
TP (s)_iqr,0.18824789103309994
Potasio_rms,0.18536142940519545
Creatinina_iqr,0.1852898852835567
GGT_kurtosis,0.18309598127665416
Sodio_mean,0.1788422996254442
missingindicator_Linfocitos_initial,0.17674163446536778
missingindicator_Plaquetas_initial,0.17674163446536778
Fosfatasa Alcalina_skewness,0.17459170025063728
Fosfatasa Alcalina_sum,0.17291514168682526
Linea1Gemcitabina,0.17256712339447824
LDH_iqr,0.17200833329065748
TNMIV,0.16834103319855867
Creatinina_min,0.16678638423200556
ValvAórtica,0.16506847811094555
Neutrófilos_iqr,0.1635588221991095
Urea_kurtosis,0.1626268984543745
Albumina_homogeneous,0.16169448654546378
Bilirrubina total_std,0.15988991814632111
Albumina_initial,0.15915895551038847
missingindicator_Bilirrubina total_std,0.15912838955188177
missingindicator_Bilirrubina total_mean,0.15912838955188177
missingindicator_Bilirrubina total_max,0.15912838955188177
missingindicator_Bilirrubina total_min,0.15912838955188177
missingindicator_Bilirrubina total_sum,0.15912838955188177
missingindicator_Bilirrubina total_iqr,0.15912838955188177
