feature,importance
Linfocitos_median,1.05041104105629
GGT_median,0.9101506199609201
Linfocitos_sum,0.9036112043706187
Adenoescamoso,0.7699598900379299
GGT_kurtosis,0.7178801395402794
TNMIV,0.6448865494370296
Hemoglobina_initial,0.6367245851720513
Bilirrubina total_min,0.6367144286689207
Plaquetas_median,0.5945798726752003
Hemoglobina_median,0.5857731845414893
Linfocitos_min,0.5772084924178209
Vinorelbina,0.5695371713167434
CAurinario,0.5694261926977278
Creatinina_skewness,0.5461582539567617
QTinmunosupresores,0.5354345611359473
Bilirrubina total_median,0.5295842755789653
GGT_min,0.5192014405428754
Plaquetas_max,0.516928514419186
Fosfatasa Alcalina_skewness,0.5078365094353752
TNMCOD,0.4987907234604358
Neutrófilos_quartile1,0.4891309945048488
Calcio_max,0.4869651453425725
Sodio_median,0.4862325349110176
Hepatopatía,0.478074359147898
Hemoglobina_std,0.4777668768251221
Linea1Pembro,0.4728449902168195
EPOCAsma,0.4685126004565251
Leucocitos_median,0.4679240889380631
GPT_median,0.46308420725629296
Hemoglobina_max,0.45442760881895505
EnfNRL,0.45232191386699894
Linfocitos_std,0.43540275983758214
Cisplatino,0.43213706076643527
TTPa (s)_kurtosis,0.4303583467419019
Albumina_std,0.4272176960106227
Radioterapia,0.4260230793576157
Urea_quartile1,0.4226674854328598
Linfocitos_iqr,0.4211240766308197
EnfDigest,0.4207853116106939
Potasio_skewness,0.4195224722955234
Nivolumab,0.41535538906324143
Linea1Pacli,0.41222767720847153
Urea_std,0.41164760894051294
GGT_std,0.409579934212475
Plaquetas_std,0.40653322945389975
Leucocitos_kurtosis,0.4041012684748117
Urea_max,0.394940216253691
Linea1Beva,0.3930940859327741
Linfocitos_initial,0.39251692500498886
CAmama,0.3920572749276496
Bilirrubina total_initial,0.3899961273085153
Fosfatasa Alcalina_homogeneous,0.3878715763854922
QTprevia,0.3877813813737465
Potasio_max,0.3870518768412065
Fosfatasa Alcalina_kurtosis,0.38287042690476414
PulmonarIntersticial,0.37965427706605454
Sodio_skewness,0.3782916416013098
Sodio_min,0.3775058069603703
Fosfatasa Alcalina_sum,0.3742645352194263
missingindicator_GPT_initial,0.3723888390115117
Leucocitos_std,0.37107732290571754
GPT_homogeneous,0.36706645077177374
Albumina_kurtosis,0.35765423930846374
LDH_min,0.3570744857544462
GPT_sum,0.3543948950509429
GPT_min,0.3499112108897793
Adenocarcinoma,0.34814733927710245
missingindicator_TP (s)_initial,0.34143759609348584
missingindicator_TTPa (s)_initial,0.34142617781154394
Linfocitos_kurtosis,0.34011452883903587
Plaquetas_kurtosis,0.3393762912027403
TTPa (s)_std,0.3353854483450441
MelanomaPiel,0.33525170650237884
Urea_median,0.33366286508990894
LDH_sum,0.32902103125126453
Albumina_homogeneous,0.3289594408818566
GOT_std,0.3281615266605136
Glucosa_std,0.32706313248567487
Durvalumab,0.32413676112470335
GGT_sum,0.31496031804953034
Leucocitos_initial,0.3135351927308087
Sodio_sum,0.31180497289759435
Neutrófilos_initial,0.3079119527310159
Plaquetas_iqr,0.3063667614736446
GGT_rms,0.30445500865317104
GGT_homogeneous,0.3036782973707843
Alectinib,0.30220351869036105
Urea_sum,0.3021642590462969
TP (s)_sum,0.3010665918565571
GPT_initial,0.29911050063872724
NºLineasVO,0.2952206021013168
LDH_median,0.2918575552602604
Linea1Vinorelbina,0.2897572583643287
Sodio_homogeneous,0.28436147898682745
Potasio_median,0.2835874122205172
Creatinina_iqr,0.27914993468318167
Bilirrubina total_sum,0.2788218150472054
Sodio_std,0.2763171522941854
GOT_quartile1,0.2724168103450993
EnfCerebroVascular,0.27097950980709484
GPT_kurtosis,0.27058065570503487
Trasplante,0.27025577635294934
Creatinina_sum,0.2696281243379743
GOT_rms,0.2668308813510836
Gemcitabina,0.2656883132158257
Bevacizumab,0.2605689638704606
InjertoCV,0.25738134286271436
Neutrófilos_max,0.2571092260877689
Fosfatasa Alcalina_min,0.25576753852192013
CAneuroendocrino,0.25414562589035244
Sexo,0.25373896843895793
Fosfatasa Alcalina_median,0.2529046788241652
Neutrófilos_min,0.2522437349186093
Leucocitos_skewness,0.24670891604459946
Plaquetas_quartile1,0.24134833471702258
Linfocitos_max,0.23950190182918754
Obesidad,0.23862892368719055
TP (s)_min,0.23760705979162364
missingindicator_Bilirrubina total_initial,0.23678378620016008
missingindicator_Calcio_initial,0.23597814258850028
GGT_quartile1,0.23347999870223984
Potasio_quartile1,0.23256948303096064
Neoplasia,0.23083150255535756
Docetaxel,0.22954193769090067
Linea1Nivo,0.22147400544480111
Albumina_sum,0.2173476761649803
Potasio_std,0.21610660179816585
Neutrófilos_median,0.21505925620904298
OtrosFarmacos,0.2149990396038084
TTPa (s)_min,0.21105220156909762
Erlotinib,0.2101097684985272
missingindicator_Urea_initial,0.20980978004978135
GGT_max,0.2084096699541952
Bilirrubina total_max,0.2083375046869861
Gefitinib,0.20801909924464818
Linea1Cisplatino,0.2060960020672108
Crizotinib,0.20496601909571588
LDH_initial,0.2041997976073502
NºLineas,0.20074414137850427
Cardiopatía,0.20070847516517193
CADigestivo,0.19995287849588939
Leucocitos_mean,0.19963644311864184
TTPa (s)_initial,0.19954605049027319
PrótesisArticular,0.19882132555295792
GPT_rms,0.19830815123101775
Urea_quartile3,0.19763635498480853
Urea_min,0.19757198622890684
Neutrófilos_quartile3,0.19754699699076883
Calcio_std,0.19734267035374575
Sodio_rms,0.1955901638359352
Linea1Carbo,0.1928483328190658
Fosfatasa Alcalina_rms,0.1918170826431077
Linfocitos_homogeneous,0.19123623911918647
Leucocitos_quartile3,0.19047532411394014
Linfocitos_quartile3,0.19046790628392996
Etoposido,0.187618269276443
DM,0.18506108922122774
missingindicator_GOT_initial,0.18457717865850065
Sodio_mean,0.1836578320277971
Lorlatinib,0.18346680410340488
AIT,0.1813923086785925
Atezolumab,0.1792677266219032
Linea1Atezo,0.17913688184659093
Calcio_min,0.17858028638433276
Edad,0.177739979403574
Glucosa_kurtosis,0.17533693721638857
Albumina_initial,0.17390870025023905
Hemoglobina_skewness,0.1719603611061036
Urea_kurtosis,0.1693482288927592
Bilirrubina total_kurtosis,0.1687273526138966
CAORL,0.1677637454295088
Bilirrubina total_quartile1,0.16577880471387993
LDH_mean,0.165560702539563
Pembrolizumab,0.16550551574389463
GOT_median,0.16435965501831495
Sodio_kurtosis,0.16323900446335213
FRA,0.16263520049317085
TTPa (s)_iqr,0.160910073075879
Osimertinib,0.16010032099257063
Neutrófilos_rms,0.15954088197370364
Hemoglobina_kurtosis,0.15846116075219918
GOT_skewness,0.15738401087279383
Glucosa_min,0.15678350362995702
Plaquetas_min,0.15643957272447812
Afatinib,0.15468632535558288
Creatinina_quartile3,0.15409392685682327
Leucocitos_sum,0.15392033184518758
LDH_skewness,0.1531339091965519
TTPa (s)_mean,0.15299442004725505
GOT_quartile3,0.1509411514774024
TP (s)_std,0.14722299662136595
Creatinina_median,0.1464153177127943
Urea_initial,0.14564227932097404
Calcio_quartile1,0.14554360801046262
Linfocitos_rms,0.14521619429064592
Plaquetas_skewness,0.14378635851527613
Glucosa_sum,0.1425513440665268
CAGenitalFem,0.14247423113743765
Fosfatasa Alcalina_initial,0.14061684552726636
GPT_quartile1,0.13802117909860678
TP (s)_kurtosis,0.13680406881925805
Potasio_initial,0.13482444108393912
Bilirrubina total_std,0.13221270485325415
GGT_skewness,0.13215034376585202
Glucosa_initial,0.1309595585928362
ERC,0.13021429082893735
Calcio_sum,0.13014408225782803
missingindicator_Calcio_quartile3,0.12988301496435806
missingindicator_Calcio_skewness,0.12988301496435806
missingindicator_Calcio_kurtosis,0.12988301496435806
missingindicator_Calcio_quartile1,0.12988301496435806
missingindicator_Calcio_max,0.12988301496435806
missingindicator_Calcio_min,0.12988301496435806
missingindicator_Calcio_sum,0.12988301496435806
missingindicator_Calcio_median,0.12988301496435806
missingindicator_Calcio_std,0.12988301496435806
missingindicator_Calcio_rms,0.12988301496435806
missingindicator_Calcio_iqr,0.12988301496435806
missingindicator_Calcio_mean,0.12988301496435806
Urea_iqr,0.1295724743032936
Traqueostomía,0.12786219950291353
Creatinina_kurtosis,0.1262886240892149
TP (s)_initial,0.12619231319945298
Hemoglobina_quartile1,0.1260177423192949
TTPa (s)_quartile3,0.12590815291545326
GOT_max,0.12546001055099343
NeoHEM,0.12541733287273632
Creatinina_mean,0.1249194216017202
