feature,mean_pos,median_pos,std_pos
Linea1Vinorelbina,2.2,0.0,5.344155686354955
Alectinib,5.1,4.0,4.784349485562275
CAORL,6.6,3.5,6.053098380168622
Afatinib,8.2,7.5,6.013318551349163
Pembrolizumab,9.5,6.0,8.114801291467339
Linfocitos_max,13.7,6.0,15.17926216915697
Glucosa_mean,16.6,8.5,25.040766761423264
CAurinario,16.8,12.5,12.496399481450648
Neutrófilos_min,17.1,11.0,17.603692794411064
Indiferenciado,21.6,13.0,19.880643852752858
Calcio_max,27.6,22.5,22.334726324716854
Leucocitos_sum,29.2,26.0,20.96568625158738
Bilirrubina total_max,32.0,28.0,16.229602582934678
Neutrófilos_sum,32.3,25.5,29.53320165508643
TTPa (s)_homogeneous,34.3,9.5,55.66875245593347
Linea1Pacli,39.9,16.0,37.79537008682412
Alcohol,40.4,39.0,19.940912717325656
Linea1Pembro,44.3,12.0,65.02776330153144
Hemoglobina_quartile1,45.4,34.0,36.13640823324864
GPT_homogeneous,45.5,27.0,50.31351707046527
Hemoglobina_quartile3,46.5,36.5,32.781854737034024
Crizotinib,46.7,32.0,41.02694236718111
Albumina_min,48.2,32.5,55.230064276623835
CAneuroendocrino,48.6,41.5,28.524375540929903
Potasio_quartile1,48.7,41.5,20.35706265648362
Potasio_quartile3,48.8,39.0,26.343120544081334
Linfocitos_quartile3,49.4,33.5,48.79385207175182
TP (s)_median,49.8,29.5,42.897086148128984
missingindicator_GGT_initial,51.6,45.5,34.99199908550525
GPT_median,52.3,43.5,25.803294363317256
GGT_homogeneous,57.3,27.5,66.04097213094306
GPT_rms,58.5,47.5,40.68722158122867
Urea_std,59.3,54.5,26.419878879359004
TTPa (s)_sum,60.7,55.5,36.90541965619684
Neutrófilos_quartile1,61.4,32.0,76.45416927807142
Linfocitos_quartile1,62.9,32.0,110.62409321662257
missingindicator_TNMIV,65.1,60.5,36.28622328101948
TP (s)_std,68.7,47.0,48.79969262198277
Traqueostomía,72.0,24.0,109.31514076284218
Hemoglobina_median,72.1,57.5,34.883950464361114
GPT_quartile1,73.2,61.0,42.999534881205406
GGT_quartile1,74.7,56.5,50.84692714412544
Adenoescamoso,75.2,74.0,36.21822745524689
TP (s)_max,77.2,40.0,70.70756678036659
Neutrófilos_median,80.4,72.5,40.4603509623928
Glucosa_homogeneous,80.5,34.0,126.43911578305189
Sodio_homogeneous,80.8,91.0,43.027433109587186
Docetaxel,86.5,60.5,72.04338970370564
Creatinina_mean,87.7,84.0,48.487214809679465
TP (s)_homogeneous,88.8,37.5,105.43130464904624
GGT_median,89.2,78.0,62.11247861742437
Calcio_sum,89.2,81.0,56.28996358144141
Glucosa_max,90.0,46.5,87.86694486551812
missingindicator_GOT_initial,90.6,53.5,88.11038531296978
Linea1Pemetrexed,91.0,81.0,50.67543783727971
Leucocitos_min,91.0,69.5,66.7068212404099
GGT_min,91.6,94.0,35.74409042065555
LDH_sum,91.9,76.5,40.272695464793514
Plaquetas_median,93.0,77.0,51.26012095186667
missingindicator_Urea_initial,93.9,69.0,98.3244120246849
Bilirrubina total_homogeneous,96.1,101.5,57.42551697634075
Neutrófilos_initial,96.4,58.0,69.00318833213434
missingindicator_LDH_initial,97.3,93.0,52.404293717213676
Linea1Gemcitabina,98.1,65.5,69.14542645757564
Hemoglobina_max,98.8,80.5,63.0678999174699
Bilirrubina total_mean,104.0,103.0,63.64589539004067
Plaquetas_max,104.5,107.0,48.978056310964405
Linea1Cisplatino,105.8,81.0,71.59580993326355
Urea_sum,107.6,98.0,94.23290295857387
Vinorelbina,108.0,63.5,116.78955432743118
Neutrófilos_std,113.1,70.5,101.17059849580806
Urea_max,113.2,86.5,95.54245129783932
GOT_min,114.2,103.0,48.38553502855992
Obesidad,115.1,116.5,61.766414822296426
TTPa (s)_std,119.7,67.0,159.9225124865164
Gemcitabina,120.2,70.5,88.49045146229055
Albumina_std,121.2,98.5,64.3129846920511
TP (s)_min,122.8,82.0,130.46670073240912
Linfocitos_std,123.0,123.0,39.45883931389772
GOT_mean,124.0,89.0,71.66030979559048
Hemoglobina_sum,124.6,98.0,94.9602021901807
Albumina_iqr,126.2,93.0,66.7469849506328
Linfocitos_kurtosis,128.8,140.5,48.58971084499269
