feature,mean_pos,median_pos,std_pos
Linfocitos_median,1.3,0.0,3.8999999999999995
Linfocitos_sum,3.4,2.0,3.954743986657038
Linea1Pembro,5.4,2.5,7.158212067269313
GGT_median,11.2,8.0,8.49470423263812
TNMIV,13.9,12.5,7.803204469959762
Sodio_median,14.9,7.0,15.552813250341561
TNMCOD,22.4,19.0,14.847221962373972
GGT_std,24.4,16.5,21.923503369671554
Linfocitos_std,25.5,21.0,19.93113142799475
EPOCAsma,29.0,22.5,18.862661530123475
EnfDigest,30.9,22.0,29.419211410233277
QTprevia,33.9,27.5,25.08565327034558
GGT_kurtosis,33.9,23.0,34.91546935099112
GGT_min,35.2,25.5,30.43287695897317
Fosfatasa Alcalina_kurtosis,35.5,26.5,27.62697956708261
Vinorelbina,35.5,16.0,35.620920819091694
Fosfatasa Alcalina_skewness,37.2,25.0,39.974491866689185
Sodio_min,40.1,31.0,25.58300216940928
Hepatopatía,40.7,25.5,35.417650966714326
Hemoglobina_initial,42.7,28.0,45.453382712401066
GPT_kurtosis,43.3,19.5,40.63262236184123
Calcio_max,45.3,38.5,31.14177258924097
NºLineasVO,46.2,30.5,36.452160429801694
Neoplasia,47.9,40.5,34.697118035940676
GPT_min,48.3,41.0,34.38037230746637
missingindicator_GPT_initial,48.8,26.0,74.46583109050755
Hemoglobina_max,49.3,39.5,32.62529693351464
Creatinina_skewness,50.6,40.5,32.33017166672642
Neutrófilos_quartile1,53.9,46.5,29.255597754959645
Fosfatasa Alcalina_sum,55.1,34.5,56.470257658346135
Urea_sum,55.2,53.5,40.42721855384068
CAurinario,55.5,16.0,88.69977452057023
PulmonarIntersticial,56.7,43.0,40.07006363858186
Cisplatino,57.1,59.0,33.434862045475825
Adenoescamoso,57.2,56.5,57.81141755743411
TTPa (s)_kurtosis,58.4,50.5,24.804031930313265
Linfocitos_min,59.2,51.5,33.958209611226565
Hemoglobina_median,60.5,47.0,41.381759266614075
Cardiopatía,64.3,58.5,40.853518820292585
GOT_rms,64.5,49.5,51.8946047292009
Plaquetas_max,66.2,53.5,56.52574634624474
Radioterapia,67.4,33.5,81.0187632588896
GPT_median,69.4,47.0,78.12835592792159
GOT_quartile1,70.5,69.5,30.381737935806107
Plaquetas_std,70.7,52.5,54.671839186184336
Linfocitos_max,70.9,64.5,33.61383643680084
Linfocitos_kurtosis,71.5,62.0,46.67601096923344
Bilirrubina total_min,72.0,71.5,39.41826987578222
Leucocitos_std,73.2,48.0,78.78553166667088
Calcio_min,73.9,62.5,46.828303407234394
Fosfatasa Alcalina_homogeneous,77.9,54.5,47.582454749623835
Bilirrubina total_median,78.8,57.5,89.70484936724435
Plaquetas_median,78.9,49.5,125.82483856536436
GOT_std,79.5,49.5,64.87410885707794
Hemoglobina_std,81.6,81.5,36.53272505576336
NºLineas,85.0,62.0,54.08881584948962
Urea_max,85.5,57.5,77.15341858919797
GPT_homogeneous,86.2,62.5,56.145881416182256
CAORL,86.3,61.0,74.57486171626468
LDH_min,88.5,66.5,54.08927805027536
Linea1Cisplatino,90.3,66.5,69.23012350126207
missingindicator_GOT_initial,91.4,66.0,74.15011800395196
Calcio_std,92.2,103.5,56.231308005416345
Creatinina_min,94.2,42.0,145.9916435964744
GGT_sum,94.5,82.0,36.595764782280476
Albumina_kurtosis,96.4,73.0,44.79553549183222
EnfNRL,98.0,87.5,73.26800120107004
Albumina_median,100.8,67.5,109.61459756802466
Osimertinib,103.8,91.5,57.450500432981435
Bilirrubina total_initial,104.2,94.5,46.25753992594072
Leucocitos_initial,105.2,79.0,58.13226298708834
Trasplante,106.5,84.5,75.63233435508916
LDH_skewness,107.2,96.5,41.30811058375824
Potasio_min,107.6,93.5,70.34799215329461
Leucocitos_sum,108.0,91.5,53.79776947049013
Linea1Vinorelbina,110.2,118.5,72.92845809421723
QTinmunosupresores,110.6,103.0,66.71161817854518
Creatinina_median,110.7,90.5,84.3445908164833
GGT_quartile1,114.2,90.5,66.9339973406639
Sodio_sum,115.7,119.0,38.283286170338094
Bilirrubina total_max,116.1,92.5,68.17836900366567
Sodio_rms,117.2,119.5,20.894018282752604
Creatinina_iqr,118.9,93.5,84.39840045877648
TP (s)_std,119.5,87.0,86.96579787479673
Plaquetas_skewness,121.4,115.5,56.16084044955168
Plaquetas_iqr,121.4,113.0,63.99718743819919
EnfCerebroVascular,123.1,116.5,54.54988542609416
Linea1Beva,124.7,104.0,64.59729096486942
Sodio_mean,125.7,125.0,21.56872736162243
Glucosa_std,125.8,92.0,87.85419739545743
GPT_quartile1,127.7,67.0,129.29118299404644
Bilirrubina total_homogeneous,127.8,61.5,144.12203162598007
Albumina_std,128.1,112.5,84.5120701438558
Adenocarcinoma,128.4,79.0,92.83232195738724
GOT_median,133.3,134.0,64.42057124863143
Nivolumab,136.2,137.0,82.42184176539615
MelanomaPiel,137.2,106.5,97.73719865025802
GPT_initial,138.0,94.5,98.86455380974519
CAmama,139.5,143.5,71.84184017687743
CAneuroendocrino,140.9,120.0,99.71704969562629
GOT_quartile3,141.4,121.5,36.05329388558
Plaquetas_kurtosis,141.9,111.0,105.33133436921797
Neutrófilos_quartile3,142.3,143.0,35.02870251665054
FRA,142.7,127.0,82.45974775610217
