feature,mean_pos,median_pos,std_pos
TEP,3.6,2.5,3.2310988842807027
CIsquémica,7.4,3.5,10.901376059929314
Sodio_sum,7.5,1.5,11.935241933031772
Hemoglobina_median,10.8,7.5,7.586830695356263
Paclitaxel,11.9,7.5,11.22007130102122
Neutrófilos_min,11.9,11.0,10.290286682109494
Linea1Carbo,20.0,6.0,32.86943869310822
Linfocitos_sum,20.4,14.5,18.017769007288333
missingindicator_Urea_initial,21.2,12.0,26.22899159327327
Creatinina_min,25.3,21.5,11.713667231059622
Albumina_homogeneous,26.1,16.5,25.359219230883273
Alectinib,28.0,24.5,17.44133022449836
OtrosFarmacos,29.1,17.5,22.897379762758884
Hemoglobina_sum,29.2,17.5,25.3645421799803
Calcio_std,29.2,10.5,45.119397159093346
Calcio_sum,29.3,18.5,27.993034847976023
Glucosa_sum,29.6,24.0,20.713280763799826
CAurinario,34.1,14.5,35.87046138537948
Leucocitos_sum,35.4,23.5,27.720750350594766
Linea1Beva,35.7,29.5,19.697969438497967
TP (s)_std,47.4,26.5,50.00839929451851
Plaquetas_homogeneous,48.5,42.0,27.612497170665314
Neutrófilos_quartile1,48.8,41.0,33.69807116141813
Linfocitos_homogeneous,50.8,43.0,27.888348821685373
Bevacizumab,51.0,45.5,34.51955967274206
Irinotecan,52.7,40.0,48.110393887391936
TP (s)_iqr,57.7,52.0,29.05529211692768
Plaquetas_kurtosis,58.0,57.5,24.661711213944585
Artropatía,58.6,39.0,57.51904032579125
Sodio_std,58.9,47.5,38.373037409097556
Leucocitos_min,59.6,45.5,44.252005604266124
Vinorelbina,60.4,44.5,40.728859547009165
TTPa (s)_homogeneous,61.0,47.0,39.68626966596886
NeoHEM,65.9,42.0,65.6741197124103
Albumina_max,66.0,73.0,39.81959316718341
CAneuroendocrino,66.1,60.5,44.71342080404942
Hemoglobina_max,66.2,61.0,33.12038647117512
Bilirrubina total_kurtosis,68.5,71.5,30.955613384328213
GPT_min,70.4,70.0,21.923503369671554
Sodio_quartile3,72.2,69.0,41.63844377495394
Urea_max,73.6,46.5,69.62499551166951
missingindicator_Calcio_initial,74.1,36.5,79.28108223277479
Creatinina_std,74.4,70.5,41.413041424169755
Cardiopatía,75.1,62.0,47.47725771356219
Urea_iqr,77.2,59.0,48.10779562607291
Linfocitos_kurtosis,79.2,54.0,68.39707596089178
Alcohol,84.0,76.0,58.390067648530774
TNMIV,84.9,61.0,56.255577501257605
GPT_quartile1,85.0,88.5,27.730849247724095
Sodio_iqr,86.3,70.5,58.00870624311492
Creatinina_median,87.3,57.0,99.33081092994256
Albumina_iqr,89.1,101.0,47.30211411765863
GGT_median,89.7,69.0,56.20685011633368
Bilirrubina total_sum,90.1,51.5,80.88318737537486
Fosfatasa Alcalina_median,91.0,90.0,58.61057924982485
Linea1Pacli,93.6,36.5,130.21766393235595
Neutrófilos_median,93.8,82.5,69.35820066870247
CAORL,94.2,77.0,67.87753678500715
LDH_max,96.6,85.5,50.98862618270863
Plaquetas_rms,98.2,90.0,47.21609894940496
GOT_std,98.9,95.0,54.949886260118866
GPT_median,99.6,107.5,40.39108812597155
missingindicator_LDH_initial,99.6,62.5,92.06541152897759
Calcio_min,100.3,109.0,54.196033065160776
GOT_kurtosis,103.0,77.5,69.72230633018388
Pembrolizumab,105.9,30.0,170.4643364460731
Linfocitos_iqr,105.9,89.0,73.10601890405468
Glucosa_std,106.8,96.0,46.95913116743111
missingindicator_GOT_initial,107.0,29.0,181.01657382681842
Afatinib,107.1,67.0,116.93711985507424
GPT_homogeneous,107.2,70.0,101.50546783301873
Glucosa_quartile1,108.1,81.0,78.05184174636753
EnfDigest,110.5,87.0,68.4576511428781
Fosfatasa Alcalina_homogeneous,110.6,67.0,81.35748275358573
Creatinina_sum,113.4,52.5,126.14372754917305
Hepatopatía,113.9,98.0,97.89325819483179
Plaquetas_iqr,117.5,119.0,71.13121677575887
Calcio_median,118.1,108.0,82.52448121618215
Calcio_max,118.6,108.5,52.45417047289948
Potasio_skewness,119.8,87.0,80.69175918270713
GOT_mean,120.4,104.0,76.81432158133013
Hemoglobina_min,121.7,96.0,79.78727968793021
Plaquetas_quartile1,124.3,130.5,49.807730323715816
LDH_std,124.4,100.0,63.302764552584904
TP (s)_kurtosis,124.9,96.0,68.12114209259853
Traqueostomía,126.3,75.5,128.32306885357752
DM,126.4,75.5,111.90460222886279
Urea_sum,128.8,123.5,67.00417897415056
Potasio_min,129.1,73.0,164.39978710448503
GOT_min,129.6,95.5,93.166732259965
Neutrófilos_max,131.4,107.5,94.99810524426265
Creatinina_initial,131.8,116.5,73.60000000000001
missingindicator_TP (s)_initial,134.7,129.0,35.96957047283161
GGT_sum,135.2,120.0,61.983546203811215
GGT_homogeneous,138.1,139.0,69.85907242441742
Linea1Nivo,138.4,116.0,119.68558810483407
GPT_mean,140.4,82.5,114.52964681688317
Linfocitos_max,141.2,106.0,92.18654999510504
GOT_rms,142.0,123.5,69.49820141557622
Neutrófilos_quartile3,143.1,120.0,97.35959120703004
EPOCAsma,143.1,107.5,158.53166876053504
Glucosa_iqr,146.1,156.5,32.98620923962012
Leucocitos_median,147.5,127.5,83.65912980661466
Albumina_std,149.3,143.5,91.75952266658757
Albumina_sum,150.0,113.5,117.10508101700798
TNMCOD,151.5,151.5,64.0097648800556
ERC,151.5,128.5,123.79115477286736
Fosfatasa Alcalina_max,153.3,132.0,97.62996466249488
TP (s)_sum,153.8,154.0,49.21747657082796
Potasio_initial,155.2,140.5,42.81541778378438
GGT_skewness,155.5,160.0,37.85300516471578
Urea_min,156.6,139.0,101.87953670880134
Plaquetas_std,159.8,107.0,145.23966400401784
Plaquetas_initial,161.7,151.5,41.2845007236372
Plaquetas_sum,162.2,117.0,153.41694821629062
EnfCerebroVascular,162.5,80.0,167.65157321063228
CADigestivo,163.3,179.0,70.9070518354839
Etoposido,164.2,159.5,59.534527796901195
EnfNRL,164.4,150.0,104.10974978358176
Plaquetas_median,166.4,168.0,103.23100309500049
Fosfatasa Alcalina_min,167.3,119.5,115.70397573117356
Calcio_iqr,168.2,115.5,128.15131680946553
TP (s)_initial,169.8,159.0,67.08174118193415
GPT_initial,169.8,104.0,154.4207239977847
missingindicator_Glucosa_initial,169.8,127.0,91.80718926097238
missingindicator_Creatinina_initial,170.2,128.0,91.66875149144336
Linea1Atezo,171.6,194.0,59.404040266635064
Calcio_quartile3,173.0,122.0,109.37915706385746
LDH_min,173.2,126.0,161.22890559698035
AIT,173.6,146.0,172.15934479429222
missingindicator_TTPa (s)_initial,173.9,161.5,67.8475496978336
Radioterapia,174.3,135.5,115.80418817987542
GGT_max,174.6,145.0,114.14744850411682
FRA,175.1,124.0,123.66523359457175
GOT_median,175.8,112.0,139.72888033617102
Bilirrubina total_max,178.4,147.5,121.26516400021896
Bilirrubina total_median,178.6,140.0,146.0891508634368
Carboplatino,179.1,106.0,189.71739509069798
Pemetrexed,179.3,106.0,189.70453341973672
Nivolumab,180.7,103.5,181.20378031376717
Erlotinib,181.2,184.5,115.6717770244756
Gemcitabina,181.4,154.0,106.63414087429973
GPT_max,181.6,119.5,154.0806282437867
Leucocitos_std,183.3,162.5,125.76967042971847
Creatinina_rms,184.1,118.0,163.21975983317705
Potasio_kurtosis,184.3,175.0,39.0103832331855
Urea_std,184.6,155.0,85.76969161656115
missingindicator_Bilirrubina total_initial,185.8,174.5,122.14237593890174
Urea_kurtosis,187.2,169.0,78.72712366141671
Potasio_max,188.1,142.0,111.64089752416002
missingindicator_Potasio_initial,188.7,203.0,75.04005597012838
missingindicator_Sodio_initial,188.7,202.0,74.71151183050708
TTPa (s)_std,189.0,140.0,91.12957807430034
Fosfatasa Alcalina_std,189.1,156.0,94.7770541850716
Crizotinib,191.5,173.5,102.68714622580569
Linea1Etoposido,192.4,178.5,64.5634571565061
Albumina_median,192.4,175.5,70.41051057903216
Potasio_rms,194.9,182.0,55.12612810637076
Trasplante,196.8,125.5,195.08398191548173
Urea_quartile1,197.0,164.0,123.21688196022491
Linfocitos_skewness,197.3,185.5,60.99680319492161
Urea_rms,199.4,171.5,77.86937780668342
Fosfatasa Alcalina_mean,200.0,192.5,48.746281909495416
MelanomaPiel,200.5,157.5,144.25411605912672
Bilirrubina total_homogeneous,200.5,113.0,165.56886784658522
Urea_median,201.7,165.0,126.32343408884988
PulmonarIntersticial,202.2,89.0,201.43475370451844
missingindicator_Fosfatasa Alcalina_initial,204.5,175.0,122.21558820379666
Fosfatasa Alcalina_quartile1,205.1,190.0,117.1216888539437
Creatinina_quartile1,205.3,233.0,54.03156484870673
ValvAórtica,205.6,204.0,125.60270697719855
Epidermoide,208.7,221.0,111.25291007429873
GOT_iqr,209.0,178.5,91.51502608861563
TP (s)_max,210.3,206.5,109.76798258144312
Osimertinib,212.7,192.5,132.73812564594996
TTPa (s)_min,213.3,216.5,53.78670839529037
CelPeq,213.4,211.5,144.88353943771529
Sodio_quartile1,213.7,230.0,126.47058946648427
GOT_homogeneous,213.7,223.5,65.76328763071383
Sodio_median,214.7,196.0,108.39008257216156
GOT_skewness,216.3,182.5,125.9992460294902
Urea_initial,216.6,188.5,151.35666486811868
TTPa (s)_kurtosis,217.3,192.0,111.81059878204749
Creatinina_max,217.4,193.0,148.87726488621425
GOT_quartile1,218.5,228.5,126.86311520690322
Linfocitos_rms,219.2,194.5,105.61136302500788
Sodio_kurtosis,219.7,216.5,87.9466315443633
PrótesisArticular,220.1,166.0,197.48744263876625
TP (s)_quartile3,220.1,212.5,89.66320315491745
Creatinina_mean,220.3,182.0,98.76644166922284
Potasio_quartile1,220.8,207.0,105.63787199674178
GOT_sum,223.0,232.5,65.90751095284968
Linfocitos_initial,223.7,209.5,98.4774593498431
Potasio_mean,225.5,218.5,42.088597030549735
GGT_kurtosis,228.3,201.5,149.97269751524775
CAGenitalFem,229.8,132.5,199.68565296485374
Hemoglobina_mean,230.6,232.5,62.93520477443447
Plaquetas_mean,234.8,238.0,35.61965749414219
Durvalumab,235.4,223.0,154.46112779596035
GOT_initial,236.8,212.0,80.68928057679037
Calcio_homogeneous,237.5,198.5,127.6591163998874
LES,237.5,189.5,148.04543221592485
Linfocitos_quartile1,237.7,185.0,154.26409173881004
Creatinina_skewness,238.0,220.5,81.21453071957013
Bilirrubina total_quartile1,238.1,209.0,139.55604608901757
GPT_iqr,239.6,216.5,135.33085383607093
CAmama,240.1,224.0,109.35488100674793
Fosfatasa Alcalina_quartile3,240.4,222.0,106.47271951068029
Leucocitos_iqr,241.0,231.0,86.30527214486958
GPT_skewness,242.1,234.0,79.48893004689396
Leucocitos_quartile1,243.2,264.5,125.42073193854355
Linfocitos_min,245.7,232.0,123.47068477982943
Linfocitos_std,246.3,250.5,79.36756264368965
Sexo,246.3,234.0,95.31531881077669
Hemoglobina_initial,246.5,208.5,143.59056375681516
Hemoglobina_iqr,247.2,158.0,193.4
LDH_skewness,247.2,233.5,83.415586073587
Linea1Cisplatino,249.4,206.0,169.30575890973114
Linea1Gemcitabina,250.0,274.0,144.24909011844753
GPT_sum,250.5,202.0,148.9068500774897
Plaquetas_max,253.2,204.5,147.31381469502443
Linea1Pembro,253.6,190.5,168.0655824373331
Cisplatino,253.6,216.5,175.0589614958343
Leucocitos_skewness,254.0,189.0,148.91809829567393
NºLineas,254.2,232.5,72.06219535928669
Hemoglobina_rms,254.6,229.5,76.68793907779762
Fosfatasa Alcalina_iqr,256.1,219.5,148.42536845162286
Atezolumab,256.6,236.5,112.86646977734353
Albumina_mean,257.3,243.5,66.77432141175228
GPT_std,257.4,237.5,97.41478327235555
Docetaxel,257.7,235.0,86.83092766981129
Plaquetas_min,257.8,232.5,96.96164190028964
GGT_std,259.2,234.5,140.94310909015735
Albumina_initial,259.5,232.5,149.72057306863343
InjertoCV,260.0,195.0,165.38258674963336
Glucosa_median,260.1,242.0,163.48850112469685
TP (s)_homogeneous,260.4,239.0,118.13145220473673
Gefitinib,261.4,258.5,89.13271004519048
LDH_median,261.6,256.0,161.76538566702087
Lorlatinib,261.7,244.0,97.49569221252804
Obesidad,263.5,242.0,200.93991639293571
Linfocitos_median,265.3,192.5,175.53293138325924
Leucocitos_initial,265.7,222.5,145.59330341743058
Hemoglobina_skewness,266.0,227.0,121.84170057907103
Glucosa_min,266.2,258.5,133.49966292092276
Potasio_sum,268.7,255.5,112.4224621683763
Linea1Vinorelbina,270.2,247.5,136.20190894403794
missingindicator_GPT_initial,270.5,234.5,102.15111355242291
Adenocarcinoma,270.5,245.0,89.38707960326258
Glucosa_kurtosis,270.7,228.0,113.17954762235091
TTPa (s)_median,271.8,239.0,120.802152298707
Fosfatasa Alcalina_initial,272.4,262.0,152.96548630328346
Bilirrubina total_initial,272.8,259.5,81.8789350199427
Calcio_kurtosis,272.9,242.0,125.22815178704826
GGT_min,273.2,203.0,155.06695328147774
Fosfatasa Alcalina_rms,273.9,267.0,76.44141547616711
GPT_kurtosis,275.6,258.5,114.031749964648
Leucocitos_kurtosis,276.2,250.0,151.632977943454
Bilirrubina total_rms,278.7,267.5,92.89461771276095
missingindicator_GGT_initial,279.2,240.5,203.0993845387031
Indiferenciado,279.5,228.0,190.94933883101035
Albumina_min,280.7,209.0,165.59833936365425
GOT_max,281.4,295.0,154.94205368459527
Sodio_homogeneous,282.7,211.0,148.15265775543818
Urea_skewness,283.2,256.0,111.9641013896865
Potasio_iqr,283.4,250.0,123.5242486315946
TTPa (s)_iqr,284.5,256.5,108.42439762341316
Sodio_min,285.5,230.5,146.39211044315195
Fosfatasa Alcalina_sum,285.5,234.0,160.39716331656243
LDH_sum,285.9,279.5,120.5872713017423
Albumina_rms,287.0,260.5,94.12438578816862
Potasio_std,287.1,242.5,128.84288882200678
TP (s)_median,288.2,285.0,200.42943895545883
Leucocitos_quartile3,288.2,238.5,140.1619063797293
Hemoglobina_homogeneous,289.5,190.5,196.5564804324701
TTPa (s)_sum,290.0,256.5,106.57860948614407
LDH_kurtosis,291.2,238.5,175.5498789518238
Linfocitos_quartile3,291.8,276.0,152.06630132938722
Potasio_median,292.6,217.0,150.63147081536448
missingindicator_TNMIV,292.9,243.5,188.94626220171702
missingindicator_Albumina_initial,293.8,251.0,142.83332944379612
Hemoglobina_std,294.4,248.0,150.89479778971838
Neoplasia,295.0,274.0,126.16893436975681
Neutrófilos_iqr,296.6,323.0,132.12055101308047
Leucocitos_mean,296.9,256.5,112.90301147445093
Glucosa_max,297.3,280.5,139.47189681079124
Glucosa_skewness,301.1,293.0,118.79600161621603
Neutrófilos_kurtosis,301.3,255.0,132.68613341265169
Sodio_mean,302.4,298.0,101.52457830496022
TTPa (s)_max,302.9,255.0,142.19314329460474
Leucocitos_max,302.9,253.0,115.66455809797571
CATiroides,303.2,234.0,197.56558404742464
GOT_quartile3,303.5,229.0,173.80233024905047
LDH_iqr,304.3,257.5,142.77958537550109
Albumina_kurtosis,305.8,266.0,147.95796700414613
Bilirrubina total_quartile3,307.1,326.0,80.06053959348513
GPT_quartile3,307.4,270.5,125.18003035628328
Neutrófilos_std,309.4,299.0,130.28752818286176
Potasio_homogeneous,310.0,219.5,185.74606321534785
LDH_homogeneous,310.4,293.0,149.10010060358778
Creatinina_iqr,311.5,275.5,130.04095508723395
TP (s)_min,311.9,331.5,166.1706652812102
LDH_quartile1,312.4,342.5,121.81313558069179
Sodio_max,313.6,278.0,135.57226855076226
Sodio_rms,315.5,309.5,96.19485433223547
NºLineasIV,316.5,332.0,75.82117118588977
Sodio_skewness,317.4,273.0,132.76008436273307
ACmonoclonalprevio,319.3,285.5,176.38143326325476
Bilirrubina total_iqr,319.6,266.0,142.69071448415977
Potasio_quartile3,324.3,310.0,77.69047560673059
Calcio_skewness,324.6,318.5,61.499918699133254
TTPa (s)_mean,325.4,317.0,85.08607406620662
Adenoescamoso,327.6,267.0,172.4135725515831
Fosfatasa Alcalina_kurtosis,329.1,311.5,167.9139362888024
