feature,importance
CIsquémica,1.9243647585995256
Sodio_sum,1.7182273280164637
missingindicator_Urea_initial,1.4665776939303146
TEP,1.4017199763916175
Hemoglobina_median,1.335709987286722
missingindicator_GOT_initial,1.1586835334059178
Fosfatasa Alcalina_median,1.0982958274820398
Erlotinib,1.088243419996162
Hemoglobina_sum,1.0549400834836098
Creatinina_median,1.0000278970200571
ERC,0.988497453042241
Calcio_sum,0.9408152884329869
Creatinina_min,0.922898831416073
OtrosFarmacos,0.8976466174491445
CAneuroendocrino,0.8973340222934588
Bevacizumab,0.8734456388826654
ValvAórtica,0.8698139367033038
Linfocitos_sum,0.8576767569122915
Leucocitos_sum,0.853510836936295
Alectinib,0.8254648510243816
GPT_homogeneous,0.808499288412466
Paclitaxel,0.7911337684799564
Linea1Nivo,0.7894642306176147
Irinotecan,0.7848755383038791
CAmama,0.7519761053394444
Linea1Beva,0.7473605009034721
TP (s)_std,0.7413697332954637
Calcio_std,0.725938253615876
Vinorelbina,0.7216522408664631
Neutrófilos_min,0.7207640984786641
Glucosa_quartile1,0.7052662873679334
CAORL,0.7038410658728983
Albumina_iqr,0.6886906525261132
Nivolumab,0.6758894606370722
Fosfatasa Alcalina_homogeneous,0.6715367044228949
Potasio_min,0.667346863736051
Neutrófilos_quartile1,0.6664187346442904
Pembrolizumab,0.6482378373540847
Obesidad,0.6472942489750604
Neutrófilos_median,0.6359299395515614
Hemoglobina_std,0.6331195886978824
GGT_median,0.6221534878193187
Sodio_iqr,0.6146784727738522
Plaquetas_homogeneous,0.6056045947524772
Linfocitos_homogeneous,0.6055936347457641
Linfocitos_max,0.6055928248270015
NeoHEM,0.6037139825039696
Glucosa_sum,0.6028219808867826
Cardiopatía,0.6017362350147039
Hemoglobina_iqr,0.5999895201299524
GGT_homogeneous,0.5980680096253875
Bilirrubina total_sum,0.5973506953801118
missingindicator_GGT_initial,0.5963577747752753
Albumina_initial,0.5901776673417339
Albumina_sum,0.5884381304960964
MelanomaPiel,0.5802932846032818
Creatinina_initial,0.5767944561835489
Hemoglobina_max,0.5767773697826526
Linfocitos_iqr,0.5767496077019687
Artropatía,0.5733644080673059
TTPa (s)_kurtosis,0.569705526688423
Linfocitos_kurtosis,0.5619154452115465
Sodio_std,0.5610577541603926
Linea1Carbo,0.557293857209017
GGT_max,0.5466197615812538
CAurinario,0.5421613662764672
Albumina_min,0.5347791560943618
DM,0.5343295742972013
Plaquetas_kurtosis,0.5280878214686294
missingindicator_LDH_initial,0.5265371447411875
Leucocitos_median,0.5222096998743389
Trasplante,0.5158363587204833
Plaquetas_iqr,0.5147987612283005
Bilirrubina total_kurtosis,0.511386288251519
Sodio_quartile3,0.508750841665548
Fosfatasa Alcalina_iqr,0.4997324598264179
LDH_homogeneous,0.4984252669719262
GPT_initial,0.4958536493229484
Plaquetas_rms,0.4937357177279991
LDH_max,0.492244737102825
CAGenitalFem,0.4868806290734373
AIT,0.4863186950374882
LDH_std,0.4823540745034032
EnfCerebroVascular,0.47605791207734954
TNMCOD,0.4725653305257766
Linea1Vinorelbina,0.47145701263470247
Fosfatasa Alcalina_std,0.46980701643583495
Leucocitos_quartile1,0.46463883046205207
Plaquetas_std,0.4643886333711602
Durvalumab,0.45816843763572196
GOT_min,0.45737806818591553
TNMIV,0.4568785510228207
Albumina_homogeneous,0.45632660088989346
GOT_std,0.4488817050096634
Neutrófilos_quartile3,0.4463486774804546
Glucosa_std,0.44219179401488384
GPT_median,0.44119286727485435
Linfocitos_initial,0.44023612570781917
Glucosa_iqr,0.4394805964354412
Plaquetas_sum,0.43481883254926246
Creatinina_std,0.42958101951662336
Bilirrubina total_max,0.4257748655562441
EPOCAsma,0.42309653455907936
Albumina_max,0.4228028900956534
InjertoCV,0.42237586929473203
GOT_median,0.42228658982915607
Calcio_max,0.42190694151851504
GPT_min,0.42030282618313153
TP (s)_min,0.41868917750161044
GGT_sum,0.40588519578861126
Leucocitos_min,0.4051292679470901
Calcio_median,0.39310042741280354
LDH_min,0.39291072494294327
Creatinina_max,0.3908771287277374
Glucosa_median,0.3897928813885385
Bilirrubina total_homogeneous,0.3893955169766204
TP (s)_iqr,0.3805632214630139
Potasio_initial,0.3802924521975548
CATiroides,0.37678430810578223
Fosfatasa Alcalina_kurtosis,0.37558966612958766
Hepatopatía,0.3739689988833572
Fosfatasa Alcalina_sum,0.3698887953495775
GOT_rms,0.36935886855981254
GOT_max,0.3629001236209354
Fosfatasa Alcalina_min,0.3617876985549292
GPT_max,0.35894523707736564
Etoposido,0.3551336009279185
Plaquetas_min,0.34877384121546284
GGT_quartile1,0.34567405667629936
TP (s)_homogeneous,0.34528910435808363
Glucosa_min,0.34450272777929203
Leucocitos_initial,0.3443761268994955
TTPa (s)_sum,0.34205001087917525
QTinmunosupresores,0.3419952657382565
Lorlatinib,0.33978823429830224
