feature,importance
PEOE_VSA8,0.31989285166855397
PEOE_VSA9,0.316726435013391
Chi0v,0.31483176925643575
EState_VSA2,0.2702409276815758
fr_Imine,0.2681376851735839
SlogP_VSA10,0.2644597819527545
SMR_VSA6,0.2632451328649808
PEOE_VSA3,0.2226022711732963
BertzCT,0.21708317690698964
fr_ketone_Topliss,0.20748504960538192
EState_VSA1,0.20348943781149098
fr_para_hydroxylation,0.17254888799845847
fr_ArN,0.16542536876532307
fr_guanido,0.16358061121649295
fr_allylic_oxid,0.16347771763987107
Chi4n,0.1624652933444595
PEOE_VSA10,0.15918921297898012
PEOE_VSA2,0.1576342230503945
fr_methoxy,0.14049142839877543
fr_ester,0.1355254199358459
HeavyAtomMolWt,0.13504769993791876
fr_hdrzine,0.13497208823111398
Chi1,0.1344182393152961
MinPartialCharge,0.13219446131982113
Chi2v,0.131356840645911
Chi3n,0.12785570493868753
Chi0n,0.12735855499757778
SMR_VSA3,0.1264752885399879
fr_aniline,0.12594637843146606
MinEStateIndex,0.1258102604686652
fr_nitro,0.12280213606249718
SMR_VSA1,0.12264304591148044
fr_unbrch_alkane,0.1224741452831574
SlogP_VSA12,0.12179718406831361
NumSaturatedCarbocycles,0.1176534935880509
LabuteASA,0.11747515233848456
fr_Ndealkylation2,0.11618535404693953
EState_VSA7,0.11240473983165308
EState_VSA5,0.10992592479116876
Kappa1,0.10482899307814898
fr_priamide,0.10409478380919776
NumAromaticRings,0.10363927260418064
SlogP_VSA3,0.10309691789463721
SMR_VSA7,0.10243712992841804
fr_ketone,0.09598754192511091
fr_benzodiazepine,0.09470760396983112
fr_sulfonamd,0.0944517743258193
PEOE_VSA12,0.09223661227880578
SlogP_VSA1,0.09090642380782009
NOCount,0.09029900172596701
SlogP_VSA2,0.08855539787356773
fr_Ndealkylation1,0.08761164298494337
fr_piperzine,0.08605999678001332
NumHAcceptors,0.0834877724705432
fr_alkyl_carbamate,0.08108392208536774
fr_aryl_methyl,0.0803635790361416
SlogP_VSA4,0.07910210724531253
Chi0,0.07887083819305417
fr_phenol,0.07662009457676146
PEOE_VSA14,0.07625756384931982
NHOHCount,0.07581431397547347
NumSaturatedRings,0.07467452125400904
fr_benzene,0.07434173541568628
NumAromaticCarbocycles,0.07434173541568628
fr_NH0,0.07426430257292978
fr_halogen,0.07393147435430628
fr_nitro_arom_nonortho,0.07196548906473706
NumAliphaticHeterocycles,0.07132779301247878
EState_VSA6,0.07115985724328613
PEOE_VSA7,0.07029408629209462
MolWt,0.06901151882134092
Chi4v,0.06813645223296233
SMR_VSA10,0.06766044302870554
fr_sulfone,0.06650771126974285
fr_nitro_arom,0.06344311720224793
fr_amide,0.0629788906717055
Chi3v,0.06236556156764499
fr_Ar_OH,0.06188724307099752
fr_alkyl_halide,0.061503206533058304
fr_C_O,0.061494862900548605
NumAromaticHeterocycles,0.058595074376988944
fr_bicyclic,0.058023979377691576
fr_dihydropyridine,0.057637336620270326
fr_lactone,0.05535526145345853
NumValenceElectrons,0.05518182069952772
MaxPartialCharge,0.05402363532139371
fr_N_O,0.05361943388159642
PEOE_VSA6,0.05346321687877999
Chi1n,0.053302531774749244
EState_VSA10,0.05210782314925674
fr_imidazole,0.05121483523562236
Kappa2,0.051068107105798115
fr_piperdine,0.05063292800280394
TPSA,0.04968178582723293
FractionCSP3,0.04892213354017262
fr_morpholine,0.04833038547059281
fr_nitrile,0.04686909095861274
fr_oxime,0.045281887327130975
NumHeteroatoms,0.04473955618744329
HeavyAtomCount,0.04462194282945867
EState_VSA8,0.04452088647988684
Chi1v,0.04447175527164698
SMR_VSA4,0.04373768724024033
EState_VSA3,0.04352915822906439
NumAliphaticRings,0.0416879118470159
fr_term_acetylene,0.03975343405675759
SlogP_VSA6,0.03946169637300963
fr_thiophene,0.03826875671906175
fr_Ar_NH,0.03824382808161494
fr_Nhpyrrole,0.03824382808161494
fr_sulfide,0.03800710434754958
fr_pyridine,0.0374719298377834
fr_epoxide,0.03561052692210968
NumHDonors,0.03502229851567412
fr_SH,0.03453080837082698
fr_aldehyde,0.03364639771837379
fr_NH1,0.033591718719838924
MaxAbsPartialCharge,0.032391221890548966
NumRotatableBonds,0.031990376686049656
NumSaturatedHeterocycles,0.031695548919967474
fr_tetrazole,0.03158824719750617
fr_Al_OH,0.031403398798422986
fr_thiazole,0.031160117345867072
BalabanJ,0.030043138962784835
fr_C_O_noCOO,0.029851093561896472
Chi2n,0.028409373323196215
fr_HOCCN,0.026202006146317226
MolMR,0.025918974931566918
MinAbsEStateIndex,0.025591743784965183
fr_urea,0.025167764269926424
fr_Ar_N,0.025010422223049035
fr_azo,0.023842407299419173
PEOE_VSA11,0.023725572862023668
fr_nitroso,0.023393023233832837
fr_phenol_noOrthoHbond,0.023384581072968213
fr_C_S,0.02005444898530951
fr_oxazole,0.017820160571651904
fr_COO,0.017808564874327106
NumAliphaticCarbocycles,0.015888131790220066
fr_Al_OH_noTert,0.015653621673523126
SlogP_VSA8,0.015480120735561062
fr_ether,0.015254172555560106
HallKierAlpha,0.014940815376290112
EState_VSA9,0.014284684703522095
MinAbsPartialCharge,0.014283136176572163
PEOE_VSA1,0.013092944027212686
fr_hdrzone,0.013058762545250725
SMR_VSA5,0.012902313206703686
MolLogP,0.010162005253469305
fr_Ar_COO,0.010081930269884557
fr_imide,0.009399739782873335
MaxEStateIndex,0.008580131465537265
MaxAbsEStateIndex,0.008580131465537265
fr_Al_COO,0.007726634604442457
RingCount,0.0074563817009805425
fr_furan,0.007256129115874781
fr_phos_acid,0.006492037401422484
fr_phos_ester,0.006357592423103416
VSA_EState8,0.005793421878331652
VSA_EState9,0.005681683998066412
EState_VSA4,0.005332274658918917
ExactMolWt,0.00480791103749176
fr_amidine,0.004787556910685147
fr_lactam,0.003152219279905314
fr_COO2,0.002862355573826522
SlogP_VSA5,0.0027447548827985177
fr_NH2,0.0020853151458562905
fr_quatN,0.000613054410739524
Kappa3,0.0005989128477400335
SMR_VSA9,0.00020405724277034905
VSA_EState10,0.00010391904524543787
SlogP_VSA11,5.938425561012574e-05
SlogP_VSA7,2.165347167129285e-05
EState_VSA11,1.5950207918968543e-05
SMR_VSA2,1.4015580033860895e-05
PEOE_VSA4,8.59262645931449e-06
Ipc,3.7154308308597226e-06
PEOE_VSA13,1.7819600459749994e-06
PEOE_VSA5,1.1400934558905573e-06
VSA_EState5,0.0
VSA_EState7,0.0
fr_thiocyan,0.0
fr_azide,0.0
fr_barbitur,0.0
VSA_EState6,0.0
fr_isocyan,0.0
NumRadicalElectrons,0.0
VSA_EState4,0.0
fr_prisulfonamd,0.0
fr_diazo,0.0
SMR_VSA8,0.0
VSA_EState2,0.0
fr_isothiocyan,0.0
VSA_EState1,0.0
SlogP_VSA9,0.0
VSA_EState3,0.0
