feature,importance
Linea1Vinorelbina,1.766770092657628
Linfocitos_max,1.5392140193432626
TTPa (s)_homogeneous,1.477524511258461
Pembrolizumab,1.444606969411592
Neutrófilos_min,1.3835883794929424
Linea1Pembro,1.3240543579293456
Afatinib,1.2827685396347344
Urea_sum,1.2516500440330405
CAORL,1.1398963023546003
Glucosa_mean,1.1112733657175722
Linea1Pacli,1.104536702793593
Alectinib,1.084674229584882
TP (s)_max,1.0832175066107184
TP (s)_median,1.0694339509888602
CAurinario,1.0485068322030475
Indiferenciado,0.9987035638664824
Neutrófilos_sum,0.9365563675753427
Traqueostomía,0.927162454590641
Leucocitos_sum,0.9087617336101413
GPT_sum,0.9083865265451655
Crizotinib,0.9077043499446773
missingindicator_GOT_initial,0.8913824965702166
Neutrófilos_quartile1,0.8912114491523987
GGT_homogeneous,0.8901368660742023
Urea_std,0.8863120595417974
Bilirrubina total_mean,0.886200401799972
Glucosa_homogeneous,0.8727187740390675
Calcio_max,0.8529556613627669
Linfocitos_quartile1,0.8525839334820945
missingindicator_GGT_initial,0.8482128648577306
Leucocitos_min,0.8437352968137766
Bilirrubina total_max,0.8374491684287434
Osimertinib,0.8318175201353121
Neutrófilos_initial,0.8298989866788148
Potasio_homogeneous,0.8275067759751915
Linfocitos_quartile3,0.8254909003338426
Linea1Gemcitabina,0.8252876051750194
Albumina_min,0.8210359487583835
GPT_median,0.8034564706466213
Leucocitos_rms,0.7996488190778187
Calcio_min,0.7920607563546781
GPT_rms,0.7810776732038042
Potasio_quartile1,0.7767653351597185
Hemoglobina_quartile3,0.7534003212710487
GPT_homogeneous,0.7498407927304531
GPT_quartile1,0.7456958395534407
Glucosa_max,0.7441162516806412
CAneuroendocrino,0.7432645548405595
Adenoescamoso,0.7290496975821765
GOT_sum,0.7203199997196587
Hemoglobina_quartile1,0.7197391354723615
GOT_quartile1,0.7157344398838126
Linfocitos_homogeneous,0.7103858014410248
Plaquetas_homogeneous,0.7102345201971919
TP (s)_std,0.7070992999273217
Hemoglobina_median,0.7002778716541866
Alcohol,0.694965512869205
TTPa (s)_sum,0.6832179961492645
Hemoglobina_max,0.6811569904602449
Potasio_quartile3,0.6756436878148618
Trasplante,0.6753971800898239
TTPa (s)_std,0.6720985095948104
Albumina_median,0.6718953285933904
GGT_quartile1,0.6688603600451491
Sodio_sum,0.6633564373453832
missingindicator_LDH_initial,0.6589099761844736
missingindicator_TNMIV,0.6574904107236393
Leucocitos_initial,0.6559126177180488
Docetaxel,0.6409091753056655
InjertoCV,0.6373259519244003
Urea_max,0.6236084570295266
Neutrófilos_std,0.6187111296988207
Neutrófilos_median,0.6137049534683564
Sodio_homogeneous,0.6098876533916106
GGT_median,0.6015666656417775
Glucosa_std,0.5809681765099284
LES,0.5690277928351892
LDH_sum,0.5675089664886892
LDH_rms,0.5673149151434457
Linfocitos_kurtosis,0.5626906796738812
GOT_min,0.562522169552441
Linfocitos_std,0.5602843271033195
GOT_rms,0.5567672263129225
Creatinina_mean,0.5544047043303235
Sodio_std,0.5468479117984265
Bevacizumab,0.5424201493234118
ValvAórtica,0.5270850293763188
Urea_rms,0.5223382730175977
Fosfatasa Alcalina_max,0.5201993448165653
GOT_mean,0.5189088977466448
GOT_max,0.5128831196420736
Calcio_sum,0.5123625701747386
missingindicator_Urea_initial,0.51157803329707
Plaquetas_median,0.49803555286629286
LDH_max,0.48613412793169797
OtrosFarmacos,0.4782638592612356
NºLineasVO,0.4673638445500388
Vinorelbina,0.46325105760243984
Neutrófilos_quartile3,0.4622764755565641
TP (s)_min,0.45414859275710545
Linea1Pemetrexed,0.45281056865400715
Plaquetas_kurtosis,0.4477287145689856
Glucosa_skewness,0.44138772350329514
TP (s)_sum,0.44074667718505356
Bilirrubina total_homogeneous,0.437571560390254
Bilirrubina total_rms,0.4361195510196949
Albumina_iqr,0.43177705142120704
Paclitaxel,0.43076300420594393
GPT_initial,0.4292277510631995
missingindicator_Glucosa_initial,0.42896758600088336
missingindicator_Creatinina_initial,0.4287118500192583
Gemcitabina,0.4283449221384367
Plaquetas_sum,0.42593673357228184
missingindicator_TP (s)_initial,0.4248723684618847
Glucosa_rms,0.4196382262816458
Potasio_skewness,0.4178111837577325
GGT_rms,0.4161997821153425
Plaquetas_iqr,0.40574646943955267
Sodio_min,0.4040609707586768
Neoplasia,0.40384467759696935
NºLineasIV,0.40269530802823755
Albumina_std,0.3962038092284387
LDH_mean,0.3939546067034282
Potasio_mean,0.38943455102862745
Albumina_sum,0.38313908486385617
Leucocitos_std,0.37606641611785485
Calcio_std,0.37257753010395295
Plaquetas_max,0.37034977805512853
Fosfatasa Alcalina_std,0.3640597650132369
EnfCerebroVascular,0.3639964273592749
GPT_quartile3,0.35980520276734274
Bilirrubina total_kurtosis,0.3575089352784463
Glucosa_sum,0.357505839085449
Obesidad,0.35734536950030216
Neutrófilos_rms,0.3571456361749062
Potasio_sum,0.3551427599151346
TTPa (s)_min,0.3525389416280914
Albumina_homogeneous,0.3502311415302601
Linea1Nivo,0.34400434975460764
GOT_initial,0.3433001051551692
Fosfatasa Alcalina_quartile1,0.3423215158284493
Cisplatino,0.3413781159453048
GPT_min,0.3389477122753192
LDH_homogeneous,0.3346166960576479
Sodio_max,0.3327511409321691
Leucocitos_mean,0.33217322743255345
GGT_min,0.3306377469582407
LDH_initial,0.32748331487336513
CIsquémica,0.32677461076813685
GOT_iqr,0.323483475408091
missingindicator_Potasio_initial,0.3214980264239605
missingindicator_Sodio_initial,0.3214980264239605
Glucosa_median,0.32117059345495913
Calcio_mean,0.3157491130536351
TTPa (s)_max,0.31534954214419203
Potasio_median,0.3128918361849973
Plaquetas_rms,0.3118920993533366
TTPa (s)_quartile1,0.30593487220021753
Bilirrubina total_quartile3,0.3036498545609798
Potasio_iqr,0.30251448054095115
Plaquetas_mean,0.30093930751946063
CelPeq,0.29921697188107294
Bilirrubina total_std,0.29839700837215477
Creatinina_std,0.29387221706207467
Fosfatasa Alcalina_mean,0.2897619576113081
Fosfatasa Alcalina_quartile3,0.28908044465896304
TP (s)_kurtosis,0.28817619165193037
Albumina_quartile3,0.28795283688515366
TP (s)_homogeneous,0.28758066162237755
CAmama,0.28549596795763676
Bilirrubina total_quartile1,0.28350595840786696
LDH_median,0.2808016586026815
TP (s)_mean,0.2796219146962901
Fosfatasa Alcalina_rms,0.2709631278544875
Potasio_rms,0.26966750039408005
LDH_skewness,0.2638076057329661
LDH_kurtosis,0.26260428286125914
Urea_min,0.2619180330666234
missingindicator_Hemoglobina_initial,0.26180997114531906
missingindicator_Neutrófilos_initial,0.26180997114531906
missingindicator_Leucocitos_initial,0.26180997114531906
TP (s)_rms,0.2605630461978545
Potasio_min,0.25566328407832245
Neutrófilos_kurtosis,0.252549832260682
TP (s)_quartile1,0.25082069497798243
GGT_quartile3,0.24852749523502157
TP (s)_quartile3,0.24654725474833886
Atezolumab,0.24647033941524338
EnfNRL,0.24610483013318654
Linfocitos_skewness,0.2457615294527483
Hemoglobina_sum,0.24248868791179576
TTPa (s)_iqr,0.2408221864534113
Linfocitos_initial,0.23687216459351118
Calcio_quartile1,0.23660861713041995
CATiroides,0.23514146084380233
Linea1Atezo,0.2335005161027659
Plaquetas_initial,0.23267573742982403
TNMCOD,0.22800172612117345
Urea_iqr,0.22683067252503922
GOT_quartile3,0.2264771591222956
GPT_std,0.2254964188535275
Hemoglobina_initial,0.22492565307849183
missingindicator_Plaquetas_initial,0.2232040707616835
missingindicator_Linfocitos_initial,0.2232040707616835
Radioterapia,0.2179787044034089
Glucosa_quartile1,0.21309694962642017
Bilirrubina total_sum,0.2106471380993059
Urea_median,0.2101787227875262
GGT_iqr,0.20996738848247606
EnfDigest,0.20977304173867198
Creatinina_initial,0.20650989085751292
Glucosa_quartile3,0.2040948254525988
missingindicator_Calcio_initial,0.2030528682468302
Creatinina_max,0.20108498530523064
Plaquetas_min,0.2010241567641978
Hemoglobina_mean,0.20078117503342782
Leucocitos_median,0.20053774005841898
Durvalumab,0.1982773813503062
GGT_max,0.1974087330817037
HistOtros,0.19721658911609208
Creatinina_min,0.19695418801449127
Cardiopatía,0.19673604328581823
Erlotinib,0.1951061596799249
Calcio_rms,0.19365865471484472
missingindicator_Bilirrubina total_quartile3,0.19346602980631164
missingindicator_Bilirrubina total_kurtosis,0.19346602980631164
missingindicator_Bilirrubina total_max,0.19346602980631164
missingindicator_Bilirrubina total_mean,0.19346602980631164
missingindicator_Bilirrubina total_median,0.19346602980631164
missingindicator_Bilirrubina total_min,0.19346602980631164
missingindicator_Bilirrubina total_std,0.19346602980631164
missingindicator_Bilirrubina total_iqr,0.19346602980631164
missingindicator_Bilirrubina total_rms,0.19346602980631164
missingindicator_Bilirrubina total_quartile1,0.19346602980631164
missingindicator_Bilirrubina total_sum,0.19346602980631164
missingindicator_Bilirrubina total_skewness,0.19346602980631164
LDH_min,0.19284059749659202
Potasio_std,0.19167866253560292
missingindicator_GPT_initial,0.1913536288460184
Bilirrubina total_median,0.1913166665007671
GPT_skewness,0.19038506593454138
ACmonoclonalprevio,0.1880216220805132
Glucosa_iqr,0.18781894624823953
Glucosa_min,0.18585447960170587
Neutrófilos_max,0.18195870126797048
Bilirrubina total_min,0.18159855139781764
Sodio_skewness,0.18026648373939938
EPOCAsma,0.1776283482256789
TTPa (s)_mean,0.17602572617744477
Nivolumab,0.1725635960696615
QTinmunosupresores,0.17078995234484606
Albumina_quartile1,0.1697008330602772
Bilirrubina total_iqr,0.16884551252121452
Fosfatasa Alcalina_initial,0.16770035655780066
missingindicator_Bilirrubina total_initial,0.16742564618449138
Irinotecan,0.1655795037145429
Albumina_rms,0.1639003851085915
Leucocitos_skewness,0.1636393490784558
GOT_median,0.1612497318853013
Hemoglobina_min,0.16102224755494748
ValvMitral,0.15975501588329968
Calcio_iqr,0.156413663851687
TEP,0.15640382007919423
Creatinina_rms,0.1452329565409808
Adenocarcinoma,0.14183159739181106
TTPa (s)_rms,0.1396879526636358
GOT_std,0.13816638988134097
missingindicator_GGT_mean,0.13768999440544297
missingindicator_GGT_max,0.13768999440544297
missingindicator_GGT_skewness,0.13768999440544297
missingindicator_GGT_quartile1,0.13768999440544297
missingindicator_GGT_sum,0.13768999440544297
missingindicator_GGT_kurtosis,0.13768999440544297
missingindicator_GGT_std,0.13768999440544297
missingindicator_GGT_iqr,0.13768999440544297
missingindicator_GGT_quartile3,0.13768999440544297
missingindicator_GGT_median,0.13768999440544297
missingindicator_GGT_min,0.13768999440544297
missingindicator_GGT_rms,0.13768999440544297
GGT_skewness,0.13654576602291046
TTPa (s)_quartile3,0.13608992890251106
Calcio_quartile3,0.13477333242267212
Hemoglobina_skewness,0.134752668994806
GGT_initial,0.13473969925534374
Sodio_quartile3,0.13343878437367332
Potasio_initial,0.13160604580386318
Calcio_initial,0.1281212431882485
missingindicator_Albumina_initial,0.1271254430762012
Linfocitos_iqr,0.1268606856352864
GGT_kurtosis,0.12648509171277922
Linea1Carbo,0.12468428123985188
PulmonarIntersticial,0.12348310847172597
Etoposido,0.12305217951839653
LDH_iqr,0.12284749242748118
Hemoglobina_rms,0.12112959335176594
PrótesisArticular,0.12066322353996949
Linfocitos_mean,0.11986432644819268
Albumina_skewness,0.11947102076821349
AIT,0.11786262225256361
missingindicator_TTPa (s)_initial,0.1167739070770826
TTPa (s)_median,0.11656910671095999
Sodio_initial,0.11493189962778363
Linfocitos_rms,0.11315599314177761
Artropatía,0.11313644375206913
Fosfatasa Alcalina_kurtosis,0.11252338638898904
Lorlatinib,0.11090156490041897
Plaquetas_std,0.10998232341982384
Gefitinib,0.1082957107988955
GOT_skewness,0.10657531353716987
Sodio_median,0.10636557811040183
Albumina_max,0.10395792570113377
Plaquetas_quartile1,0.10347124054514956
Calcio_homogeneous,0.10326363131053404
Epidermoide,0.10322475674579744
Bilirrubina total_skewness,0.10295036763029501
Hepatopatía,0.10077353899759743
Sexo,0.100231110966436
Urea_skewness,0.09824851444265033
Hemoglobina_iqr,0.09816319228695122
missingindicator_Fosfatasa Alcalina_initial,0.09744428866426726
missingindicator_Linea1Gemcitabina,0.09637858230454417
missingindicator_Linea1Vinorelbina,0.09637858230454417
missingindicator_Linea1Atezo,0.09637858230454417
missingindicator_Linea1Nivo,0.09637858230454417
missingindicator_Linea1Etoposido,0.09637858230454417
missingindicator_Linea1Cisplatino,0.09637858230454417
missingindicator_Linea1Pemetrexed,0.09637858230454417
missingindicator_Linea1Beva,0.09637858230454417
missingindicator_Linea1Pacli,0.09637858230454417
missingindicator_Linea1Pembro,0.09637858230454417
missingindicator_Linea1Carbo,0.09637858230454417
Urea_quartile3,0.094924164014242
Creatinina_kurtosis,0.09256937688046542
Creatinina_homogeneous,0.08940996962389743
Urea_homogeneous,0.08939104088774998
Linea1Cisplatino,0.08927574840108915
Calcio_median,0.08878163204210823
LDH_quartile1,0.08845794938031545
Neutrófilos_mean,0.08824060578230407
GPT_iqr,0.08770261648977364
Edad,0.08663691096201619
Glucosa_initial,0.08597484124300948
QTprevia,0.0859303379774798
missingindicator_GOT_quartile1,0.08523402504120349
missingindicator_GOT_std,0.08523402504120349
missingindicator_GOT_sum,0.08523402504120349
missingindicator_GOT_iqr,0.08523402504120349
missingindicator_GOT_quartile3,0.08523402504120349
missingindicator_GOT_skewness,0.08523402504120349
missingindicator_GOT_kurtosis,0.08523402504120349
missingindicator_GOT_min,0.08523402504120349
missingindicator_GOT_max,0.08523402504120349
missingindicator_GOT_mean,0.08523402504120349
missingindicator_GOT_rms,0.08523402504120349
missingindicator_GOT_median,0.08523402504120349
Calcio_kurtosis,0.08482955333937403
MelanomaPiel,0.08449947768373
Plaquetas_quartile3,0.0822057394946717
Potasio_max,0.08139577531333998
missingindicator_GPT_median,0.08119029817024002
missingindicator_GPT_mean,0.08119029817024002
missingindicator_GPT_kurtosis,0.08119029817024002
missingindicator_GPT_iqr,0.08119029817024002
missingindicator_GPT_rms,0.08119029817024002
missingindicator_GPT_quartile3,0.08119029817024002
missingindicator_GPT_quartile1,0.08119029817024002
missingindicator_GPT_std,0.08119029817024002
missingindicator_GPT_sum,0.08119029817024002
missingindicator_GPT_skewness,0.08119029817024002
missingindicator_GPT_min,0.08119029817024002
missingindicator_GPT_max,0.08119029817024002
Leucocitos_kurtosis,0.08060817773235478
Glucosa_kurtosis,0.08060244295748879
Potasio_kurtosis,0.07983267019201001
Mesotelioma,0.07979722830888065
GPT_mean,0.0795206217505141
Urea_initial,0.07935400693130051
Creatinina_sum,0.07710510684379042
Fosfatasa Alcalina_min,0.07466611917357902
Creatinina_median,0.07341044018962081
Neutrófilos_iqr,0.07330180621115635
GOT_kurtosis,0.07181761481293936
TP (s)_iqr,0.07152714261127187
Sodio_mean,0.07085352670168353
DM,0.0696183417163612
Fosfatasa Alcalina_sum,0.06723918784976408
Fosfatasa Alcalina_homogeneous,0.06614946091814151
TNMIV,0.06598800190152206
GGT_mean,0.06550677431095524
Leucocitos_quartile3,0.06539318327724312
NºLineas,0.06466853652180166
Creatinina_skewness,0.0632716716237738
FRA,0.061610985437876443
Sodio_iqr,0.061258772477137506
TTPa (s)_kurtosis,0.0590538020583647
missingindicator_Neutrófilos_median,0.05850779030448156
missingindicator_Neutrófilos_kurtosis,0.05850779030448156
missingindicator_Neutrófilos_quartile1,0.05850779030448156
missingindicator_Leucocitos_quartile3,0.05850779030448156
missingindicator_Neutrófilos_sum,0.05850779030448156
missingindicator_Neutrófilos_iqr,0.05850779030448156
missingindicator_Neutrófilos_rms,0.05850779030448156
missingindicator_Leucocitos_max,0.05850779030448156
missingindicator_Leucocitos_mean,0.05850779030448156
missingindicator_Leucocitos_median,0.05850779030448156
missingindicator_Leucocitos_std,0.05850779030448156
missingindicator_Leucocitos_sum,0.05850779030448156
missingindicator_Neutrófilos_quartile3,0.05850779030448156
missingindicator_Leucocitos_rms,0.05850779030448156
missingindicator_Neutrófilos_min,0.05850779030448156
missingindicator_Leucocitos_quartile1,0.05850779030448156
missingindicator_Hemoglobina_kurtosis,0.05850779030448156
missingindicator_Hemoglobina_skewness,0.05850779030448156
missingindicator_Hemoglobina_min,0.05850779030448156
missingindicator_Hemoglobina_quartile1,0.05850779030448156
