feature,importance
Hyperlipidemia,1.4207516837245986
Bone Mass (BM),1.0652424508607548
Total Fat Content (TFC),1.033332265580281
Gender,0.8678421610456353
Intracellular Water (ICW),0.7988331892629745
Total Body Fat Ratio (TBFR) (%),0.7919978728948787
Diabetes Mellitus (DM),0.7599179778845652
Hypothyroidism,0.6526588286306825
Coronary Artery Disease (CAD),0.6065224139419255
Height,0.5777387408946377
Vitamin D,0.5074161001126628
Muscle Mass (MM),0.4730363377813136
Body Mass Index (BMI),0.4106847105748783
Visceral Fat Area (VFA),0.3735873009913731
Extracellular Fluid/Total Body Water (ECF/TBW),0.3269400931057697
Hemoglobin (HGB),0.3005470845952794
Visceral Fat Rating (VFR),0.28681387493507654
Age,0.25177665752915984
Lean Mass (LM) (%),0.25125492552506806
Hepatic Fat Accumulation (HFA),0.24518239689718316
Weight,0.22235892527242912
High Density Lipoprotein (HDL),0.21785598386454966
Extracellular Water (ECW),0.2074765633140226
Total Body Water (TBW),0.2003867619732689
Total Cholesterol (TC),0.1730894812174474
Low Density Lipoprotein (LDL),0.1456352829847508
Alkaline Phosphatase (ALP),0.11428799033753015
Body Protein Content (Protein) (%),0.10844355557552982
Triglyceride,0.09076594286993103
Comorbidity,0.0844520110996785
Visceral Muscle Area (VMA) (Kg),0.058101600660223254
Aspartat Aminotransferaz (AST),0.04214871477286991
Glucose,0.03489844382292534
Alanin Aminotransferaz (ALT),0.018963646930628256
Obesity (%),0.005259121317492528
C-Reactive Protein (CRP),0.002367176547580064
Glomerular Filtration Rate (GFR),0.0001606423234088603
Creatinine,4.6837233771019875e-05
