feature,importance
Linfocitos_median,1.0827001999466415
Linea1Pembro,0.8489517240281768
Plaquetas_median,0.8397209864184773
Sodio_median,0.7055946173166453
Adenoescamoso,0.6972860282136291
Linfocitos_sum,0.696824585389588
Fosfatasa Alcalina_kurtosis,0.6841961084047373
Linea1Carbo,0.6806492832954765
CAurinario,0.6661153947334326
GGT_median,0.6632213889120876
Fosfatasa Alcalina_skewness,0.6523388240012536
Urea_sum,0.6515699176512363
Sodio_min,0.6447289773048015
Linfocitos_std,0.6406299020216021
EPOCAsma,0.6094765338488871
Neutrófilos_quartile1,0.6080457603642293
Calcio_max,0.6077657754132597
GGT_std,0.5962140965875035
Calcio_min,0.5892925089667436
Neoplasia,0.5860410636398622
GOT_rms,0.5780657427911401
Cisplatino,0.5678234120107684
GPT_min,0.5374535639601747
Hepatopatía,0.5372941457349021
EnfDigest,0.528032199939218
GGT_min,0.5194335561074096
GGT_kurtosis,0.5140142140716882
QTprevia,0.5132562384008041
Sodio_std,0.5061820678003276
Bilirrubina total_homogeneous,0.5039650855835833
missingindicator_GPT_initial,0.5010344096190321
Bilirrubina total_median,0.47106623707978323
Trasplante,0.46615347476361346
PulmonarIntersticial,0.46603588250611083
Urea_min,0.46483132390234955
Linfocitos_max,0.46243532207908383
TP (s)_std,0.4505903170500082
GOT_std,0.4503672746946951
Hemoglobina_median,0.4492241666281788
CADigestivo,0.4417845357882147
Creatinina_kurtosis,0.4389722790199638
Fosfatasa Alcalina_homogeneous,0.42323796864856567
Fosfatasa Alcalina_median,0.42318292050734657
Creatinina_skewness,0.4197333456227082
Hemoglobina_initial,0.41824983393496856
Potasio_median,0.4169144980149655
ValvAórtica,0.4127470677653886
EnfCerebroVascular,0.4064927566449444
Leucocitos_sum,0.40584229894038687
missingindicator_Fosfatasa Alcalina_initial,0.40337937419488906
Creatinina_min,0.39912804918128375
Osimertinib,0.3977756731218951
Linfocitos_min,0.3958127117319621
Albumina_kurtosis,0.3903295691083221
Leucocitos_median,0.3889758665676582
Albumina_homogeneous,0.38750557824432663
Sodio_kurtosis,0.3815210263460404
Linfocitos_kurtosis,0.3787273971993978
LDH_rms,0.3779774582937991
GPT_kurtosis,0.3774793117778088
GOT_median,0.3712594049971117
Potasio_max,0.36528526459907107
Durvalumab,0.36438822272891985
Plaquetas_max,0.36349697471519615
GPT_median,0.36336646913998144
missingindicator_GOT_initial,0.35949261145056577
Linfocitos_quartile1,0.3546205911016993
NºLineasVO,0.35407565932185164
GPT_rms,0.3521775422369307
Hemoglobina_std,0.3497943507479637
Glucosa_quartile1,0.3491286735097993
ValvMitral,0.3460796588895719
Leucocitos_initial,0.3446608793381776
Plaquetas_std,0.34163996918362494
LDH_min,0.34161377961076045
GGT_sum,0.33873378778373064
TNMIV,0.3379935536318847
Potasio_skewness,0.3360696221730731
GGT_homogeneous,0.33226402468908517
GOT_quartile1,0.33062005050149185
Adenocarcinoma,0.33018438850261994
Neutrófilos_quartile3,0.329861431029378
GPT_initial,0.3297250512013509
Plaquetas_iqr,0.32961800728592106
NeoHEM,0.32789652057998825
Plaquetas_quartile1,0.3256632860424743
Albumina_median,0.32558460314779697
Neutrófilos_sum,0.324976885644063
GPT_quartile1,0.3213113327815717
GPT_homogeneous,0.3175635516533815
MelanomaPiel,0.314518485504103
LDH_homogeneous,0.3131732655600854
Radioterapia,0.3108429517780889
Bilirrubina total_max,0.31011667018705485
LDH_std,0.3098486723743483
QTinmunosupresores,0.30863163940735044
FRA,0.30447098672611783
Calcio_iqr,0.30217295366297287
Sodio_max,0.29707413660493853
Obesidad,0.2964150304105522
Leucocitos_std,0.2949878645337058
CIsquémica,0.293641612201388
GGT_quartile1,0.29348458537081823
Vinorelbina,0.28798177145954634
GOT_sum,0.28745309191440993
TNMCOD,0.2849758738047856
Bilirrubina total_min,0.2848834607843611
Hemoglobina_kurtosis,0.28276386228414285
TTPa (s)_std,0.2771587524375014
Linea1Pemetrexed,0.2745212024083331
GPT_skewness,0.2702162300677654
Glucosa_sum,0.2698502650031243
Glucosa_std,0.2687721414605624
DosisRT,0.2684887287101676
TTPa (s)_kurtosis,0.26770209636950815
Sodio_quartile3,0.26655684642060395
Fosfatasa Alcalina_max,0.2654387879863947
TP (s)_kurtosis,0.2638516961605433
Crizotinib,0.26205039379144074
Plaquetas_kurtosis,0.26167971287898806
Creatinina_median,0.2608632905361115
Fosfatasa Alcalina_sum,0.2608169173337494
TTPa (s)_median,0.2601662189361355
Hemoglobina_max,0.2596031931518935
GOT_quartile3,0.2584076679701501
Glucosa_median,0.257905491031815
GPT_mean,0.25756018491880983
Urea_rms,0.25722707518504573
Linfocitos_homogeneous,0.2564223940286777
Sodio_rms,0.25557967027746464
Fosfatasa Alcalina_min,0.252470276585968
Linfocitos_quartile3,0.2504953143557664
Creatinina_iqr,0.25000375871168357
LDH_skewness,0.24919166420095742
Sodio_mean,0.24807304024756513
Sodio_sum,0.24675365741512792
Fosfatasa Alcalina_initial,0.24426569066550718
missingindicator_LDH_initial,0.2390684246469128
Gemcitabina,0.23874115022190837
GGT_max,0.2383379333059551
Albumina_initial,0.23429754758503568
missingindicator_Urea_initial,0.23276924387930492
GGT_initial,0.2326640584574572
Potasio_initial,0.23264232466711307
AIT,0.2302908631435637
Cardiopatía,0.22962421201073635
Plaquetas_sum,0.22541614839570337
Albumina_std,0.2246392833405286
Linfocitos_mean,0.22369920428033332
Neutrófilos_max,0.2230511265069438
Erlotinib,0.22070967452568072
Potasio_min,0.22011331480270013
Calcio_kurtosis,0.2187736349984913
Gefitinib,0.21488180764584583
Irinotecan,0.21455965837276278
