feature,mean_pos,median_pos,std_pos
air_time24,3.9,3.0,3.806573262134856
total_time24,5.5,4.5,4.4328320518603
air_time15,6.4,6.0,4.386342439892262
num_of_pendown9,11.3,4.5,20.96210867255487
total_time15,12.0,11.0,5.079370039680118
mean_jerk_in_air11,13.8,1.0,24.48591431823611
air_time4,15.1,5.5,29.14601173402632
air_time9,15.6,11.0,16.156732342896568
max_x_extension21,16.7,12.0,13.505924625881782
max_x_extension5,16.8,11.0,12.480384609458156
disp_index6,17.1,14.0,10.811567878897122
max_x_extension4,17.4,4.0,28.09341559867721
total_time6,22.5,21.0,7.605918747922567
max_y_extension5,25.6,7.0,49.338017795610725
mean_acc_in_air7,26.3,25.0,11.82412787481597
paper_time7,27.6,23.0,16.390240998838305
mean_jerk_in_air7,27.8,25.5,11.196428001822724
paper_time6,28.1,25.5,8.466994744299774
total_time9,28.8,23.0,18.551549800488367
total_time7,29.7,27.5,7.043436661176133
mean_jerk_in_air9,29.8,17.0,46.81410043993155
air_time7,31.2,29.0,10.457533169921097
mean_acc_in_air9,31.7,18.5,39.947590665771074
air_time6,32.7,32.5,11.866338946785568
mean_jerk_in_air23,34.2,16.0,51.40778151214075
air_time13,35.6,25.0,28.000714276603734
mean_acc_in_air23,39.7,21.0,54.65720446565119
total_time13,41.0,38.0,16.522711641858304
max_x_extension15,41.9,33.5,30.147802573321986
total_time10,43.9,25.0,61.409201264957034
total_time22,45.3,40.0,13.61653406708183
mean_acc_in_air11,46.9,14.0,71.45411114834471
paper_time10,47.9,34.5,41.042538907821
paper_time13,51.4,49.5,15.576905982896605
total_time4,52.0,53.0,14.142135623730951
total_time8,52.2,46.5,23.566077314648698
mean_speed_on_paper22,53.0,48.0,13.3566462856512
max_y_extension2,53.1,16.5,103.28547816610039
gmrt_on_paper7,53.2,52.5,15.99874995116806
gmrt_in_air20,54.7,47.5,31.572297984150598
air_time22,55.9,53.0,20.83962571640863
paper_time9,57.0,52.5,24.14953415699773
mean_gmrt7,57.0,55.0,17.274258305351346
paper_time23,58.0,55.5,12.545915670049755
num_of_pendown19,58.5,58.0,17.345028106059672
paper_time22,59.1,53.0,21.40770889189219
gmrt_in_air7,59.7,55.0,17.67512376194294
air_time8,64.6,53.0,27.011849251763568
mean_speed_on_paper10,64.8,61.5,16.375591592366977
max_y_extension4,68.1,37.5,102.60648127676924
paper_time11,69.0,61.5,22.40535650240808
gmrt_on_paper10,69.1,75.0,20.166556473528146
disp_index17,70.6,67.5,24.61381725779242
mean_acc_on_paper8,71.4,66.0,22.561914812355802
mean_speed_on_paper7,71.7,71.5,32.79954267973869
