feature,mean_pos,median_pos,std_pos
fr_Imine,3.1,2.0,2.947880594596735
SlogP_VSA10,3.4,2.0,2.7640549922170505
PEOE_VSA8,3.5,1.0,5.162363799656123
PEOE_VSA9,4.0,3.5,2.792848008753788
Chi0v,4.4,4.0,2.33238075793812
PEOE_VSA3,6.1,5.5,3.5341194094144583
BertzCT,6.5,6.5,3.9812058474788765
SMR_VSA6,7.5,7.0,3.0083217912982647
EState_VSA1,8.0,9.0,3.7416573867739413
EState_VSA2,10.7,10.0,4.6701177715342475
fr_ketone_Topliss,11.2,11.0,8.669486720677297
Chi2v,15.1,13.5,7.462573282722253
fr_guanido,15.6,14.0,3.411744421846396
PEOE_VSA2,16.6,17.0,7.28285658241325
fr_hdrzine,16.8,15.5,12.631706139710502
fr_ester,18.2,15.5,11.285388783732708
NumSaturatedCarbocycles,23.2,19.0,15.91728620085723
fr_unbrch_alkane,25.8,26.5,8.908422980528035
EState_VSA5,26.0,22.5,9.186947262284681
fr_ArN,26.7,20.5,18.22114156687226
Chi1,27.1,21.0,15.902515524281057
fr_alkyl_halide,27.6,24.0,19.319420281157505
fr_benzodiazepine,28.7,23.5,13.77715500384604
fr_priamide,29.1,28.5,8.466994744299774
NumAromaticRings,29.4,30.0,11.315476127852508
MinPartialCharge,30.4,30.5,4.715930449020639
fr_methoxy,34.2,25.5,27.541967976163217
SlogP_VSA12,34.7,32.5,16.15580391066938
PEOE_VSA10,35.7,35.0,16.72154299100415
fr_allylic_oxid,36.1,36.0,16.416150584104667
LabuteASA,37.2,35.0,14.965293181224348
SMR_VSA3,43.6,27.5,41.5985576673038
Chi4n,43.6,37.0,19.59183503401353
SlogP_VSA3,44.4,42.5,18.089776118017603
fr_ketone,45.5,38.0,29.66563668624019
fr_aniline,48.7,36.0,45.57861340585078
NOCount,49.9,45.5,14.222868908908639
fr_nitro,51.3,49.5,18.50432381904294
SMR_VSA1,52.3,42.5,34.773696956176515
SlogP_VSA6,52.9,51.0,25.629865391765133
fr_para_hydroxylation,53.9,51.0,26.692508312258703
HeavyAtomMolWt,55.4,43.0,39.98299638596387
MinEStateIndex,56.8,51.5,21.779807161680747
fr_Ndealkylation2,57.6,57.5,23.238760724272716
fr_phenol,58.2,60.5,14.483093592185337
fr_sulfonamd,59.3,57.5,28.199468080089733
PEOE_VSA14,59.6,52.0,26.138859959837575
SMR_VSA7,60.1,53.5,18.484858668650947
fr_alkyl_carbamate,60.2,54.5,26.660082520502446
Chi1v,60.3,42.5,42.412380268030226
Chi3n,61.0,57.5,37.93151723830725
fr_C_O,62.7,57.5,29.725578211365377
fr_nitro_arom_nonortho,63.9,63.5,10.949429208867466
Chi3v,64.2,59.5,26.36209399877028
fr_benzene,64.8,62.0,23.688815926508443
NumAromaticCarbocycles,65.6,63.0,23.465719677862
fr_HOCCN,65.9,72.5,35.511829015132406
fr_piperdine,66.1,54.5,38.349576268845524
NumSaturatedRings,66.9,60.0,30.849473253201584
NHOHCount,67.9,57.0,31.45615996907442
EState_VSA7,68.3,47.0,44.41857719468286
NumHAcceptors,68.7,55.5,35.63158711031548
fr_morpholine,70.2,68.5,17.180221186003397
SlogP_VSA4,70.4,62.0,28.806943607401323
fr_piperzine,70.8,68.0,19.46175737183053
fr_dihydropyridine,72.2,74.5,16.732005259382394
fr_Ndealkylation1,72.5,66.5,31.793867333182355
