feature,mean_pos,median_pos,std_pos
minHBint4,12.2,0.0,24.007498828491066
maxHaaCH,17.9,14.0,10.358088626768938
maxHother,19.8,15.5,12.464349160706305
MDEC-24,20.1,15.0,17.386489007272285
C3SP3,22.8,7.0,35.65333084018939
minHBa,25.5,1.0,58.327094904512435
maxHBint5,33.7,10.5,48.59228333799514
nHCsatu,43.3,44.0,18.02803372528463
ALogp2,46.6,29.5,46.01130295916428
VE3_Dt,48.1,22.0,49.79246931012761
C1SP2,49.6,23.5,49.09826880858429
AATSC8e,52.4,33.5,45.18451062034422
MDEC-34,53.6,42.0,49.40485806072112
AATSC5i,54.0,33.0,53.769880044500745
minHBint10,58.5,54.0,38.73822401711261
SsF,60.3,9.0,133.5912048003161
hmin,60.9,36.5,43.061467694448126
SaaO,66.7,23.0,109.54455714457018
StN,68.4,81.0,39.329886854655456
SsssCH,69.2,45.0,60.46949644242128
minsF,70.1,42.5,102.05924749869557
ATSC2e,70.6,53.0,42.278126732389644
nBase,76.1,27.0,91.07189467667838
VR2_Dzi,78.9,40.0,94.67254089755909
MATS7i,78.9,64.0,51.914256230827384
GATS6s,79.6,54.5,56.384749711247274
VR1_Dzi,82.0,36.5,107.42904635153381
mintN,82.1,52.0,97.3462377290463
maxtN,83.1,53.0,97.3462377290463
AATSC7i,84.0,65.0,58.04136456011351
GATS7i,84.9,40.0,99.07113605889458
AATSC2e,85.7,78.5,39.53239178192992
mindO,85.8,71.0,67.30943470272203
minHBint8,87.6,46.5,82.97975656749061
maxsF,90.9,58.0,117.31534426493408
SHBint7,91.4,73.5,71.94748084540555
AATSC6e,96.7,34.5,122.92115359042155
n5HeteroRing,96.8,74.5,72.06080765575695
nT5HeteroRing,96.8,74.5,71.76740207085665
SHBint8,96.9,52.0,107.95411062113384
MATS5i,102.3,82.0,94.95267242158064
PetitjeanNumber,103.5,76.5,60.55947489864819
MDEN-22,103.7,79.0,75.87891670286285
SpMin2_Bhs,104.1,76.5,76.36157410635273
topoShape,104.2,75.5,62.79140068512567
SssssC,107.6,71.0,97.21954535997378
JGI7,108.2,23.0,231.49159811967255
MATS1s,108.8,53.5,156.25799179561983
minssssC,109.6,73.5,98.97696701758444
ATSC5i,115.0,82.5,107.37876885120261
MATS4s,116.2,131.5,52.96564924552516
MATS3m,117.3,109.5,44.18834688014477
ATSC7p,117.6,33.5,243.98368797934012
MDEO-12,117.9,100.0,79.62844968979365
SpMax7_Bhm,118.0,103.0,53.80148696829856
MDEO-11,119.1,120.5,40.861840389292304
SpMax1_Bhv,123.0,89.0,76.66811592833099
WTPT-2,123.2,58.5,187.3455630646213
AATSC7p,124.7,71.0,179.93334877114916
MATS8i,126.6,51.5,222.21935109256347
SpMax4_Bhm,126.7,107.0,65.15220640929975
SdssC,128.6,77.0,139.1202357674828
ATSC2s,128.7,33.0,214.04347689196229
SsOm,129.4,61.5,173.34947360750766
SpMax3_Bhv,130.3,67.0,151.3255100767878
SHBint2,131.5,129.0,84.39105402825587
SpMax5_Bhs,131.6,17.5,329.5385258205784
GGI10,132.6,90.0,100.5576451593811
minHBint6,133.8,21.5,265.6673860299755
AATSC2s,134.2,77.0,162.24043885542224
minHBint7,134.8,10.0,250.9198278335134
MATS7p,135.3,82.5,182.40123354846043
GATS3m,136.1,104.0,66.26982722174549
ATSC8e,138.7,63.0,180.79770463144712
nHeteroRing,138.9,108.5,99.9954498964828
SpMax3_Bhi,139.0,109.0,125.86500705120545
SHCsatu,140.8,140.0,29.270462927668227
GGI7,141.1,106.0,114.32886774563981
GATS7p,144.7,84.0,172.75129521945703
ATSC7i,146.5,106.0,112.49111075991738
maxHBint6,149.6,111.5,102.22054587997464
VR3_Dzv,152.1,124.5,86.65269759216963
AATSC8i,152.8,66.0,256.95166860715267
FMF,153.0,42.5,230.7817150469248
ATSC5e,153.4,49.5,308.7795977716144
SpMin7_Bhm,155.1,159.0,84.02910210159335
SsNH2,155.3,40.0,349.7682232564874
ATSC3m,155.8,138.5,74.22371588650086
nHBint6,157.6,107.0,163.789010620371
MLFER_A,161.2,86.5,146.22503205675832
MLFER_BH,162.8,131.5,77.34183861274569
khs.aaN,166.0,100.5,151.3049900036347
minHother,167.5,119.5,137.4774526967968
VR3_Dzp,170.4,89.5,176.39285699823563
GATS5s,171.3,146.5,71.00007042250029
JGI9,175.1,51.0,310.54643775126453
ATSC7c,176.0,106.5,148.7528150994125
ETA_Beta_ns_d,176.3,158.0,128.26616857145146
SpMin4_Bhs,177.7,160.0,91.1021953632293
ALogP,179.7,104.0,205.53882844854397
JGI10,180.1,138.5,123.6587643477
BCUTw-1l,184.5,112.5,148.03259776143904
AATSC5e,186.3,109.5,219.21407345332554
SRW9,188.6,198.5,108.56905636506195
SpMax4_Bhi,190.3,165.5,108.77320442094182
SpMax6_Bhv,190.3,189.0,92.24646334684057
MATS1i,190.3,161.0,75.35655246891275
MLFER_BO,191.2,178.5,80.32533846800771
SpMin3_Bhv,192.7,165.0,102.28885569796937
VR3_Dze,194.8,165.5,94.22504974793063
nG,195.1,181.5,98.8811913358653
JGI2,195.3,154.5,93.43238196685344
ATSC5c,195.7,148.5,163.41789987635994
SpMax6_Bhp,196.5,178.5,98.65115305965764
minHaaCH,196.9,115.0,199.59832163623022
nL,197.4,178.5,93.74454650805026
JGI6,199.8,198.5,107.83858307674484
EE_Dt,200.1,189.5,59.2898810928138
minaaO,200.5,71.5,310.01620925364534
maxaaO,201.1,72.5,309.2126937885959
nTG12Ring,204.7,104.0,258.5931360264614
nFG12Ring,205.1,104.0,258.8646171264045
MATS8e,209.9,202.5,105.2819547690866
nHBAcc,213.1,153.0,136.97477870031403
SpMin6_Bhi,213.3,84.0,321.08411670464176
maxssNH,214.1,116.0,296.49703202561744
minssNH,214.1,118.5,298.9553311115224
SHBint9,214.8,134.0,214.03167989809359
GATS5m,217.6,210.0,107.87789393569008
ndssC,220.8,110.0,271.23930393657923
GGI9,222.0,121.0,290.2619506583665
khs.dssC,222.3,108.0,284.13273306678343
nAtomLAC,222.9,188.5,146.72044847259704
AATSC4s,224.7,195.5,183.61593068140903
MATS6s,227.0,124.5,311.5904363102308
maxHBint4,227.2,130.5,215.14962235616403
maxHBint10,227.7,167.0,236.36795468083227
AATSC8s,228.1,177.0,193.21617427120327
SpMax1_Bhp,229.0,178.5,119.41105476462387
MATS5c,229.5,184.0,168.78818086584144
ETA_BetaP_ns_d,229.8,205.5,154.54371549823693
SHBint5,231.3,76.5,263.4221137262398
SpMax7_Bhe,231.3,220.0,78.19725059105339
SpMax4_Bhe,231.4,179.5,136.03396634664446
nHBint4,231.5,180.5,130.8000382262941
AATSC1v,232.0,219.5,103.35182630219943
GATS8s,232.6,220.0,102.5789452080689
minsssCH,233.7,164.5,151.94541783153582
MATS1v,234.9,221.0,108.20115526185475
ZMIC5,235.1,208.5,121.20268148848854
MATS5e,239.4,178.5,205.52430513202083
BCUTc-1l,240.6,208.0,192.91770266100517
VR3_DzZ,240.7,198.0,113.851701787896
AATSC7v,241.1,160.0,222.04073950516377
