feature,importance
PEOE_VSA8,0.32368420721907093
PEOE_VSA9,0.29300313531917344
fr_Imine,0.2878875335849786
SlogP_VSA10,0.28433718212892434
Chi0v,0.2684943854164081
PEOE_VSA3,0.25888015173516754
BertzCT,0.2499960492628836
SMR_VSA6,0.23708038296198586
EState_VSA1,0.2358858434495575
EState_VSA2,0.21986859427050326
fr_ketone_Topliss,0.19706809632330582
PEOE_VSA2,0.18572566301883175
Chi2v,0.1801116701467687
fr_hdrzine,0.17262282747843724
fr_guanido,0.17195094111987183
fr_ester,0.171800152115855
NumSaturatedCarbocycles,0.16399053284587425
Chi1,0.14413766036797598
fr_alkyl_halide,0.1433921303256129
fr_ArN,0.1421589867668262
fr_unbrch_alkane,0.14006959376943068
EState_VSA5,0.13861150388545337
fr_methoxy,0.13315188982636766
fr_benzodiazepine,0.13047334614563783
fr_priamide,0.13000007041473882
Chi4n,0.12505704406842402
SMR_VSA3,0.1237283323503849
fr_aniline,0.12294046540586012
MinPartialCharge,0.12270047086879948
PEOE_VSA10,0.11997237127370507
fr_allylic_oxid,0.11861951753185403
LabuteASA,0.11719017406108113
SlogP_VSA12,0.11406966505463294
NumAromaticRings,0.1126017589408716
SlogP_VSA3,0.100959134925697
HeavyAtomMolWt,0.10023936284954336
Chi3n,0.1002381641751668
fr_ketone,0.09856844548673174
MinEStateIndex,0.09803354473534645
SMR_VSA1,0.0976286513993003
EState_VSA7,0.09557649510344075
Chi3v,0.09448771383346669
SMR_VSA7,0.09383338050973757
NOCount,0.0937851486511566
fr_para_hydroxylation,0.09341404185164025
PEOE_VSA14,0.09143944705235293
fr_nitro,0.09136532112821728
NumHAcceptors,0.09091565267850069
fr_Ndealkylation2,0.09042492126128325
SlogP_VSA6,0.08965456893426886
Chi1v,0.08953608612135139
fr_C_O,0.08310311284044024
SlogP_VSA4,0.08161172037087701
fr_Ndealkylation1,0.08011761829466817
fr_piperdine,0.07956746073575065
fr_alkyl_carbamate,0.07777927324698926
NumAromaticCarbocycles,0.07758580016179406
fr_benzene,0.07758580016179406
fr_phenol,0.07681143348399692
Chi0n,0.07643330317377661
fr_nitro_arom_nonortho,0.074957061441075
NumSaturatedRings,0.07438562573183896
FractionCSP3,0.0743078661366948
SlogP_VSA1,0.07253262370393408
fr_sulfonamd,0.0720915652619982
NHOHCount,0.07179893491864309
NumAromaticHeterocycles,0.07003191755815444
fr_HOCCN,0.0697317420266542
Kappa2,0.06878641163334138
EState_VSA3,0.06315777543197662
NumAliphaticHeterocycles,0.06215563685411798
fr_Ar_OH,0.061568900430806345
fr_morpholine,0.06153861840242162
fr_piperzine,0.0607691472406365
fr_dihydropyridine,0.06029796312888093
PEOE_VSA12,0.05559454393382459
SlogP_VSA2,0.05504325530099345
fr_nitrile,0.05478140926009053
MaxPartialCharge,0.05371497337203351
NumRotatableBonds,0.05122789361180979
MolWt,0.050827184153750614
MolMR,0.0508033554173007
fr_NH1,0.05078061326818063
fr_lactone,0.05050069259869542
fr_bicyclic,0.05041448923005535
fr_Al_OH,0.04880512159843456
Kappa1,0.047160879420937336
NumAliphaticRings,0.04704111269647293
SMR_VSA5,0.046330159149174634
fr_phenol_noOrthoHbond,0.045288441002369895
fr_N_O,0.04408379414608412
fr_aryl_methyl,0.04373040922965155
fr_nitro_arom,0.04197461842747406
PEOE_VSA6,0.04182539456188231
fr_ether,0.04152744227578681
fr_halogen,0.04140013926833972
NumHeteroatoms,0.040516608670310914
NumValenceElectrons,0.0400148152068567
fr_Al_OH_noTert,0.0374927825697516
fr_tetrazole,0.036661581023197665
Chi2n,0.036450677176674995
fr_term_acetylene,0.03555259733279461
MolLogP,0.035109948097702515
PEOE_VSA1,0.03502875066394825
fr_aldehyde,0.03456966887315096
fr_amide,0.03394595735144679
fr_SH,0.03379081994245811
fr_epoxide,0.03371198174819059
fr_imidazole,0.03363160940629739
HeavyAtomCount,0.03282344889441406
MaxAbsPartialCharge,0.03133450091187018
TPSA,0.03116037850328698
fr_C_S,0.0299699670880042
EState_VSA10,0.029575966939558936
fr_urea,0.02883361834910729
MinAbsEStateIndex,0.02792135109647994
fr_NH2,0.026670671426686787
fr_azo,0.026501026632591563
fr_imide,0.024459799676639825
fr_Ar_N,0.02407300830822038
fr_nitroso,0.022450129648459844
PEOE_VSA11,0.021686919533159578
NumAliphaticCarbocycles,0.021669090477829205
EState_VSA9,0.020729503033454
fr_thiophene,0.02061788962064573
VSA_EState9,0.020461276146616365
fr_NH0,0.019168525793786237
EState_VSA4,0.019095386876651372
fr_pyridine,0.018803701028540246
SlogP_VSA5,0.018349248336027524
SlogP_VSA8,0.018101793211555
fr_oxazole,0.017705083038175938
fr_sulfone,0.016572858259653524
MaxAbsEStateIndex,0.016234089293451204
MaxEStateIndex,0.016234089293451204
NumHDonors,0.016094963660553675
fr_COO,0.015646359984891955
BalabanJ,0.015425692119368421
NumSaturatedHeterocycles,0.01521928138219622
EState_VSA6,0.015003481565824775
fr_Ar_NH,0.014864424583185827
fr_Nhpyrrole,0.014864424583185827
fr_Al_COO,0.01406923368202575
ExactMolWt,0.013035134455790014
fr_hdrzone,0.012657137224231068
SMR_VSA4,0.012387948272775793
fr_sulfide,0.0101511694245483
VSA_EState8,0.010071733602148258
fr_C_O_noCOO,0.008958982831758524
MinAbsPartialCharge,0.007829452142256174
fr_furan,0.006604604653419153
Chi4v,0.006579504439809634
Chi1n,0.006313792948307012
fr_lactam,0.005627349719199894
fr_COO2,0.005300684580227285
fr_oxime,0.004259034890248161
PEOE_VSA7,0.003725255999593944
fr_quatN,0.00256305809551375
EState_VSA8,0.002204371607903076
fr_phos_ester,0.0021643552524913
fr_phos_acid,0.002141246878979276
fr_amidine,0.00213586144840466
fr_thiazole,0.0020539943035377804
HallKierAlpha,0.0017287321469529363
RingCount,0.0017237396402192305
fr_Ar_COO,0.0015771263028659017
SMR_VSA10,0.0011037822105021055
Kappa3,0.0007219380380067583
SMR_VSA9,0.00017114025073861882
Chi0,0.00011509231172082102
PEOE_VSA13,2.0839100140370038e-05
SMR_VSA2,1.6831362733778363e-05
VSA_EState10,1.3331447563968486e-05
PEOE_VSA5,7.794621187355804e-06
Ipc,5.5059394702440144e-06
PEOE_VSA4,2.9895849771874774e-06
SlogP_VSA7,2.1736402725099738e-06
EState_VSA11,1.8898903056509075e-06
SlogP_VSA11,2.6632906211621098e-08
fr_azide,0.0
SMR_VSA8,0.0
SlogP_VSA9,0.0
fr_thiocyan,0.0
VSA_EState4,0.0
NumRadicalElectrons,0.0
fr_diazo,0.0
VSA_EState6,0.0
VSA_EState2,0.0
fr_prisulfonamd,0.0
VSA_EState7,0.0
fr_barbitur,0.0
VSA_EState1,0.0
fr_isocyan,0.0
fr_isothiocyan,0.0
VSA_EState5,0.0
VSA_EState3,0.0
