feature,importance
minHBint4,0.12232582575141294
VE3_Dt,0.09760316725117478
ETA_Beta_ns_d,0.09706405077036137
ALogp2,0.09384564845415459
SsNH2,0.09095832987095048
maxHaaCH,0.08228294795863275
minHBa,0.08141904077507342
minHBint7,0.07910720369462658
maxHother,0.07713752038084404
minHBint9,0.07388649899033652
SpMax5_Bhs,0.07141379717876077
C3SP3,0.07108482186204491
FMF,0.06981322889732534
ATSC5e,0.06880111511335814
SsF,0.06654593014636417
AATSC6e,0.06625292948680579
maxHBint5,0.0660272984214871
mindO,0.06528933638519277
minHBint10,0.06478230407647889
C1SP2,0.06470394210039661
nHCsatu,0.06465871865880309
ALogP,0.06430262083053395
MATS1s,0.06388720303888652
AATSC5i,0.06152013844331851
SpMax3_Bhv,0.06143852321310059
ATSC7p,0.06122890160664858
JGI7,0.05803666920681446
SpMin2_Bhs,0.05667350641092967
nBase,0.05662982795437907
mintN,0.05619733527682581
maxtN,0.05619559477014669
JGI9,0.05618055635092822
SssssC,0.05587119467910961
minssssC,0.05587119467910961
AATSC8e,0.055726071517373736
hmin,0.05537085063222881
SpMin6_Bhs,0.05503639372525689
AATSC5e,0.05503263138773804
GATS7i,0.05468481616636495
VR1_Dzi,0.054551545194694726
GATS6s,0.053938999767218436
ETA_BetaP_ns_d,0.053788381788208155
MATS5e,0.05332815692325148
minHBint8,0.05314185694710885
SpMin6_Bhv,0.05214639741259021
MLFER_A,0.05147410932557787
SpMin7_Bhm,0.051278618315672896
ATSC2s,0.05078128829953664
SpMax3_Bhi,0.05074983589576973
GATS7p,0.050646070539012655
minsF,0.05006053903607501
ATSC2e,0.049950215483829115
SaaO,0.049852109076093776
SpMin6_Bhp,0.049792142224549925
minssNH,0.04933629438238994
maxssNH,0.0492580884821807
VR2_Dzi,0.048853076127854715
khs.aaN,0.047537431723534036
n5HeteroRing,0.04727773982054324
nT5HeteroRing,0.04727773982054324
MATS8i,0.04690265305702636
MDEC-24,0.04685527108505582
ATSC5i,0.046726347183070664
GGI7,0.04656882680412883
SpMax1_Bhv,0.04642393820881771
SpMax3_Bhp,0.046362503788448556
minHBint6,0.04621208589024743
MATS7i,0.04578651263299074
minsNH2,0.04547879345561382
maxsNH2,0.04547879345561382
ATSC7c,0.04543846313039826
maxdssC,0.04521244861616842
minsCH3,0.045058775713020485
SpMin6_Bhm,0.04487742890189745
SpMin6_Bhi,0.044658208707533766
MDEO-11,0.044610677472493324
maxdO,0.04439716076594939
maxsF,0.04433840863941973
topoShape,0.04386284539323618
WTPT-2,0.04378594699007357
AATSC7i,0.04374773618936013
PetitjeanNumber,0.04370147037103604
SsssCH,0.04362673320885433
MATS5i,0.04342711208508195
GATS5m,0.04311851809058286
StN,0.04291295781660295
AATSC2e,0.04259463976872434
SpMin6_Bhe,0.0421179476790066
ATSC6p,0.04178460058197863
MATS8e,0.04173915038811673
AATSC3e,0.0417251891287071
ATSC8e,0.041541515759370255
AATSC7p,0.04151816189574599
SpMax4_Bhm,0.04123774908348308
GATS2s,0.040882641680022036
MDEC-34,0.04070497769191414
SpMax4_Bhi,0.04062564596418003
VR3_Dzp,0.040412579894733694
minaaO,0.040384960253111224
AATSC8i,0.04038418170486192
maxaaO,0.0403806081747646
minHother,0.04018424366048968
SpMin1_Bhs,0.0401218750155084
SpMAD_Dzp,0.040083557345172716
SHBint8,0.03987238083111372
SpMax1_Bhm,0.03942974241945014
GATS3m,0.03939698139834693
AATSC2s,0.0393319107104978
SRW9,0.03909999589929845
ATSC7v,0.038927729279113185
SpMax7_Bhm,0.038911052965193614
MATS7p,0.03890076875720469
JGI4,0.03854396920923368
ATSC6s,0.038452393659853375
SHCsatu,0.038254941175359686
maxsCH3,0.03791488108273085
nHBAcc,0.03786690014172647
ATSC7i,0.03774466182480313
minHaaCH,0.03758191476689116
SpMin7_Bhs,0.037392465749120384
SpMin7_Bhp,0.03724960690464098
SpMax3_Bhe,0.03720531649972739
GATS4s,0.03720146308632978
minsssCH,0.037111619442329685
GATS5p,0.036883525237107535
MATS4s,0.03677853429964761
ATSC7m,0.03677558802769793
nAtomLC,0.036656938717397315
GATS4i,0.035684160474352376
ATSC6c,0.03549850590712826
SaaN,0.03546733240517774
ZMIC5,0.035086114454712096
SpMax5_Bhm,0.034880009048337914
nHBint6,0.034832223441492255
minssCH2,0.03480765777681638
nTG12Ring,0.03455208242425592
nFG12Ring,0.03455208242425592
JGI6,0.034061444691554345
maxHBint6,0.034027006719579526
VR3_Dzv,0.03397372628166992
BCUTw-1l,0.03394373662533171
