feature,importance
TEP,1.712403582948426
Sodio_sum,1.65336921342584
missingindicator_Urea_initial,1.4585777133267275
Neutrófilos_min,1.44640057959195
CIsquémica,1.4080365333369176
Calcio_std,1.2961805097517736
Hemoglobina_median,1.292964215838526
ERC,1.1320461665821198
Linea1Carbo,1.1282071139322054
Leucocitos_min,1.0666734238741353
Calcio_sum,0.9988612400808857
Linfocitos_sum,0.9563853182905682
Paclitaxel,0.9442641159540737
Linea1Nivo,0.9360333906836407
Hemoglobina_sum,0.9340845066937058
OtrosFarmacos,0.9316160416421239
Albumina_homogeneous,0.9292940749812557
Pembrolizumab,0.8901775085625684
Leucocitos_sum,0.8856592190482141
Creatinina_std,0.8429663174239134
CAurinario,0.8358038082539802
missingindicator_LDH_initial,0.8345519822441158
Bevacizumab,0.8160700111758923
Linea1Beva,0.811276710789158
Cardiopatía,0.8046985762673744
Calcio_median,0.8020286536174138
Sodio_iqr,0.7984072518338327
TP (s)_std,0.7976272657567868
Albumina_max,0.7944196530112804
Urea_iqr,0.7839865431116985
TTPa (s)_homogeneous,0.7835784153396169
TP (s)_iqr,0.7752421119166756
CAORL,0.7644656328910182
Irinotecan,0.7561775280161708
missingindicator_GOT_initial,0.7369016877836332
Urea_quartile1,0.7192564516394547
Sodio_std,0.7101783520914996
Hemoglobina_min,0.704557885920514
Afatinib,0.702085487661348
Leucocitos_std,0.6762848176046713
CAneuroendocrino,0.6730347353317492
Linfocitos_kurtosis,0.6697814149445259
LDH_min,0.6688667391607093
GGT_max,0.6627132754050157
GOT_kurtosis,0.655454358017097
Traqueostomía,0.6511687262257435
Neutrófilos_max,0.6494950462391716
Linea1Pacli,0.6432556941084584
Bilirrubina total_sum,0.6422282088926388
Creatinina_min,0.6420238643402831
Alectinib,0.6367918806527959
missingindicator_Bilirrubina total_initial,0.6323380090558228
Artropatía,0.6192376747584738
Bilirrubina total_homogeneous,0.6182632149948618
Sodio_quartile3,0.6177998265438015
Vinorelbina,0.6069830176474545
Urea_median,0.6011053180938587
Plaquetas_homogeneous,0.6003850069687398
Creatinina_initial,0.5972292881355673
PrótesisArticular,0.595667882248231
Glucosa_sum,0.5893462194332595
Calcio_iqr,0.5861902137583888
Linfocitos_homogeneous,0.5841388410258626
ValvAórtica,0.5820701186756304
GPT_homogeneous,0.5754383011795579
Fosfatasa Alcalina_max,0.5683353121295512
NeoHEM,0.5583351335133973
Hemoglobina_max,0.5518080741505703
GPT_min,0.5426280582576009
AIT,0.5416855417112714
Durvalumab,0.5369074978862811
Creatinina_rms,0.536523464400254
Radioterapia,0.5360785257149868
Fosfatasa Alcalina_homogeneous,0.5336115676995683
Carboplatino,0.5315928423597945
Pemetrexed,0.5315928423597945
Plaquetas_sum,0.5285561688243626
EPOCAsma,0.5259879142033232
EnfCerebroVascular,0.5188229215963632
GOT_mean,0.5142922338998942
LDH_sum,0.5126530374611431
Plaquetas_kurtosis,0.51085767981255
EnfDigest,0.5049898485931437
Urea_max,0.501105872232473
TP (s)_kurtosis,0.49446421241006266
Albumina_sum,0.49194425606239217
Neutrófilos_median,0.48625410712083894
Albumina_std,0.47517872182804927
Albumina_iqr,0.4708254386932488
Glucosa_std,0.4694451256335847
Sodio_kurtosis,0.46828364533514427
Bilirrubina total_kurtosis,0.46455744883755784
LDH_median,0.4628405436084539
missingindicator_Calcio_initial,0.4590060947361822
Urea_initial,0.4524409882160805
Bilirrubina total_min,0.451309796911187
GPT_quartile1,0.44902939833254973
LDH_iqr,0.4466092316602035
TTPa (s)_min,0.4439113049125887
missingindicator_TP (s)_initial,0.4402229059300976
Glucosa_homogeneous,0.4383436678324108
Urea_homogeneous,0.43832207178571014
Calcio_min,0.43786314553788963
Creatinina_max,0.4353640928568671
Creatinina_iqr,0.43456151183439384
Plaquetas_rms,0.4337067728087032
Alcohol,0.4322039443456749
TTPa (s)_std,0.4312320495554252
MelanomaPiel,0.42747052424655474
GGT_sum,0.4272319741968874
EnfNRL,0.42591941919411164
Glucosa_kurtosis,0.4242946204869491
ACmonoclonalprevio,0.4202790189275102
Calcio_quartile3,0.4177638256964701
Nivolumab,0.41736350983074155
Bilirrubina total_std,0.4162288756892651
Calcio_max,0.4147252015442695
Gemcitabina,0.4116392644308127
Urea_min,0.41137345423207694
GGT_kurtosis,0.41135887142821886
Trasplante,0.4097819452978599
InjertoCV,0.40948961237216824
PulmonarIntersticial,0.4093186946131216
Linfocitos_max,0.4081852339225111
Fosfatasa Alcalina_iqr,0.40322093919023766
Osimertinib,0.39722855442767246
GOT_rms,0.39568762670696095
GPT_mean,0.3955155411505664
Potasio_max,0.39310417652868807
Neutrófilos_quartile1,0.38534673243358947
LDH_max,0.3812037922702268
GOT_skewness,0.37717824508157
DM,0.3771652944139706
GPT_std,0.37682417100776666
Fosfatasa Alcalina_quartile3,0.37559298938178565
Potasio_kurtosis,0.3692906996130278
GGT_skewness,0.367854819493809
Sexo,0.36330150689374746
missingindicator_TTPa (s)_initial,0.3614164295210567
Urea_rms,0.3580429097385591
