feature,importance,C_value
fr_Imine,0.49648701536365164,10.0
PEOE_VSA9,0.4311029591249522,10.0
BertzCT,0.4269951466280938,10.0
PEOE_VSA3,0.3978619125302037,10.0
EState_VSA1,0.3900592871299295,10.0
fr_hdrzine,0.369373878964818,10.0
NumAromaticRings,0.3657570993420967,10.0
SlogP_VSA10,0.3642252040585089,10.0
Chi0v,0.3621203139910848,10.0
fr_ketone_Topliss,0.35520701220102135,10.0
SMR_VSA6,0.3547140410933581,10.0
EState_VSA11,0.34265229307235046,10.0
PEOE_VSA8,0.3415747773391187,10.0
EState_VSA2,0.31383401674207506,10.0
Chi2v,0.3035655555805561,10.0
fr_allylic_oxid,0.3021031821812255,10.0
fr_benzodiazepine,0.2881501279234314,10.0
fr_ester,0.2827118633577985,10.0
fr_guanido,0.2761261744023209,10.0
fr_ArN,0.2704134863348205,10.0
SMR_VSA5,0.26463434466601277,10.0
EState_VSA3,0.22775003761448617,10.0
fr_methoxy,0.22493458511759443,10.0
MinPartialCharge,0.22480061982570546,10.0
EState_VSA5,0.22387499606160263,10.0
PEOE_VSA2,0.21982098497236507,10.0
Kappa2,0.2163404606828595,10.0
fr_unbrch_alkane,0.2146023409863589,10.0
fr_HOCCN,0.2138137200991882,10.0
fr_alkyl_halide,0.21090462117969122,10.0
SlogP_VSA6,0.2103272538706813,10.0
fr_priamide,0.2044230736456291,10.0
SMR_VSA3,0.19659642989238202,10.0
SlogP_VSA12,0.18959342323463685,10.0
fr_sulfonamd,0.18413071503771208,10.0
PEOE_VSA10,0.175579254449674,10.0
fr_alkyl_carbamate,0.17270531108562306,10.0
SMR_VSA1,0.16649111845511982,10.0
fr_Al_OH_noTert,0.16467074758182115,10.0
MinEStateIndex,0.16312218392430966,10.0
NOCount,0.16091672309662786,10.0
fr_phenol,0.1601058872289759,10.0
Chi1,0.15700484813868282,10.0
LabuteASA,0.15343232181827735,10.0
fr_morpholine,0.15174896690643377,10.0
fr_aniline,0.1514634223883381,10.0
NumAromaticCarbocycles,0.15035201255408692,10.0
fr_benzene,0.15035201255408692,10.0
Chi4n,0.146248485765042,10.0
fr_Ndealkylation2,0.1436084154278441,10.0
SlogP_VSA1,0.1407332083005429,10.0
fr_NH1,0.13892500617622333,10.0
fr_nitro,0.13661469767612325,10.0
SlogP_VSA3,0.1340724588665473,10.0
NumSaturatedCarbocycles,0.1322817087930395,10.0
Chi1v,0.13226700086367818,10.0
fr_Ar_OH,0.13151381523570024,10.0
SlogP_VSA4,0.12929398386167573,10.0
fr_para_hydroxylation,0.1289448607463314,10.0
Chi3v,0.12715646323229432,10.0
PEOE_VSA14,0.12497167935400678,10.0
fr_C_O,0.12409224272913112,10.0
MinAbsEStateIndex,0.12313034457335091,10.0
fr_nitro_arom_nonortho,0.12150748283770345,10.0
NumRotatableBonds,0.12117480441228802,10.0
fr_Ndealkylation1,0.12113438175589569,10.0
SMR_VSA7,0.11785085813973363,10.0
ExactMolWt,0.1174114846996483,10.0
fr_urea,0.11490704121361572,10.0
fr_piperzine,0.11486464699721417,10.0
fr_ketone,0.11443219637859438,10.0
fr_amide,0.11361758463243964,10.0
MaxPartialCharge,0.09869732194660284,10.0
PEOE_VSA1,0.09790576032028445,10.0
MolLogP,0.09715613297217165,10.0
MolWt,0.097114133402695,10.0
NumHAcceptors,0.09538251309913351,10.0
fr_thiazole,0.09416259953402899,10.0
