feature,importance,C_value
BACT.1,2.093288161634185,100.0
TNMIV,0.18394757041886578,100.0
Adenocarcinoma,0.17103543604451188,100.0
Linea1Cisplatino,0.1343428317936368,100.0
HistOtros,0.12460665782264162,100.0
TNMCOD,0.1226412215820097,100.0
Linea1Vinorelbina,0.10867469045125522,100.0
Pembrolizumab,0.07411452111948313,100.0
Alcohol,0.07361717203212528,100.0
TTPa (s)_sum,0.07164928675669753,100.0
Potasio_quartile3,0.07036279204131295,100.0
Plaquetas_iqr,0.06873491206600414,100.0
Neutrófilos_sum,0.0682936056468714,100.0
Sodio_min,0.06733347316418685,100.0
Leucocitos_sum,0.06732760241577383,100.0
DM,0.0668213699923776,100.0
Plaquetas_kurtosis,0.06485733886683591,100.0
Neutrófilos_quartile1,0.06412694449216892,100.0
Gemcitabina,0.06288006932557294,100.0
TTPa (s)_homogeneous,0.061455127234172825,100.0
CIsquémica,0.06143587198550774,100.0
CAORL,0.06070464923385913,100.0
Linea1Pemetrexed,0.057394064046059325,100.0
Creatinina_median,0.0570034414290428,100.0
Linfocitos_min,0.05643338834789124,100.0
Glucosa_sum,0.05617492648473843,100.0
Adenoescamoso,0.05587545111349135,100.0
Hemoglobina_initial,0.05537544822629376,100.0
Linfocitos_sum,0.05386776075061394,100.0
Linfocitos_quartile3,0.05381178705184166,100.0
Plaquetas_max,0.05369921520884463,100.0
Albumina_iqr,0.05329173042488885,100.0
missingindicator_Calcio_initial,0.05211788058861762,100.0
Linea1Etoposido,0.051891199209663154,100.0
TTPa (s)_std,0.050746165497022905,100.0
Hemoglobina_max,0.04857689156909808,100.0
Alectinib,0.04766420683511122,100.0
LDH_homogeneous,0.047379787291763585,100.0
Neutrófilos_initial,0.047345468392687426,100.0
Linfocitos_kurtosis,0.046855657782674955,100.0
GGT_homogeneous,0.04681950883422729,100.0
Obesidad,0.04639444907176494,100.0
GPT_homogeneous,0.04635158024864656,100.0
missingindicator_GGT_initial,0.045954354354484576,100.0
GOT_kurtosis,0.04569755483005445,100.0
Sodio_sum,0.045323033233852617,100.0
Neutrófilos_min,0.045157537935695644,100.0
Albumina_max,0.044715362205320956,100.0
Hemoglobina_sum,0.04463976095085141,100.0
Carboplatino,0.0445173728030049,100.0
Pemetrexed,0.0445173728030049,100.0
Potasio_skewness,0.04447016350539065,100.0
Nivolumab,0.04419135469354423,100.0
Hemoglobina_quartile1,0.043719922177501744,100.0
Fosfatasa Alcalina_min,0.04343324482229093,100.0
Plaquetas_std,0.0430419620882655,100.0
Leucocitos_min,0.04290749451473918,100.0
Neutrófilos_std,0.04238150945988633,100.0
GPT_kurtosis,0.04224975827529657,100.0
Bilirrubina total_kurtosis,0.039645883369704524,100.0
Hemoglobina_min,0.03947648918377922,100.0
Sodio_iqr,0.03902031670521252,100.0
CAurinario,0.03869746802043538,100.0
Fosfatasa Alcalina_quartile3,0.038320688977955056,100.0
missingindicator_TTPa (s)_initial,0.03814912562487976,100.0
Bilirrubina total_homogeneous,0.038060267625629,100.0
Glucosa_skewness,0.03788689723740348,100.0
LDH_sum,0.03782713990981116,100.0
AIT,0.037234645656036826,100.0
Neutrófilos_kurtosis,0.037019330628028806,100.0
Afatinib,0.03700404557811529,100.0
TP (s)_kurtosis,0.036586698160548714,100.0
Plaquetas_sum,0.036360716849620424,100.0
Potasio_min,0.036313861049688485,100.0
OtrosFarmacos,0.036203544306091184,100.0
TP (s)_std,0.035956890458261836,100.0
LDH_quartile3,0.03549100382551387,100.0
missingindicator_TP (s)_initial,0.03549026375336035,100.0
Fosfatasa Alcalina_homogeneous,0.03533057885526916,100.0
CAneuroendocrino,0.03484604238354939,100.0
Leucocitos_max,0.03460380456689104,100.0
Fosfatasa Alcalina_kurtosis,0.03458065715878667,100.0
Fosfatasa Alcalina_iqr,0.03446831779044006,100.0
Fosfatasa Alcalina_median,0.03394943993444305,100.0
GPT_iqr,0.0333651410243095,100.0
Radioterapia,0.03331051729662187,100.0
Etoposido,0.033149493135715,100.0
Atezolumab,0.033115327795335686,100.0
Cisplatino,0.03304696073110246,100.0
GPT_rms,0.032968269676524935,100.0
Linfocitos_homogeneous,0.03267492289836228,100.0
Potasio_iqr,0.03233066791061427,100.0
Leucocitos_median,0.03213842348859807,100.0
Fosfatasa Alcalina_max,0.03208956929713212,100.0
LDH_std,0.031918091661142456,100.0
Fosfatasa Alcalina_skewness,0.03140960700713752,100.0
Urea_initial,0.031116020276087026,100.0
TTPa (s)_median,0.03105889508582765,100.0
Linea1Beva,0.03097381816749915,100.0
Potasio_quartile1,0.030953570133233247,100.0
Leucocitos_quartile1,0.030594327269221375,100.0
EnfDigest,0.03057014652405566,100.0
Linea1Atezo,0.030272821844865294,100.0
Bilirrubina total_min,0.030256550952640116,100.0
Crizotinib,0.030049674838025797,100.0
Hemoglobina_std,0.029895956049288464,100.0
Urea_sum,0.029740931953451538,100.0
Linea1Pacli,0.029678657820413516,100.0
Linea1Carbo,0.0295227011914111,100.0
Potasio_sum,0.029293339859302867,100.0
Calcio_max,0.02906597760767608,100.0
Potasio_initial,0.02892612193471173,100.0
LDH_median,0.028598030343155795,100.0
Urea_kurtosis,0.028504498730361538,100.0
Neutrófilos_skewness,0.028311779306345115,100.0
GOT_homogeneous,0.028064121574456823,100.0
Glucosa_quartile1,0.02780223540351716,100.0
Plaquetas_homogeneous,0.02771172551661527,100.0
missingindicator_LDH_initial,0.02766664593464102,100.0
Glucosa_median,0.0276270682063533,100.0
Urea_iqr,0.027573420653071216,100.0
Neutrófilos_max,0.027528982706093164,100.0
missingindicator_GPT_initial,0.02738043760499196,100.0
TTPa (s)_quartile3,0.027357781438988607,100.0
Albumina_min,0.027054103018199317,100.0
NeoHEM,0.0269338881638865,100.0
GGT_min,0.026776496390633304,100.0
Sodio_skewness,0.02617865171145579,100.0
TTPa (s)_rms,0.02617428847034924,100.0
Potasio_homogeneous,0.025673375613280116,100.0
EnfNRL,0.025576563280893735,100.0
GGT_quartile1,0.025348152695283555,100.0
GGT_max,0.025131306552406696,100.0
Linea1Gemcitabina,0.0250419630466163,100.0
MelanomaPiel,0.025013209628474156,100.0
Bilirrubina total_max,0.024843507244784135,100.0
Glucosa_iqr,0.024480704945256018,100.0
Fosfatasa Alcalina_initial,0.0239828178772214,100.0
FRA,0.02378079106468203,100.0
Albumina_homogeneous,0.023779222454257738,100.0
Glucosa_min,0.023633757684373726,100.0
Urea_std,0.02359785671013174,100.0
Leucocitos_initial,0.023590169555520183,100.0
CADigestivo,0.023512775722411186,100.0
Albumina_sum,0.02340755302268062,100.0
Neutrófilos_median,0.02297425037733591,100.0
Sodio_max,0.02297122978080995,100.0
EPOCAsma,0.02289305501397515,100.0
Urea_min,0.022863746199800493,100.0
Creatinina_sum,0.02281811821382137,100.0
Albumina_kurtosis,0.022740915649508923,100.0
Albumina_initial,0.02269466520680465,100.0
Docetaxel,0.022671358699604023,100.0
missingindicator_Linfocitos_initial,0.022152630749418756,100.0
missingindicator_Plaquetas_initial,0.022152630749418756,100.0
Bilirrubina total_iqr,0.02213526731226144,100.0
Sodio_median,0.022017978900191804,100.0
LDH_mean,0.021651647943244975,100.0
TTPa (s)_quartile1,0.02163782995046896,100.0
Gefitinib,0.021588530003350252,100.0
Glucosa_mean,0.021584996902410235,100.0
Urea_max,0.021382006221385155,100.0
Bilirrubina total_sum,0.020796266338245845,100.0
InjertoCV,0.020744748208701376,100.0
Creatinina_max,0.020225647015069213,100.0
Creatinina_quartile1,0.020152032614772927,100.0
Creatinina_kurtosis,0.020088549248175755,100.0
Linfocitos_max,0.01984238271688594,100.0
Creatinina_quartile3,0.01970105819497662,100.0
missingindicator_TNMIV,0.01939886008426176,100.0
GOT_initial,0.01935928899369634,100.0
LDH_max,0.019277037602662653,100.0
TTPa (s)_max,0.01922439700351408,100.0
Hemoglobina_iqr,0.01896768057221707,100.0
GOT_std,0.018793177684318357,100.0
LDH_kurtosis,0.01860311303110837,100.0
Potasio_max,0.018456822182933166,100.0
TTPa (s)_min,0.01839692587935801,100.0
Plaquetas_rms,0.018117655517471503,100.0
Linea1Nivo,0.018108214695783414,100.0
GGT_skewness,0.017810896871625667,100.0
Sodio_homogeneous,0.017809231997384822,100.0
NºLineasIV,0.01770342457107727,100.0
LDH_skewness,0.017624646602834783,100.0
Sodio_std,0.017599201614778636,100.0
Potasio_rms,0.01751059755264362,100.0
Neoplasia,0.01749290642427918,100.0
missingindicator_Fosfatasa Alcalina_initial,0.017490244494991106,100.0
QTinmunosupresores,0.017400057249827735,100.0
GPT_mean,0.01734820453981921,100.0
Sodio_quartile3,0.017303846594693778,100.0
Fosfatasa Alcalina_sum,0.01725545279545786,100.0
Neutrófilos_rms,0.01709547309963935,100.0
Albumina_quartile3,0.016959035140829512,100.0
ValvAórtica,0.016956890338242516,100.0
GPT_skewness,0.01687641479191208,100.0
Irinotecan,0.0168742347118057,100.0
Potasio_std,0.016806336957091165,100.0
Leucocitos_std,0.0166659502907915,100.0
Leucocitos_iqr,0.016501953591566733,100.0
Fosfatasa Alcalina_rms,0.016442852292970933,100.0
CATiroides,0.016382650562604725,100.0
ERC,0.01627763589937853,100.0
PrótesisArticular,0.016054734333861603,100.0
GPT_max,0.015980913990098405,100.0
Urea_skewness,0.01585996683479662,100.0
Bilirrubina total_quartile3,0.015859126424391634,100.0
Sodio_quartile1,0.015851528323638255,100.0
Plaquetas_median,0.015664709130201074,100.0
Traqueostomía,0.015538182769490939,100.0
Potasio_median,0.015352513012279505,100.0
missingindicator_Albumina_initial,0.01530020488057548,100.0
NºLineasVO,0.015213863478580591,100.0
Calcio_homogeneous,0.015175600020632868,100.0
Hemoglobina_kurtosis,0.015075044888391955,100.0
Bilirrubina total_quartile1,0.01498363003738484,100.0
Erlotinib,0.014968958425586595,100.0
LDH_rms,0.01488856173917772,100.0
LDH_quartile1,0.01468680908573647,100.0
missingindicator_Urea_initial,0.014476580396751879,100.0
LDH_iqr,0.014336888079063081,100.0
Linfocitos_quartile1,0.01427283859816985,100.0
Creatinina_std,0.014204489847183182,100.0
Plaquetas_quartile3,0.014055741474344248,100.0
Glucosa_std,0.013976095304698602,100.0
GPT_min,0.013927049183515838,100.0
Glucosa_quartile3,0.013773804109046403,100.0
Hemoglobina_quartile3,0.013682633130434104,100.0
Bevacizumab,0.013544572919898927,100.0
Sodio_initial,0.013494945259426112,100.0
GOT_skewness,0.013494825958938644,100.0
missingindicator_Bilirrubina total_iqr,0.013376103896904698,100.0
missingindicator_Bilirrubina total_quartile3,0.013376103896904698,100.0
missingindicator_Bilirrubina total_rms,0.013376103896904698,100.0
missingindicator_Bilirrubina total_max,0.013376103896904698,100.0
missingindicator_Bilirrubina total_median,0.013376103896904698,100.0
missingindicator_Bilirrubina total_sum,0.013376103896904698,100.0
missingindicator_Bilirrubina total_quartile1,0.013376103896904698,100.0
missingindicator_Bilirrubina total_skewness,0.013376103896904698,100.0
missingindicator_Bilirrubina total_kurtosis,0.013376103896904698,100.0
missingindicator_Bilirrubina total_std,0.013376103896904698,100.0
missingindicator_Bilirrubina total_mean,0.013376103896904698,100.0
missingindicator_Bilirrubina total_min,0.013376103896904698,100.0
Calcio_median,0.013154822933412193,100.0
Urea_median,0.012903949640287174,100.0
GGT_kurtosis,0.012861035124394368,100.0
ACmonoclonalprevio,0.012509933295546246,100.0
Calcio_quartile1,0.012426393639917396,100.0
Potasio_kurtosis,0.012370930646835284,100.0
ValvMitral,0.01230788713261575,100.0
EnfCerebroVascular,0.012236373199371884,100.0
Leucocitos_kurtosis,0.011870717982158194,100.0
Albumina_quartile1,0.011725042365189982,100.0
TP (s)_min,0.011657503011696796,100.0
GPT_quartile3,0.0116551042702466,100.0
Bilirrubina total_skewness,0.011615721828682486,100.0
Lorlatinib,0.011578208483643274,100.0
Leucocitos_skewness,0.011545096085098855,100.0
GPT_median,0.011393140135130373,100.0
Edad,0.011311880893891882,100.0
Leucocitos_rms,0.011164697839991133,100.0
CelPeq,0.010932214993412574,100.0
QTprevia,0.010858703429144929,100.0
GPT_quartile1,0.01068388000354262,100.0
Plaquetas_quartile1,0.010680496504172736,100.0
Calcio_kurtosis,0.010537967496501037,100.0
Potasio_mean,0.010460179509663539,100.0
Hemoglobina_skewness,0.010446305152185094,100.0
GOT_quartile3,0.0102915123893,100.0
Bilirrubina total_rms,0.010235940080506307,100.0
Calcio_min,0.010201799700847742,100.0
Calcio_sum,0.009960155565192525,100.0
GPT_sum,0.009843826584759087,100.0
TP (s)_quartile3,0.009832059720074358,100.0
Neutrófilos_iqr,0.009813399474339003,100.0
missingindicator_GGT_kurtosis,0.009803607771476593,100.0
missingindicator_GGT_rms,0.009803607771476593,100.0
missingindicator_GGT_median,0.009803607771476593,100.0
missingindicator_GGT_mean,0.009803607771476593,100.0
missingindicator_GGT_max,0.009803607771476593,100.0
missingindicator_GGT_min,0.009803607771476593,100.0
missingindicator_GGT_sum,0.009803607771476593,100.0
missingindicator_GGT_skewness,0.009803607771476593,100.0
missingindicator_GGT_iqr,0.009803607771476593,100.0
missingindicator_GGT_quartile3,0.009803607771476593,100.0
missingindicator_GGT_quartile1,0.009803607771476593,100.0
missingindicator_GGT_std,0.009803607771476593,100.0
DosisRT,0.009633679932206242,100.0
Glucosa_max,0.009569490119345882,100.0
CAmama,0.009542700668343009,100.0
GGT_median,0.00945335851402402,100.0
Hemoglobina_mean,0.00935041286076654,100.0
GOT_mean,0.009153653225219688,100.0
missingindicator_Bilirrubina total_initial,0.009042769706888106,100.0
missingindicator_Albumina_quartile3,0.00902584621690306,100.0
missingindicator_Albumina_sum,0.00902584621690306,100.0
missingindicator_Albumina_quartile1,0.00902584621690306,100.0
missingindicator_Albumina_min,0.00902584621690306,100.0
missingindicator_Albumina_iqr,0.00902584621690306,100.0
missingindicator_Albumina_rms,0.00902584621690306,100.0
missingindicator_Albumina_max,0.00902584621690306,100.0
missingindicator_Albumina_std,0.00902584621690306,100.0
missingindicator_Albumina_kurtosis,0.00902584621690306,100.0
missingindicator_Albumina_skewness,0.00902584621690306,100.0
missingindicator_Albumina_mean,0.00902584621690306,100.0
missingindicator_Albumina_median,0.00902584621690306,100.0
GGT_sum,0.008827440791876483,100.0
Linea1Pembro,0.00864882270064219,100.0
Urea_quartile1,0.008636742489646331,100.0
LES,0.008580480667948039,100.0
LDH_initial,0.00858047874437229,100.0
Creatinina_mean,0.008345128869613338,100.0
Indiferenciado,0.008297588655373087,100.0
missingindicator_Calcio_sum,0.00817773676850703,100.0
missingindicator_Calcio_std,0.00817773676850703,100.0
missingindicator_Calcio_median,0.00817773676850703,100.0
missingindicator_Calcio_min,0.00817773676850703,100.0
missingindicator_Calcio_mean,0.00817773676850703,100.0
missingindicator_Calcio_rms,0.00817773676850703,100.0
missingindicator_Calcio_max,0.00817773676850703,100.0
missingindicator_Calcio_quartile1,0.00817773676850703,100.0
missingindicator_Calcio_kurtosis,0.00817773676850703,100.0
missingindicator_Calcio_iqr,0.00817773676850703,100.0
missingindicator_Calcio_quartile3,0.00817773676850703,100.0
missingindicator_Calcio_skewness,0.00817773676850703,100.0
GGT_rms,0.007950011565722458,100.0
Sexo,0.007775668270169428,100.0
Creatinina_rms,0.0077401244851422035,100.0
Durvalumab,0.0076878998884990805,100.0
TTPa (s)_kurtosis,0.007675476994561691,100.0
Calcio_initial,0.0076498167000271745,100.0
Creatinina_skewness,0.007339837167659391,100.0
Linfocitos_rms,0.007337392156510432,100.0
Calcio_quartile3,0.00720192250662594,100.0
Hemoglobina_rms,0.007104766982282062,100.0
GOT_rms,0.00710079304034576,100.0
Plaquetas_min,0.007048997077313727,100.0
TP (s)_skewness,0.007013081959555742,100.0
Linfocitos_iqr,0.0070092409691645385,100.0
Linfocitos_mean,0.006956303218853675,100.0
Glucosa_initial,0.0069060225247597785,100.0
Plaquetas_mean,0.006843162029873731,100.0
Albumina_rms,0.0068263723773888335,100.0
GPT_std,0.00678943636620504,100.0
GOT_max,0.006731790509412401,100.0
Calcio_skewness,0.006609500549319302,100.0
Creatinina_min,0.006505432600415766,100.0
TTPa (s)_mean,0.006368600625575422,100.0
Urea_mean,0.006333776679841932,100.0
TP (s)_rms,0.006304100562343292,100.0
Albumina_median,0.006303325905568754,100.0
Glucosa_rms,0.0061730393278989475,100.0
TP (s)_median,0.00614669813474192,100.0
Leucocitos_quartile3,0.005807961863992336,100.0
Neutrófilos_mean,0.005688301254384771,100.0
TP (s)_quartile1,0.0055546931048372165,100.0
Hemoglobina_median,0.005473599343279666,100.0
GOT_median,0.005452175021433114,100.0
Creatinina_iqr,0.00536308446242732,100.0
Epidermoide,0.005237969555296203,100.0
Albumina_std,0.0052234852896432295,100.0
Plaquetas_initial,0.005196507130119935,100.0
Brigatinib,0.005189296446780148,100.0
VIH,0.005062700710207133,100.0
missingindicator_GPT_mean,0.004874271430396331,100.0
missingindicator_GPT_median,0.004874271430396331,100.0
missingindicator_GPT_rms,0.004874271430396331,100.0
missingindicator_GPT_sum,0.004874271430396331,100.0
missingindicator_GPT_skewness,0.004874271430396331,100.0
missingindicator_GPT_kurtosis,0.004874271430396331,100.0
missingindicator_GPT_quartile1,0.004874271430396331,100.0
missingindicator_GPT_iqr,0.004874271430396331,100.0
missingindicator_GPT_quartile3,0.004874271430396331,100.0
missingindicator_GPT_max,0.004874271430396331,100.0
missingindicator_GPT_min,0.004874271430396331,100.0
missingindicator_GPT_std,0.004874271430396331,100.0
missingindicator_Fosfatasa Alcalina_rms,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_iqr,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_quartile3,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_sum,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_skewness,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_kurtosis,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_mean,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_max,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_median,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_min,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_quartile1,0.0048289766782480155,100.0
missingindicator_Fosfatasa Alcalina_std,0.0048289766782480155,100.0
missingindicator_GOT_initial,0.004822017602935516,100.0
