feature,importance,C_value
HONG.1,0.7641444971156294,0.01
TNMIV,0.13156774870741622,0.01
TNMCOD,0.10239761547651814,0.01
Radioterapia,0.08499462259288797,0.01
Adenoescamoso,0.07971617614955037,0.01
GGT_kurtosis,0.07435971169993298,0.01
Adenocarcinoma,0.07271025434946048,0.01
TTPa (s)_kurtosis,0.07054593859218027,0.01
Linfocitos_min,0.06902836667158288,0.01
Hemoglobina_initial,0.06790387302551461,0.01
Linfocitos_sum,0.0676869196371707,0.01
GGT_median,0.06424787133016206,0.01
Sodio_median,0.05972985721589201,0.01
GGT_min,0.05602283612475275,0.01
Sodio_min,0.05476200585552171,0.01
GGT_std,0.05385108581965365,0.01
Fosfatasa Alcalina_kurtosis,0.05376898988572648,0.01
Hemoglobina_skewness,0.053703231606009025,0.01
missingindicator_TP (s)_initial,0.05229213629546662,0.01
missingindicator_TTPa (s)_initial,0.05229185298516002,0.01
Albumina_sum,0.05145955801416844,0.01
Hemoglobina_std,0.0509152389136547,0.01
Vinorelbina,0.05014471606189367,0.01
Creatinina_skewness,0.0496648957020081,0.01
Glucosa_sum,0.04944387916692082,0.01
Nivolumab,0.0493220222609118,0.01
QTprevia,0.04819369225210415,0.01
GPT_median,0.04757638341926997,0.01
Cardiopatía,0.04528538234970446,0.01
Potasio_skewness,0.045029213671481515,0.01
Linfocitos_median,0.04444498099545405,0.01
Sodio_skewness,0.04432580052787162,0.01
NºLineas,0.04283132096981885,0.01
Plaquetas_median,0.042281888619396864,0.01
Neutrófilos_quartile1,0.042089440368952034,0.01
DosisRT,0.04205279726772069,0.01
GPT_skewness,0.04195836185987633,0.01
Linea1Carbo,0.041003735171891875,0.01
Linea1Cisplatino,0.040537988410530836,0.01
GGT_sum,0.040047728627556525,0.01
Leucocitos_sum,0.039668493717223446,0.01
Plaquetas_iqr,0.03962202874752427,0.01
Urea_std,0.0388658654874242,0.01
Sodio_sum,0.03878324926421043,0.01
Plaquetas_max,0.038143299210342055,0.01
Fosfatasa Alcalina_max,0.037901580484908624,0.01
Hepatopatía,0.03786681850368483,0.01
TTPa (s)_initial,0.03784024364077214,0.01
Linea1Vinorelbina,0.03719629697462057,0.01
EnfDigest,0.03708284604753088,0.01
Leucocitos_median,0.03601139811688657,0.01
GPT_sum,0.03600565922602814,0.01
Fosfatasa Alcalina_median,0.035467022486479455,0.01
Urea_skewness,0.035437053151288984,0.01
QTinmunosupresores,0.035366484701246745,0.01
Neutrófilos_min,0.03518327275787519,0.01
Urea_quartile1,0.03442520332575622,0.01
TTPa (s)_std,0.03429616731187338,0.01
Leucocitos_kurtosis,0.03426397554266238,0.01
Calcio_max,0.034123758638666804,0.01
Calcio_std,0.033697768772346204,0.01
Linfocitos_initial,0.03342985191690251,0.01
Plaquetas_kurtosis,0.033341222052632194,0.01
Creatinina_sum,0.0332086766621921,0.01
Pemetrexed,0.0328371199128474,0.01
Carboplatino,0.0328371199128474,0.01
Bilirrubina total_skewness,0.032623790097883326,0.01
Neutrófilos_initial,0.03253968315198695,0.01
GOT_kurtosis,0.032394423570735846,0.01
Albumina_max,0.031245033652950525,0.01
Albumina_homogeneous,0.031225139002729354,0.01
Bilirrubina total_median,0.030905691995038807,0.01
Bilirrubina total_sum,0.03081958937382117,0.01
NºLineasVO,0.030748445506260477,0.01
Bilirrubina total_initial,0.030345053106997803,0.01
Creatinina_iqr,0.030344394989038886,0.01
Linea1Gemcitabina,0.030209179228252787,0.01
Hemoglobina_max,0.030147534585014856,0.01
CAmama,0.030035617738069762,0.01
Gemcitabina,0.02989377062248918,0.01
GPT_min,0.029551779434580153,0.01
missingindicator_GPT_initial,0.02913745508672004,0.01
GOT_std,0.028820711791716767,0.01
GOT_quartile1,0.028740607647128862,0.01
TP (s)_sum,0.028385776362848475,0.01
Urea_median,0.028373399244145215,0.01
Leucocitos_quartile3,0.028360368295123242,0.01
Linfocitos_quartile1,0.028241020191747547,0.01
Fosfatasa Alcalina_sum,0.02755110359668602,0.01
CAurinario,0.027178589713461758,0.01
Bilirrubina total_kurtosis,0.02674621757181946,0.01
HistOtros,0.026516309886304372,0.01
LDH_median,0.026468705245691858,0.01
LDH_kurtosis,0.026445485521836457,0.01
Plaquetas_skewness,0.026429791792265185,0.01
Potasio_min,0.026419387730504965,0.01
LDH_min,0.02638130073496686,0.01
Bilirrubina total_max,0.026195959509795697,0.01
Albumina_min,0.02618952880317482,0.01
Fosfatasa Alcalina_homogeneous,0.026132781081711163,0.01
Fosfatasa Alcalina_skewness,0.025831428530453487,0.01
Linea1Pacli,0.025391459452984055,0.01
GPT_initial,0.02513472755351935,0.01
Hemoglobina_kurtosis,0.025133750297851594,0.01
