feature,importance,C_value
VIRUS.1,2.0176869382947613,100.0
TNMIV,0.19883831762474208,100.0
Linfocitos_sum,0.16613876713291312,100.0
TNMCOD,0.11228056229794052,100.0
Adenocarcinoma,0.10892845190797848,100.0
Albumina_homogeneous,0.10284850182588647,100.0
Fosfatasa Alcalina_median,0.09374030557727149,100.0
Sodio_sum,0.09035588471872581,100.0
EnfNRL,0.08974408745931677,100.0
CelPeq,0.08687593891601265,100.0
Calcio_homogeneous,0.08296643597448501,100.0
EPOCAsma,0.08255466357584317,100.0
Adenoescamoso,0.08226089895417964,100.0
Paclitaxel,0.0821305613473378,100.0
Bilirrubina total_sum,0.07757344847137634,100.0
Hemoglobina_median,0.07528497612734096,100.0
NeoHEM,0.07352453030245953,100.0
Radioterapia,0.07326352469180121,100.0
Hemoglobina_sum,0.07213785565259989,100.0
Leucocitos_sum,0.07105628698654325,100.0
Irinotecan,0.0704441495743403,100.0
CIsquémica,0.07033560856527674,100.0
FRA,0.07022940263506261,100.0
AIT,0.0695101309152675,100.0
OtrosFarmacos,0.06937046232628083,100.0
Albumina_max,0.06784094287048835,100.0
missingindicator_Calcio_initial,0.06782755885930747,100.0
TEP,0.06704358777250574,100.0
Plaquetas_kurtosis,0.0667927739515647,100.0
Hemoglobina_min,0.06618344041126992,100.0
Sexo,0.06555400327594868,100.0
Linea1Vinorelbina,0.06534668280167259,100.0
Linea1Beva,0.0650230095965346,100.0
Calcio_std,0.0644758446300588,100.0
Cisplatino,0.06379457022824768,100.0
Glucosa_std,0.06236569007312992,100.0
PulmonarIntersticial,0.060552823438212625,100.0
Linea1Cisplatino,0.05977117680720123,100.0
Creatinina_min,0.05897378719416799,100.0
Neutrófilos_min,0.05731232090628654,100.0
Sodio_iqr,0.056633378026689093,100.0
GOT_initial,0.05522236304476922,100.0
Linfocitos_quartile3,0.05510294758681694,100.0
Bevacizumab,0.05472843337028086,100.0
Plaquetas_sum,0.05335217764115224,100.0
Glucosa_median,0.05332260580684518,100.0
Urea_iqr,0.053303705545767785,100.0
Fosfatasa Alcalina_max,0.05271633712470509,100.0
HistOtros,0.052218413049438694,100.0
Glucosa_quartile1,0.051929774716203345,100.0
GPT_min,0.051219843007627296,100.0
GGT_skewness,0.05103260306029093,100.0
GPT_kurtosis,0.050740023542431026,100.0
Potasio_skewness,0.04898668854221406,100.0
